DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.64,16.93,16.24,16.24,659260,16.24
2012-01-04,16.21,16.34,16,16.13,625388,16.13
2012-01-05,16.04,16.35,16,16.24,788930,16.24
2012-01-06,16.22,16.32,16.15,16.26,399452,16.26
2012-01-09,16.33,16.35,16.1,16.26,310004,16.26
2012-01-10,16.38,16.42,16.24,16.25,626703,16.25
2012-01-11,16.24,16.41,16.23,16.36,366121,16.36
2012-01-12,16.4,16.44,16.23,16.39,297931,16.39
2012-01-13,16.29,16.44,16.21,16.4,436715,16.4
2012-01-17,16.6,16.61,16.12,16.21,654508,16.21
2012-01-18,16.22,16.35,16.09,16.25,629337,16.25
2012-01-19,16.33,16.34,16.21,16.25,379546,16.25
2012-01-20,16.32,16.51,16.24,16.49,607117,16.49
2012-01-23,16.49,17,16.48,16.92,528216,16.92
2012-01-24,16.87,16.99,16.82,16.87,611369,16.87
2012-01-25,16.87,16.98,16.68,16.9,624961,16.9
2012-01-26,16.97,17.08,16.83,16.92,556107,16.92
2012-01-27,16.9,16.96,16.61,16.77,747085,16.77
2012-01-30,16.69,16.69,16.51,16.58,605607,16.58
2012-01-31,16.64,16.75,16.31,16.36,1156506,16.36
2012-02-01,16.5,17.18,16.5,17,931219,17
2012-02-02,17.04,17.04,16.79,16.83,562601,16.83
2012-02-03,17.02,17.45,17,17.2,584916,17.2
2012-02-06,17.15,17.19,17.06,17.19,385584,17.19
2012-02-07,17.22,17.27,17.13,17.14,458462,17.14
2012-02-08,17.15,17.26,16.96,17.16,420492,17.16
2012-02-09,17.17,17.18,16.96,17.02,518311,17.02
2012-02-10,16.91,16.98,16.78,16.8,467003,16.8
2012-02-13,16.61,16.63,16.16,16.43,1004334,16.43
2012-02-14,16.32,16.42,16.15,16.21,643453,16.21
2012-02-15,16.2,16.31,16.03,16.11,508833,16.11
2012-02-16,16.13,16.38,16.13,16.25,475319,16.25
2012-02-17,16.37,16.43,16.03,16.2,740609,16.2
2012-02-21,16.33,16.44,16.21,16.28,634279,16.28
2012-02-22,16.28,16.38,16.05,16.19,438965,16.19
2012-02-23,16.13,16.22,15.98,16.12,400643,16.12
2012-02-24,16.33,16.48,16.26,16.38,441351,16.38
2012-02-27,16.31,16.58,16.2,16.48,555875,16.48
2012-02-28,16.48,16.71,16.42,16.53,449630,16.53
2012-02-29,16.52,16.57,16.25,16.3,695470,16.3
2012-03-01,16.3,16.51,16.27,16.44,487361,16.44
2012-03-02,16.45,16.49,16.25,16.32,591340,16.32
2012-03-05,16.28,16.31,16.12,16.2,354274,16.2
2012-03-06,16.15,16.18,15.93,15.99,382639,15.99
2012-03-07,16,16.04,15.7,15.87,716370,15.87
2012-03-08,15.22,16.07,14.91,15.97,1531290,15.97
2012-03-09,15.92,16.05,15.86,15.9,611100,15.9
2012-03-12,15.91,16.31,15.87,16.25,616740,16.25
2012-03-13,16.37,16.63,16.18,16.61,764246,16.61
2012-03-14,16.62,16.74,16.49,16.5,512407,16.5
2012-03-15,16.47,16.75,16.43,16.74,599578,16.74
2012-03-16,16.79,16.96,16.77,16.91,1170473,16.91
2012-03-19,16.85,17.02,16.84,16.91,384455,16.91
2012-03-20,16.85,17.15,16.8,17.15,664273,17.15
2012-03-21,17.14,17.14,16.81,16.9,598234,16.9
2012-03-22,16.8,16.93,16.76,16.88,547766,16.88
2012-03-23,16.84,16.84,16.64,16.8,412876,16.8
2012-03-26,16.92,17.16,16.84,17.12,669001,17.12
2012-03-27,17.13,17.13,16.95,16.99,1001130,16.99
2012-03-28,16.98,17.06,16.75,16.82,678833,16.82
2012-03-29,16.74,16.78,16.55,16.7,623177,16.7
2012-03-30,16.76,16.76,16.46,16.47,1235686,16.47
2012-04-02,16.42,16.84,16.42,16.68,808099,16.68
2012-04-03,16.67,17.14,16.61,17.12,1216661,17.12
2012-04-04,17.03,17.11,16.91,16.99,871367,16.99
2012-04-05,16.94,17.07,16.87,17.03,643638,17.03
2012-04-09,16.81,16.83,16.66,16.76,545917,16.76
2012-04-10,17,17.04,16.59,16.66,1223848,16.66
2012-04-11,16.79,16.88,16.69,16.81,676175,16.81
2012-04-12,16.81,17,16.72,16.99,570961,16.99
2012-04-13,16.95,17.12,16.85,16.88,752491,16.88
2012-04-16,16.93,16.93,16.58,16.7,690157,16.7
2012-04-17,16.81,16.93,16.68,16.92,555032,16.92
2012-04-18,16.84,17.02,16.79,16.99,665830,16.99
2012-04-19,17.05,17.1,16.83,16.88,677204,16.88
2012-04-20,16.89,16.97,16.69,16.8,867786,16.8
2012-04-23,16.7,16.7,16.34,16.47,727716,16.47
2012-04-24,16.49,16.61,16.37,16.59,461096,16.59
2012-04-25,16.72,16.9,16.61,16.74,667048,16.74
2012-04-26,14.5,15.17,14.5,14.95,2838187,14.95
2012-04-27,15,15,14.82,14.96,1056309,14.96
2012-04-30,14.98,15.04,14.66,14.7,1556377,14.7
2012-05-01,14.73,14.74,14.56,14.66,1259445,14.66
2012-05-02,14.61,14.73,14.56,14.6,1147975,14.6
2012-05-03,14.62,14.7,14.54,14.61,1348546,14.61
2012-05-04,14.57,14.64,14.45,14.54,1133641,14.54
2012-05-07,14.5,14.56,14.46,14.48,1457738,14.48
2012-05-08,14.4,14.55,14.37,14.47,1483814,14.47
2012-05-09,14.36,14.59,14.36,14.52,1701014,14.52
2012-05-10,14.54,14.65,14.51,14.58,1332643,14.58
2012-05-11,14.52,14.6,14.45,14.57,1370300,14.57
2012-05-14,14.46,14.67,14.42,14.59,1570769,14.59
2012-05-15,14.53,14.61,14.47,14.59,1009630,14.59
2012-05-16,14.6,14.86,14.57,14.69,1579864,14.69
2012-05-17,14.65,14.67,14.48,14.48,838004,14.48
2012-05-18,14.49,14.58,14.48,14.52,1056324,14.52
2012-05-21,14.52,14.81,14.52,14.78,581822,14.78
2012-05-22,14.83,14.89,14.64,14.73,599003,14.73
2012-05-23,14.66,15.04,14.62,15.03,656693,15.03
2012-05-24,15.07,15.12,14.91,14.99,645400,14.99
2012-05-25,15.03,15.29,15.03,15.19,1032879,15.19
2012-05-29,15.3,15.41,15.2,15.41,764093,15.41
2012-05-30,15.32,15.44,15.18,15.38,756034,15.38
2012-05-31,15.38,15.42,15.09,15.27,1413603,15.27
2012-06-01,15.13,15.25,15.03,15.06,1491546,15.06
2012-06-04,15.11,15.37,15.09,15.35,1255998,15.35
2012-06-05,15.32,15.56,15.31,15.53,1008864,15.53
2012-06-06,15.64,15.79,15.62,15.74,562455,15.74
2012-06-07,15.64,15.7,15.37,15.42,715455,15.42
2012-06-08,15.42,15.49,15.35,15.45,549167,15.45
2012-06-11,15.57,15.61,15.22,15.23,561842,15.23
2012-06-12,15.26,15.37,15.02,15.12,710422,15.12
2012-06-13,15.11,15.31,15,15.16,482956,15.16
2012-06-14,15.22,15.44,15.18,15.36,762884,15.36
2012-06-15,15.44,15.6,15.37,15.6,833407,15.6
2012-06-18,15.6,15.64,15.45,15.5,530569,15.5
2012-06-19,15.66,15.66,15.42,15.46,865015,15.46
2012-06-20,15.53,15.65,15.45,15.56,663159,15.56
2012-06-21,15.59,15.65,15.31,15.32,848115,15.32
2012-06-22,15.41,15.53,15.36,15.47,763740,15.47
2012-06-25,15.41,15.41,15.11,15.21,723986,15.21
2012-06-26,15.24,15.3,15.01,15.09,1076639,15.09
2012-06-27,15.69,15.99,15.4,15.67,2021333,15.67
2012-06-28,15.7,15.88,15.6,15.85,1267122,15.85
2012-06-29,16.1,16.28,15.96,15.98,1645900,15.98
2012-07-02,16.05,16.08,15.87,15.99,1069611,15.99
2012-07-03,15.98,16.09,15.9,15.98,1958991,15.98
2012-07-05,16,16.31,15.9,16.15,1347946,16.15
2012-07-06,16.06,16.15,15.98,16.15,1226090,16.15
2012-07-09,16.17,16.19,16.04,16.08,793432,16.08
2012-07-10,16.15,16.21,15.99,16.04,955280,16.04
2012-07-11,16.14,16.22,16.08,16.1,1253912,16.1
2012-07-12,16.06,16.38,16.01,16.29,942569,16.29
