DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,36.94,37.22,36.39,36.67,207973,36.67
2012-01-04,36.57,36.65,36,36.51,339801,36.51
2012-01-05,36.34,36.79,36.13,36.68,294234,36.68
2012-01-06,36.61,37.3,36.53,37.18,171084,37.18
2012-01-09,37.35,37.77,37.04,37.46,211842,37.46
2012-01-10,37.91,38.4,37.69,37.9,290894,37.9
2012-01-11,37.83,38.24,37.76,38.11,195816,38.11
2012-01-12,38.25,38.71,38.13,38.68,138585,38.68
2012-01-13,38.44,38.59,38.04,38.41,171994,38.41
2012-01-17,38.76,38.88,38.29,38.36,277614,38.36
2012-01-18,38.51,39.16,38.4,39.12,317260,39.12
2012-01-19,39.46,39.56,39.14,39.32,141375,39.32
2012-01-20,39.38,39.71,39.24,39.4,323710,39.4
2012-01-23,39.05,39.75,38.83,38.88,244977,38.88
2012-01-24,38.82,38.85,38.43,38.55,262942,38.55
2012-01-25,38.43,39,37.77,38.84,349433,38.84
2012-01-26,38.95,39.25,38.82,39.25,252737,39.25
2012-01-27,39.16,40.04,39.06,39.7,307112,39.7
2012-01-30,39.65,39.98,39.16,39.21,395080,39.21
2012-01-31,39.77,41.32,39.59,41,1227587,41
2012-02-01,41.49,41.74,40.65,41.17,656509,41.17
2012-02-02,41.36,41.59,40.99,41.12,368273,41.12
2012-02-03,41.49,42.17,41.4,41.93,218667,41.93
2012-02-06,41.65,41.91,41.43,41.83,330791,41.83
2012-02-07,41.72,42.2,41.65,42.09,186693,42.09
2012-02-08,42.16,42.79,42.02,42.58,260445,42.58
2012-02-09,42.71,42.84,42.32,42.48,140754,42.48
2012-02-10,42.17,42.23,41.92,42.18,166506,42.18
2012-02-13,42.38,42.57,41.97,42.33,197108,42.33
2012-02-14,42.08,42.48,41.81,42.46,121897,42.46
2012-02-15,42.6,42.99,42.29,42.48,178045,42.48
2012-02-16,42.57,42.83,42.29,42.72,327760,42.72
2012-02-17,43,43.14,42.63,42.66,205628,42.66
2012-02-21,43.01,43.11,42.72,42.93,201732,42.93
2012-02-22,42.82,42.99,42.36,42.46,172943,42.46
2012-02-23,42.36,43.04,42.36,42.97,250111,42.97
2012-02-24,42.99,43.39,42.86,43.11,127895,43.11
2012-02-27,43.15,43.54,42.92,43.38,193552,43.38
2012-02-28,43.41,43.6,43.4,43.48,207703,43.48
2012-02-29,43.59,44,43.51,43.63,432967,43.63
2012-03-01,43.85,44.11,43.67,43.93,233996,43.93
2012-03-02,43.95,44.37,43.74,43.79,190259,43.79
2012-03-05,43.5,43.68,43.19,43.61,185890,43.61
2012-03-06,43.15,43.16,42.53,42.65,151235,42.65
2012-03-07,42.76,42.91,42.56,42.64,188298,42.64
2012-03-08,42.85,43.41,42.85,43.28,203668,43.28
2012-03-09,43.29,43.9,43.27,43.62,155044,43.62
2012-03-12,43.64,43.9,43.22,43.56,129535,43.56
2012-03-13,43.79,43.96,43.51,43.89,173183,43.89
2012-03-14,43.75,44,43.65,43.83,113776,43.83
2012-03-15,43.89,44.31,43.75,44.2,177327,44.2
2012-03-16,44.38,44.54,44.23,44.4,421452,44.4
2012-03-19,44.45,44.56,44.03,44.37,167989,44.37
2012-03-20,44.05,44.12,43.63,43.99,91594,43.99
2012-03-21,43.98,43.98,43.36,43.82,137514,43.82
2012-03-22,43.65,43.83,43.34,43.72,188639,43.72
2012-03-23,43.87,44.19,43.75,44.05,138196,44.05
2012-03-26,44.3,45.04,44.3,45.03,245204,45.03
2012-03-27,45.21,45.21,44.67,44.73,128074,44.73
2012-03-28,44.74,44.79,44.19,44.77,140739,44.77
2012-03-29,44.49,44.82,44.27,44.72,138342,44.72
2012-03-30,45.05,45.42,44.69,45.08,315035,45.08
2012-04-02,45.11,45.75,44.87,45.7,290489,45.7
2012-04-03,45.56,45.64,44.75,45.06,340327,45.06
2012-04-04,44.74,44.82,44.14,44.41,219353,44.41
2012-04-05,44.2,44.45,43.84,44.06,140840,44.06
2012-04-09,43.6,43.91,43.56,43.78,271056,43.78
2012-04-10,43.75,44.03,42.95,42.97,205017,42.97
2012-04-11,43.6,44.18,43.53,43.81,230965,43.81
2012-04-12,43.82,44.54,43.82,44.34,150135,44.34
2012-04-13,44.28,44.57,44.2,44.42,280352,44.42
2012-04-16,44.77,44.77,43.84,43.85,180223,43.85
2012-04-17,44.13,44.95,44.06,44.67,134730,44.67
2012-04-18,44.6,44.77,44.33,44.61,196255,44.61
2012-04-19,44.53,44.76,43.87,44.21,163599,44.21
2012-04-20,44.35,44.65,43.97,44.1,280830,44.1
2012-04-23,43.79,43.79,43.45,43.59,169369,43.59
2012-04-24,43.64,43.92,43.42,43.83,167752,43.83
2012-04-25,44.07,44.99,44,44.9,239654,44.9
2012-04-26,44.95,45.42,44.82,45.35,193985,45.35
2012-04-27,45.45,45.78,45.36,45.64,205175,45.64
2012-04-30,45.53,45.74,45.24,45.54,193350,45.54
2012-05-01,43.5,45.55,43.41,44.5,569414,44.5
2012-05-02,43.51,43.66,42.59,42.71,393080,42.71
2012-05-03,42.5,42.61,41.89,41.92,274024,41.92
2012-05-04,41.58,41.6,40.95,41.02,329792,41.02
2012-05-07,40.75,41.33,40.75,41.2,275741,41.2
2012-05-08,40.94,41.7,40.94,41.61,271460,41.61
2012-05-09,41.02,41.72,40.93,41.4,224461,41.4
2012-05-10,41.7,41.78,41.27,41.34,175856,41.34
2012-05-11,41.06,41.61,40.94,41.23,289613,41.23
2012-05-14,40.82,40.89,40.54,40.66,170658,40.66
2012-05-15,40.57,40.75,40.16,40.22,169093,40.22
2012-05-16,40.57,40.58,39.62,39.63,227229,39.63
2012-05-17,39.6,39.75,38.91,38.95,180305,38.95
2012-05-18,39.18,39.18,38.34,38.43,302521,38.43
2012-05-21,38.51,39.74,38.51,39.65,317429,39.65
2012-05-22,39.6,39.82,39.44,39.8,335697,39.8
2012-05-23,39.48,40.23,39.22,40.21,239324,40.21
2012-05-24,40.32,40.32,38.92,39.18,250980,39.18
2012-05-25,39.24,39.58,39.19,39.37,104716,39.37
2012-05-29,39.68,40.27,39.6,40.22,185178,40.22
