DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,31.04,31.52,30.87,31.36,363439,31.36
2012-01-04,31.14,31.5,31,31.34,416611,31.34
2012-01-05,31.02,31.14,30.67,30.9,412091,30.9
2012-01-06,30.83,30.96,30.04,30.31,439790,30.31
2012-01-09,30.36,30.48,29.81,30.14,383081,30.14
2012-01-10,30.13,30.72,29.51,30.35,896571,30.35
2012-01-11,30.37,31.98,30.05,31.81,472400,31.81
2012-01-12,31.98,32.38,31.31,32.28,441540,32.28
2012-01-13,32.08,32.14,30.79,31.51,594312,31.51
2012-01-17,32.08,32.65,31.98,32.15,361871,32.15
2012-01-18,32.08,33,32.03,32.99,285195,32.99
2012-01-19,33.05,34.99,33,33.93,593536,33.93
2012-01-20,34.07,34.24,33.63,34.2,530724,34.2
2012-01-23,34.18,34.37,33.87,34.07,298994,34.07
2012-01-24,33.95,34.25,33.76,34.04,290721,34.04
2012-01-25,34,35.68,34,35.52,428203,35.52
2012-01-26,35.59,35.84,34.94,35,402270,35
2012-01-27,34.82,35.53,34.78,35.23,330902,35.23
2012-01-30,34.83,35.1,34.27,34.69,562156,34.69
2012-01-31,34.95,35.14,34.28,34.46,405160,34.46
2012-02-01,34.66,34.84,34.3,34.5,419973,34.5
2012-02-02,34.5,34.75,34.27,34.64,235674,34.64
2012-02-03,34.9,35.28,34.76,35.25,362249,35.25
2012-02-06,35.14,35.47,35.07,35.47,286530,35.47
2012-02-07,35.36,35.48,34.9,35.27,218280,35.27
2012-02-08,35.22,35.55,34.43,34.75,458623,34.75
2012-02-09,34.7,34.74,33.71,34.11,514382,34.11
2012-02-10,34,34.07,33.65,33.79,339336,33.79
2012-02-13,34,34.52,33.76,34.22,344456,34.22
2012-02-14,34.59,37.69,34.59,36.3,1038668,36.3
2012-02-15,36.41,36.82,36.21,36.39,529971,36.39
2012-02-16,36.44,37.98,36.32,37.92,750843,37.92
2012-02-17,37.7,37.85,36.94,37.15,543703,37.15
2012-02-21,37.19,37.43,36.7,36.88,256021,36.88
2012-02-22,36.91,36.98,36.18,36.27,285126,36.27
2012-02-23,36.33,36.5,35.95,36.36,284942,36.36
2012-02-24,36.36,36.46,35.9,36.16,244500,36.16
2012-02-27,35.99,36.46,35.61,36.36,214977,36.36
2012-02-28,36.42,36.66,35.96,36.42,217598,36.42
2012-02-29,36.39,36.57,35.58,35.62,386018,35.62
2012-03-01,35.66,35.9,34.8,35.51,512224,35.51
2012-03-02,35.51,35.66,34.94,34.96,220114,34.96
2012-03-05,34.87,35.23,34.32,34.52,214399,34.52
2012-03-06,34.1,34.32,33.78,33.94,317532,33.94
2012-03-07,33.91,34.52,33.86,34.44,233214,34.44
2012-03-08,34.67,35.46,34.58,35.26,267899,35.26
2012-03-09,35.46,36,35.19,35.94,249684,35.94
2012-03-12,35.96,35.96,35.48,35.59,308900,35.59
2012-03-13,35.74,36.71,35.62,36.69,240495,36.69
2012-03-14,36.64,36.93,36.54,36.81,198692,36.81
2012-03-15,36.84,36.94,36.61,36.81,257536,36.81
2012-03-16,36.76,37.36,36.76,37.13,689244,37.13
2012-03-19,37,37.59,37,37.36,256467,37.36
