DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,122.49,123.09,118.4,118.57,183636,118.57
2012-01-04,118.57,119.11,115.84,117.02,118593,117.02
2012-01-05,116.67,117.21,114.86,117.01,134533,117.01
2012-01-06,114.53,116.54,113.75,115.01,138707,115.01
2012-01-09,115.65,115.65,111.69,112.58,256957,112.58
2012-01-10,113.62,114.05,112.75,113.91,185776,113.91
2012-01-11,113.13,113.43,111.84,112.61,128833,112.61
2012-01-12,113.02,115.12,112.99,114.94,121059,114.94
2012-01-13,114.07,117.19,114.02,116.47,186761,116.47
2012-01-17,115.76,116.94,111.8,112.15,211738,112.15
2012-01-18,112.09,114.75,110.67,114.75,178529,114.75
2012-01-19,115.02,118.74,114.89,118.03,169863,118.03
2012-01-20,118.09,118.34,116.31,117.41,159820,117.41
2012-01-23,117.5,118.89,117.4,118.53,102650,118.53
2012-01-24,117.84,119.27,116.56,118.93,99914,118.93
2012-01-25,118.32,118.8,117,117.53,140266,117.53
2012-01-26,118.05,119.02,117.1,117.45,141720,117.45
2012-01-27,117.03,117.55,115.71,116.45,122484,116.45
2012-01-30,115.48,116.39,114.53,115.43,116067,115.43
2012-01-31,115.85,116.07,114.2,114.48,190111,114.48
2012-02-01,115.56,115.81,114.61,114.69,245716,114.69
2012-02-02,115.07,119.66,114.6,119.65,198627,119.65
2012-02-03,121,122.57,120.44,122.32,167389,122.32
2012-02-06,121.43,123,121.43,122.76,103105,122.76
2012-02-07,122.26,124.33,121.86,122.77,156549,122.77
2012-02-08,126.91,131.46,126.45,130.08,236000,130.08
2012-02-09,131.48,132.83,130.44,131.93,237948,131.93
2012-02-10,130,134.96,129.61,134.74,219567,134.74
2012-02-13,135,135,131.52,133.74,167276,133.74
2012-02-14,133.23,134,132.63,133.68,142306,133.68
2012-02-15,133.86,134.28,132.62,132.86,178232,132.86
2012-02-16,132.82,134,131.95,133.83,290622,133.83
2012-02-17,134.28,135,133.36,134.47,182901,134.47
2012-02-21,133.82,134.04,132.71,133.37,142717,133.37
2012-02-22,133.08,133.78,132.69,133.15,87316,133.15
2012-02-23,133.1,140.46,132.67,139.26,223718,139.26
