DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,53.39,53.47,52.83,52.88,119143,52.88
2012-01-04,52.71,53.02,52.51,52.95,80601,52.95
2012-01-05,52.47,53.08,52.05,52.9,134518,52.9
2012-01-06,52.88,53.31,52.56,53.07,119128,53.07
2012-01-09,53.01,53.29,52.91,53.22,173288,53.22
2012-01-10,53.68,54.25,53.68,54.06,141935,54.06
2012-01-11,53.8,54.24,53.52,54.22,110720,54.22
2012-01-12,54.3,55.09,53.95,55.08,141483,55.08
2012-01-13,54.61,54.67,54.02,54.57,147119,54.57
2012-01-17,55.11,55.59,54.8,55.08,182573,55.08
2012-01-18,55.09,55.81,54.88,55.7,158157,55.7
2012-01-19,55.75,56.08,55.32,56.02,250792,56.02
2012-01-20,56.05,56.35,55.99,56.15,237085,56.15
2012-01-23,56.15,56.55,56.05,56.46,156009,56.46
2012-01-24,56.26,56.59,55.95,56.45,140462,56.45
2012-01-25,56.3,56.86,56.14,56.79,135076,56.79
2012-01-26,57,57.08,56.6,56.76,165828,56.76
2012-01-27,56.61,57.13,56.6,56.94,172084,56.94
2012-01-30,56.54,56.61,56,56.41,230770,56.41
2012-01-31,56.61,56.75,55.71,55.81,316160,55.81
2012-02-01,56.33,56.67,56.07,56.28,183589,56.28
2012-02-02,56.3,56.59,56.03,56.04,191272,56.04
2012-02-03,56.64,56.92,56.29,56.39,160116,56.39
2012-02-06,56.2,56.51,56,56.29,173984,56.29
2012-02-07,56.04,56.13,55.51,55.6,263186,55.6
2012-02-08,55.81,56.48,55.59,56.25,248253,56.25
2012-02-09,57.47,58.73,56.41,57.22,298891,57.22
2012-02-10,56.55,56.55,55.5,56.02,186617,56.02
2012-02-13,56.43,56.63,56.18,56.3,148225,56.3
2012-02-14,56.06,56.45,55.99,56.4,197290,56.4
2012-02-15,56.48,56.7,55.9,55.98,166590,55.98
2012-02-16,55.91,56.57,55.72,56.31,126691,56.31
2012-02-17,56.5,56.68,56.36,56.66,223672,56.66
2012-02-21,56.73,57.51,56.68,57.35,252238,57.35
2012-02-22,57.43,57.62,57.03,57.42,155270,57.42
2012-02-23,57.52,57.66,56.97,57.48,123258,57.48
2012-02-24,57.56,57.87,57.34,57.63,109935,57.63
2012-02-27,57.27,57.8,57.16,57.62,103219,57.62
2012-02-28,57.74,58.07,57.35,57.6,186274,57.6
2012-02-29,57.66,57.7,56.78,57.03,166650,57.03
2012-03-01,57.1,57.3,56.48,56.48,223133,56.48
2012-03-02,56.43,57.26,56.39,56.88,142363,56.88
2012-03-05,56.85,56.85,56.07,56.5,187754,56.5
2012-03-06,56.05,56.33,55.34,55.44,175980,55.44
2012-03-07,55.56,55.91,55.42,55.78,130007,55.78
2012-03-08,56.14,56.35,55.82,56.19,155987,56.19
2012-03-09,56.35,56.53,56.11,56.2,173630,56.2
2012-03-12,56.2,56.45,55.94,56.04,133211,56.04
2012-03-13,56.12,56.54,55.87,56.43,126148,56.43
2012-03-14,56.37,56.87,56.32,56.57,118084,56.57
2012-03-15,56.64,57.22,56.49,57.22,141646,57.22
2012-03-16,57.31,57.41,57.01,57.24,240455,57.24
2012-03-19,56.64,57.27,56.64,57.13,111599,57.13
2012-03-20,56.73,57.1,56.61,56.95,119720,56.95
2012-03-21,56.94,57.26,56.83,57.1,111974,57.1
2012-03-22,56.72,56.8,56.32,56.64,100282,56.64
2012-03-23,56.63,57.26,56.5,57.1,95849,57.1
2012-03-26,57.5,57.91,57.43,57.9,151126,57.9
2012-03-27,57.9,58.66,57.87,58.62,177861,58.62
2012-03-28,58.55,58.76,58.13,58.47,243160,58.47
2012-03-29,57.78,58.26,57.74,58.13,176001,58.13
2012-03-30,58.38,58.89,58.1,58.6,285220,58.6
2012-04-02,58.51,59.69,58.38,59.61,157905,59.61
2012-04-03,59.61,59.61,58.75,59.27,236894,59.27
2012-04-04,58.63,58.94,58.49,58.66,134009,58.66
