DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,53.23,53.88,52.42,52.49,567710,52.49
2012-01-04,52.36,52.51,51.9,52.3,678556,52.3
2012-01-05,52.08,52.72,51.92,52.54,521845,52.54
2012-01-06,52.39,53.31,52.09,53.14,632250,53.14
2012-01-09,53.2,53.44,52.89,53.18,690743,53.18
2012-01-10,53.46,54.92,53.37,54.75,904792,54.75
2012-01-11,54.78,55.52,54.69,55.18,707074,55.18
2012-01-12,55.36,55.59,54.81,55.285,509809,55.285
2012-01-13,55.09,55.21,54.14,54.83,752477,54.83
2012-01-17,55.5,55.85,55.03,55.25,568838,55.25
2012-01-18,55.49,56.46,55.3,56.46,690234,56.46
2012-01-19,56.46,57.14,56.36,57.1,844256,57.1
2012-01-20,57.16,57.45,56.88,57.09,829354,57.09
2012-01-23,56.91,57.59,56.58,57.41,629273,57.41
2012-01-24,57.21,57.59,57.09,57.33,634884,57.33
2012-01-25,57.52,57.67,56.64,57.52,694981,57.52
2012-01-26,57.76,58.06,57.31,57.49,531672,57.49
2012-01-27,57.36,57.86,57.08,57.35,567263,57.35
2012-01-30,56.77,56.86,56.37,56.56,743919,56.56
2012-01-31,56.79,56.86,55.52,56.44,1106940,56.44
2012-02-01,56.99,58.44,56.64,57.87,982867,57.87
2012-02-02,57.88,58.45,57.69,57.86,402114,57.86
2012-02-03,58.25,58.9,58.17,58.47,651225,58.47
2012-02-06,57.88,58.45,57.82,57.9,777997,57.9
2012-02-07,57.71,57.84,57.28,57.62,757459,57.62
2012-02-08,57.56,57.68,56.44,57.56,847685,57.56
2012-02-09,57.55,57.93,57.22,57.6,685904,57.6
2012-02-10,56.98,57.09,56.33,56.7,939200,56.7
2012-02-13,57.05,57.115,56.58,56.59,645784,56.59
2012-02-14,56.42,56.77,56.4,56.77,950497,56.77
2012-02-15,57.05,57.23,56.44,56.65,961994,56.65
2012-02-16,56.83,58.09,56.7,58.01,741111,58.01
2012-02-17,57.89,58,57.31,57.38,1027424,57.38
2012-02-21,57.49,57.94,57.22,57.52,771509,57.52
2012-02-22,59.08,62.32,58.38,60.92,2236134,60.92
2012-02-23,58.9,60,58.54,58.68,2224757,58.68
2012-02-24,58.73,59.17,58.03,58.06,695832,58.06
2012-02-27,57.71,58.27,57.56,57.89,693116,57.89
2012-02-28,57.99,58.22,57.46,57.78,624315,57.78
2012-02-29,57.79,58.01,57.46,57.84,1019777,57.84
2012-03-01,58.23,58.35,57.72,57.94,756548,57.94
2012-03-02,57.89,57.93,57.18,57.27,533316,57.27
2012-03-05,57.13,57.41,56.45,56.87,611192,56.87
2012-03-06,56.51,57.07,55.94,56.08,694463,56.08
2012-03-07,56.44,57.5,56.27,57.13,898292,57.13
2012-03-08,57.37,57.52,57.07,57.22,770454,57.22
2012-03-09,57.28,58.17,57.15,58.17,665816,58.17
2012-03-12,58.3,58.75,58.17,58.62,473954,58.62
2012-03-13,58.78,59.81,58.51,59.81,662148,59.81
2012-03-14,59.63,59.87,59.44,59.69,891608,59.69
2012-03-15,59.67,60.21,59.19,60.18,688406,60.18
2012-03-16,60.05,60.56,59.9,60.14,1683048,60.14
2012-03-19,59.82,60.75,59.82,60.33,456829,60.33
2012-03-20,59.88,60.11,59.67,60.04,413774,60.04
2012-03-21,60.04,60.28,59.77,60.12,601734,60.12
2012-03-22,58.63,59.03,57.66,57.71,1691474,57.71
2012-03-23,57.86,58.03,56.97,57.71,1018023,57.71
2012-03-26,58.26,58.86,57.99,58.73,874686,58.73
2012-03-27,58.95,59.65,58.5,59.48,984257,59.48
2012-03-28,59.21,59.54,58.91,59.51,894985,59.51
2012-03-29,59.3,59.94,58.91,59.83,820779,59.83
2012-03-30,60.15,60.4,59.71,60.13,1055544,60.13
2012-04-02,60.07,60.92,59.73,60.62,715180,60.62
2012-04-03,60.39,60.41,59.8,60.33,713492,60.33
2012-04-04,59.81,59.98,59.06,59.38,501026,59.38
2012-04-05,58.99,59.86,58.89,59.77,676124,59.77
2012-04-09,58.9,59.31,58.61,59.105,495889,59.105
2012-04-10,58.84,59.22,58.38,58.59,997127,58.59
2012-04-11,58.94,60.05,58.67,59.99,1045274,59.99
2012-04-12,60.12,60.66,59.98,60.58,723998,60.58
2012-04-13,60.16,60.84,59.77,60.34,893614,60.34
2012-04-16,60.5,60.61,59.85,60.31,940269,60.31
2012-04-17,60.74,61.7,60.66,61.54,662334,61.54
2012-04-18,61.5,61.82,61.05,61.425,649359,61.425
2012-04-19,61.3,61.78,60.42,60.9,828014,60.9
2012-04-20,57.89,58.98,55.96,57.25,4154051,57.25
2012-04-23,56.71,56.87,56.1,56.75,1686538,56.75
2012-04-24,56.69,56.76,56.08,56.29,1187081,56.29
2012-04-25,56.92,57.76,56.67,57.4,972554,57.4
2012-04-26,57.3,57.81,57.16,57.6,668659,57.6
2012-04-27,57.66,58.21,57.65,57.98,659783,57.98
2012-04-30,57.92,58.18,57.55,57.97,941557,57.97
2012-05-01,58.12,58.86,57.81,58.25,492331,58.25
2012-05-02,57.83,58.7,57.24,58.66,628271,58.66
2012-05-03,58.79,59,58.18,58.39,750836,58.39
2012-05-04,57.67,57.9,56.7,56.9,782566,56.9
2012-05-07,56.42,56.83,56.13,56.58,803137,56.58
2012-05-08,56.24,56.47,55.46,56.28,1010667,56.28
2012-05-09,55.87,56.92,55.44,56.52,788673,56.52
2012-05-10,56.72,56.91,55.12,55.43,781000,55.43
2012-05-11,55.4,56.23,55.19,55.83,659780,55.83
2012-05-14,55.28,55.83,55.07,55.35,565060,55.35
2012-05-15,55.4,56.47,55.31,55.49,562682,55.49
2012-05-16,55.66,56.11,55.1,55.11,745120,55.11
2012-05-17,55,55.29,54.22,54.41,999510,54.41
2012-05-18,54.52,56.9,54.17,54.51,2105572,54.51
2012-05-21,54.34,55.385,53.49,55.25,1199024,55.25
2012-05-22,55.39,56.36,55.1,55.99,854511,55.99
2012-05-23,55.75,56.62,55.25,56.47,807404,56.47
2012-05-24,56.52,56.52,55.81,56.39,817069,56.39
2012-05-25,56.5,56.75,56.13,56.45,501041,56.45
2012-05-29,56.5,57.19,56.27,56.63,725088,56.63
2012-05-30,56.36,56.38,55.64,56.2,782818,56.2
2012-05-31,56.38,56.71,55.76,56.23,957135,56.23
2012-06-01,55.14,55.58,54.77,54.8,902915,54.8
2012-06-04,55.28,55.6,54.3,54.92,743296,54.92
2012-06-05,54.7,55.72,54.69,55.63,557963,55.63
2012-06-06,55.9,57.72,55.76,57.72,694045,57.72
2012-06-07,58.09,58.18,56.94,56.94,816709,56.94
2012-06-08,56.92,57.11,56.51,57,938176,57
2012-06-11,57.12,57.38,55.37,55.43,942504,55.43
2012-06-12,55.76,56.77,55.46,56.77,682058,56.77
2012-06-13,56.57,57.31,56.39,56.47,752749,56.47
2012-06-14,56.61,57.52,56.24,57.37,847851,57.37
2012-06-15,57.45,58.39,57.16,58.32,1090885,58.32
2012-06-18,57.98,58.89,57.78,58.7,652135,58.7
2012-06-19,59,59,58.49,58.97,656202,58.97
2012-06-20,59,59.15,58.36,58.83,624343,58.83
2012-06-21,58.82,58.88,56.84,56.88,906753,56.88
2012-06-22,57.11,57.76,56.84,57.66,739484,57.66
2012-06-25,57.01,57.12,56.22,56.36,554984,56.36
2012-06-26,56.55,57.27,56.45,57.01,489182,57.01
2012-06-27,57.4,57.85,57.1,57.52,274248,57.52
2012-06-28,57.32,57.35,56.19,57,498782,57
2012-06-29,57.73,59.36,57.73,59.35,788002,59.35
2012-07-02,59.29,59.9,59.15,59.68,480223,59.68
