DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.7826,30.0586,29.2108,29.546,1151765,29.546
2012-01-04,29.4671,29.8122,29.3094,29.6741,1015777,29.6741
2012-01-05,29.5854,30.2854,29.0432,30.0192,978931,30.0192
2012-01-06,30.0882,30.8276,29.9798,30.502299999999998,932393,30.502299999999998
2012-01-09,30.502299999999998,30.7389,30.2361,30.6304,789936,30.6304
2012-01-10,31.0642,31.3895,30.7684,30.8769,817108,30.8769
2012-01-11,30.8177,31.1135,30.66,30.6994,670442,30.6994
2012-01-12,30.9163,31.3107,30.6896,31.2909,625120,31.2909
2012-01-13,31.0543,31.1135,30.7093,31.0445,1155012,31.0445
2012-01-17,31.3994,31.498,31.1431,31.2318,1221685,31.2318
2012-01-18,31.0149,31.6951,30.9459,31.6163,913844,31.6163
2012-01-19,31.8134,32.1191,31.6754,31.9712,685454,31.9712
2012-01-20,31.9515,32.0599,31.5078,32.0008,1052440,32.0008
2012-01-23,32.0402,32.0402,30.9558,30.9853,1435466,30.9853
2012-01-24,30.8177,31.8923,30.798000000000002,31.705,897472,31.705
2012-01-25,31.1036,31.2219,30.8177,30.8375,1603044,30.8375
2012-01-26,31.0839,31.4388,30.6994,30.8079,856938,30.8079
2012-01-27,30.7487,30.798000000000002,30.1474,30.5417,1222340,30.5417
2012-01-30,30.1671,30.8177,30.0685,30.6501,872215,30.6501
2012-01-31,30.9558,31.0938,30.4825,30.6994,1170195,30.6994
2012-02-01,31.0445,31.3402,30.867,30.936,759183,30.936
2012-02-02,31.6261,31.7839,31.1234,31.1529,1044102,31.1529
2012-02-03,31.3994,31.6951,31.2515,31.3994,1538428,31.3994
2012-02-06,31.2219,31.3107,30.8079,31.0248,726710,31.0248
2012-02-07,30.8867,30.9853,30.4333,30.6699,1029171,30.6699
2012-02-08,30.7093,30.8177,30.4628,30.5121,1149188,30.5121
2012-02-09,30.591,31.1726,30.522,31.0346,722545,31.0346
2012-02-10,30.7192,31.4487,30.522,31.3994,1590580,31.3994
2012-02-13,31.5473,32.75,31.5473,32.5528,1875073,32.5528
2012-02-14,32.5134,32.6909,32.2472,32.5824,1148457,32.5824
2012-02-15,32.7796,32.819,32.2867,32.3852,882880,32.3852
2012-02-16,32.819,33.3908,32.4345,33.2232,1295493,33.2232
2012-02-17,33.3119,33.3119,32.6416,32.9866,1265122,32.9866
2012-02-21,33.2035,33.3119,32.7204,32.8486,973428,32.8486
2012-02-22,32.6613,32.888,32.4641,32.6317,789760,32.6317
2012-02-23,32.4543,32.9176,32.2669,32.4937,828438,32.4937
2012-02-24,32.4444,32.8289,32.3951,32.4543,513378,32.4543
2012-02-27,32.2867,33.6176,32.2867,33.4302,1190018,33.4302
2012-02-28,33.4993,34.2879,33.2725,34.1401,1536294,34.1401
2012-02-29,34.5147,35.4808,34.495,34.6527,2232565,34.6527
2012-03-01,34.7217,34.978,34.495,34.702,853824,34.702
2012-03-02,34.7414,35.4907,34.7316,35.1161,905517,35.1161
2012-03-05,35.0668,35.4118,34.8499,34.9879,1048360,34.9879
2012-03-06,34.5147,34.6823,34.3077,34.633,959475,34.633
2012-03-07,34.6626,34.7414,33.6767,34.2781,1530992,34.2781
2012-03-08,34.5147,35.0668,34.495,34.7907,1052520,34.7907
2012-03-09,34.9583,35.1062,34.4752,34.7316,707077,34.7316
2012-03-12,34.7513,35.0569,34.702,34.978,1039888,34.978
2012-03-13,35.1358,35.7864,35.0865,35.7766,1451829,35.7766
2012-03-14,35.7667,35.9836,35.0569,35.2048,1045825,35.2048
2012-03-15,35.2245,35.4907,34.7119,35.4315,1163970,35.4315
2012-03-16,35.3921,35.3921,34.8104,35.0668,1694060,35.0668
2012-03-19,35.1555,35.2639,34.7513,34.9386,735837,34.9386
2012-03-20,34.5541,34.8302,34.2485,34.8006,911686,34.8006
2012-03-21,34.9977,35.2738,34.8992,35.1752,891309,35.1752
2012-03-22,34.6034,34.633,34.1203,34.5541,782755,34.5541
2012-03-23,34.6133,34.7316,34.0513,34.6921,811939,34.6921
2012-03-26,35.0569,35.5301,35.0175,35.471,870267,35.471
2012-03-27,35.5991,35.7174,35.2146,35.2245,599090,35.2245
2012-03-28,35.1161,35.1752,34.2189,34.3767,1290104,34.3767
2012-03-29,34.071,34.7611,34.071,34.6626,768393,34.6626
2012-03-30,34.8499,34.8499,34.2781,34.6034,1031494,34.6034
2012-04-02,34.6034,34.8104,34.4161,34.6724,839083,34.6724
2012-04-03,34.6527,35.0766,34.3668,34.4851,1013835,34.4851
2012-04-04,34.4752,34.7217,34.1203,34.6034,897312,34.6034
2012-04-05,34.6034,34.8006,34.1598,34.3767,814796,34.3767
2012-04-09,33.726,33.726,33.3514,33.4894,949272,33.4894
2012-04-10,33.4894,33.5091,32.1388,32.2078,1742407,32.2078
2012-04-11,32.7007,32.7894,32.2472,32.2768,1225662,32.2768
2012-04-12,32.3557,32.9077,32.2571,32.7993,998724,32.7993
2012-04-13,32.75,32.8585,32.4444,32.5035,977407,32.5035
2012-04-16,32.543,32.7401,32.2176,32.3951,850911,32.3951
2012-04-17,32.5528,32.8486,32.1881,32.75,967732,32.75
2012-04-18,32.6021,32.7796,32.4838,32.5824,747641,32.5824
2012-04-19,32.6218,32.7401,32.2275,32.4937,624401,32.4937
2012-04-20,32.6909,32.8979,32.4937,32.5528,921264,32.5528
2012-04-23,32.1289,32.1388,31.5078,31.843,924081,31.843
2012-04-24,31.9317,32.4345,31.9219,32.3557,723674,32.3557
2012-04-25,32.6218,33.1345,32.5528,33.0753,746279,33.0753
2012-04-26,32.9275,33.4401,32.9275,33.2725,1047115,33.2725
2012-04-27,33.3711,33.8344,33.0655,33.3711,922175,33.3711
2012-04-30,33.2035,33.2035,32.4838,32.8387,965757,32.8387
2012-05-01,32.8585,33.1345,32.3754,32.9275,1056859,32.9275
2012-05-02,32.6909,32.9275,32.474,32.8585,643563,32.8585
2012-05-03,32.819,32.8782,32.1585,32.2867,890939,32.2867
2012-05-04,32.2176,32.2472,31.4487,31.6754,968276,31.6754
2012-05-07,31.5177,31.8726,31.4783,31.498,689738,31.498
2012-05-08,31.0543,31.2811,30.4628,31.2219,1184926,31.2219
2012-05-09,30.798000000000002,31.0543,30.3248,30.9065,1109428,30.9065
2012-05-10,31.1628,31.2909,30.6896,30.798000000000002,897807,30.798000000000002
2012-05-11,30.4825,31.1924,30.3741,30.8375,853790,30.8375
2012-05-14,30.66,30.66,30.1769,30.315,815969,30.315
2012-05-15,30.2361,31.0445,30.1079,30.502299999999998,1057659,30.502299999999998
2012-05-16,30.6797,30.7192,29.6347,29.6643,1067205,29.6643
2012-05-17,29.6939,29.8417,28.3432,28.3827,1500265,28.3827
2012-05-18,28.4517,28.7376,28.2151,28.4714,1436259,28.4714
2012-05-21,28.501,29.5756,28.501,29.4868,924233,29.4868
2012-05-22,29.2404,29.8516,28.9939,29.2404,1070678,29.2404
2012-05-23,29.0432,29.477,28.4024,29.3685,1093099,29.3685
2012-05-24,29.4277,29.7925,28.8756,29.2009,1241664,29.2009
2012-05-25,29.2995,29.3192,28.6784,28.8953,980968,28.8953
2012-05-29,29.2502,29.8023,29.2207,29.4967,745815,29.4967
2012-05-30,29.1024,29.1615,28.7573,28.8657,720542,28.8657
2012-05-31,28.8362,29.0531,28.3235,28.7869,971472,28.7869
2012-06-01,28.0475,28.2644,27.6236,27.732,899851,27.732
2012-06-04,27.7123,27.7222,26.9138,27.4165,997446,27.4165
2012-06-05,27.3081,27.8207,27.2194,27.6827,606637,27.6827
2012-06-06,27.8996,28.7672,27.8996,28.7573,1026834,28.7573
2012-06-07,29.2404,29.8122,28.708,28.8066,1099289,28.8066
2012-06-08,28.6686,28.8855,28.1954,28.8559,656968,28.8559
2012-06-11,29.2009,29.2601,28.1954,28.2052,743363,28.2052
2012-06-12,28.3235,28.7474,28.2249,28.7376,643396,28.7376
2012-06-13,28.6291,28.8362,28.0968,28.1954,558845,28.1954
2012-06-14,28.1954,28.5503,27.9785,28.3728,663735,28.3728
2012-06-15,28.639,28.6686,28.1658,28.432,1416087,28.432
2012-06-18,28.3432,28.915,28.1362,28.7474,751829,28.7474
2012-06-19,28.9742,29.7826,28.777,29.5066,896923,29.5066
2012-06-20,29.477,29.546,28.9742,29.2502,639927,29.2502
2012-06-21,29.3488,29.4573,28.432,28.4616,760282,28.4616
2012-06-22,28.6489,28.9052,28.1757,28.8066,1303183,28.8066
2012-06-25,28.3925,28.4024,27.7419,27.7912,1077981,27.7912
2012-06-26,27.7616,27.9095,27.4954,27.6137,896478,27.6137
2012-06-27,27.7419,28.0179,27.6433,27.7715,726483,27.7715
2012-06-28,27.594,27.6532,27.0222,27.4954,1049878,27.4954
2012-06-29,28.4714,28.5996,28.1954,28.501,1349173,28.501
2012-07-02,28.501,28.6291,27.939,28.5503,772828,28.5503
2012-07-03,28.6291,29.4178,28.57,29.1516,534337,29.1516
2012-07-05,29.0925,29.2601,28.6193,29.0925,541725,29.0925
2012-07-06,28.5897,28.7573,28.4123,28.6587,755159,28.6587
2012-07-09,28.57,28.639,28.1954,28.501,591994,28.501
2012-07-10,28.6587,28.9348,27.8898,28.1559,765863,28.1559
2012-07-11,28.846,29.4868,28.6784,29.2897,1553412,29.2897
2012-07-12,28.9545,29.9009,28.777,29.6249,1097128,29.6249
2012-07-13,29.6446,30.9459,29.615,30.315,1213354,30.315
2012-07-16,30.2854,30.4825,29.5263,30.2657,1156752,30.2657
2012-07-17,30.6206,31.7937,30.6206,31.429,1327384,31.429
2012-07-18,31.1332,32.1486,30.9755,31.8726,1138764,31.8726
2012-07-19,31.9219,32.3951,31.3402,32.1289,1314280,32.1289
2012-07-20,31.8726,32.3064,31.6557,31.8332,1133673,31.8332
2012-07-23,31.8036,31.8726,31.2121,31.6557,869191,31.6557
2012-07-24,31.6261,31.7346,30.6797,30.9656,881465,30.9656
2012-07-25,31.4191,31.5571,30.6403,30.9262,884158,30.9262
2012-07-26,32.0402,33.1739,31.5571,31.981,1043536,31.981
2012-07-27,32.8092,33.1443,32.4641,32.888,1207680,32.888
2012-07-30,32.8289,32.8289,32.2275,32.3754,778330,32.3754
2012-07-31,32.3655,32.6218,32.3064,32.3458,779385,32.3458
2012-08-01,32.5035,32.6416,31.9416,31.9712,850345,31.9712
2012-08-02,31.4092,31.8726,31.0445,31.5867,967428,31.5867
2012-08-03,32.0796,32.6613,32.0402,32.2472,823642,32.2472
2012-08-06,32.2374,32.4444,32.0796,32.3359,603966,32.3359
2012-08-07,32.4641,33.0359,32.3754,32.7599,593564,32.7599
2012-08-08,32.5824,32.612,32.1979,32.2768,569865,32.2768
2012-08-09,31.9219,32.5035,31.774,32.2275,555162,32.2275
2012-08-10,32.0402,32.6218,31.9712,32.4247,839091,32.4247
2012-08-13,32.7106,33.5485,32.6909,33.4598,996830,33.4598
2012-08-14,33.5781,33.9527,33.3415,33.6274,755408,33.6274
2012-08-15,33.45,33.9527,33.2626,33.8542,756887,33.8542
2012-08-16,33.8936,34.6231,33.8542,34.3865,909929,34.3865
2012-08-17,34.6527,34.6527,33.9035,34.0908,1034899,34.0908
2012-08-20,33.3415,34.1302,33.0951,34.0513,590172,34.0513
2012-08-21,34.1795,34.495,33.9725,34.1696,531597,34.1696
2012-08-22,33.8443,34.2386,33.6668,34.2288,957257,34.2288
2012-08-23,34.1105,34.1105,33.5485,33.6866,524474,33.6866
2012-08-24,33.6471,34.2288,33.588,34.0612,378393,34.0612
2012-08-27,34.1105,34.1696,33.8936,33.9725,372005,33.9725
2012-08-28,33.9922,34.1992,33.7852,33.8542,463132,33.8542
2012-08-29,33.9035,34.4062,33.726,34.3569,607891,34.3569
2012-08-30,34.2091,34.2189,33.7852,33.8739,489005,33.8739
2012-08-31,34.2485,34.3175,33.8246,34.071,541422,34.071
2012-09-04,33.9725,34.2781,33.4795,33.6964,794351,33.6964
2012-09-05,33.6767,33.9626,33.4795,33.6964,764971,33.6964
2012-09-06,34.3471,35.1653,34.3175,35.047,962947,35.047
2012-09-07,35.4217,35.9146,35.3034,35.7864,1808591,35.7864
2012-09-10,34.4752,35.0963,34.0908,34.2978,1793446,34.2978
2012-09-11,34.3077,34.3865,33.9626,33.9922,673533,33.9922
2012-09-12,34.1203,34.5936,34.1203,34.564,547401,34.564
2012-09-13,34.6626,35.8357,34.5443,35.2541,965445,35.2541
2012-09-14,35.2836,35.9836,34.8893,35.0175,848840,35.0175
2012-09-17,34.3865,34.3964,33.5978,33.6964,1105848,33.6964
2012-09-18,34.0612,34.2978,33.2331,33.588,1225796,33.588
2012-09-19,33.7359,33.8443,33.381,33.6471,603382,33.6471
2012-09-20,33.3711,34.3077,33.2331,34.2091,843361,34.2091
2012-09-21,35.6188,35.7174,34.8597,35.0076,2364606,35.0076
2012-09-24,36.3286,36.7131,35.954,36.2596,1460133,36.2596
2012-09-25,36.2301,36.2596,35.4611,35.4611,1121536,35.4611
2012-09-26,35.2442,35.6583,35.0175,35.5203,759239,35.5203
2012-09-27,35.6386,36.1118,35.609,36.0329,660982,36.0329
2012-09-28,35.6878,35.9836,35.4907,35.8061,1018060,35.8061
2012-10-01,35.9245,36.2301,35.54,35.6484,505822,35.6484
2012-10-02,35.7174,35.9146,35.4217,35.4808,493201,35.4808
2012-10-03,35.54,35.8456,35.3034,35.678,650222,35.678
2012-10-04,35.8752,36.1315,35.747,35.9737,440291,35.9737
2012-10-05,36.3385,36.8512,36.1019,36.2892,836017,36.2892
2012-10-08,35.9737,36.3878,35.7076,36.3286,625862,36.3286
2012-10-09,36.2794,36.4371,35.9146,36.0526,476001,36.0526
2012-10-10,35.954,36.1906,35.678,36.092,629931,36.092
2012-10-11,36.5455,36.8019,36.2892,36.7131,896670,36.7131
2012-10-12,36.6934,36.8117,36.1315,36.2794,579128,36.2794
2012-10-15,36.3582,37.1075,36.3286,37.0582,504625,37.0582
2012-10-16,37.1765,37.856700000000004,37.1666,37.6596,648613,37.6596
2012-10-17,37.6891,37.8666,36.7427,36.9793,871569,36.9793
2012-10-18,36.9793,37.7286,36.9596,37.6103,693810,37.6103
2012-10-19,37.6103,37.6103,36.8019,36.8906,876490,36.8906
2012-10-22,36.8906,37.1173,36.6047,37.0976,724858,37.0976
2012-10-23,36.3582,36.6244,36.1906,36.2596,551432,36.2596
2012-10-24,36.3878,36.7033,35.7076,35.8653,973493,35.8653
2012-10-25,35.2935,35.5498,34.3569,34.7611,1370421,34.7611
2012-10-26,34.7611,35.1851,34.7,35.1555,802846,35.1555
2012-10-31,35.4019,35.5203,34.7611,35.3231,906782,35.3231
2012-11-01,35.3132,36.447,35.0865,36.4075,692624,36.4075
2012-11-02,36.3779,36.4765,35.2738,35.4217,782659,35.4217
2012-11-05,35.4217,35.471,34.633,34.8696,694233,34.8696
2012-11-06,34.8893,35.5203,34.8696,35.1161,507551,35.1161
2012-11-07,34.6626,34.7809,34.3767,34.4752,841738,34.4752
2012-11-08,34.5048,34.5147,33.6668,33.9922,669771,33.9922
2012-11-09,33.8344,35.1358,33.8344,34.3569,717710,34.3569
2012-11-12,34.3077,34.3175,33.9232,34.1696,283258,34.1696
2012-11-13,33.6274,34.0809,33.2725,33.8739,582793,33.8739
2012-11-14,33.864,33.864,33.0655,33.1443,659775,33.1443
2012-11-15,33.2824,33.7161,33.0734,33.1739,671206,33.1739
2012-11-16,33.1838,33.8837,32.4838,33.8246,1251329,33.8246
2012-11-19,34.7414,35.1259,34.2386,35.0865,771430,35.0865
2012-11-20,34.9682,35.1161,34.6724,34.8597,468709,34.8597
2012-11-21,34.9977,35.0273,34.8104,34.9583,393644,34.9583
2012-11-23,35.1752,35.747,35.1358,35.747,291154,35.747
2012-11-26,35.5104,35.6287,35.2146,35.5893,535341,35.5893
2012-11-27,35.471,36.2399,35.3329,35.7371,792399,35.7371
2012-11-28,35.471,36.447,35.3329,36.4075,624688,36.4075
2012-11-29,36.4765,36.8019,36.2596,36.7821,618271,36.7821
2012-11-30,36.792,36.8019,36.3582,36.6145,615088,36.6145
2012-12-03,36.723,36.9202,36.2103,36.2892,421634,36.2892
2012-12-04,36.2202,36.6934,35.6681,35.7371,1079566,35.7371
2012-12-05,35.7371,35.8456,34.6133,35.5203,749691,35.5203
2012-12-06,35.5991,35.6188,35.2245,35.4611,585187,35.4611
2012-12-07,35.5893,35.7371,35.3231,35.5301,674323,35.5301
2012-12-10,35.5005,35.8456,35.5005,35.816,357843,35.816
2012-12-11,36.0033,36.6244,35.9935,36.6047,664442,36.6047
2012-12-12,36.8709,37.2356,36.4962,36.8512,837802,36.8512
2012-12-13,37.3934,37.561,36.8709,37.1075,1038500,37.1075
2012-12-14,37.1469,37.6596,37.1173,37.5215,725012,37.5215
2012-12-17,37.4722,37.7088,37.2652,37.6201,856261,37.6201
2012-12-18,37.6891,38.4187,37.4821,38.3891,665145,38.3891
2012-12-19,38.3004,38.5468,38.1032,38.3496,534956,38.3496
2012-12-20,38.2905,39.1975,38.2511,39.0299,813936,39.0299
2012-12-21,38.6158,38.9313,38.1919,38.7538,1975126,38.7538
2012-12-24,38.744,39.1876,38.4482,38.9116,303474,38.9116
2012-12-26,39.0496,39.2566,38.9017,39.1285,539512,39.1285
2012-12-27,39.0595,39.1679,38.5567,39.0595,376884,39.0595
2012-12-28,38.5665,38.7144,38.2905,38.3595,529259,38.3595
2012-12-31,38.1032,39.3059,38.1032,39.2763,839852,39.2763
2013-01-02,39.5622,40.0552,39.3848,39.9172,945267,39.9172
2013-01-03,39.7397,40.0157,39.3946,39.7988,610981,39.7988
2013-01-04,39.789,40.3115,39.582,40.2721,498482,40.2721
2013-01-07,39.9862,40.3509,39.8974,40.2129,576154,40.2129
2013-01-08,40.0355,40.1242,39.6017,39.8383,537604,39.8383
2013-01-09,39.8777,40.1833,39.5622,39.7594,475443,39.7594
2013-01-10,39.927,39.9566,38.9707,39.4439,748421,39.4439
2013-01-11,39.4341,39.5524,39.089,39.5425,379028,39.5425
2013-01-14,39.6017,40.2523,39.5524,40.2523,595239,40.2523
2013-01-15,39.9073,40.3312,39.4439,40.2228,829965,40.2228
2013-01-16,39.9862,40.1932,39.8383,40.0157,408876,40.0157
2013-01-17,40.2129,41.5931,40.1833,41.0509,1138899,41.0509
2013-01-18,41.0312,41.3171,40.9326,41.3171,871855,41.3171
2013-01-22,41.1297,41.5142,41.1002,41.4649,822192,41.4649
2013-01-23,41.3664,41.8593,41.3171,41.6523,603322,41.6523
2013-01-24,41.6917,42.1353,41.603,41.7903,517806,41.7903
2013-01-25,41.9973,41.9973,41.603,41.9086,605923,41.9086
2013-01-28,41.7015,41.7903,41.1002,41.5241,786552,41.5241
2013-01-29,40.4199,41.6917,40.4199,41.3072,1330679,41.3072
2013-01-30,40.9523,41.4551,40.9523,41.179,748930,41.179
2013-01-31,41.041,41.3664,40.834,40.834,739534,40.834
2013-02-01,41.4058,41.8396,41.2875,41.7508,891122,41.7508
2013-02-04,41.4058,41.5832,41.2579,41.5241,605979,41.5241
2013-02-05,41.8001,42.2931,41.8001,42.1846,522506,42.1846
2013-02-06,41.948,42.1945,41.7311,41.8494,576965,41.8494
2013-02-07,42.0269,42.0269,41.041,41.5537,399453,41.5537
2013-02-08,41.6917,42.0269,41.5832,41.9973,414064,41.9973
2013-02-11,41.8691,41.8879,41.4354,41.5734,422505,41.5734
2013-02-12,41.5241,41.7508,41.3959,41.4156,590328,41.4156
2013-02-13,41.2382,41.3664,40.9917,41.1593,442552,41.1593
2013-02-14,41.041,41.4058,41.0016,41.2086,450083,41.2086
2013-02-15,41.3368,41.9776,41.3368,41.5734,917821,41.5734
2013-02-19,41.5044,41.8987,41.2283,41.3171,688575,41.3171
2013-02-20,41.2579,41.3368,39.3651,39.5031,904439,39.5031
2013-02-21,38.9412,41.1593,38.9412,40.7256,1826554,40.7256
2013-02-22,41.11,42.3916,41.041,42.3916,2074685,42.3916
2013-02-25,42.8353,42.8747,41.1988,41.1988,1537609,41.1988
2013-02-26,41.6917,42.2832,41.3762,42.1452,1036351,42.1452
2013-02-27,42.3916,43.6141,42.3916,43.4268,1113682,43.4268
2013-02-28,43.3775,44.107,43.1803,43.3874,1101362,43.3874
2013-03-01,43.2,44.1169,42.9141,43.6535,772484,43.6535
2013-03-04,43.4268,43.9099,43.3183,43.9099,689876,43.9099
2013-03-05,44.1465,44.7478,44.1169,44.6197,776205,44.6197
2013-03-06,44.9746,45.4971,44.9253,45.3985,835737,45.3985
2013-03-07,45.4478,45.6252,45.3196,45.5858,771271,45.5858
2013-03-08,45.7633,46.2266,45.6942,46.1182,599414,46.1182
2013-03-11,45.8717,46.5717,45.6962,46.335,845756,46.335
2013-03-12,46.2858,46.5224,45.5661,45.5759,872352,45.5759
2013-03-13,45.5858,45.645,45.0041,45.0929,863098,45.0929
2013-03-14,45.0929,45.3886,45.083,45.2506,532078,45.2506
2013-03-15,45.1225,45.29,44.9154,45.014,1536828,45.014
2013-03-18,44.2648,44.9253,44.1563,44.7478,539124,44.7478
2013-03-19,44.5112,44.9056,44.1267,44.3141,643129,44.3141
2013-03-20,44.7084,45.1323,44.6197,44.945,781056,44.945
2013-03-21,44.6591,44.8957,44.1652,44.2253,417519,44.2253
2013-03-22,44.3633,44.8366,44.3633,44.4619,615509,44.4619
2013-03-25,44.5112,44.8168,43.9493,44.4521,744245,44.4521
2013-03-26,44.807,45.1717,44.4718,45.1225,888900,45.1225
2013-03-27,44.6788,45.0337,44.4225,44.9253,662046,44.9253
2013-03-28,44.9549,46.0689,44.8858,45.921,1415655,45.921
2013-04-01,45.8125,45.9999,45.5168,45.6548,527154,45.6548
2013-04-02,45.9801,47.873,45.8914,47.3801,1338068,47.3801
2013-04-03,47.3209,47.3899,45.5562,45.645,1269012,45.645
2013-04-04,45.8027,46.2858,45.7534,46.0492,550723,46.0492
2013-04-05,45.0436,45.6154,44.7675,45.4971,647010,45.4971
2013-04-08,45.4971,46.5322,45.4971,46.4829,658584,46.4829
2013-04-09,46.7195,46.8674,46.4336,46.6505,677548,46.6505
2013-04-10,46.6308,47.1829,46.6308,47.0547,804346,47.0547
2013-04-11,47.3209,48.4053,47.2716,47.5476,863945,47.5476
2013-04-12,47.330799999999996,48.1392,46.8773,47.5181,574173,47.5181
2013-04-15,47.0449,47.1336,44.5309,44.6985,1171592,44.6985
2013-04-16,46.1872,47.0449,46.059,46.7984,1023986,46.7984
2013-04-17,45.9801,45.9999,44.7084,45.3591,882787,45.3591
2013-04-18,45.5661,45.5957,44.0972,44.3141,718480,44.3141
2013-04-19,44.6591,45.645,44.6492,45.0239,837858,45.0239
2013-04-22,45.8421,46.6308,45.783,46.4829,909168,46.4829
2013-04-23,46.6702,47.0646,45.9801,47.0153,569899,47.0153
2013-04-24,47.3209,48.0209,47.2322,47.8138,727757,47.8138
2013-04-25,47.8631,48.0504,46.8083,46.9068,627010,46.9068
2013-04-26,46.9364,47.1336,45.6548,45.7534,933072,45.7534
2013-04-29,46.4041,46.7491,46.197,46.5322,636195,46.5322
2013-04-30,46.4534,46.6308,46.1083,46.3153,844491,46.3153
2013-05-01,46.0984,46.1773,45.0239,45.2408,808980,45.2408
2013-05-02,42.8846,44.1169,42.579,43.6437,1669703,43.6437
2013-05-03,44.5605,45.4281,44.2352,44.9746,1064004,44.9746
2013-05-06,44.9844,45.4576,44.6788,45.2408,1018771,45.2408
2013-05-07,45.2408,45.921,45.2309,45.8618,779753,45.8618
2013-05-08,45.8717,46.4238,45.6252,46.2463,579145,46.2463
2013-05-09,46.2562,46.5125,45.9604,46.2562,531953,46.2562
2013-05-10,46.1773,46.2956,45.4379,45.8421,589006,45.8421
2013-05-13,45.832300000000004,46.9463,45.7534,46.8576,735040,46.8576
2013-05-14,46.9561,47.6561,46.9266,47.5871,669964,47.5871
2013-05-15,47.3702,48.2377,47.1632,47.9913,950746,47.9913
2013-05-16,47.9026,48.2082,46.5618,46.7491,1073033,46.7491
2013-05-17,47.0744,47.5772,46.9857,47.4984,889414,47.4984
2013-05-20,47.3801,47.8138,46.7491,46.8378,802340,46.8378
2013-05-21,46.9068,47.3209,46.6012,47.0744,558752,47.0744
2013-05-22,46.8674,47.2716,45.6055,45.8421,779170,45.8421
2013-05-23,45.152,46.7294,45.1037,46.5125,807490,46.5125
2013-05-24,46.335,46.5914,45.9506,46.3843,394107,46.3843
2013-05-28,47.1434,47.7645,46.9956,47.1632,508816,47.1632
2013-05-29,46.759,46.8477,45.9013,46.197,790140,46.197
2013-05-30,46.2167,46.6012,45.9801,46.1675,472157,46.1675
2013-05-31,45.8816,46.5421,45.4971,45.4971,700829,45.4971
2013-06-03,45.5266,45.6154,44.3436,45.2802,707531,45.2802
2013-06-04,45.3886,45.6844,44.5014,44.8661,1101032,44.8661
2013-06-05,44.7281,44.8267,43.693,43.693,1039374,43.693
2013-06-06,43.7225,44.3831,43.6535,44.3831,950130,44.3831
2013-06-07,44.8661,45.0436,44.5605,44.9746,835504,44.9746
2013-06-10,44.9746,45.2309,44.5802,44.9154,699575,44.9154
2013-06-11,44.4422,44.9351,44.1957,44.669,478532,44.669
2013-06-12,45.1422,45.2506,43.3972,43.4071,769614,43.4071
2013-06-13,43.9296,45.0534,43.4465,44.9647,739242,44.9647
2013-06-14,44.9746,45.1619,44.6098,44.7084,439277,44.7084
2013-06-17,45.2112,46.0393,45.1126,45.6055,653019,45.6055
2013-06-18,45.645,45.832300000000004,45.0041,45.3196,654037,45.3196
2013-06-19,45.3196,45.8618,45.1225,45.1225,523597,45.1225
2013-06-20,44.4521,44.7183,43.4662,43.6338,804906,43.6338
2013-06-21,44.107,44.1267,41.8987,42.9832,2083345,42.9832
2013-06-24,42.2339,42.5987,41.7706,42.2832,1067554,42.2832
2013-06-25,42.7268,42.9733,42.2733,42.6973,1270416,42.6973
2013-06-26,43.0916,43.5845,42.6578,43.5057,897903,43.5057
2013-06-27,43.7324,43.9986,43.2493,43.2789,723687,43.2789
2013-06-28,42.9437,43.9,42.5297,43.6831,2728083,43.6831
2013-07-01,43.9197,44.5704,43.9197,44.4915,1056728,44.4915
2013-07-02,44.5211,45.1816,44.4126,45.1027,896061,45.1027
2013-07-03,44.7281,45.2013,44.669,45.1225,396018,45.1225
2013-07-05,45.5069,45.714,45.1915,45.6647,427085,45.6647
2013-07-08,45.852,46.1872,45.783,45.9111,527102,45.9111
2013-07-09,46.2069,46.3843,45.9801,46.2266,605130,46.2266
2013-07-10,46.0689,46.1083,45.5266,45.783,580027,45.783
2013-07-11,46.3745,46.966,46.2562,46.8871,745499,46.8871
2013-07-12,46.6308,47.5674,46.5322,47.4491,743556,47.4491
2013-07-15,47.2223,47.5476,46.9167,47.4293,621441,47.4293
2013-07-16,47.4491,47.804,47.2223,47.7054,690105,47.7054
2013-07-17,48.0701,48.2377,46.828,47.0843,811459,47.0843
2013-07-18,47.1434,47.6364,47.0646,47.1927,538964,47.1927
2013-07-19,47.3209,47.3702,46.6505,47.0449,827899,47.0449
2013-07-22,47.1336,47.4195,46.69,46.7294,755016,46.7294
2013-07-23,46.7984,46.9759,46.1872,46.2167,715634,46.2167
2013-07-24,46.4336,46.966,46.4336,46.5421,908328,46.5421
2013-07-25,46.335,49.6081,46.0984,49.4799,2222668,49.4799
2013-07-26,49.0363,49.3616,47.9124,48.4152,1046770,48.4152
2013-07-29,48.3068,48.356,47.7645,48.0997,404565,48.0997
2013-07-30,48.1687,48.5927,47.8631,48.08,557653,48.08
2013-07-31,48.0209,48.5039,47.5674,47.6265,731321,47.6265
2013-08-01,48.1096,49.0363,48.1096,48.7898,798390,48.7898
