DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,24.9434,25.7416,24.9434,25.6219,666214,25.6219
2012-01-04,25.5181,25.7975,25.2467,25.4303,697554,25.4303
2012-01-05,25.3505,25.8534,25.0552,25.7177,849567,25.7177
2012-01-06,25.8294,25.997,25.5261,25.558,667721,25.558
2012-01-09,25.6378,26.021,25.3265,25.9012,509929,25.9012
2012-01-10,26.5558,26.9788,26.2684,26.444,1488042,26.444
2012-01-11,26.2524,26.7872,26.1407,26.5957,669016,26.5957
2012-01-12,26.7633,28.1521,26.468,27.9765,1068826,27.9765
2012-01-13,27.6812,27.8329,27.0187,27.0905,986658,27.0905
2012-01-17,27.3939,27.5615,26.9309,26.9868,704677,26.9868
2012-01-18,27.0187,27.8249,26.891,27.6493,796854,27.6493
2012-01-19,27.4018,27.5295,26.6436,27.3779,969274,27.3779
2012-01-20,27.2103,27.2741,26.6515,27.1464,916496,27.1464
2012-01-23,27.1464,27.8408,27.1464,27.6652,664225,27.6652
2012-01-24,27.4497,28.7029,27.4258,28.0404,1359361,28.0404
2012-01-25,27.8408,28.647,27.6573,28.4954,1179703,28.4954
2012-01-26,28.7109,28.8146,27.8488,27.9366,680010,27.9366
2012-01-27,27.8408,28.1601,27.6253,28.0643,681018,28.0643
2012-01-30,27.761,28.7827,27.5934,28.647,748361,28.647
2012-01-31,28.7827,28.9423,27.8408,27.8887,1048397,27.8887
2012-02-01,28.3357,28.4714,27.9047,28.0803,1184789,28.0803
2012-02-02,28.232,29.2377,28.224,28.9423,997830,28.9423
2012-02-03,29.4133,30.0518,29.2297,29.9481,725882,29.9481
2012-02-06,29.8044,29.9241,29.541,29.8124,609358,29.8124
2012-02-07,29.6607,30.2434,29.6128,29.98,1251062,29.98
2012-02-08,31.1294,31.6083,30.2115,30.3232,1342343,30.3232
2012-02-09,30.7303,30.7862,29.9161,30.2753,748494,30.2753
2012-02-10,29.9241,30.3312,29.7326,30.3152,889877,30.3152
2012-02-13,30.395,31.313,30.395,31.0735,1281266,31.0735
2012-02-14,30.842,31.1214,30.5228,31.0496,658998,31.0496
2012-02-15,31.0496,31.7759,30.9298,31.3289,1310183,31.3289
2012-02-16,31.2491,32.7258,31.2331,32.63,1222295,32.63
2012-02-17,32.9892,33.077,32.4703,32.6619,1058923,32.6619
2012-02-21,32.6779,32.8774,32.2149,32.7178,941033,32.7178
2012-02-22,32.6539,32.8694,32.4783,32.5901,602438,32.5901
2012-02-23,32.4703,32.5661,31.9595,32.4703,706950,32.4703
2012-02-24,32.6859,32.7337,32.2389,32.3107,710261,32.3107
2012-02-27,31.8956,32.3586,31.4327,32.191,904448,32.191
2012-02-28,32.2389,32.2389,31.6642,31.9994,894466,31.9994
2012-02-29,32.0872,32.3107,31.5764,31.8318,1403488,31.8318
2012-03-01,31.9036,32.3107,31.8877,32.0313,519073,32.0313
2012-03-02,31.9036,32.3187,31.5684,31.6881,631426,31.6881
2012-03-05,31.5524,31.5524,30.4749,30.9059,900070,30.9059
2012-03-06,30.3392,30.3551,29.8124,30.0598,808310,30.0598
2012-03-07,30.2354,30.7463,30.0359,30.6185,668223,30.6185
2012-03-08,30.858,31.5205,30.8101,31.3289,739059,31.3289
2012-03-09,31.2012,31.6402,30.9458,31.3209,829028,31.3209
2012-03-12,31.4726,32.0553,31.3369,31.9356,1083490,31.9356
2012-03-13,32.3666,32.5182,31.9994,32.4065,1119317,32.4065
2012-03-14,32.5023,32.5342,31.5604,32.2069,987408,32.2069
2012-03-15,32.3027,32.7098,31.9834,32.5981,915294,32.5981
2012-03-16,32.7337,33.0371,32.7018,32.7896,2143320,32.7896
2012-03-19,32.6699,32.7258,32.4304,32.63,636700,32.63
2012-03-20,32.3586,32.5023,31.9675,32.3586,675278,32.3586
2012-03-21,32.4943,32.5741,32.1431,32.4703,884996,32.4703
2012-03-22,32.0313,32.3985,31.7999,32.2947,900685,32.2947
2012-03-23,32.2947,32.4145,31.6322,32.2708,919117,32.2708
2012-03-26,32.6699,33.3483,32.6699,33.2286,978139,33.2286
2012-03-27,33.3005,33.5,33.077,33.1169,854360,33.1169
2012-03-28,33.045,33.2765,32.2628,32.5661,1002353,32.5661
2012-03-29,32.3426,32.9333,32.2389,32.8615,848549,32.8615
2012-03-30,33.1807,33.4042,32.622,33.0051,1292804,33.0051
2012-04-02,32.9493,33.5798,32.8056,33.2605,921956,33.2605
2012-04-03,33.1169,33.3084,32.7098,32.9971,583348,32.9971
2012-04-04,32.63,32.9493,32.4943,32.8934,768149,32.8934
2012-04-05,32.7417,33.0291,32.5661,32.6779,856529,32.6779
2012-04-09,32.0633,32.1112,31.6801,31.8956,796524,31.8956
2012-04-10,31.8158,31.9914,30.7782,30.842,1111330,30.842
2012-04-11,31.313,31.4407,30.9458,31.1374,789634,31.1374
2012-04-12,31.1374,32.2309,31.1134,32.1112,640968,32.1112
2012-04-13,31.9994,32.0792,31.5205,31.6722,967173,31.6722
2012-04-16,31.8717,32.0712,31.3688,31.5524,848719,31.5524
2012-04-17,31.8797,32.175,31.5844,31.9755,926709,31.9755
2012-04-18,31.8158,32.5422,31.6163,32.3187,987214,32.3187
2012-04-19,32.3267,32.7337,31.8238,32.0313,934377,32.0313
2012-04-20,31.927599999999998,33.2446,31.6961,32.4145,1522835,32.4145
2012-04-23,32.0792,32.4863,31.728,32.1191,977879,32.1191
2012-04-24,32.3346,33.4361,32.3267,33.0929,968076,33.0929
2012-04-25,33.4361,33.7235,33.2526,33.5,983691,33.5
2012-04-26,33.4441,33.5,33.053,33.1488,791305,33.1488
2012-04-27,33.3883,34.1944,33.2845,34.0108,777600,34.0108
2012-04-30,33.9151,34.2982,33.8273,33.939,1139742,33.939
2012-05-01,33.963,34.9687,33.8033,34.4818,1021418,34.4818
2012-05-02,34.2184,34.2583,33.7874,33.8831,1387304,33.8831
2012-05-03,33.931,33.963,33.4042,33.5399,1007817,33.5399
2012-05-04,33.3563,33.5718,33.1408,33.5,1020387,33.5
2012-05-07,33.5,34.1864,33.4521,34.0587,1108669,34.0587
2012-05-08,33.7474,33.8512,32.9732,33.7395,1045138,33.7395
2012-05-09,34.7133,36.4054,34.0508,35.5514,2650950,35.5514
2012-05-10,35.7988,36.158,34.7133,34.817,1162427,34.817
2012-05-11,34.6175,35.256,34.4499,34.4977,1087477,34.4977
2012-05-14,34.1545,34.841,34.0268,34.5536,826265,34.5536
2012-05-15,34.4499,34.7372,34.0348,34.1545,730045,34.1545
2012-05-16,34.2503,34.5057,33.6118,33.6357,742597,33.6357
2012-05-17,33.6437,33.7235,32.4304,32.4624,861277,32.4624
2012-05-18,32.5661,32.7896,31.9036,32.0473,917258,32.0473
2012-05-21,32.3746,33.2446,32.2868,33.1328,1007334,33.1328
2012-05-22,33.3563,33.923,33.1089,33.3563,797991,33.3563
2012-05-23,33.0211,34.0747,32.63,34.0188,804772,34.0188
2012-05-24,34.1864,34.2503,33.508,34.0428,650568,34.0428
2012-05-25,34.1306,34.1306,33.5878,33.6517,612392,33.6517
2012-05-29,34.0827,34.4578,33.923,34.2663,735984,34.2663
2012-05-30,33.8831,33.9071,33.2047,33.3244,664604,33.3244
2012-05-31,33.1887,33.2526,32.5262,32.9732,2305426,32.9732
2012-06-01,32.2628,32.606,31.7679,31.8478,1061109,31.8478
2012-06-04,31.8557,31.8956,30.5228,31.2172,810608,31.2172
