DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,470.95,473.8,467.26,471.71,117399,471.71
2012-01-04,472.03,474.42,466.02,466.94,65231,466.94
2012-01-05,467.92,472.63,464.22,472.36,150232,472.36
2012-01-06,470.99,472.97,458.93,460.46,154859,460.46
2012-01-09,458.81,459.375,450.45,451.5,133426,451.5
2012-01-10,453.58,456.44,446.7,450.19,104658,450.19
2012-01-11,448.37,457.75,447.55,456.95,86521,456.95
2012-01-12,457.49,460.64,455.05,458.13,60090,458.13
2012-01-13,457.44,460.8,454.01,459.44,56319,459.44
2012-01-17,464.29,467,462.15,465.36,124326,465.36
2012-01-18,465.57,471.2,465.57,470.86,107770,470.86
2012-01-19,473.72,476.49,467.51,474.65,200606,474.65
2012-01-20,445,449,429.28,445.68,438011,445.68
2012-01-23,447.36,457.75,441,444.39,200009,444.39
2012-01-24,441.5,446.09,437.77,440,128030,440
2012-01-25,436.64,455.66,436.64,455.66,124185,455.66
2012-01-26,456.96,458.57,452.33,456.38,111332,456.38
2012-01-27,454.57,461.17,453.69,459,67355,459
2012-01-30,455,457.38,451.43,456.52,69246,456.52
2012-01-31,459.5,460.36,454.45,459.91,55474,459.91
2012-02-01,461.47,464.29,459.7,462.94,70184,462.94
2012-02-02,464,488.84,463.82,483,274342,483
2012-02-03,486.35,495.53,483.51,492.01,193792,492.01
2012-02-06,489.66,493.87,483.89,491.39,103887,491.39
2012-02-07,489.14,494.44,488.81,494,70849,494
2012-02-08,492.58,493.27,485.05,491.915,98385,491.915
2012-02-09,493.47,493.52,488.12,492.41,60690,492.41
2012-02-10,488.98,493.3,486.78,490.83,76259,490.83
2012-02-13,492.58,506,492.1,503.07,134625,503.07
2012-02-14,502.71,514.49,501,510.4,137892,510.4
2012-02-15,514,515.55,504.79,505.23,102965,505.23
2012-02-16,505.48,513.08,505.48,507.535,99781,507.535
2012-02-17,507.32,511.38,505,505.99,103870,505.99
2012-02-21,506.51,508.69,500.04,504.91,51430,504.91
2012-02-22,503.61,508.01,501.55,504.08,47790,504.08
2012-02-23,505.3,509.59,503.02,506.36,43821,506.36
2012-02-24,508.46,513.58,506.67,512.76,51654,512.76
2012-02-27,510.12,518.46,507.9,514.235,84927,514.235
2012-02-28,515.88,517.01,511.75,515.69,73599,515.69
2012-02-29,514.46,515.97,511.29,511.62,70716,511.62
2012-03-01,510.12,521.33,510.12,521.33,95463,521.33
2012-03-02,521.83,523.1,515.5,516.91,62257,516.91
2012-03-05,514.42,519.3,511.3,513.43,63008,513.43
2012-03-06,510.67,510.96,503.46,506.64,71349,506.64
2012-03-07,509.69,510.22,507.15,508.25,44852,508.25
2012-03-08,511.1,519.6,510.43,516.86,59870,516.86
2012-03-09,518.1,526.5,518.1,523.83,86657,523.83
2012-03-12,524.6,529.7,522.5,526.47,103091,526.47
