DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,32.31,32.62,32,32.22,1182214,32.22
2012-01-04,32.33,32.72,32.02,32.5,843766,32.5
2012-01-05,32.27,33.07,31.9,32.9,1104143,32.9
2012-01-06,33.01,33.44,32.79,33.17,901406,33.17
2012-01-09,33.2,33.38,32.99,33.23,863115,33.23
2012-01-10,33.52,34.65,33.5,34.36,1391212,34.36
2012-01-11,34.38,34.66,34.01,34.52,1024994,34.52
2012-01-12,34.73,35.16,34.43,35.1,850497,35.1
2012-01-13,34.82,35.18,34.68,35.05,1286942,35.05
2012-01-17,35.53,35.95,34.82,34.92,1234189,34.92
2012-01-18,35.07,35.63,34.75,35.58,1223180,35.58
2012-01-19,32.85,33.41,32.27,32.46,3781614,32.46
2012-01-20,32,32.09,31.17,31.5,3739465,31.5
2012-01-23,31.13,31.54,30.82,31.34,2021842,31.34
2012-01-24,31.3,31.79,30.99,31.75,1225090,31.75
2012-01-25,31.82,32.05,31.34,31.92,1184333,31.92
2012-01-26,32.15,32.4,31.46,31.67,938656,31.67
2012-01-27,31.46,31.83,31.31,31.66,1028474,31.66
2012-01-30,31.42,31.99,31.15,31.87,1156264,31.87
2012-01-31,32.01,32.2,31.59,31.77,1394168,31.77
2012-02-01,32.13,32.3,31.95,31.99,1142187,31.99
2012-02-02,32.19,32.53,31.98,32.44,1103749,32.44
2012-02-03,33,33.67,32.99,33.62,1287684,33.62
2012-02-06,33.5,33.74,33.31,33.54,891962,33.54
2012-02-07,33.31,33.33,32.91,33,1223712,33
2012-02-08,33.05,33.2,32.45,32.5,1093785,32.5
2012-02-09,32.63,33.27,32.56,33.07,912810,33.07
2012-02-10,32.75,33.12,32.51,32.95,1026050,32.95
2012-02-13,33.18,33.39,33.13,33.38,945343,33.38
2012-02-14,33.1,33.44,33.03,33.27,961776,33.27
2012-02-15,33.35,33.49,33.08,33.3,841336,33.3
2012-02-16,33.4,34.52,33.31,34.44,975712,34.44
2012-02-17,34.63,35.26,34.63,35.16,1761402,35.16
2012-02-21,35.46,35.47,34.97,35.13,1006101,35.13
2012-02-22,35.09,35.37,34.61,34.65,879057,34.65
2012-02-23,34.33,34.59,33.31,33.47,1893222,33.47
2012-02-24,33.74,33.74,33.06,33.19,1193863,33.19
2012-02-27,32.89,33.49,32.66,33.27,1274202,33.27
2012-02-28,33.39,33.44,33.06,33.18,1885305,33.18
2012-02-29,33.18,33.24,32.6,32.63,1502478,32.63
2012-03-01,32.88,33.78,32.64,33.41,1702949,33.41
2012-03-02,33.47,33.61,33.12,33.26,821765,33.26
2012-03-05,33.15,33.2,32.57,32.71,673649,32.71
2012-03-06,31.83,31.85,30.9,31.06,1318589,31.06
2012-03-07,31.06,31.8,31.05,31.26,1193646,31.26
2012-03-08,31.51,32.22,31.51,31.96,1239535,31.96
2012-03-09,31.98,32.48,31.91,32.31,742505,32.31
2012-03-12,32.19,32.3,31.66,31.7,1103164,31.7
2012-03-13,32.04,32.1,31.64,32.06,1587739,32.06
2012-03-14,32,32.1,31.82,32.07,1230755,32.07
2012-03-15,32.23,32.93,32.15,32.91,1277060,32.91
2012-03-16,32.9,33.01,32.51,32.66,1927417,32.66
2012-03-19,32.53,32.74,32.37,32.56,1053563,32.56
2012-03-20,32.24,32.46,31.85,32.38,1282912,32.38
2012-03-21,32.36,32.52,32.18,32.34,1013845,32.34
2012-03-22,31.84,32.05,31.56,31.66,1027479,31.66
2012-03-23,31.65,32.19,31.35,32.08,779642,32.08
2012-03-26,32.41,32.79,32.25,32.78,811346,32.78
2012-03-27,32.9,33.03,32.53,32.53,850443,32.53
