DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.53,42.03,41.29,41.49,312026,41.49
2012-01-04,41.22,41.55,40.85,41.52,290633,41.52
2012-01-05,41.14,41.45,40.68,41.28,255148,41.28
2012-01-06,41.26,41.35,40.88,41.17,260572,41.17
2012-01-09,41.13,41.29,40.53,40.65,233439,40.65
2012-01-10,41,41.7,40.95,41.68,313020,41.68
2012-01-11,41.45,42.02,41.26,41.31,247623,41.31
2012-01-12,41.37,43.58,41.37,43.47,482886,43.47
2012-01-13,43.13,43.36,42.49,43,469693,43
2012-01-17,43.54,43.88,43.18,43.65,234374,43.65
2012-01-18,43.51,44.4,43.41,44.24,293597,44.24
2012-01-19,44.61,45.71,44.56,45.16,297770,45.16
2012-01-20,45.19,45.49,45.07,45.29,328465,45.29
2012-01-23,45.36,45.98,45.15,45.3,291874,45.3
2012-01-24,44.98,45.53,44.65,45.53,201435,45.53
2012-01-25,45.43,46.44,45.2,46.31,344218,46.31
2012-01-26,44.9,45.98,44.87,45.28,449333,45.28
2012-01-27,45.17,45.57,44.96,45.19,324691,45.19
2012-01-30,44.73,44.84,44.08,44.81,269152,44.81
2012-01-31,45.24,45.42,44.31,44.76,242304,44.76
2012-02-01,45.33,46.39,45.17,46.25,267319,46.25
2012-02-02,46.3,46.61,46.02,46.12,216042,46.12
2012-02-03,46.43,47.41,46.27,47.21,366023,47.21
2012-02-06,46.98,47.07,46.2,46.53,239082,46.53
2012-02-07,46.27,46.37,45.69,46.14,163609,46.14
2012-02-08,46.08,46.22,45.51,45.83,153998,45.83
2012-02-09,45.91,46.55,45.83,46.39,156750,46.39
2012-02-10,45.77,46.07,45.32,45.85,207356,45.85
2012-02-13,46.24,46.31,45.41,46.29,224364,46.29
2012-02-14,46.07,46.24,45.73,45.99,287299,45.99
2012-02-15,46.04,46.04,44.44,44.63,337313,44.63
2012-02-16,44.76,45.6,44.76,45.48,187156,45.48
2012-02-17,45.78,46,45.53,45.55,240381,45.55
2012-02-21,45.83,46.21,45.53,45.62,247200,45.62
2012-02-22,45.45,45.45,44.55,44.76,269536,44.76
2012-02-23,44.78,47.77,44.61,47.61,615992,47.61
2012-02-24,47.7,48.15,47.12,47.19,330379,47.19
2012-02-27,46.93,47.33,46.45,47.05,228638,47.05
2012-02-28,46.93,47.14,46.55,46.98,252045,46.98
2012-02-29,47,47.34,46.13,46.22,330018,46.22
2012-03-01,46.53,47.35,46.43,47.28,284425,47.28
2012-03-02,47.31,47.39,47.02,47.18,329231,47.18
2012-03-05,46.98,47.54,46.76,46.81,383218,46.81
2012-03-06,45.92,45.92,44.58,44.83,318027,44.83
2012-03-07,44.82,45.09,44.53,44.81,289551,44.81
2012-03-08,45.25,45.42,44.51,45.15,227743,45.15
2012-03-09,45.12,45.73,45.12,45.4,148980,45.4
2012-03-12,45.48,45.95,44.92,45.05,227669,45.05
2012-03-13,45.51,46.4,45.32,46.4,161864,46.4
2012-03-14,46.4,46.52,45.65,45.78,245916,45.78
2012-03-15,45.85,47.02,45.61,46.87,320309,46.87
2012-03-16,46.89,47.29,46.85,46.89,404403,46.89
2012-03-19,46.61,47.11,46.43,46.87,143207,46.87
2012-03-20,46.4,46.4,45.6,45.82,183339,45.82
2012-03-21,46.04,46.22,45.67,45.93,163571,45.93
2012-03-22,45.48,45.48,44.32,44.82,286340,44.82
2012-03-23,44.97,45.02,44.03,44.9,274431,44.9
2012-03-26,45.52,46.44,45.35,46.36,311520,46.36
2012-03-27,46.33,46.63,46.01,46.46,450741,46.46
2012-03-28,46.32,46.33,44.82,45.44,293322,45.44
2012-03-29,45.04,45.12,44.45,44.85,259793,44.85
2012-03-30,45.14,45.47,44.37,44.37,518669,44.37
2012-04-02,44.15,45,43.84,44.75,236794,44.75
2012-04-03,44.59,44.88,44.33,44.73,278854,44.73
2012-04-04,44.28,44.5,43.93,43.93,341711,43.93
2012-04-05,43.69,44.12,43.51,43.77,274038,43.77
2012-04-09,42.72,43.08,42.54,43.02,339794,43.02
2012-04-10,42.35,42.91,41.89,41.92,363301,41.92
2012-04-11,42.7,42.9,42.16,42.67,284886,42.67
2012-04-12,42.72,43.74,42.7,43.66,202178,43.66
2012-04-13,43.46,43.53,42.79,42.9,400101,42.9
2012-04-16,43.12,43.69,42.93,43.28,368733,43.28
2012-04-17,43.81,44.57,43.59,44.25,208385,44.25
2012-04-18,43.92,44.08,43.51,43.86,235191,43.86
2012-04-19,43.82,44.17,42.79,43.18,250176,43.18
2012-04-20,43.39,43.64,43,43.18,377959,43.18
2012-04-23,42.44,42.74,42.18,42.69,258318,42.69
2012-04-24,42.78,43.19,42.59,42.88,208392,42.88
2012-04-25,43.51,43.83,43.08,43.56,277360,43.56
2012-04-26,43.44,43.99,43.16,43.83,234216,43.83
2012-04-27,44.1,44.94,43.64,44.6,326109,44.6
2012-04-30,44.4,44.44,43.61,43.83,319076,43.83
2012-05-01,41.5,42.06,40.72,41.86,901485,41.86
2012-05-02,41.67,42,41.08,41.8,424186,41.8
2012-05-03,41.72,41.72,40.58,40.91,580804,40.91
2012-05-04,40.52,40.79,39.21,39.55,553100,39.55
2012-05-07,39.51,39.93,39.07,39.29,369938,39.29
2012-05-08,39,39.23,38.29,39.14,381634,39.14
2012-05-09,38.18,39.56,38.16,39.29,537290,39.29
2012-05-10,39.77,39.97,38.86,38.98,357630,38.98
2012-05-11,38.71,39.36,38.57,38.86,341920,38.86
2012-05-14,38.25,38.66,38.21,38.25,230842,38.25
2012-05-15,37.6,38.42,37.47,37.59,422271,37.59
2012-05-16,37.97,38.1,37.13,37.13,440641,37.13
2012-05-17,37.15,37.32,36.45,36.45,399462,36.45
2012-05-18,36.59,36.76,36.01,36.14,458893,36.14
2012-05-21,36.27,37.14,36.14,36.96,329882,36.96
2012-05-22,37.15,37.37,36.25,36.52,311685,36.52
2012-05-23,36.21,37.07,35.85,36.99,334040,36.99
2012-05-24,37.04,37.09,36.49,37.03,318691,37.03
2012-05-25,37,37.28,36.8,36.96,294347,36.96
2012-05-29,37.31,37.66,37.25,37.44,320475,37.44
2012-05-30,36.94,36.94,35.96,36.09,358495,36.09
2012-05-31,36.07,36.11,35.16,35.52,798974,35.52
2012-06-01,34.81,35.39,34.81,34.95,447036,34.95
2012-06-04,34.99,35.12,34.21,34.4,364685,34.4
2012-06-05,34.26,35.59,34.26,35.58,411831,35.58
2012-06-06,35.97,36.72,35.95,36.45,270140,36.45
2012-06-07,37.17,37.57,36.15,36.21,272969,36.21
2012-06-08,36.02,36.46,35.62,36.44,427757,36.44
2012-06-11,36.88,36.89,35.54,35.58,294558,35.58
2012-06-12,35.65,35.96,35.26,35.86,339458,35.86
2012-06-13,35.76,35.76,35.12,35.35,308419,35.35
2012-06-14,35.41,35.76,35.2,35.58,323580,35.58
2012-06-15,35.76,35.96,35.38,35.94,520897,35.94
2012-06-18,35.65,36.05,35.5,35.91,262269,35.91
2012-06-19,36.1,36.79,36.1,36.71,226214,36.71
2012-06-20,36.42,36.7,35.64,36.16,279813,36.16
2012-06-21,36.24,36.34,35.07,35.12,252884,35.12
2012-06-22,35.32,35.54,35.08,35.4,203994,35.4
2012-06-25,34.9,35.06,33.61,34.5,406215,34.5
2012-06-26,34.52,35.07,34.43,34.9,471123,34.9
2012-06-27,35.11,35.97,35.03,35.91,242298,35.91
2012-06-28,35.51,36.58,35.42,36.53,229837,36.53
2012-06-29,37.4,37.86,37.04,37.86,372756,37.86
2012-07-02,37.93,38.09,37.41,37.65,244940,37.65
2012-07-03,37.61,38.54,37.53,38.44,82490,38.44
2012-07-05,38.3,38.49,37.9,37.98,146312,37.98
2012-07-06,37.46,37.63,37.22,37.51,184860,37.51
2012-07-09,37.39,37.71,37.2,37.63,209747,37.63
2012-07-10,37.84,38.07,36.81,37.06,218706,37.06
2012-07-11,37.18,37.18,36.53,36.73,190713,36.73
2012-07-12,36.47,36.7,36.17,36.46,263062,36.46
2012-07-13,36.5,37.4,36.49,37.24,228954,37.24
2012-07-16,37.13,37.16,36.53,37.08,138388,37.08
2012-07-17,37.26,37.58,36.83,37.44,126804,37.44
2012-07-18,37.27,38.66,37.27,38.4,205353,38.4
2012-07-19,38.31,39,38.02,38.76,261206,38.76
2012-07-20,38.28,38.53,37.83,37.89,344289,37.89
2012-07-23,36.99,37.5,36.46,37.28,172905,37.28
2012-07-24,37.36,37.44,36.07,36.4,155744,36.4
2012-07-25,36.68,37.15,36.35,36.61,263706,36.61
2012-07-26,37.4,37.73,37.28,37.65,510151,37.65
2012-07-27,37.9,39.75,37.69,39.45,341694,39.45
2012-07-30,40.22,40.24,39.08,39.2,396724,39.2
2012-07-31,39.05,39.43,38.48,38.57,345525,38.57
