DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,65.55,66,65.25,65.88,4461218,65.88
2012-01-04,65.87,65.88,65.11,65.48,2351489,65.48
2012-01-05,65.3,65.59,64.84,65.4,2510951,65.4
2012-01-06,65.46,65.46,64.61,64.83,2878503,64.83
2012-01-09,64.97,65,64.41,64.93,2052811,64.93
2012-01-10,65.2,65.37,65.04,65.2,2325863,65.2
2012-01-11,65.11,65.14,64.84,65.13,1499470,65.13
2012-01-12,65.35,65.41,64.94,65.23,1907986,65.23
2012-01-13,65,65.27,64.37,65.26,2628173,65.26
2012-01-17,65.5,65.69,65.05,65.12,2298735,65.12
2012-01-18,65.22,65.37,65,65.28,1861795,65.28
2012-01-19,65.18,65.25,64.79,65.19,2865887,65.19
2012-01-20,65.39,65.55,64.57,65.27,5093409,65.27
2012-01-23,65.15,65.33,64.88,65,1999999,65
2012-01-24,64.45,65.44,64.45,65,2653080,65
2012-01-25,65,65.29,64.76,65.22,2167463,65.22
2012-01-26,65.45,65.88,65.22,65.7,2954110,65.7
2012-01-27,65.67,65.87,65.46,65.56,2650754,65.56
2012-01-30,65.31,65.71,65.23,65.71,2012008,65.71
2012-01-31,65.9,65.95,65.57,65.91,4528093,65.91
2012-02-01,65.99,66.31,65.65,65.69,2935964,65.69
2012-02-02,65.91,65.91,65.35,65.59,2117467,65.59
2012-02-03,65.93,66,65.53,65.64,2277942,65.64
2012-02-06,65.46,65.58,65.06,65.19,2399645,65.19
2012-02-07,65.11,65.39,65.02,65.26,2249224,65.26
2012-02-08,65.18,65.34,65.09,65.24,1526896,65.24
2012-02-09,65.21,65.35,64.83,64.89,2135045,64.89
2012-02-10,64.65,64.76,64.25,64.6,2418157,64.6
2012-02-13,64.92,64.95,64.6,64.68,1876298,64.68
2012-02-14,64.72,64.86,64.33,64.61,2073620,64.61
2012-02-15,64.58,64.95,64.48,64.65,1851700,64.65
2012-02-16,64.6,65.16,64.44,64.92,1762790,64.92
2012-02-17,65.23,65.23,64.82,64.99,3664980,64.99
2012-02-21,65.2,65.21,64.75,65.04,2007985,65.04
2012-02-22,65,65.34,64.94,65,1693200,65
2012-02-23,65.11,65.5,64.9,65.1,2505248,65.1
2012-02-24,64.7,64.75,64.2,64.46,2270667,64.46
2012-02-27,64.2,64.63,64.2,64.45,1995790,64.45
2012-02-28,64.65,65.42,64.5,65.18,2807316,65.18
2012-02-29,65.12,65.26,64.71,65.08,3944203,65.08
2012-03-01,65.2,65.25,64.7,64.83,2502223,64.83
