DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.95,21.22,20.71,21.04,2174203,21.04
2012-01-04,20.42,20.84,19.67,20.75,1829328,20.75
2012-01-05,20.55,20.96,20.41,20.64,1597011,20.64
2012-01-06,20.68,20.71,20.38,20.43,1247278,20.43
2012-01-09,20.35,22.06,20.18,21.53,2635500,21.53
2012-01-10,22.11,22.74,21.23,21.34,4566012,21.34
2012-01-11,21.08,21.53,21,21.31,1705173,21.31
2012-01-12,21.3,21.35,20.7,21.29,1997802,21.29
2012-01-13,20.97,21.13,20.65,21.05,1232655,21.05
2012-01-17,21.31,21.58,21.13,21.24,1369122,21.24
2012-01-18,21.33,22.58,21.17,22.51,1593027,22.51
2012-01-19,23.5,24.21,22.94,23.88,3242099,23.88
2012-01-20,23.79,23.79,22.89,22.99,2414126,22.99
2012-01-23,22.98,23.35,22.5,22.54,1937681,22.54
2012-01-24,22.53,23.36,22.18,23.15,1754135,23.15
2012-01-25,23.11,23.11,22.35,22.62,2848031,22.62
2012-01-26,23,23.3,22.01,22.37,3649023,22.37
2012-01-27,20.22,21.89,20.15,21.69,5892276,21.69
2012-01-30,21.35,21.36,20.95,21.09,1936073,21.09
2012-01-31,21.15,21.32,20.89,20.93,3503398,20.93
2012-02-01,21,21.89,21,21.68,2201546,21.68
2012-02-02,21.69,21.84,21.37,21.61,1815996,21.61
2012-02-03,21.9,22.9,21.9,22.55,2341934,22.55
2012-02-06,22.46,22.8,22.03,22.72,2081134,22.72
2012-02-07,22.67,23.43,22.42,23.02,3080574,23.02
2012-02-08,23.03,23.44,22.75,23.09,2225439,23.09
2012-02-09,22.9,23.43,22.86,23.18,2182663,23.18
2012-02-10,23,23,22.54,22.72,1798893,22.72
2012-02-13,22.87,22.87,22.18,22.47,2070430,22.47
2012-02-14,22.4,22.8,22.24,22.57,1961495,22.57
2012-02-15,22.85,25.04,22.8,24.16,3975480,24.16
2012-02-16,24.05,24.13,23.52,24.02,2256894,24.02
2012-02-17,24.12,24.48,23.87,24.2,1928921,24.2
2012-02-21,23.53,24.23,23.53,23.77,1796471,23.77
2012-02-22,23.81,24.31,23.66,23.78,1453918,23.78
2012-02-23,22.94,23.78,22.67,23.51,2218123,23.51
2012-02-24,23.53,24.1,23.47,23.72,1332818,23.72
2012-02-27,23.4,23.81,23.1,23.55,1935390,23.55
2012-02-28,23.66,23.86,23.34,23.74,2154845,23.74
2012-02-29,23.76,23.77,22.74,22.76,4144825,22.76
2012-03-01,22.52,22.89,22.18,22.29,4652840,22.29
2012-03-02,22.22,22.56,21.95,21.99,2057230,21.99
2012-03-05,21.99,22.16,21.27,21.33,2023023,21.33
2012-03-06,21.03,21.4,20.92,21.09,1762415,21.09
2012-03-07,21.27,21.62,21.24,21.41,1464004,21.41
2012-03-08,21.67,21.69,21.17,21.43,1569969,21.43
2012-03-09,21.4,21.76,21.13,21.42,1655034,21.42
2012-03-12,21.39,21.48,20.97,21.15,1367272,21.15
2012-03-13,21.36,21.53,21.17,21.31,2684480,21.31
2012-03-14,21.05,21.09,20.39,20.6,3012878,20.6
2012-03-15,20.75,21.38,20.69,21.33,2278617,21.33
2012-03-16,21.42,21.49,21.21,21.43,1894160,21.43
2012-03-19,21.48,21.76,21.36,21.66,1306174,21.66
2012-03-20,20.9,21.29,20.9,21.15,2083352,21.15
2012-03-21,20.88,21.35,20.88,21.18,1717723,21.18
2012-03-22,21.07,21.15,20.87,20.95,1515504,20.95
2012-03-23,20.94,21.29,20.88,21.11,1648860,21.11
2012-03-26,21.3,21.55,21.18,21.42,1160980,21.42
2012-03-27,21.75,22.64,21.73,22.23,2345258,22.23
2012-03-28,22.39,22.72,22,22.41,2785842,22.41
2012-03-29,22.21,22.95,22.12,22.87,2767773,22.87
2012-03-30,23.01,23.05,22.65,22.88,2486226,22.88
2012-04-02,22.73,22.89,22.64,22.73,2149388,22.73
2012-04-03,22.63,22.64,21.78,21.92,2604154,21.92
2012-04-04,21.67,21.79,21.46,21.6,2136630,21.6
2012-04-05,21.44,21.52,21.08,21.25,1488205,21.25
2012-04-09,20.96,21.13,20.82,20.91,1373473,20.91
2012-04-10,21.15,21.45,20.86,20.88,2540635,20.88
2012-04-11,21.03,21.85,20.83,21.75,2654822,21.75
2012-04-12,21.78,22.24,21.71,22.02,1734188,22.02
2012-04-13,21.87,21.92,21.16,21.2,1994814,21.2
2012-04-16,21.38,21.45,20.75,20.84,2346104,20.84
2012-04-17,21,21.7,21,21.62,1527248,21.62
2012-04-18,21.45,21.45,21.04,21.16,1346078,21.16
2012-04-19,21,21.33,20.74,20.93,2094465,20.93
2012-04-20,20.71,20.94,20.47,20.6,2649033,20.6
2012-04-23,20.36,20.52,20.08,20.17,2390292,20.17
2012-04-24,20.19,22.5,19.54,21.63,7906972,21.63
2012-04-25,21.72,21.79,19.91,20.85,5952086,20.85
2012-04-26,20.86,21.39,20.78,21.31,2542528,21.31
2012-04-27,21.33,21.61,20.98,21.26,1716180,21.26
2012-04-30,21.24,21.49,21.11,21.43,1303270,21.43
2012-05-01,21.35,21.89,21.26,21.46,1213398,21.46
2012-05-02,21.25,21.34,20.88,21.01,1806485,21.01
2012-05-03,21,21.02,20.1,20.33,2018614,20.33
2012-05-04,20.06,20.07,19.42,19.71,2313982,19.71
2012-05-07,19.6,19.62,19.16,19.25,1795388,19.25
2012-05-08,19.1,19.18,18.62,18.93,2319960,18.93
2012-05-09,18.58,19.17,18.5,19.01,3023585,19.01
2012-05-10,18.84,18.9,17.7,18.07,2951586,18.07
2012-05-11,18,18.32,17.85,17.95,1813850,17.95
2012-05-14,17.7,17.77,17.51,17.57,1513654,17.57
2012-05-15,18.01,18.62,17.61,17.67,2541353,17.67
2012-05-16,17.75,18.01,17.26,17.28,1356638,17.28
2012-05-17,17.33,17.46,16.97,17,1742786,17
2012-05-18,17.29,17.95,17.29,17.53,3458358,17.53
2012-05-21,17.47,18.1,17.43,17.98,2125514,17.98
2012-05-22,17.99,18.31,17.79,17.99,2207757,17.99
2012-05-23,17.64,17.75,17,17.23,3153741,17.23
2012-05-24,17.27,17.27,16.87,17,2756246,17
2012-05-25,17.02,17.39,17.01,17.15,1645979,17.15
2012-05-29,17.29,17.58,17.26,17.41,1531957,17.41
2012-05-30,17.1,17.39,16.91,17.26,1512341,17.26
2012-05-31,17.26,17.32,16.91,17.2,1614499,17.2
2012-06-01,16.75,16.97,16.6,16.82,2085116,16.82
2012-06-04,16.85,16.99,16.53,16.71,1632775,16.71
2012-06-05,16.73,17.13,16.72,17,1427802,17
2012-06-06,17.11,17.52,17.05,17.48,1233943,17.48
2012-06-07,17.31,17.38,16.48,16.57,2866895,16.57
2012-06-08,16.57,16.97,16.5,16.89,2637842,16.89
2012-06-11,17.02,17.15,16.38,16.4,1648104,16.4
2012-06-12,16.66,16.7,16.34,16.61,2242175,16.61
2012-06-13,16.55,16.8,16.23,16.36,2403371,16.36
2012-06-14,16.36,16.41,15.95,16.2,2021794,16.2
2012-06-15,16.22,16.44,16.08,16.43,2459956,16.43
2012-06-18,16.32,16.45,16.2,16.35,1455390,16.35
2012-06-19,16.45,16.7,16.37,16.46,1964756,16.46
2012-06-20,16.5,16.83,16.42,16.73,1547045,16.73
2012-06-21,16.67,16.67,15.82,15.88,2028328,15.88
2012-06-22,15.93,16.14,15.82,16.04,4320912,16.04
2012-06-25,15.7,15.72,15.43,15.59,1144786,15.59
2012-06-26,15.55,15.7,15.34,15.45,1479591,15.45
2012-06-27,15.45,15.67,15.35,15.58,1243608,15.58
2012-06-28,15.42,15.68,15.32,15.53,1417986,15.53
2012-06-29,15.79,16.31,15.78,16.31,1556053,16.31
2012-07-02,16.21,16.21,15.75,15.85,957133,15.85
2012-07-03,15.87,16.21,15.83,16.14,395392,16.14
2012-07-05,16.05,16.34,15.91,16.13,979872,16.13
2012-07-06,15.83,15.85,15.42,15.58,1044886,15.58
2012-07-09,15.48,15.49,15.08,15.2,1072735,15.2
2012-07-10,15.34,15.58,14.76,14.84,1452548,14.84
2012-07-11,14.79,15,14.52,14.68,1528733,14.68
2012-07-12,14.53,14.63,14.18,14.51,1634240,14.51
2012-07-13,14.57,14.71,14.44,14.5,989546,14.5
2012-07-16,14.45,14.55,14.2,14.29,1311210,14.29
2012-07-17,14.31,14.36,14.01,14.27,1317165,14.27
2012-07-18,14.25,15.39,14.24,15.21,2310132,15.21
2012-07-19,15.37,15.86,15.32,15.84,2249641,15.84
2012-07-20,15.64,15.95,15.51,15.65,2698781,15.65
2012-07-23,15.19,15.3,14.69,15.22,1285494,15.22
2012-07-24,15.03,15.18,14.56,14.81,2162956,14.81
2012-07-25,16.1,17,16.02,16.5,3616164,16.5
2012-07-26,16.77,16.98,16.37,16.83,2587618,16.83
2012-07-27,16.99,17.96,16.8,17.79,2631842,17.79
2012-07-30,17.66,17.99,17.31,17.55,1840106,17.55
2012-07-31,17.63,17.76,17.21,17.53,2472368,17.53
2012-08-01,17.48,18.06,16.18,17.71,13547690,17.71
2012-08-02,17.3,17.92,17.18,17.58,2619555,17.58
2012-08-03,17.93,18.13,17.69,18.08,1820244,18.08
2012-08-06,18.15,18.7,18.14,18.63,1902675,18.63
2012-08-07,18.7,19.31,18.7,19.05,1704182,19.05
2012-08-08,18.98,19.22,18.68,18.77,1150625,18.77
2012-08-09,18.8,19.57,18.76,19.4,1244274,19.4
2012-08-10,19.19,19.32,19.02,19.24,1090679,19.24
2012-08-13,19.16,19.3,18.73,18.92,946555,18.92
2012-08-14,18.9,18.92,17.91,18.07,2537687,18.07
2012-08-15,18.25,18.58,18.22,18.44,1743685,18.44
2012-08-16,18.91,19.07,18.58,18.59,2868874,18.59
2012-08-17,18.64,18.76,18.38,18.45,2055589,18.45
2012-08-20,18.37,18.59,18.18,18.33,2061418,18.33
2012-08-21,18.34,18.61,18.15,18.2,1932891,18.2
2012-08-22,18.09,18.33,17.96,18.26,1746535,18.26
2012-08-23,18.24,18.47,18.1,18.23,1560502,18.23
2012-08-24,18.17,18.19,17.66,17.74,1617329,17.74
2012-08-27,17.8,17.86,17.52,17.75,1182874,17.75
2012-08-28,17.67,18.46,17.56,18.34,1823367,18.34
2012-08-29,18.3,18.61,18.29,18.48,1069402,18.48
2012-08-30,18,18.09,17.56,17.75,1594721,17.75
2012-08-31,17.91,18,17.35,17.44,1740706,17.44
2012-09-04,17.37,17.89,17.32,17.69,1572394,17.69
2012-09-05,17.66,17.76,17.46,17.49,1321668,17.49
2012-09-06,17.81,18.36,17.81,18.23,1909547,18.23
2012-09-07,18.19,19.06,18.1,18.71,1392796,18.71
2012-09-10,18.74,18.74,18.2,18.21,1133283,18.21
2012-09-11,18.19,18.7,18.14,18.54,1048401,18.54
2012-09-12,18.67,19.4,18.66,19.33,1527297,19.33
2012-09-13,19.24,19.59,18.93,19.41,1764844,19.41
2012-09-14,19.39,20,19.26,19.33,1583472,19.33
2012-09-17,19.4,19.59,19.16,19.37,1458216,19.37
2012-09-18,19.24,19.28,18.86,18.94,999222,18.94
2012-09-19,18.84,19,18.77,18.88,1073051,18.88
2012-09-20,18.75,18.82,18.52,18.58,896549,18.58
2012-09-21,18.72,18.89,18.37,18.49,2379277,18.49
2012-09-24,18.27,18.39,18.13,18.27,836788,18.27
2012-09-25,18.37,18.42,17.86,17.86,915655,17.86
2012-09-26,17.78,17.81,17.15,17.38,1498487,17.38
2012-09-27,17.5,17.76,17.26,17.67,918425,17.67
2012-09-28,17.44,17.5,17.1,17.11,1739341,17.11
2012-10-01,17.18,17.38,16.72,16.77,1266407,16.77
2012-10-02,16.92,17.03,16.63,16.73,1265706,16.73
2012-10-03,16.85,16.95,16.56,16.61,1208454,16.61
2012-10-04,16.69,16.83,16.38,16.7,1041888,16.7
2012-10-05,16.85,17.16,16.52,16.65,954736,16.65
2012-10-08,16.52,16.88,16.35,16.61,597541,16.61
2012-10-09,16.62,16.73,16.33,16.58,1051732,16.58
2012-10-10,16.56,16.71,16.29,16.35,729184,16.35
2012-10-11,16.48,16.62,16.32,16.35,861722,16.35
2012-10-12,16.33,16.41,16.11,16.35,1733114,16.35
2012-10-15,16.46,16.82,16.38,16.79,990422,16.79
2012-10-16,16.85,17.65,16.85,17.48,1355640,17.48
2012-10-17,17.22,17.51,17.12,17.31,1181883,17.31
2012-10-18,18.48,19.2,17.72,18.2,3778355,18.2
2012-10-19,18.25,18.37,17.69,17.79,1808715,17.79
2012-10-22,17.64,17.88,17.49,17.71,1010881,17.71
2012-10-23,17.33,17.66,17.16,17.57,1722408,17.57
2012-10-24,17.54,17.58,15.91,15.99,2754683,15.99
2012-10-25,16,16.15,15.9,16.07,1372914,16.07
2012-10-26,15.91,16.69,15.9,16.58,1964637,16.58
2012-10-31,16.58,16.62,16.12,16.57,2036025,16.57
2012-11-01,16.56,17.37,16.45,17.27,1471238,17.27
2012-11-02,17.49,17.49,17.1,17.12,967285,17.12
2012-11-05,16.81,17.53,16.71,17.44,1111623,17.44
2012-11-06,17.47,17.69,17.35,17.54,1157504,17.54
2012-11-07,18.35,18.53,17.27,17.77,2911187,17.77
2012-11-08,18.1,18.15,17.59,17.6,1780098,17.6
2012-11-09,17.51,17.83,17.38,17.65,1385872,17.65
2012-11-12,17.78,17.97,17.58,17.79,1480255,17.79
2012-11-13,17.66,17.68,17.34,17.35,1353241,17.35
2012-11-14,17.79,17.98,17.5,17.55,1502515,17.55
2012-11-15,17.61,17.67,16.85,16.9,1971625,16.9
2012-11-16,16.92,17,16.03,16.32,2697893,16.32
2012-11-19,16.49,16.8,16.24,16.36,1550714,16.36
2012-11-20,16.28,16.46,16.09,16.15,1544847,16.15
2012-11-21,16.23,16.35,16.13,16.21,1124074,16.21
2012-11-23,16.22,16.7,16.22,16.7,557531,16.7
2012-11-26,16.66,16.88,16.53,16.81,1075795,16.81
2012-11-27,16.8,17.29,16.69,17.09,1255764,17.09
2012-11-28,17.01,17.87,16.92,17.79,2404159,17.79
2012-11-29,17.81,18.1,17.81,18.02,1164078,18.02
2012-11-30,18,18.08,17.76,17.98,1412355,17.98
2012-12-03,18.1,18.35,17.83,17.88,1302172,17.88
2012-12-04,18.1,18.3,17.97,18.02,1828261,18.02
2012-12-05,17.99,18.43,17.89,18.37,1319738,18.37
2012-12-06,18.27,19.17,18.27,19.1,2305941,19.1
2012-12-07,19.03,19.31,18.86,19.29,1787078,19.29
2012-12-10,19.3,19.53,19.19,19.28,1591277,19.28
2012-12-11,19.3,19.68,19.08,19.17,1343210,19.17
2012-12-12,19.29,19.33,18.92,18.97,1271558,18.97
2012-12-13,18.95,19.5,18.88,19.36,1251065,19.36
2012-12-14,19.24,19.95,19.09,19.59,1380339,19.59
2012-12-17,19.6,19.81,19.44,19.78,1146476,19.78
2012-12-18,19.71,20.28,19.71,20.26,1441999,20.26
2012-12-19,20.26,20.67,20.07,20.16,1074933,20.16
2012-12-20,20.1,20.48,19.91,20.35,1145963,20.35
2012-12-21,20.14,20.17,19.75,20.17,2661497,20.17
2012-12-24,19.5,20.06,19.42,20.01,567796,20.01
2012-12-26,20,20.4,19.79,19.89,770808,19.89
2012-12-27,19.95,19.95,19.44,19.79,969394,19.79
2012-12-28,19.64,19.64,19.36,19.38,938036,19.38
2012-12-31,19.37,19.77,19.21,19.67,1638544,19.67
2013-01-02,20.1,20.68,20.01,20.55,984843,20.55
2013-01-03,20.48,20.69,20.11,20.17,1118299,20.17
2013-01-04,20.14,20.43,20.09,20.38,1126655,20.38
2013-01-07,20.3,20.33,19.98,20.15,958304,20.15
2013-01-08,20,20,19.55,19.72,1417920,19.72
2013-01-09,19.71,20.04,19.6,19.95,1125434,19.95
2013-01-10,20.05,20.37,20,20.3,994266,20.3
2013-01-11,20.3,20.7,20.28,20.66,1070154,20.66
2013-01-14,20.57,20.86,20.51,20.82,1008054,20.82
2013-01-15,20.67,21.03,20.44,21.01,992339,21.01
2013-01-16,20.91,21.17,20.84,20.98,911041,20.98
2013-01-17,21.5,21.84,21.03,21.28,1124065,21.28
2013-01-18,21.19,21.49,21.08,21.49,1188991,21.49
2013-01-22,21.4,21.99,21.4,21.5,981845,21.5
2013-01-23,21.56,21.7,21.23,21.28,1077680,21.28
2013-01-24,21.14,21.68,21.13,21.5,1985553,21.5
2013-01-25,21.75,22.63,21.5,22.57,2614393,22.57
2013-01-28,22.63,22.85,22.2,22.2,1844195,22.2
2013-01-29,22,22.2,21.56,21.58,1718985,21.58
2013-01-30,21.52,21.84,21.52,21.58,1240316,21.58
2013-01-31,21.75,22.41,21.57,22.38,1912010,22.38
2013-02-01,22.31,22.53,22.2,22.32,1297948,22.32
2013-02-04,22.43,22.97,22.229,22.24,1268279,22.24
2013-02-05,22.36,22.66,22.27,22.39,783454,22.39
2013-02-06,22.26,22.48,22.12,22.38,868602,22.38
2013-02-07,22.34,22.42,22.1,22.37,1018679,22.37
2013-02-08,22.3,22.33,21.74,21.84,1150451,21.84
2013-02-11,21.87,22.02,21.67,21.71,709011,21.71
2013-02-12,21.75,21.83,21.52,21.61,745511,21.61
2013-02-13,21.56,21.73,21.29,21.67,1155057,21.67
2013-02-14,21.52,21.76,21.1,21.68,990412,21.68
2013-02-15,21.7,21.88,21.45,21.86,1488968,21.86
2013-02-19,21.5,22.25,21.33,22.25,1416017,22.25
2013-02-20,22.25,22.25,21.69,21.71,829905,21.71
2013-02-21,21.63,21.63,21.12,21.33,827253,21.33
2013-02-22,21.54,21.64,21.26,21.45,767083,21.45
2013-02-25,21.61,21.65,20.72,20.72,1313121,20.72
2013-02-26,20.83,20.96,20.12,20.46,2330867,20.46
2013-02-27,20.54,20.85,20.36,20.72,1062225,20.72
2013-02-28,20.63,20.99,20.53,20.68,1233205,20.68
2013-03-01,20.61,20.68,20.39,20.49,801935,20.49
2013-03-04,20.5,20.5,20.052,20.13,1111381,20.13
2013-03-05,20.2,20.5,19.9,19.98,1881360,19.98
