DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,77.32,78.61,75.97,76.05,363890,76.05
2012-01-04,75.66,79,75.25,78.16,502766,78.16
2012-01-05,77.59,78.39,76.86,77.86,265534,77.86
2012-01-06,78.17,78.2,76.91,77.21,205697,77.21
2012-01-09,78,78.86,77.5,78.17,303255,78.17
2012-01-10,79.88,82.84,79.8,81.89,418307,81.89
2012-01-11,81.77,82.51,81.13,82.21,211377,82.21
2012-01-12,81.91,84.63,81.29,84.02,292792,84.02
2012-01-13,82.59,83.7,81.9,82.74,267192,82.74
2012-01-17,83.97,84.99,81.37,81.4,339988,81.4
2012-01-18,81.14,84,80.67,83.86,362568,83.86
2012-01-19,84.45,86.1,84.25,85.75,318725,85.75
2012-01-20,85.96,86.17,84.9,85.36,293630,85.36
2012-01-23,85.11,87.05,85.03,86.49,272086,86.49
2012-01-24,85.22,90,85.22,89.14,572632,89.14
2012-01-25,89.19,93.55,88.44,93.03,854915,93.03
2012-01-26,94.5,95.99,91.63,92.15,587235,92.15
2012-01-27,91.79,94.09,91.75,93.12,282546,93.12
2012-01-30,91.89,92.73,90.32,92.39,330770,92.39
2012-01-31,92.79,93.67,90.25,90.69,336549,90.69
2012-02-01,91.96,92.72,90.25,91.27,249728,91.27
2012-02-02,92.03,92.44,90.36,91.49,232775,91.49
2012-02-03,92.88,95.98,92.7,95.71,423696,95.71
2012-02-06,94.97,95.8,94.1,95.58,261387,95.58
2012-02-07,94.5,94.84,92.14,92.76,439732,92.76
2012-02-08,92.65,92.98,89.34,89.7,506905,89.7
2012-02-09,89,89.09,85.76,86.05,822744,86.05
2012-02-10,84.77,84.77,83,83.75,553471,83.75
2012-02-13,85.29,86.72,84.18,86.6,457452,86.6
2012-02-14,85.75,86.92,84.51,85.45,426260,85.45
2012-02-15,86,86.23,83.56,84.07,455988,84.07
2012-02-16,84.5,85.6,83.89,85.06,393115,85.06
2012-02-17,86.25,88.69,85.6,88.22,723437,88.22
2012-02-21,88.75,91.2,88.7,90,782274,90
2012-02-22,91,93.97,91,92.34,1063607,92.34
2012-02-23,92.5,92.57,90.7,91.48,434645,91.48
2012-02-24,91.99,92.29,90.35,90.65,325048,90.65
2012-02-27,89.87,91.85,88.97,91.01,244916,91.01
2012-02-28,91.82,93.12,90.76,91.77,475964,91.77
2012-02-29,92.4,93.1,85.49,86.96,1159134,86.96
2012-03-01,87.88,89,87.1,87.5,635692,87.5
2012-03-02,87.44,88.09,84.3,85.8,605954,85.8
2012-03-05,85,85.14,81.46,82.35,801829,82.35
2012-03-06,79.5,80.15,78.02,78.45,884371,78.45
2012-03-07,78.99,80.37,78.24,79.44,482447,79.44
2012-03-08,80.9,81.34,78.5,81.04,628050,81.04
2012-03-09,81.59,81.59,79.43,80.31,348599,80.31
2012-03-12,80.12,80.31,78.1,78.73,342046,78.73
2012-03-13,79.45,82.02,79.27,82.01,599146,82.01
2012-03-14,81.69,82,78.01,78.64,447182,78.64
2012-03-15,77.06,78.88,76.51,78.57,701829,78.57
2012-03-16,78.88,80.44,78.88,80.25,710020,80.25
2012-03-19,79.77,81.09,78.92,79.36,269539,79.36
2012-03-20,77.37,77.37,74.57,75.92,768692,75.92
2012-03-21,76,77.1,75.11,76.52,460879,76.52
2012-03-22,75.25,76.43,74.05,74.6,602747,74.6
2012-03-23,74.6,75.99,74.14,75.19,335812,75.19
2012-03-26,76.33,76.65,74.67,75.63,457193,75.63
2012-03-27,75.55,75.7,73.79,73.87,456446,73.87
2012-03-28,73.32,73.35,70.17,71.43,801010,71.43
2012-03-29,70.99,73.24,70.67,73.05,584953,73.05
2012-03-30,73.75,74.37,72.12,73.5,577212,73.5
2012-04-02,73.22,76.71,73.03,75.35,615848,75.35
2012-04-03,75.85,76.23,73.75,74.21,518631,74.21
2012-04-04,73.88,76.14,73.52,75.39,751197,75.39
2012-04-05,75.6,76.31,74.75,75.03,503585,75.03
2012-04-09,73.3,73.5,72.23,72.88,350327,72.88
2012-04-10,72.85,75.15,71.77,72.04,776013,72.04
2012-04-11,73.99,74.5,72.59,73.49,404756,73.49
2012-04-12,73.68,77.17,73.6,76.81,431252,76.81
2012-04-13,76.14,76.5,74.52,74.69,535607,74.69
2012-04-16,76.07,76.67,73.7,74.13,368047,74.13
2012-04-17,75.42,77.13,74.71,76.28,339731,76.28
2012-04-18,75.96,77.12,75.8,76.26,254539,76.26
2012-04-19,76.21,77.61,74.64,75.33,386888,75.33
2012-04-20,75.52,76.43,74.08,74.09,558159,74.09
2012-04-23,72.9,73,71,71.96,427830,71.96
2012-04-24,72,72.75,71.2,71.77,394861,71.77
2012-04-25,71.88,71.98,70.01,70.76,686037,70.76
2012-04-26,70.4,72.61,70.37,72.23,683563,72.23
2012-04-27,72.7,72.91,71.57,71.6,380303,71.6
2012-04-30,71.05,71.23,70.38,70.77,444911,70.77
2012-05-01,70.59,71.48,70.17,70.65,512640,70.65
2012-05-02,69.79,70.84,68.75,70.6,469901,70.6
2012-05-03,70.53,70.53,68.17,68.59,435039,68.59
2012-05-04,67.41,67.95,66.19,66.52,795844,66.52
2012-05-07,66.55,67,65.69,66.01,522371,66.01
2012-05-08,65.3,66.24,63.17,66.17,663256,66.17
2012-05-09,64.9,66.2,64.12,64.68,611137,64.68
2012-05-10,65.57,66.25,64.36,64.74,438250,64.74
2012-05-11,64.1,65.95,64,64.91,449774,64.91
2012-05-14,63.8,64.18,62.7,63.67,469784,63.67
2012-05-15,63.6,63.6,60.46,60.88,484644,60.88
2012-05-16,61.93,63.19,60.73,60.77,612759,60.77
2012-05-17,60.62,60.74,58.7,59.11,461354,59.11
2012-05-18,59.77,62.1,59.49,60.64,786566,60.64
2012-05-21,60.95,64.66,60.95,64.59,555776,64.59
2012-05-22,64.99,65.38,62.6,63.28,698072,63.28
2012-05-23,62.49,64.17,61,64,403938,64
2012-05-24,64.13,64.19,59.31,59.74,719767,59.74
2012-05-25,59.36,60.55,59,60.21,372339,60.21
2012-05-29,61.82,63.94,61.56,62.32,602699,62.32
2012-05-30,60.33,60.47,58.85,59.05,554980,59.05
2012-05-31,54.41,56.44,53.3,55.86,1406714,55.86
2012-06-01,53.9,56.9,53.5,55.69,974986,55.69
2012-06-04,55.69,55.7,53.26,54.53,547708,54.53
2012-06-05,55.02,56.75,54.92,56.14,463458,56.14
2012-06-06,57,58.5,56.8,58.05,392131,58.05
2012-06-07,59.8,60.27,57.14,57.33,460057,57.33
2012-06-08,56.77,58.31,55.74,58.12,418060,58.12
2012-06-11,59.23,59.35,55.11,55.26,378850,55.26
2012-06-12,55.7,57.13,55.53,57.06,337179,57.06
2012-06-13,56.23,56.94,54.54,54.92,334174,54.92
2012-06-14,55.1,56.11,54.43,55.51,296349,55.51
2012-06-15,55.93,56.3,55.22,55.84,667043,55.84
2012-06-18,55.35,56.11,54.78,55.94,299392,55.94
2012-06-19,56.61,58.5,56.61,57.88,293626,57.88
2012-06-20,58,58,55.86,56.73,446779,56.73
2012-06-21,56.77,57.08,54.77,54.82,421892,54.82
2012-06-22,55.2,55.2,53.79,54.23,468166,54.23
2012-06-25,53.25,53.65,52.01,52.11,401233,52.11
2012-06-26,52.31,52.6,50.9,51.91,612166,51.91
2012-06-27,52.28,52.3,51.39,51.91,430126,51.91
2012-06-28,51.3,54.01,51.3,53.93,384142,53.93
2012-06-29,55.16,57.2,55.16,56.73,754168,56.73
2012-07-02,56.6,56.72,53.75,54.35,371893,54.35
2012-07-03,54.55,56.25,54.4,56.21,369944,56.21
2012-07-05,56.13,58.55,55.56,57.13,429724,57.13
2012-07-06,56.1,56.2,54.8,55.26,371044,55.26
2012-07-09,55,55.38,53.3,53.52,367177,53.52
2012-07-10,54.25,54.62,50.06,50.58,1027709,50.58
2012-07-11,50.45,50.64,48.88,49.45,743187,49.45
2012-07-12,49,49.34,47.69,48.93,721653,48.93
