DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,50.55,50.59,49.7,49.72,931886,49.72
2012-01-04,49.58,50.39,49.49,50.08,559478,50.08
2012-01-05,49.73,50.84,49.17,50.61,732270,50.61
2012-01-06,49.33,50.19,49.25,49.74,590000,49.74
2012-01-09,49.78,49.94,49.2,49.66,411902,49.66
2012-01-10,49.9,49.91,48.88,49.36,522115,49.36
2012-01-11,49.33,49.56,48.69,48.98,616041,48.98
2012-01-12,49.11,49.16,48.43,48.93,469242,48.93
2012-01-13,48.69,49.28,48.33,48.48,433418,48.48
2012-01-17,48.95,49.52,48.77,48.99,439860,48.99
2012-01-18,48.96,49.8,48.86,49.64,559999,49.64
2012-01-19,49.85,50.63,49.38,50.37,567017,50.37
2012-01-20,50.32,50.55,49.84,50.02,462874,50.02
2012-01-23,49.93,50.74,49.34,49.38,402133,49.38
2012-01-24,49.17,49.9,49,49.62,408669,49.62
2012-01-25,49.7,49.7,48.37,48.74,764981,48.74
2012-01-26,48.91,49.37,48.12,48.46,543244,48.46
2012-01-27,48.3,48.74,48.14,48.55,409323,48.55
2012-01-30,48.3,49.6,48.01,49.53,714869,49.53
2012-01-31,49.7,49.98,49.08,49.38,648824,49.38
2012-02-01,49.62,50,49.28,49.52,528106,49.52
2012-02-02,49.6,49.99,48.67,49.11,474714,49.11
2012-02-03,49.56,50.49,49.49,50.27,528853,50.27
2012-02-06,49.95,50.06,49.64,49.79,633208,49.79
2012-02-07,49.68,51.11,49.43,50.6,528146,50.6
2012-02-08,50.71,51.24,50.49,51.01,548848,51.01
2012-02-09,51.02,51.26,50.5,51.15,732895,51.15
2012-02-10,50.7,51.07,50.5,50.78,265737,50.78
2012-02-13,50.88,51.1,50.44,50.56,329650,50.56
2012-02-14,50.54,50.99,50.31,50.67,355718,50.67
2012-02-15,50.79,51.5,50.59,51,655964,51
2012-02-16,51,52.32,50.95,52.18,988218,52.18
2012-02-17,51.45,52.44,50.75,51.14,1025971,51.14
2012-02-21,51.4,53.37,51.4,52.79,783277,52.79
2012-02-22,52.5,53.07,52.28,52.63,669665,52.63
2012-02-23,52.3,53.68,52.05,53.25,471263,53.25
2012-02-24,53.2,53.49,52.92,53.17,442491,53.17
2012-02-27,52.56,54.01,52.46,53.89,710580,53.89
2012-02-28,53.53,53.96,53.37,53.78,562204,53.78
2012-02-29,53.85,54.68,53.62,53.62,829698,53.62
2012-03-01,53.63,53.85,52.69,53.77,508377,53.77
2012-03-02,54,54.08,53.34,53.55,289327,53.55
2012-03-05,53.33,53.75,53.2,53.5,365071,53.5
2012-03-06,53.09,53.18,52.3,52.41,386465,52.41
2012-03-07,52.51,53.35,52.48,53.2,331790,53.2
2012-03-08,53.5,53.92,53.3,53.68,377498,53.68
2012-03-09,53.78,54.25,53.63,54.08,235443,54.08
2012-03-12,53.97,54.31,53.55,53.67,255674,53.67
2012-03-13,53.87,54.95,53.16,54.9,520111,54.9
2012-03-14,54.66,54.98,54.4,54.68,280477,54.68
2012-03-15,54.58,55.12,54.24,55.05,341690,55.05
2012-03-16,55.11,55.35,54.47,54.88,645255,54.88
2012-03-19,54.75,54.81,53.99,54.37,212388,54.37
2012-03-20,54.22,54.88,54.01,54.74,254744,54.74
2012-03-21,54.9,55.45,54.8,55.25,380457,55.25
2012-03-22,54.94,55.43,54.69,54.99,291152,54.99
2012-03-23,54.88,54.88,53.85,54.54,219151,54.54
2012-03-26,54.99,55.47,54.67,55.29,224669,55.29
2012-03-27,55.28,55.67,55.08,55.4,227981,55.4
2012-03-28,55.44,55.45,54.19,54.71,237030,54.71
2012-03-29,55.26,55.4,54.43,55.27,469585,55.27
2012-03-30,55.42,56.03,55.09,55.72,536040,55.72
2012-04-02,55.5,56.31,55.49,56.12,294736,56.12
2012-04-03,56.1,56.5,55.32,55.38,368381,55.38
2012-04-04,55.06,55.61,54.7,55.55,536325,55.55
2012-04-05,55.52,56.75,55.27,56.17,358300,56.17
2012-04-09,55.56,55.85,54.98,55.85,544351,55.85
2012-04-10,55.56,55.63,53.21,53.46,515427,53.46
2012-04-11,54.22,54.76,53.98,54.63,456040,54.63
2012-04-12,54.66,55.25,54.45,55.09,385604,55.09
2012-04-13,54.82,55.41,54.65,54.99,380590,54.99
2012-04-16,56,56,54.89,55.52,461069,55.52
2012-04-17,55.76,56.23,55.52,55.96,342298,55.96
2012-04-18,55.7,56.06,55.35,55.75,297141,55.75
2012-04-19,55.86,56.25,55.08,55.56,222618,55.56
2012-04-20,55.72,55.72,54.92,55.11,395072,55.11
2012-04-23,54.77,54.77,53.86,54.62,237522,54.62
2012-04-24,54.74,54.83,53.59,53.93,290147,53.93
2012-04-25,54.35,55.24,54.35,55.18,297670,55.18
2012-04-26,55.19,55.86,54.79,55.58,288300,55.58
2012-04-27,55.99,56.47,55.5,56.05,282247,56.05
2012-04-30,56.06,56.25,55.53,55.86,374421,55.86
2012-05-01,55.96,56.48,55.6,55.86,361215,55.86
2012-05-02,55.72,57.25,55.72,57.2,418071,57.2
2012-05-03,57.19,57.75,56.57,56.86,519742,56.86
2012-05-04,56.82,56.98,55.9,55.9,293014,55.9
2012-05-07,55.71,56.26,55.15,55.23,297897,55.23
2012-05-08,54.76,54.83,52.77,54.01,535305,54.01
2012-05-09,53.07,54.4,52.85,53.92,562949,53.92
2012-05-10,54.42,54.42,53.15,53.53,611688,53.53
2012-05-11,51.45,52.3,50.66,50.96,1165589,50.96
