DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,7.86,8.02,7.75,7.77,2245562,7.77
2012-01-04,7.75,7.89,7.68,7.8100000000000005,1820532,7.8100000000000005
2012-01-05,7.77,8.08,7.68,8,2202077,8
2012-01-06,7.99,8.03,7.83,7.98,1494571,7.98
2012-01-09,8.03,8.04,7.91,7.98,1618775,7.98
2012-01-10,8.11,8.15,7.98,8.14,2985555,8.14
2012-01-11,8.06,8.22,7.98,8.2,1990203,8.2
2012-01-12,8.23,8.27,8.07,8.22,2365926,8.22
2012-01-13,8.12,8.34,7.98,8.31,2601668,8.31
2012-01-17,8.38,8.44,8.16,8.19,2136395,8.19
2012-01-18,8.19,8.37,8.12,8.31,2540618,8.31
2012-01-19,8.34,8.36,8.19,8.3,2446350,8.3
2012-01-20,8.23,8.3,8.07,8.3,2701621,8.3
2012-01-23,8.31,8.36,8.05,8.11,2551376,8.11
2012-01-24,8.09,8.27,8,8.13,3667662,8.13
2012-01-25,8,8.27,7.99,8.24,2983165,8.24
2012-01-26,8.25,8.27,7.78,7.88,3290499,7.88
2012-01-27,7.82,8.05,7.79,8.01,2731562,8.01
2012-01-30,7.91,7.93,7.77,7.85,2092824,7.85
2012-01-31,7.89,7.92,7.74,7.77,3064520,7.77
2012-02-01,7.93,7.95,7.8100000000000005,7.85,2188707,7.85
2012-02-02,7.87,7.98,7.8100000000000005,7.9399999999999995,1741479,7.9399999999999995
2012-02-03,8.06,8.25,8.04,8.24,2316749,8.24
2012-02-06,8.21,8.24,8.12,8.13,906742,8.13
2012-02-07,8.1,8.14,8.07,8.07,1992701,8.07
2012-02-08,8.11,8.19,8.03,8.17,1425420,8.17
2012-02-09,8.2,8.2,8.05,8.09,1211660,8.09
2012-02-10,7.97,7.99,7.9,7.9399999999999995,1630540,7.9399999999999995
2012-02-13,8.06,8.09,8.01,8.09,2005087,8.09
2012-02-14,8.04,8.08,7.9,7.96,1752232,7.96
2012-02-15,7.97,8.02,7.86,7.88,1776583,7.88
2012-02-16,7.87,8,7.83,7.99,1993226,7.99
2012-02-17,8.04,8.13,8,8.12,2214604,8.12
2012-02-21,8.16,8.16,8.01,8.07,1557689,8.07
2012-02-22,8.06,8.07,7.87,7.89,1470541,7.89
2012-02-23,7.87,8.06,7.8100000000000005,8.06,1935538,8.06
2012-02-24,8.03,8.16,8,8.06,2021405,8.06
2012-02-27,8.02,8.19,7.98,8.13,1839089,8.13
2012-02-28,8.15,8.28,8.09,8.27,2502286,8.27
2012-02-29,8.3,8.3,8.02,8.1,3973454,8.1
2012-03-01,8.15,8.23,8.07,8.09,2219714,8.09
2012-03-02,8.09,8.12,7.9399999999999995,7.98,2174186,7.98
2012-03-05,7.95,7.99,7.77,7.8100000000000005,1968155,7.8100000000000005
2012-03-06,7.71,7.74,7.61,7.62,2193478,7.62
2012-03-07,7.67,7.85,7.67,7.79,1683640,7.79
2012-03-08,7.89,7.95,7.74,7.9399999999999995,1658579,7.9399999999999995
2012-03-09,7.92,8.11,7.92,8.02,1565910,8.02
2012-03-12,8.02,8.02,7.83,7.88,1633295,7.88
2012-03-13,7.98,8.36,7.93,8.26,3424539,8.26
2012-03-14,8.35,8.54,8.26,8.49,3565923,8.49
2012-03-15,8.54,8.64,8.45,8.54,2636530,8.54
2012-03-16,8.62,8.68,8.41,8.54,4282296,8.54
2012-03-19,8.61,8.82,8.55,8.66,1838221,8.66
2012-03-20,8.57,8.72,8.51,8.69,1866319,8.69
2012-03-21,8.69,8.71,8.53,8.57,1412891,8.57
2012-03-22,8.46,8.48,8.26,8.35,2745331,8.35
2012-03-23,8.31,8.37,8.21,8.36,2048484,8.36
2012-03-26,8.4,8.49,8.37,8.46,2098627,8.46
2012-03-27,8.47,8.47,8.33,8.36,2345520,8.36
2012-03-28,8.36,8.49,8.33,8.48,2274662,8.48
2012-03-29,8.41,8.49,8.34,8.48,1946896,8.48
2012-03-30,8.53,8.53,8.32,8.5,3135128,8.5
2012-04-02,8.36,8.54,8.29,8.48,1897523,8.48
2012-04-03,8.46,8.49,8.25,8.38,3469325,8.38
2012-04-04,8.29,8.35,8.18,8.28,3103258,8.28
2012-04-05,8.31,8.41,8.24,8.27,2018914,8.27
2012-04-09,8.11,8.17,8.06,8.15,1777278,8.15
2012-04-10,8.13,8.18,8,8.02,3250936,8.02
2012-04-11,8.13,8.29,8.07,8.29,3360115,8.29
2012-04-12,8.29,8.43,8.22,8.35,3355393,8.35
2012-04-13,8.32,8.32,7.97,7.97,4749982,7.97
2012-04-16,8.04,8.17,7.96,8.04,3538185,8.04
2012-04-17,8.11,8.23,8.1,8.16,2786277,8.16
2012-04-18,8.11,8.21,7.96,7.99,4115900,7.99
2012-04-19,8.01,8.04,7.82,7.91,4545725,7.91
2012-04-20,8.01,8.01,7.76,7.87,3683664,7.87
2012-04-23,7.75,7.97,7.72,7.88,2732371,7.88
2012-04-24,7.9,8.08,7.89,8.03,2806573,8.03
2012-04-25,8.12,8.18,7.99,8.09,2315644,8.09
2012-04-26,8.06,8.17,8,8.16,1691779,8.16
2012-04-27,8.16,8.2,8.05,8.11,1790000,8.11
2012-04-30,8.05,8.09,7.96,8.04,2266329,8.04
2012-05-01,8.02,8.25,8.02,8.16,1974135,8.16
2012-05-02,8.09,8.11,8.01,8.02,1601817,8.02
2012-05-03,8.03,8.08,7.97,7.99,2500032,7.99
2012-05-04,7.96,7.98,7.77,7.82,2128150,7.82
2012-05-07,7.8100000000000005,7.97,7.8,7.92,1446998,7.92
2012-05-08,7.86,7.95,7.8,7.91,2832038,7.91
2012-05-09,7.8,7.9,7.74,7.87,3414701,7.87
2012-05-10,7.99,8.09,7.87,7.89,2180725,7.89
2012-05-11,7.77,7.95,7.71,7.89,2144090,7.89
2012-05-14,7.75,7.82,7.65,7.67,3491236,7.67
2012-05-15,7.66,7.75,7.57,7.6,2110156,7.6
2012-05-16,7.63,7.71,7.51,7.51,2684702,7.51
2012-05-17,7.51,7.59,7.38,7.4,2790825,7.4
2012-05-18,7.46,7.51,7.36,7.41,3789817,7.41
2012-05-21,7.42,7.54,7.38,7.45,2571238,7.45
2012-05-22,7.46,7.63,7.46,7.51,2372792,7.51
2012-05-23,7.46,7.61,7.41,7.58,1507124,7.58
2012-05-24,7.59,7.61,7.46,7.54,1581143,7.54
2012-05-25,7.5600000000000005,7.61,7.47,7.5,1956112,7.5
2012-05-29,7.62,7.63,7.54,7.61,1495914,7.61
2012-05-30,7.53,7.55,7.4,7.43,1374089,7.43
2012-05-31,7.42,7.58,7.36,7.5,2623473,7.5
2012-06-01,7.34,7.35,7.08,7.14,2499750,7.14
2012-06-04,7.14,7.16,6.8100000000000005,6.89,3376963,6.89
2012-06-05,6.84,7.02,6.84,6.9,2253870,6.9
2012-06-06,6.98,7.16,6.9399999999999995,7.13,2362148,7.13
2012-06-07,7.25,7.31,7.14,7.15,2441577,7.15
2012-06-08,7.15,7.29,7.07,7.28,1526137,7.28
2012-06-11,7.34,7.39,7.04,7.06,2354547,7.06
2012-06-12,7.08,7.18,7.01,7.17,1841317,7.17
2012-06-13,7.14,7.25,7.11,7.15,1333455,7.15
2012-06-14,7.16,7.3,7.15,7.28,1847932,7.28
2012-06-15,7.3,7.43,7.24,7.43,2896330,7.43
2012-06-18,7.41,7.53,7.35,7.4,2448847,7.4
2012-06-19,7.47,7.7,7.43,7.62,2547504,7.62
2012-06-20,7.6,7.6899999999999995,7.49,7.64,1780193,7.64
2012-06-21,7.6899999999999995,7.71,7.42,7.47,2185179,7.47
2012-06-22,7.5,7.62,7.5,7.62,2296609,7.62
2012-06-25,7.46,7.51,7.38,7.46,2077426,7.46
2012-06-26,7.45,7.61,7.4,7.5600000000000005,2329510,7.5600000000000005
2012-06-27,7.57,7.62,7.5,7.62,2105197,7.62
2012-06-28,7.53,7.57,7.38,7.54,2197954,7.54
2012-06-29,7.87,7.87,7.66,7.74,2822426,7.74
2012-07-02,7.79,7.8,7.61,7.72,1635721,7.72
2012-07-03,7.73,7.84,7.72,7.8,945013,7.8
2012-07-05,7.76,7.76,7.65,7.6899999999999995,1196450,7.6899999999999995
2012-07-06,7.6,7.74,7.5600000000000005,7.7,1643808,7.7
2012-07-09,7.65,7.7,7.61,7.64,1389327,7.64
2012-07-10,7.68,7.75,7.51,7.5600000000000005,1397951,7.5600000000000005
2012-07-11,7.54,7.68,7.49,7.65,1655314,7.65
2012-07-12,7.57,7.63,7.46,7.58,2675232,7.58
2012-07-13,7.61,7.86,7.6,7.85,1915542,7.85
2012-07-16,7.83,7.96,7.8,7.85,1685661,7.85
2012-07-17,7.93,7.97,7.85,7.96,2586559,7.96
2012-07-18,7.91,7.95,7.77,7.83,1899420,7.83
2012-07-19,7.99,8.06,7.8,7.91,3330467,7.91
2012-07-20,7.87,8.03,7.84,7.88,3302996,7.88
2012-07-23,7.76,7.83,7.72,7.77,2950816,7.77
2012-07-24,7.77,7.86,7.72,7.85,3446288,7.85
2012-07-25,7.9,7.96,7.85,7.89,1880955,7.89
2012-07-26,8.02,8.08,7.9399999999999995,8.06,2537538,8.06
2012-07-27,8.13,8.22,8.05,8.18,2232689,8.18
2012-07-30,8.15,8.18,8.05,8.06,1295320,8.06
2012-07-31,8.07,8.09,7.98,7.98,2014138,7.98
2012-08-01,8.03,8.09,7.96,7.97,1595886,7.97
2012-08-02,7.93,8,7.82,7.93,2063110,7.93
2012-08-03,8.04,8.26,8.03,8.24,2142898,8.24
2012-08-06,8.27,8.29,8.22,8.23,1879416,8.23
2012-08-07,8.26,8.32,8.23,8.25,1242337,8.25
2012-08-08,8.2,8.35,8.2,8.34,1720356,8.34
2012-08-09,8.29,8.35,8.27,8.33,1124264,8.33
2012-08-10,8.28,8.34,8.26,8.34,1081130,8.34
2012-08-13,8.31,8.33,8.23,8.25,917471,8.25
2012-08-14,8.36,8.37,8.2,8.22,1484234,8.22
2012-08-15,8.24,8.28,8.16,8.23,1223536,8.23
2012-08-16,8.23,8.37,8.23,8.33,1607894,8.33
2012-08-17,8.39,8.4,8.34,8.36,2710614,8.36
2012-08-20,8.33,8.39,8.3,8.35,2461895,8.35
2012-08-21,8.36,8.44,8.32,8.33,1379277,8.33
2012-08-22,8.32,8.41,8.3,8.34,1395530,8.34
2012-08-23,8.34,8.4,8.3,8.34,1648192,8.34
2012-08-24,8.25,8.37,8.24,8.35,1500268,8.35
2012-08-27,8.4,8.4,8.28,8.31,1561451,8.31
2012-08-28,8.29,8.35,8.27,8.31,1486083,8.31
2012-08-29,8.31,8.39,8.31,8.36,1088717,8.36
2012-08-30,8.3,8.43,8.28,8.4,1620884,8.4
2012-08-31,8.41,8.45,8.35,8.43,2240495,8.43
2012-09-04,8.4,8.43,8.34,8.4,1409983,8.4
2012-09-05,8.38,8.4,8.3,8.31,1411926,8.31
2012-09-06,8.39,8.55,8.38,8.51,2130290,8.51
2012-09-07,8.55,8.73,8.54,8.61,2799671,8.61
2012-09-10,8.57,8.72,8.56,8.63,2112681,8.63
2012-09-11,8.62,8.68,8.6,8.65,1672432,8.65
2012-09-12,8.68,8.73,8.63,8.69,1544928,8.69
2012-09-13,8.69,8.86,8.61,8.83,2179812,8.83
2012-09-14,8.88,9.08,8.88,9.04,3225934,9.04
2012-09-17,9.05,9.05,8.9,8.91,1930393,8.91
2012-09-18,8.88,8.92,8.85,8.89,1804789,8.89
2012-09-19,8.9,9.09,8.89,9.04,1708507,9.04
2012-09-20,8.96,9,8.86,8.98,1902234,8.98
2012-09-21,9.09,9.09,8.91,8.91,3312733,8.91
2012-09-24,8.9,9,8.857,8.92,2066495,8.92
2012-09-25,8.96,8.98,8.77,8.77,1926434,8.77
2012-09-26,8.79,8.83,8.7,8.7,1678263,8.7
2012-09-27,8.77,8.88,8.72,8.81,1298559,8.81
2012-09-28,8.78,8.82,8.72,8.74,2638942,8.74
2012-10-01,8.78,8.87,8.7,8.71,1312952,8.71
2012-10-02,8.78,8.8,8.65,8.69,1541702,8.69
2012-10-03,8.73,8.8,8.68,8.75,2376276,8.75
2012-10-04,8.78,8.91,8.77,8.9,1710554,8.9
2012-10-05,8.99,9,8.85,8.88,1283956,8.88
2012-10-08,8.8,8.84,8.68,8.75,1793328,8.75
2012-10-09,8.76,8.76,8.61,8.61,1492679,8.61
2012-10-10,8.62,8.68,8.52,8.59,1480677,8.59
2012-10-11,8.68,8.7,8.61,8.63,1570557,8.63
2012-10-12,8.57,8.57,8.25,8.33,2899180,8.33
2012-10-15,8.4,8.42,8.27,8.35,1870720,8.35
2012-10-16,8.37,8.4,8.18,8.26,2565631,8.26
2012-10-17,8.3,8.45,8.27,8.41,2368234,8.41
2012-10-18,8.89,8.96,8.71,8.78,3904580,8.78
2012-10-19,8.8,8.8,8.67,8.74,3156102,8.74
2012-10-22,8.7,8.75,8.45,8.6,2487559,8.6
2012-10-23,8.49,8.56,8.42,8.43,2264195,8.43
2012-10-24,8.49,8.55,8.4,8.41,1821962,8.41
2012-10-25,8.48,8.54,8.39,8.53,2005505,8.53
2012-10-26,8.51,8.54,8.35,8.39,2033354,8.39
2012-10-31,8.45,8.51,8.36,8.42,2090622,8.42
2012-11-01,8.41,8.51,8.37,8.5,1811757,8.5
2012-11-02,8.56,8.57,8.35,8.37,3195630,8.37
2012-11-05,8.34,8.47,8.24,8.46,2916273,8.46
2012-11-06,8.46,8.64,8.45,8.59,2193311,8.59
2012-11-07,8.47,8.48,8.25,8.29,4514176,8.29
2012-11-08,8.31,8.43,8.25,8.25,2110219,8.25
2012-11-09,8.23,8.41,8.21,8.29,2180736,8.29
2012-11-12,8.31,8.36,8.27,8.29,1101418,8.29
2012-11-13,8.25,8.37,8.16,8.17,2011221,8.17
2012-11-14,8.2,8.25,8.01,8.05,2198072,8.05
2012-11-15,8.02,8.12,7.97,8.01,2549772,8.01
2012-11-16,8.04,8.12,7.97,8.03,3012431,8.03
2012-11-19,8.18,8.26,8.16,8.17,2670797,8.17
2012-11-20,8.18,8.36,8.15,8.36,2396001,8.36
2012-11-21,8.36,8.36,8.28,8.34,1863610,8.34
2012-11-23,8.33,8.45,8.3,8.45,773431,8.45
2012-11-26,8.39,8.48,8.3,8.48,2738150,8.48
2012-11-27,8.43,8.46,8.23,8.23,2570971,8.23
2012-11-28,8.19,8.22,8.05,8.18,3619750,8.18
2012-11-29,8.23,8.28,8.08,8.12,1886124,8.12
2012-11-30,8.14,8.14,8.04,8.08,2723756,8.08
2012-12-03,8.14,8.16,7.98,7.99,2715230,7.99
2012-12-04,7.99,8.03,7.8100000000000005,7.9,2172564,7.9
2012-12-05,7.93,7.97,7.82,7.92,2038286,7.92
2012-12-06,7.92,7.95,7.86,7.93,1453522,7.93
2012-12-07,7.9399999999999995,8.12,7.9399999999999995,8.1,2099204,8.1
2012-12-10,8.05,8.19,8.04,8.15,1803419,8.15
2012-12-11,8.19,8.25,8.18,8.23,1462980,8.23
2012-12-12,8.26,8.38,8.15,8.2,2822244,8.2
2012-12-13,8.21,8.23,8.1,8.14,1733634,8.14
2012-12-14,8.15,8.17,8.11,8.14,1472780,8.14
2012-12-17,8.18,8.4,8.16,8.39,1716628,8.39
2012-12-18,8.48,8.55,8.41,8.53,2937917,8.53
2012-12-19,8.55,8.56,8.45,8.45,1607295,8.45
2012-12-20,8.45,8.56,8.45,8.56,1247154,8.56
2012-12-21,8.42,8.5,8.4,8.44,4078122,8.44
2012-12-24,8.4,8.46,8.39,8.44,601539,8.44
2012-12-26,8.45,8.51,8.41,8.45,767157,8.45
2012-12-27,8.47,8.51,8.28,8.42,1251211,8.42
2012-12-28,8.34,8.43,8.32,8.35,1013213,8.35
2012-12-31,8.32,8.43,8.3,8.42,1334940,8.42
2013-01-02,8.61,8.79,8.58,8.78,2143426,8.78
2013-01-03,8.77,8.85,8.72,8.83,2058744,8.83
2013-01-04,8.73,8.97,8.67,8.95,2574920,8.95
2013-01-07,8.91,8.98,8.86,8.97,2126876,8.97
2013-01-08,8.99,9,8.9,8.96,3163606,8.96
2013-01-09,9.03,9.1,8.85,8.9,2669134,8.9
2013-01-10,8.94,8.98,8.88,8.94,2540868,8.94
2013-01-11,8.9,8.93,8.78,8.84,2125818,8.84
2013-01-14,8.94,8.94,8.83,8.87,1847536,8.87
2013-01-15,8.85,8.99,8.82,8.97,1892789,8.97
2013-01-16,8.97,9.15,8.95,9.15,2498387,9.15
