DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.75,17.02,16.43,16.62,1171103,16.62
2012-01-04,16.56,16.58,16.21,16.36,855346,16.36
2012-01-05,16.32,16.7,16.24,16.64,719295,16.64
2012-01-06,16.63,16.69,16.43,16.45,820516,16.45
2012-01-09,16.58,16.73,16.27,16.27,807519,16.27
2012-01-10,16.47,16.66,16.44,16.63,819569,16.63
2012-01-11,16.61,17.18,16.56,17.09,1243311,17.09
2012-01-12,17.47,17.52,16.92,17.15,1035884,17.15
2012-01-13,17,17.25,16.86,17.22,1302733,17.22
2012-01-17,17.44,17.55,17.26,17.37,987328,17.37
2012-01-18,17.4,17.58,17.39,17.52,857565,17.52
2012-01-19,17.64,17.75,17.42,17.68,914187,17.68
2012-01-20,17.7,18.12,17.58,18.12,1466070,18.12
2012-01-23,18.1,18.32,17.99,18.27,1307875,18.27
2012-01-24,18.15,18.52,18.05,18.5,1135004,18.5
2012-01-25,18.41,18.85,18.25,18.8,1385553,18.8
2012-01-26,18.93,19,18.7,18.71,1169298,18.71
2012-01-27,18.44,18.6,18.23,18.36,1425771,18.36
2012-01-30,18.16,18.31,18.1,18.29,1008030,18.29
2012-01-31,18.35,18.47,18.16,18.25,2110901,18.25
2012-02-01,18.38,18.52,18.19,18.27,1028654,18.27
2012-02-02,18.33,18.57,18.14,18.52,1180656,18.52
2012-02-03,18.77,18.94,18.61,18.89,1618585,18.89
2012-02-06,18.85,18.9,18.62,18.76,769381,18.76
2012-02-07,18.63,18.78,18.51,18.6,712710,18.6
2012-02-08,18.62,18.88,18.59,18.86,1111598,18.86
2012-02-09,18.88,18.92,18.32,18.65,925749,18.65
2012-02-10,18.33,18.5,18.24,18.4,1160904,18.4
2012-02-13,18.53,18.83,18.45,18.83,1066818,18.83
2012-02-14,18.72,18.73,18.44,18.54,1000581,18.54
2012-02-15,18.6,18.61,18.26,18.44,1213447,18.44
2012-02-16,18.48,18.82,18.45,18.78,851251,18.78
2012-02-17,18.9,18.94,18.67,18.77,864736,18.77
2012-02-21,18.8,18.82,18.47,18.58,759631,18.58
2012-02-22,18.58,18.67,18.41,18.5,714544,18.5
2012-02-23,18.46,18.74,18.32,18.73,660651,18.73
2012-02-24,18.75,18.76,18.51,18.7,479951,18.7
2012-02-27,18.51,18.73,18.4,18.62,594248,18.62
2012-02-28,18.67,18.68,18.38,18.43,692099,18.43
2012-02-29,18.43,18.6,18.32,18.38,1195872,18.38
2012-03-01,18.4,18.7,18.38,18.7,914711,18.7
2012-03-02,18.73,18.93,18.67,18.77,553887,18.77
2012-03-05,18.71,18.91,18.62,18.87,619273,18.87
2012-03-06,18.51,18.66,18.2,18.24,1369703,18.24
2012-03-07,18.3,18.4,18.18,18.36,718252,18.36
2012-03-08,18.44,18.46,18.13,18.18,806313,18.18
2012-03-09,18.24,18.25,18.07,18.17,991582,18.17
2012-03-12,18,18.44,17.98,18.32,1581653,18.32
2012-03-13,18.47,19,18.26,18.99,1357040,18.99
2012-03-14,18.93,19.28,18.89,19.26,1725406,19.26
2012-03-15,19.31,19.59,19.22,19.46,1454945,19.46
2012-03-16,19.55,19.69,19.45,19.61,2128968,19.61
2012-03-19,19.58,19.9,19.5,19.76,1390514,19.76
2012-03-20,19.55,19.63,19.45,19.46,1261119,19.46
2012-03-21,19.57,19.65,19.42,19.51,852119,19.51
2012-03-22,19.32,19.4,18.99,19.17,912746,19.17
2012-03-23,19.21,19.32,19,19.2,1030521,19.2
2012-03-26,19.43,19.5,19.28,19.44,829290,19.44
2012-03-27,19.48,19.61,19.33,19.52,803049,19.52
2012-03-28,19.51,19.54,19.17,19.48,1037858,19.48
2012-03-29,19.29,19.36,19.03,19.28,1179801,19.28
