DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,48.72,49.28,47.4,47.46,1080491,47.46
2012-01-04,47.38,47.61,46.88,46.91,962930,46.91
2012-01-05,46.85,47.57,46.75,47.52,907159,47.52
2012-01-06,47.49,48.2,47.17,47.73,736628,47.73
2012-01-09,47.98,48.68,47.82,48.2,965867,48.2
2012-01-10,48.73,49.27,48.43,48.57,816463,48.57
2012-01-11,48.49,49.74,48.44,49.32,950227,49.32
2012-01-12,49.39,49.5,48.73,48.8,1129074,48.8
2012-01-13,48.55,48.78,47.7,47.9,940632,47.9
2012-01-17,48.49,49,48.44,48.55,940011,48.55
2012-01-18,48.92,50.27,48.71,50.02,1546242,50.02
2012-01-19,50.02,51.45,50.02,51.03,1276494,51.03
2012-01-20,51.79,52,50.83,51.5,1660825,51.5
2012-01-23,51.31,51.5,50.55,50.57,805535,50.57
2012-01-24,50.77,51.32,50.31,51.26,1079175,51.26
2012-01-25,50.98,51.49,50.53,51.29,927034,51.29
2012-01-26,51.26,52.11,50.03,50.26,1271238,50.26
2012-01-27,51.45,53.04,50.99,52.3,2174283,52.3
2012-01-30,51.51,51.95,50.88,51.07,1395962,51.07
2012-01-31,51.75,51.78,50.5,51.13,1218584,51.13
2012-02-01,51.81,52.15,51.21,51.71,719631,51.71
2012-02-02,51.81,51.99,51.48,51.53,591753,51.53
2012-02-03,52.07,52.26,51.725,51.98,721356,51.98
2012-02-06,51.65,51.69,50.79,50.83,695609,50.83
2012-02-07,50.66,51.19,50.4,51.095,773096,51.095
2012-02-08,50.96,51.72,50.94,51.32,564640,51.32
2012-02-09,51.5,51.5,50.55,50.77,558336,50.77
2012-02-10,50.23,50.35,49.21,49.41,831109,49.41
2012-02-13,49.76,50.08,48.44,49.12,862372,49.12
2012-02-14,49.09,49.62,48.91,49.6,572120,49.6
2012-02-15,49.82,50.38,49.26,49.33,761568,49.33
2012-02-16,49.18,50.84,49.05,50.68,680856,50.68
2012-02-17,51,51.1,49.91,50.17,789088,50.17
2012-02-21,48.9,49.28,48.03,48.21,1137372,48.21
2012-02-22,48.12,48.49,47.98,48.3,1042615,48.3
2012-02-23,48.4,48.75,47.96,48.55,601701,48.55
2012-02-24,48.7,48.98,47.64,47.75,539624,47.75
2012-02-27,47.67,48.75,47.32,48.25,747789,48.25
2012-02-28,48.34,49.28,48.15,49.06,698268,49.06
2012-02-29,49.09,49.29,48.23,48.4,1034635,48.4
2012-03-01,48.53,48.87,47.89,48.08,665448,48.08
2012-03-02,47.95,48.26,47.64,47.75,541573,47.75
2012-03-05,47.63,47.7,46.59,47,878970,47
2012-03-06,46.79,47.47,46.66,47.33,1132749,47.33
2012-03-07,47.53,47.81,47.19,47.63,816775,47.63
2012-03-08,47.9,48.03,47.53,47.95,886030,47.95
2012-03-09,48.11,49.54,48.11,49.46,968554,49.46
2012-03-12,49.29,49.96,48.95,49.82,1021815,49.82
2012-03-13,50,50.64,49.72,50.58,959986,50.58
2012-03-14,50.52,51.43,50.5,50.65,878141,50.65
2012-03-15,50.8,52.08,50.78,51.88,1021099,51.88
2012-03-16,51.79,52.05,51.23,51.99,1034018,51.99
2012-03-19,51.93,52.55,51.75,52.36,603264,52.36
2012-03-20,52.04,52.8,51.85,52.69,986305,52.69
2012-03-21,52.82,52.92,52.37,52.68,827379,52.68
2012-03-22,52.38,52.74,52.07,52.28,968711,52.28
2012-03-23,52.41,52.92,52.03,52.88,733316,52.88
2012-03-26,53,54.1,52.99,54.08,752331,54.08
2012-03-27,54.13,55.02,53.84,54.44,981095,54.44
2012-03-28,54.95,55.15,53.56,54.05,862218,54.05
2012-03-29,53.63,54.18,53.27,54.1,709178,54.1
2012-03-30,54.35,54.82,53.91,54.42,618661,54.42
2012-04-02,54.21,54.94,53.92,54.67,645173,54.67
2012-04-03,54.57,54.78,53.73,53.95,910570,53.95
2012-04-04,53.65,53.85,52.81,53.14,872151,53.14
2012-04-05,52.91,53.73,52.88,53.66,438246,53.66
2012-04-09,53.04,53.48,52.61,53.28,623419,53.28
2012-04-10,53.24,53.41,51.87,52.06,958209,52.06
2012-04-11,52.54,53.56,52.48,53.17,792120,53.17
2012-04-12,53.5,54.19,52.67,53.73,739031,53.73
2012-04-13,53.72,53.72,52.72,52.72,643426,52.72
2012-04-16,52.91,53.13,52.14,52.68,623731,52.68
