DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,70.7514,70.8952,70.1476,70.1764,589291,70.1764
2012-01-04,70.1764,70.4447,69.7738,69.9559,509935,69.9559
2012-01-05,69.9655,70.0805,69.4863,69.7643,502336,69.7643
2012-01-06,69.8409,69.8409,69.4192,69.6109,552518,69.6109
2012-01-09,69.8218,69.8793,69.448,69.6876,495265,69.6876
2012-01-10,69.9655,70.2051,69.7547,69.8505,859889,69.8505
2012-01-11,69.8505,70.0518,69.4288,69.5151,620524,69.5151
2012-01-12,69.5151,69.908,69.3521,69.8122,484668,69.8122
2012-01-13,69.7259,69.8697,69.3234,69.678,566324,69.678
2012-01-17,70.2531,70.7227,70.1764,70.5885,721112,70.5885
2012-01-18,70.6364,70.9815,70.4639,70.8952,472820,70.8952
2012-01-19,70.924,71.1156,70.5885,71.0773,605261,71.0773
2012-01-20,71.0773,71.154,70.2051,70.761,799632,70.761
2012-01-23,70.8377,70.8377,70.2147,70.4639,527775,70.4639
2012-01-24,69.0071,69.7067,67.9049,69.2659,1195716,69.2659
2012-01-25,68.5279,69.1892,68.4608,68.8825,1017028,68.8825
2012-01-26,68.7483,69.4192,68.6812,68.9879,604184,68.9879
2012-01-27,69.0071,69.0071,68.1349,68.1733,538933,68.1733
2012-01-30,68.0199,68.6333,67.5694,68.3745,649159,68.3745
2012-01-31,68.4991,68.8346,68.3362,68.5854,642334,68.5854
2012-02-01,68.6333,69.2946,68.6141,69.055,611129,69.055
2012-02-02,69.3617,69.4288,68.9688,69.3042,477140,69.3042
2012-02-03,69.4863,69.7067,69.0742,69.2275,462242,69.2275
2012-02-06,69.1988,69.6301,69.0742,69.1988,379609,69.1988
2012-02-07,69.1988,69.2659,68.7579,68.7579,492151,68.7579
2012-02-08,68.9304,68.9879,68.5279,68.7196,297644,68.7196
2012-02-09,68.7196,68.9112,68.432,68.8921,294731,68.8921
2012-02-10,68.6525,68.7291,68.4129,68.5854,529211,68.5854
2012-02-13,68.8921,69.0071,68.6716,68.7579,350108,68.7579
2012-02-14,68.7579,68.9017,68.2883,68.6525,508413,68.6525
2012-02-15,68.3074,68.5566,68.087,68.2403,522549,68.2403
2012-02-16,68.3841,68.7387,68.3074,68.4608,449072,68.4608
2012-02-17,68.8729,68.8729,68.3362,68.595,695282,68.595
2012-02-21,68.595,68.7483,68.2308,68.432,460152,68.432
2012-02-22,68.4512,68.547,67.9912,68.2691,717874,68.2691
2012-02-23,68.1157,69.0167,68.1157,68.9112,508652,68.9112
2012-02-24,68.8633,68.8633,68.3458,68.825,453335,68.825
2012-02-27,68.5279,68.9688,68.5183,68.8633,447528,68.8633
2012-02-28,69.0071,69.3234,68.7771,69.2275,458211,69.2275
2012-02-29,69.1892,70.0709,69.1604,69.8505,1101410,69.8505
2012-03-01,69.8409,69.9655,68.8825,69.17,670530,69.17
2012-03-02,69.333,69.5534,69.1604,69.3425,425473,69.3425
2012-03-05,69.3521,69.7451,69.3425,69.6397,398533,69.6397
2012-03-06,69.4959,69.8218,69.3905,69.5821,548053,69.5821
2012-03-07,68.8537,68.9112,68.2979,68.4704,1072289,68.4704
2012-03-08,68.7962,68.9975,68.6141,68.8058,426347,68.8058
2012-03-09,68.8633,68.9975,68.6621,68.7867,316235,68.7867
2012-03-12,68.6908,69.2755,68.6908,69.2084,539683,69.2084
2012-03-13,69.3521,70.0326,69.3521,70.0134,513896,70.0134
2012-03-14,69.9655,70.2147,69.5342,69.7834,511933,69.7834
2012-03-15,69.7451,70.0614,69.5055,69.8888,467277,69.8888
2012-03-16,69.9655,69.9655,69.6301,69.8888,1100854,69.8888
2012-03-19,69.8026,70.1093,69.5534,69.9751,400660,69.9751
2012-03-20,69.6301,70.4256,69.6301,70.3393,459792,70.3393
2012-03-21,70.2818,70.5693,70.2051,70.3681,479426,70.3681
2012-03-22,70.2531,70.4735,70.1476,70.3106,596786,70.3106
2012-03-23,70.416,70.5118,69.9655,70.0901,490485,70.0901
2012-03-26,70.2435,70.6652,70.138,70.6364,664252,70.6364
2012-03-27,70.761,70.8473,70.5885,70.6173,500473,70.6173
2012-03-28,70.5406,70.8377,70.4352,70.8281,608893,70.8281
2012-03-29,70.6843,70.8664,70.2051,70.7706,663619,70.7706
2012-03-30,70.8377,71.2882,70.7706,70.8185,1016738,70.8185
2012-04-02,70.646,71.729,70.646,71.4703,668983,71.4703
2012-04-03,71.4128,71.6332,71.1827,71.3457,612390,71.3457
2012-04-04,71.3361,71.6044,71.0677,71.1348,617678,71.1348
2012-04-05,71.039,71.3169,70.7706,71.2786,453790,71.2786
2012-04-09,70.8473,71.1444,70.7994,70.9527,421515,70.9527
2012-04-10,70.9527,70.9527,70.2818,70.4735,583245,70.4735
2012-04-11,71.039,71.0581,70.5693,70.8664,615538,70.8664
2012-04-12,70.8473,71.1636,70.5022,71.0869,376894,71.0869
2012-04-13,70.9431,71.6715,70.9431,71.2594,577330,71.2594
2012-04-16,71.3361,71.8249,71.3169,71.6236,551191,71.6236
2012-04-17,71.7195,72.3616,71.5853,72.3616,702848,72.3616
2012-04-18,72.2274,72.6108,72.1891,72.5149,499711,72.5149
2012-04-19,72.4862,72.6204,71.8728,72.1412,482903,72.1412
2012-04-20,72.8408,73.8759,72.745,73.2913,1412471,73.2913
2012-04-23,72.4287,73.5501,72.4287,73.4638,898060,73.4638
2012-04-24,73.4638,75.4478,73.3967,75.4286,1464984,75.4286
2012-04-25,75.2369,75.9078,75.189,75.4573,1030650,75.4573
2012-04-26,75.3327,75.9557,75.3232,75.7544,572275,75.7544
2012-04-27,75.6394,75.7161,75.2752,75.4094,738361,75.4094
2012-04-30,74.6523,75.2561,74.6427,75.2081,1108248,75.2081
2012-05-01,74.6714,75.6011,74.6714,75.026,948342,75.026
2012-05-02,74.566,75.3807,74.5085,75.2752,1061549,75.2752
2012-05-03,75.1219,75.7353,75.1219,75.4669,916294,75.4669
2012-05-04,75.3423,75.7161,74.9973,75.0356,653823,75.0356
2012-05-07,74.7673,75.9078,74.7673,75.7161,729075,75.7161
2012-05-08,75.419,75.9174,75.3519,75.6011,950453,75.6011
2012-05-09,75.2944,76.4733,75.2369,76.2337,1066309,76.2337
2012-05-10,76.5691,76.6075,76.2241,76.4254,497376,76.4254
2012-05-11,76.3678,76.4541,76.0516,76.0899,470526,76.0899
2012-05-14,75.9078,76.4254,75.8886,76.2241,609352,76.2241
2012-05-15,76.1953,76.5212,75.8886,76.3774,606314,76.3774
2012-05-16,76.4637,76.6745,76.272,76.4445,766032,76.4445
2012-05-17,76.5691,76.5979,75.7257,75.7257,560100,75.7257
2012-05-18,75.9366,76.2624,75.3902,75.5532,889589,75.5532
2012-05-21,75.5819,75.6011,74.959,75.3711,480457,75.3711
2012-05-22,75.3711,75.7832,75.2369,75.4094,457401,75.4094
2012-05-23,75.2848,75.5148,74.8056,75.2273,507101,75.2273
2012-05-24,75.2177,76.0516,75.1794,75.9174,448461,75.9174
2012-05-25,75.9174,76.387,75.879,76.157,435895,76.157
2012-05-29,76.2049,76.5404,76.042,76.4445,569925,76.4445
2012-05-30,76.0707,76.5979,75.9174,75.9653,558781,75.9653
2012-05-31,76.0516,76.4254,75.8503,76.0516,668449,76.0516
2012-06-01,75.6299,75.7065,74.9206,75.026,614942,75.026
2012-06-04,75.074,75.6011,74.6139,75.5819,660808,75.5819
2012-06-05,75.3327,75.9749,75.0069,75.9557,720121,75.9557
2012-06-06,75.4861,76.9142,75.4861,76.895,1260661,76.895
2012-06-07,77.1538,77.4413,76.8566,77.2496,1358035,77.2496
2012-06-08,77.2209,77.9493,77.2209,77.8247,482622,77.8247
2012-06-11,78.1122,78.2751,77.6521,77.7672,600211,77.7672
2012-06-12,77.9013,78.1218,77.4796,78.1218,573164,78.1218
2012-06-13,77.863,78.3135,77.6042,78.256,759089,78.256
2012-06-14,78.4764,79.1473,78.1026,79.1377,772750,79.1377
2012-06-15,79.3486,79.4732,78.946,79.0515,1196346,79.0515
2012-06-18,79.0131,79.3486,78.7831,79.3486,492227,79.3486
2012-06-19,79.5115,79.8661,79.1569,79.7511,591073,79.7511
2012-06-20,79.1569,79.1856,78.0643,78.2176,868482,78.2176
2012-06-21,78.3806,78.3997,77.2784,77.355,675478,77.355
2012-06-22,77.7863,78.1985,77.5467,77.9972,541740,77.9972
2012-06-25,77.6809,77.9109,77.4509,77.633,426760,77.633
2012-06-26,77.8822,78.4956,77.6234,78.2751,541129,78.2751
2012-06-27,78.601,78.8885,78.3901,78.4572,387520,78.4572
2012-06-28,78.2368,79.1569,77.9301,79.1281,523728,79.1281
2012-06-29,79.4157,80.2878,78.9748,80.2878,794843,80.2878
2012-07-02,79.8853,80.4124,79.5978,80.4124,521535,80.4124
2012-07-03,80.5083,80.6712,80.307,80.5083,323354,80.5083
2012-07-05,80.6137,80.7095,80.3358,80.6041,521191,80.6041
2012-07-06,80.2687,80.7287,80.1345,80.422,359092,80.422
2012-07-09,80.422,80.8437,80.2878,80.7958,525501,80.7958
2012-07-10,80.9875,81.2463,80.7191,81.2463,460313,81.2463
2012-07-11,81.3709,81.3709,80.66159999999999,80.8437,621033,80.8437
2012-07-12,80.8054,81.045,80.537,80.8246,516588,80.8246
2012-07-13,80.9396,81.7926,80.8821,81.668,394838,81.668
2012-07-16,81.5338,82.1664,81.5338,81.6584,360321,81.6584
2012-07-17,81.9076,82.5497,81.7159,82.2526,401994,82.2526
2012-07-18,82.1568,82.6647,81.9843,82.4922,387277,82.4922
2012-07-19,82.5018,82.636,81.898,82.3101,421789,82.3101
2012-07-20,81.7446,82.2143,81.1217,81.3038,1334258,81.3038
2012-07-23,81.045,81.553,80.9875,81.1792,511188,81.1792
2012-07-24,81.1217,81.2079,79.6073,80.0195,815367,80.0195
2012-07-25,80.0866,80.5562,79.7607,79.9332,1020088,79.9332
2012-07-26,80.5083,82.6647,80.4412,82.1568,878667,82.1568
2012-07-27,82.1568,84.0353,81.7159,83.6903,945371,83.6903
2012-07-30,83.4698,84.342,83.3069,84.2749,600555,84.2749
2012-07-31,84.0928,84.227,83.2781,83.2973,708444,83.2973
2012-08-01,83.4794,84.0832,83.2781,83.5465,595350,83.5465
2012-08-02,83.9395,83.9395,82.7893,83.2686,798023,83.2686
2012-08-03,84.2462,84.2462,81.6488,81.8022,1575702,81.8022
2012-08-06,81.898,82.0609,80.077,80.2303,1048900,80.2303
2012-08-07,80.5179,80.6904,77.9301,79.2815,1244381,79.2815
2012-08-08,79.0706,80.1824,79.0706,79.7894,883741,79.7894
2012-08-09,79.5498,79.7607,79.2527,79.4061,461607,79.4061
2012-08-10,79.3102,79.5978,79.2336,79.3773,518402,79.3773
2012-08-13,79.2527,79.4444,79.0035,79.061,484286,79.061
2012-08-14,79.4444,79.5403,79.0323,79.4923,494928,79.4923
2012-08-15,79.4348,79.9236,79.1281,79.5786,371032,79.5786
2012-08-16,79.454,80.1057,79.3582,79.9811,458657,79.9811
2012-08-17,79.9811,80.5562,79.799,80.4603,760226,80.4603
2012-08-20,80.3358,80.7,80.2112,80.5849,415678,80.5849
2012-08-21,80.7766,80.9875,80.537,80.6712,590365,80.6712
2012-08-22,80.537,80.7958,80.1537,80.3645,512621,80.3645
2012-08-23,80.2495,80.4795,79.8661,79.9524,293747,79.9524
2012-08-24,79.8374,80.4891,79.8374,80.1824,386809,80.1824
2012-08-27,80.1249,80.3837,80.1249,80.1441,210086,80.1441
2012-08-28,79.9715,80.4603,79.9715,80.192,239432,80.192
2012-08-29,80.192,80.2878,79.962,80.0195,291133,80.0195
2012-08-30,79.9236,80.1057,79.061,80.0099,539709,80.0099
2012-08-31,80.2207,80.4124,79.8278,80.1249,481518,80.1249
2012-09-04,80.2974,80.8725,79.9236,80.2495,690271,80.2495
2012-09-05,79.1761,79.8565,79.1665,79.1665,895989,79.1665
2012-09-06,79.4923,80.1537,79.4923,80.1441,410616,80.1441
2012-09-07,80.2687,80.5083,79.2336,79.4827,499384,79.4827
2012-09-10,79.3869,79.4157,78.8128,78.946,430180,78.946
2012-09-11,79.0419,79.3294,78.6489,78.9269,387031,78.9269
2012-09-12,79.0035,79.3677,78.7927,78.9173,427969,78.9173
2012-09-13,78.7735,79.8661,78.7639,79.8086,698238,79.8086
2012-09-14,79.7703,79.8086,78.486,79.2431,1055193,79.2431
2012-09-17,79.2144,79.6553,78.8118,79.569,429326,79.569
2012-09-18,79.4636,80.1537,79.3965,80.1537,446960,80.1537
2012-09-19,80.1537,80.8629,80.1537,80.8629,500974,80.8629
2012-09-20,80.8725,81.6105,80.8725,81.4667,558563,81.4667
2012-09-21,81.9172,81.9459,81.5242,81.7734,1630555,81.7734
2012-09-24,81.6584,82.1855,81.2942,82.0418,365951,82.0418
2012-09-25,82.2334,82.6072,81.9459,81.9459,675255,81.9459
2012-09-26,81.9459,82.2814,81.7638,81.8117,431763,81.8117
2012-09-27,81.9651,82.3485,81.5721,82.128,476576,82.128
2012-09-28,82.0226,82.291,81.4955,82.2143,532771,82.2143
2012-10-01,82.1855,83.0289,82.0609,82.8373,413818,82.8373
2012-10-02,83.1056,83.2781,82.5018,82.7798,369441,82.7798
2012-10-03,83.0481,83.0577,82.5593,82.8564,384901,82.8564
2012-10-04,82.9139,83.374,82.9139,83.1823,234410,83.1823
2012-10-05,83.4698,83.5177,83.1152,83.2781,324696,83.2781
2012-10-08,83.2206,83.3069,82.866,83.0481,213899,83.0481
2012-10-09,83.0769,83.2398,82.4635,82.4922,477700,82.4922
2012-10-10,82.6168,83.1631,82.3293,82.4156,277628,82.4156
2012-10-11,82.8181,82.8277,82.2526,82.4156,242155,82.4156
2012-10-12,82.6552,82.8373,81.9459,82.0897,296560,82.0897
2012-10-15,82.0226,82.9331,81.9843,82.6839,334463,82.6839
2012-10-16,82.9044,83.1152,82.6264,83.0577,264641,83.0577
2012-10-17,83.144,83.9011,83.0385,83.8053,282199,83.8053
2012-10-18,83.6711,84.1503,83.4411,84.0353,316699,84.0353
2012-10-19,83.8628,83.9395,82.981,83.2686,880557,83.2686
2012-10-22,83.0865,83.2302,82.3389,82.9427,369007,82.9427
2012-10-23,82.4731,82.7702,81.7159,82.3676,397726,82.3676
2012-10-24,82.4251,83.259,80.5179,80.7191,769878,80.7191
2012-10-25,80.9491,81.4188,79.0035,79.3965,860408,79.3965
2012-10-26,79.4252,79.5498,78.8502,79.3102,761648,79.3102
2012-10-31,79.3006,80.0674,79.1856,79.9811,684194,79.9811
2012-11-01,80.0674,80.652,79.6073,80.2782,526952,80.2782
2012-11-02,80.9587,80.9587,79.8086,79.8757,636727,79.8757
2012-11-05,79.8182,79.8661,79.4252,79.6744,322871,79.6744
2012-11-06,79.847,80.2687,79.6265,79.962,341105,79.962
2012-11-07,79.6744,79.914,78.7352,79.6361,468400,79.6361
2012-11-08,79.3965,80.2303,79.1665,79.1665,445573,79.1665
2012-11-09,79.1281,80.0195,79.1281,79.6744,437259,79.6744
2012-11-12,79.7032,80.2782,79.3294,80.1632,166471,80.1632
2012-11-13,79.914,81.2271,79.914,80.8821,679048,80.8821
2012-11-14,81.0354,81.1983,80.1249,80.3741,591254,80.3741
2012-11-15,80.3645,80.652,79.9428,80.3453,478847,80.3453
2012-11-16,80.4316,81.4955,80.3262,81.4955,931622,81.4955
2012-11-19,81.9459,82.6264,81.8692,82.4251,564230,82.4251
2012-11-20,82.3197,82.7031,81.9843,82.636,422365,82.636
2012-11-21,82.8468,82.866,82.2143,82.6935,267074,82.6935
2012-11-23,82.8756,83.7094,82.8181,83.7094,167221,83.7094
2012-11-26,83.3836,83.3836,82.6456,82.7893,538013,82.7893
2012-11-27,82.9331,83.2206,81.9651,82.0226,599258,82.0226
2012-11-28,82.0418,82.7127,81.9076,82.4539,547309,82.4539
2012-11-29,82.4443,82.6552,81.898,82.1089,441183,82.1089
2012-11-30,82.1664,82.4443,81.9172,82.1568,1162215,82.1568
2012-12-03,82.1759,82.5114,81.7734,82.128,370796,82.128
2012-12-04,81.9651,82.3772,81.6105,82.243,453077,82.243
2012-12-05,81.5625,81.9459,81.1696,81.3134,381185,81.3134
2012-12-06,81.3613,81.6105,81.0546,81.4571,247813,81.4571
2012-12-07,81.5146,82.358,81.505,82.3389,315218,82.3389
2012-12-10,82.1759,82.3197,81.8405,82.1472,259911,82.1472
2012-12-11,82.3293,82.5114,82.013,82.2143,306424,82.2143
2012-12-12,82.4251,82.4443,81.783,81.9459,519260,81.9459
2012-12-13,81.9651,82.6072,81.9363,82.2143,394110,82.2143
2012-12-14,82.1855,82.406,81.3709,81.5146,457660,81.5146
2012-12-17,81.6392,82.0322,81.4955,81.9651,419085,81.9651
2012-12-18,81.9651,82.8277,81.6488,82.5785,552543,82.5785
2012-12-19,82.5785,82.6839,81.4188,81.4667,341862,81.4667
2012-12-20,81.553,81.8501,81.1792,81.4188,342631,81.4188
2012-12-21,81.4667,81.4667,80.422,80.5562,1868256,80.5562
2012-12-24,80.192,80.4987,80.1345,80.307,174658,80.307
2012-12-26,80.2878,80.5945,79.8086,80.0195,330303,80.0195
2012-12-27,80.0195,80.5179,79.7224,80.4412,363597,80.4412
2012-12-28,80.1153,80.5466,79.6649,79.6744,292797,79.6744
2012-12-31,79.2815,80.9396,79.2815,80.9204,505928,80.9204
2013-01-02,81.8117,82.7893,81.4763,82.7893,559444,82.7893
2013-01-03,82.9044,82.9044,82.1376,82.4347,492499,82.4347
2013-01-04,82.5306,82.7893,82.0418,82.7702,300419,82.7702
2013-01-07,82.3101,82.3676,80.8725,80.9491,602014,80.9491
2013-01-08,80.7479,81.0546,80.4316,80.537,484590,80.537
2013-01-09,80.8054,81.3325,80.5658,81.0929,295053,81.0929
2013-01-10,81.2654,81.5338,80.9396,81.3996,532352,81.3996
2013-01-11,81.5338,81.7159,81.1888,81.5625,301126,81.5625
2013-01-14,81.7255,82.2718,81.5146,82.0897,233164,82.0897
2013-01-15,82.1951,82.4251,81.7638,82.1376,349845,82.1376
2013-01-16,81.9747,82.0226,81.6488,81.9363,280908,81.9363
2013-01-17,82.1664,83.0673,82.0322,82.7414,290836,82.7414
2013-01-18,82.9427,83.2398,82.4251,83.211,714969,83.211
2013-01-22,83.2302,83.6711,82.981,83.5753,395530,83.5753
2013-01-23,83.2494,83.9586,83.2494,83.3836,458630,83.3836
2013-01-24,83.3836,83.5465,82.5593,82.981,704523,82.981
2013-01-25,83.8628,83.997,82.4635,82.6743,654671,82.6743
2013-01-28,82.9139,83.3644,82.6743,83.1919,651750,83.1919
2013-01-29,82.9906,84.7733,82.9906,84.4762,630779,84.4762
2013-01-30,84.4378,85.195,84.2653,84.4858,395943,84.4858
2013-01-31,84.5337,85.8755,83.882,85.7892,1076024,85.7892
2013-02-01,86.1439,86.441,85.9522,86.2684,667003,86.2684
2013-02-04,85.6742,86.1534,85.5209,85.588,382678,85.588
2013-02-05,85.9713,87.016,85.9713,86.4889,381141,86.4889
2013-02-06,86.1247,87.1502,85.6646,87.1215,470676,87.1215
2013-02-07,87.0064,87.3706,86.7189,87.1981,353312,87.1981
2013-02-08,87.1981,87.7636,86.8627,87.1215,475207,87.1215
2013-02-11,86.6327,87.1406,86.5081,86.6422,414526,86.6422
2013-02-12,86.7764,86.8148,86.0193,86.163,397966,86.163
2013-02-13,86.2109,86.3355,85.6742,86.1534,366367,86.1534
2013-02-14,86.163,86.7764,86.1247,86.441,327859,86.441
2013-02-15,86.671,87.4761,86.5176,87.409,778537,87.409
2013-02-19,87.5336,88.3866,87.5336,88.377,464972,88.377
2013-02-20,88.377,88.8179,87.9169,87.9265,789757,87.9265
2013-02-21,87.6678,88.4345,87.3611,88.0415,433910,88.0415
2013-02-22,88.0607,90.5814,88.0607,90.5718,859139,90.5718
2013-02-25,90.5718,91.9136,90.3226,90.3226,818936,90.3226
2013-02-26,90.3418,91.0798,89.9297,90.3034,574437,90.3034
2013-02-27,90.0351,91.4919,89.8434,91.2331,444414,91.2331
2013-02-28,91.2427,91.9136,90.361,90.361,796297,90.361
2013-03-01,90.3226,90.6293,89.853,90.3801,647477,90.3801
2013-03-04,90.3801,91.0989,90.2555,91.0894,359701,91.0894
2013-03-05,91.3961,92.4887,91.3961,91.8849,453222,91.8849
2013-03-06,91.2427,91.4727,90.476,90.706,341062,90.706
