DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,32.7,32.74,32.17,32.49,843016,32.49
2012-01-04,32.48,32.58,32.06,32.49,642335,32.49
2012-01-05,32.62,32.75,32.21,32.65,636808,32.65
2012-01-06,32.9,33.29,32.32,32.89,520637,32.89
2012-01-09,32.95,33.5,32.67,32.81,298068,32.81
2012-01-10,33.5,33.5,32.8,33.18,351288,33.18
2012-01-11,33.4,33.99,33.2,33.39,351803,33.39
2012-01-12,33.69,33.87,32.83,33.08,202342,33.08
2012-01-13,32.98,33.05,32.58,32.86,240258,32.86
2012-01-17,33.29,33.43,32.85,33.07,398195,33.07
2012-01-18,33,33.17,32.49,32.83,256100,32.83
2012-01-19,32.5,33.15,32.5,33.03,184091,33.03
2012-01-20,33,33.23,32.65,32.77,206867,32.77
2012-01-23,33,33.14,32.71,32.81,153775,32.81
2012-01-24,33,33,32.6,32.68,170655,32.68
2012-01-25,32.9,33.23,32.78,33.23,290695,33.23
2012-01-26,33.35,33.51,32.75,32.84,249512,32.84
2012-01-27,32.6,32.74,32.16,32.38,480852,32.38
2012-01-30,32.34,32.4,32.07,32.24,312502,32.24
2012-01-31,32.84,32.84,32.16,32.47,244304,32.47
2012-02-01,32.67,32.67,32.17,32.33,202616,32.33
2012-02-02,32.27,32.53,32.1,32.18,234140,32.18
2012-02-03,32.26,32.3,31.81,31.92,342177,31.92
2012-02-06,31.88,32.4,31.88,32.26,255788,32.26
2012-02-07,32.45,32.45,31.76,31.84,367904,31.84
2012-02-08,31.89,32.07,31.79,32.07,284315,32.07
2012-02-09,32,32.78,32,32.64,384625,32.64
2012-02-10,32.5,32.5,32.16,32.35,252254,32.35
2012-02-13,32.5,32.66,32.21,32.57,283908,32.57
2012-02-14,32.99,32.99,32.22,32.31,355460,32.31
2012-02-15,32.5,32.5,32.11,32.15,346444,32.15
2012-02-16,32.08,32.49,32.04,32.33,381226,32.33
2012-02-17,32.22,32.63,32.19,32.23,318876,32.23
2012-02-21,32.22,32.62,31.88,32.07,291665,32.07
2012-02-22,32.17,32.34,31.87,32.23,307440,32.23
2012-02-23,32.18,32.59,31.99,32.32,269246,32.32
2012-02-24,32.49,33.34,32.36,33.24,392797,33.24
2012-02-27,33.44,34.99,33.32,34.76,684524,34.76
2012-02-28,34.75,35.86,34.61,35.26,541794,35.26
2012-02-29,35.96,35.96,35.09,35.24,671649,35.24
2012-03-01,35.4,35.99,35.34,35.92,364646,35.92
2012-03-02,35.76,36.33,35.76,36.29,305382,36.29
2012-03-05,36.39,36.59,36.06,36.23,241010,36.23
2012-03-06,35.97,36.11,35.31,35.35,371538,35.35
2012-03-07,35.4,36.35,35.4,36.3,299897,36.3
2012-03-08,36.41,37.03,36.41,36.73,229927,36.73
2012-03-09,36.79,37.57,36.66,37.52,366353,37.52
2012-03-12,37.6,37.63,36.55,36.74,556603,36.74
2012-03-13,36.85,36.92,36.44,36.61,392601,36.61
2012-03-14,36.5,36.69,36.01,36.05,331246,36.05
2012-03-15,36.15,36.69,35.29,36.25,484891,36.25
2012-03-16,36.11,36.92,36.01,36.85,1173263,36.85
2012-03-19,36.74,37.37,36.58,37.14,215449,37.14
2012-03-20,36.7,36.93,36.32,36.75,388592,36.75
2012-03-21,36.78,37.4,36.73,37.07,324731,37.07
2012-03-22,37.07,37.46,37.03,37.38,306653,37.38
2012-03-23,37.5,38.62,37.45,38.6,329682,38.6
2012-03-26,39.12,39.12,37.78,38.37,274159,38.37
2012-03-27,38.43,38.57,38.13,38.44,345112,38.44
2012-03-28,38.52,39.25,38.17,39.25,393399,39.25
2012-03-29,39.02,39.2,38.73,39.01,366280,39.01
2012-03-30,39.25,39.25,38.34,38.65,667173,38.65
2012-04-02,38.9,39.34,38.38,39.1,265271,39.1
2012-04-03,39.45,40.25,39.21,39.73,696189,39.73
2012-04-04,39.45,39.65,39.13,39.22,371439,39.22
2012-04-05,39.08,39.85,39.08,39.85,438032,39.85
2012-04-09,39.48,39.84,39.27,39.38,210579,39.38
2012-04-10,39.59,39.59,37.63,38.1,618047,38.1
2012-04-11,38.32,38.44,37.86,38.23,356825,38.23
2012-04-12,38.27,38.64,38.15,38.52,199361,38.52
2012-04-13,38.26,38.66,38.25,38.41,211389,38.41
2012-04-16,38.48,38.6,37.6,37.7,313228,37.7
2012-04-17,37.81,37.93,37.04,37.24,417102,37.24
2012-04-18,37.08,37.25,36.58,37.25,414050,37.25
2012-04-19,37.45,37.45,36.68,36.73,323305,36.73
2012-04-20,36.77,36.84,35.88,36.16,853861,36.16
2012-04-23,35.86,35.89,34.83,35.11,439925,35.11
2012-04-24,35.13,35.34,34.69,35.09,329335,35.09
2012-04-25,35.25,35.94,35,35.92,674106,35.92
2012-04-26,35.73,35.88,35.08,35.68,562976,35.68
2012-04-27,35.8,36.1,35.55,35.84,423188,35.84
2012-04-30,35.83,35.98,35.64,35.9,490573,35.9
2012-05-01,35.9,36.66,35.9,36.42,671067,36.42
2012-05-02,36.57,37.15,36.04,36.37,720771,36.37
2012-05-03,36.38,36.49,35.64,35.75,283579,35.75
2012-05-04,35.58,36.17,34.9,35.25,395911,35.25
2012-05-07,34.96,35.27,34.96,35.15,345586,35.15
2012-05-08,34.92,35.15,34.31,34.97,438135,34.97
2012-05-09,34.61,34.84,33.95,34.08,464608,34.08
2012-05-10,34.35,34.7,33.74,34.3,844124,34.3
2012-05-11,34.04,34.19,33.81,33.99,537073,33.99
2012-05-14,33.77,33.95,33.34,33.55,536099,33.55
2012-05-15,33.4,33.71,32.76,33.3,1040608,33.3
2012-05-16,33.47,33.73,33.17,33.25,729533,33.25
2012-05-17,33.26,33.46,32.57,33,921040,33
2012-05-18,34.25,34.25,32.39,32.5,1590205,32.5
2012-05-21,32.54,33.37,31.86,33.36,904469,33.36
2012-05-22,34.21,34.33,33.42,33.8,1339695,33.8
2012-05-23,33.65,33.75,31.95,33.16,2254426,33.16
2012-05-24,33.29,33.78,32.11,32.11,15965683,32.11
2012-05-25,32.06,32.63,31.61,32.42,2587977,32.42
2012-05-29,32.6,33.51,32.59,33.5,2456028,33.5
2012-05-30,33.22,33.67,33.04,33.67,1793977,33.67
2012-05-31,33.59,34.19,32.95,34.19,4548889,34.19
2012-06-01,33.44,33.44,32.09,32.35,2545615,32.35
2012-06-04,32.51,33.04,32.41,33,2964719,33
2012-06-05,32.89,33.14,32.58,33.02,1517703,33.02
2012-06-06,32.2,32.24,31.9,31.9,13380011,31.9
2012-06-07,32.54,32.54,31.33,31.49,4830102,31.49
2012-06-08,31.74,31.75,31.02,31.53,2313010,31.53
2012-06-11,31.9,31.9,31.38,31.44,1186919,31.44
2012-06-12,31.61,31.75,31.12,31.35,1856319,31.35
2012-06-13,31.11,31.53,31.09,31.23,1673241,31.23
2012-06-14,31.34,31.55,31.27,31.47,1346341,31.47
2012-06-15,31.62,31.96,31.52,31.9,3709116,31.9
2012-06-18,31.75,31.88,31.62,31.85,1120781,31.85
2012-06-19,32.06,32.45,31.88,32.36,1801391,32.36
2012-06-20,32.34,32.51,32.08,32.34,1380895,32.34
2012-06-21,32.43,32.43,31.9,31.98,1764500,31.98
2012-06-22,32.02,32.18,31.45,31.68,1884042,31.68
2012-06-25,31.3,31.47,30.67,30.83,2012868,30.83
2012-06-26,30.95,31.01,30.52,30.77,1345620,30.77
2012-06-27,30.82,31.1,30.82,30.99,1078706,30.99
2012-06-28,30.84,31.26,30.79,31.22,1613879,31.22
2012-06-29,31.43,32.27,31.43,32.22,2013993,32.22
2012-07-02,32.54,32.75,32.03,32.74,1228424,32.74
2012-07-03,32.8,33.17,32.75,33.16,1313115,33.16
2012-07-05,33.09,33.36,32.89,33.26,1035289,33.26
2012-07-06,33.01,33.11,32.8,32.96,696483,32.96
2012-07-09,32.91,33,32.4,32.74,716402,32.74
2012-07-10,32.88,32.92,32.53,32.79,959828,32.79
2012-07-11,32.82,33.2,32.62,33.05,1274831,33.05
2012-07-12,32.99,33.54,32.82,33.34,1332263,33.34
2012-07-13,33.76,34.55,33.64,34.54,1412600,34.54
2012-07-16,34.6,34.77,34.44,34.7,854532,34.7
2012-07-17,34.84,35.12,34.57,35.04,1052947,35.04
2012-07-18,34.93,35.42,34.83,35.39,1085260,35.39
2012-07-19,35.54,35.54,34.7,35.25,775118,35.25
2012-07-20,35.15,35.39,34.92,34.99,1110220,34.99
2012-07-23,34.63,34.95,34.47,34.86,782606,34.86
2012-07-24,35,35.3,34.54,34.87,875714,34.87
2012-07-25,35.01,35.26,34.92,35.26,952865,35.26
2012-07-26,35.65,35.87,35.37,35.72,1096427,35.72
2012-07-27,35.5,35.94,35.19,35.81,1076460,35.81
2012-07-30,35.97,36,35.73,35.83,639996,35.83
2012-07-31,35.9,36.03,35.62,35.81,867333,35.81
2012-08-01,35.97,36.02,35.6,35.74,835637,35.74
2012-08-02,35.42,35.77,35.15,35.4,847559,35.4
2012-08-03,36,36,35.63,35.89,1157938,35.89
2012-08-06,35.96,36.34,35.88,36.17,948375,36.17
2012-08-07,36.2,36.63,36.02,36.43,953518,36.43
2012-08-08,36.43,36.56,36.08,36.14,576619,36.14
2012-08-09,35.96,36.19,35.69,35.81,741081,35.81
2012-08-10,34.9,34.92,34.48,34.64,8055417,34.64
2012-08-13,34.75,34.84,34.62,34.73,4876774,34.73
2012-08-14,34.79,34.84,34.69,34.77,1484160,34.77
2012-08-15,34.89,34.94,34.46,34.49,1059119,34.49
2012-08-16,34.9,34.98,34.43,34.47,1317544,34.47
2012-08-17,34.29,34.42,33.67,34.22,1454434,34.22
2012-08-20,34.9,34.99,34.52,34.86,1231820,34.86
2012-08-21,34.98,35.1,34.8,34.97,1821278,34.97
2012-08-22,34.93,35.09,34.73,34.97,763675,34.97
2012-08-23,34.93,34.99,34.82,34.85,591147,34.85
2012-08-24,34.75,35.3,34.75,35.29,857604,35.29
2012-08-27,35.4,35.5,35.22,35.28,615651,35.28
2012-08-28,35.17,35.27,35.02,35.23,743753,35.23
2012-08-29,35.3,35.54,35.11,35.44,548471,35.44
2012-08-30,35.46,35.58,35.26,35.44,785791,35.44
2012-08-31,35.62,35.85,35.46,35.77,2163540,35.77
2012-09-04,35.81,35.84,35.5,35.68,864084,35.68
2012-09-05,35.67,35.76,35.43,35.5,560979,35.5
2012-09-06,35.67,35.8,35.61,35.74,955536,35.74
2012-09-07,35.89,35.92,35.4,35.84,1113837,35.84
2012-09-10,35.83,35.91,35.7,35.76,416358,35.76
2012-09-11,35.8,35.88,35.73,35.75,577006,35.75
2012-09-12,35.93,35.93,35.64,35.67,515518,35.67
2012-09-13,35.71,36.08,35.7,35.97,1117294,35.97
2012-09-14,36.07,36.4,36.02,36.23,1013613,36.23
2012-09-17,36.28,36.5,36.16,36.24,1037110,36.24
2012-09-18,36.16,36.21,35.94,36.05,524977,36.05
2012-09-19,36.16,36.28,35.91,35.95,511250,35.95
2012-09-20,35.9,35.95,35.47,35.66,823980,35.66
2012-09-21,35.68,35.82,35.62,35.7,2958624,35.7
2012-09-24,35.99,36.04,35.78,35.8,1062750,35.8
2012-09-25,35.85,35.97,35.52,35.53,1043041,35.53
2012-09-26,35.5,35.55,35.11,35.15,990140,35.15
2012-09-27,35.22,35.7,35.22,35.66,702767,35.66
2012-09-28,35.49,35.73,35.36,35.52,1477095,35.52
2012-10-01,35.72,35.77,35.35,35.45,1177108,35.45
2012-10-02,35.52,35.66,35.25,35.5,723053,35.5
2012-10-03,35.54,36.06,35.52,36.04,1306653,36.04
2012-10-04,36.13,36.39,36.08,36.25,647296,36.25
2012-10-05,36.35,36.49,35.92,36.04,802416,36.04
2012-10-08,36,36.05,35.39,35.56,911251,35.56
2012-10-09,35.59,35.77,35.07,35.08,1024795,35.08
2012-10-10,35.1,35.17,34.8,35.16,938088,35.16
2012-10-11,35.25,35.32,35.04,35.09,662642,35.09
2012-10-12,34.2,34.78,34.2,34.5,12787938,34.5
2012-10-15,34.58,34.91,34.36,34.89,4445282,34.89
2012-10-16,35.17,35.61,35,35.52,2220716,35.52
2012-10-17,35.68,35.82,35.6,35.77,1368980,35.77
2012-10-18,36,36.13,35.7,35.87,1418997,35.87
2012-10-19,35.75,35.85,34.92,34.97,2355702,34.97
2012-10-22,35,35.15,34.61,34.75,1595001,34.75
2012-10-23,34.5,34.59,34.16,34.38,2228651,34.38
2012-10-24,34.5,34.75,34.42,34.56,1125754,34.56
2012-10-25,34.75,35.06,34.62,35.06,1233663,35.06
2012-10-26,35,35,34.47,34.7,1713583,34.7
2012-10-31,34.95,35.04,34.3,34.71,1837736,34.71
2012-11-01,34.77,34.9,34.35,34.58,1046237,34.58
2012-11-02,34.77,34.87,34,34.11,1445022,34.11
2012-11-05,34.06,34.09,33.77,33.89,1018018,33.89
2012-11-06,34.07,34.29,33.9,34.16,848967,34.16
2012-11-07,33.83,33.99,33.23,33.34,1111673,33.34
2012-11-08,33.31,33.469,32.9,32.94,932686,32.94
2012-11-09,32.67,32.84,32.47,32.58,1126696,32.58
2012-11-12,32.74,32.85,32.42,32.53,626469,32.53
2012-11-13,32.24,32.78,32.01,32.24,1092541,32.24
2012-11-14,32.3,32.65,32.1,32.12,1863532,32.12
2012-11-15,32.2,32.42,32.01,32.03,1370373,32.03
2012-11-16,32.03,32.4,31.93,32.3,1563185,32.3
2012-11-19,32.71,33.6,32.68,33.48,1368320,33.48
2012-11-20,33.41,33.55,33.31,33.46,759986,33.46
2012-11-21,33.53,33.65,33.37,33.46,566142,33.46
2012-11-23,33.56,33.91,33.41,33.72,551268,33.72
2012-11-26,33.61,33.77,33.55,33.68,693509,33.68
2012-11-27,33.65,33.89,33.38,33.76,1113002,33.76
2012-11-28,33.39,34.13,33.05,34.12,1210179,34.12
2012-11-29,34.28,34.52,34.1,34.22,1050001,34.22
2012-11-30,34.2,34.25,33.8,33.81,3396561,33.81
2012-12-03,34.13,34.22,33.73,33.9,1265074,33.9
2012-12-04,33.8,34.05,33.77,33.92,731411,33.92
2012-12-05,34.03,34.11,33.72,33.83,890522,33.83
2012-12-06,33.9,33.99,33.61,33.63,1110898,33.63
2012-12-07,33.74,34.04,33.56,33.58,976113,33.58
2012-12-10,33.6,33.95,33.55,33.65,834083,33.65
2012-12-11,33.7,33.73,33.31,33.63,859781,33.63
2012-12-12,33.78,33.99,33.52,33.72,934766,33.72
2012-12-13,33.68,33.98,33.32,33.8,910153,33.8
2012-12-14,33.69,33.97,33.57,33.72,974469,33.72
2012-12-17,33.82,34.47,33.8,34.46,1234761,34.46
2012-12-18,34.5,35.38,34.41,35.29,1482218,35.29
2012-12-19,35.28,35.49,35.01,35.24,674810,35.24
2012-12-20,35.27,35.48,35.06,35.47,769364,35.47
2012-12-21,35.5,35.5,34.75,35.34,2109755,35.34
2012-12-24,35.22,35.38,35.01,35.03,347605,35.03
2012-12-26,35.1,35.21,34.56,34.75,573101,34.75
2012-12-27,34.82,35.03,34.31,34.77,654404,34.77
2012-12-28,34.56,34.98,34.49,34.62,876481,34.62
2012-12-31,34.59,35.34,34.49,35.33,922797,35.33
2013-01-02,35.95,36.56,35.75,36.53,1182401,36.53
2013-01-03,36.62,37.07,36.62,36.98,934217,36.98
2013-01-04,36.98,37,36.56,36.71,1066800,36.71
2013-01-07,36.68,37.34,36.65,37.32,979299,37.32
2013-01-08,37.26,37.35,37.01,37.34,682352,37.34
2013-01-09,37.36,37.37,36.93,37.12,941988,37.12
2013-01-10,37.32,37.36,36.93,37.1,1060532,37.1
2013-01-11,37.11,37.14,36.948,37.06,695468,37.06
2013-01-14,37.07,37.25,36.91,36.94,810837,36.94
2013-01-15,36.84,36.92,36.68,36.84,914438,36.84
2013-01-16,36.64,36.83,36.54,36.6,979292,36.6
2013-01-17,37.14,37.69,37.05,37.24,1317046,37.24
2013-01-18,37.4,37.41,36.66,37.41,1374706,37.41
2013-01-22,37.39,37.8,37.35,37.79,1134922,37.79
2013-01-23,37.74,37.87,37.44,37.58,764765,37.58
2013-01-24,37.67,37.85,37.19,37.23,649930,37.23
2013-01-25,37.6,37.71,37.14,37.25,1024113,37.25
2013-01-28,37.59,37.73,37.34,37.53,860661,37.53
2013-01-29,37.38,37.5,37.17,37.3,848415,37.3
2013-01-30,37.53,38.2,37.4,37.73,1320031,37.73
2013-01-31,37.85,37.85,37.25,37.46,2008903,37.46
2013-02-01,37.77,37.77,37.25,37.49,1445488,37.49
2013-02-04,37.4,37.47,36.56,36.58,2001662,36.58
2013-02-05,36.73,37.48,36.7,37.38,1128499,37.38
2013-02-06,37.25,37.46,37.18,37.27,950778,37.27
2013-02-07,37.53,37.93,37.32,37.77,1141070,37.77
2013-02-08,37.72,38.16,37.41,37.6,1200771,37.6
2013-02-11,37.57,37.75,37.5,37.65,583678,37.65
2013-02-12,37.59,37.82,37.35,37.74,593759,37.74
2013-02-13,37.82,37.91,37.68,37.8,440721,37.8
2013-02-14,37.57,37.75,37.38,37.57,733936,37.57
2013-02-15,37.6,37.84,37.42,37.52,1725104,37.52
2013-02-19,37.52,37.79,37.33,37.42,713479,37.42
2013-02-20,37.44,37.55,37.11,37.13,1222302,37.13
2013-02-21,37.02,37.08,36.55,36.73,925707,36.73
2013-02-22,36.8,37.05,36.67,37,587822,37
2013-02-25,37.06,37.22,36.11,36.11,1217313,36.11
2013-02-26,36.2,36.47,35.89,36.21,990189,36.21
2013-02-27,36.09,37.06,36.09,37.06,1008510,37.06
2013-02-28,37.06,37.48,36.77,37.07,3426498,37.07
2013-03-01,36.96,37.31,36.72,37.26,982715,37.26
2013-03-04,37.2,37.54,36.85,37.54,1123592,37.54
2013-03-05,37.78,37.78,37.24,37.46,700439,37.46
2013-03-06,37.54,37.54,36.9,36.97,852572,36.97
2013-03-07,37.06,37.27,36.83,37.26,683330,37.26
2013-03-08,37.38,37.44,37.1,37.37,807603,37.37
2013-03-11,37.38,37.42,37.13,37.32,474934,37.32
2013-03-12,37.41,37.46,37.14,37.27,865235,37.27
2013-03-13,37.27,37.35,36.79,36.93,820657,36.93
2013-03-14,37,37.21,36.84,36.95,786857,36.95
2013-03-15,36.76,36.86,36.39,36.4,2691642,36.4
2013-03-18,36.16,36.48,36.12,36.24,759996,36.24
2013-03-19,36.27,36.59,36.18,36.55,807816,36.55
2013-03-20,36.68,37.03,36.65,36.97,843747,36.97
2013-03-21,36.93,37.7,36.86,37.2,1229144,37.2
2013-03-22,37.17,37.86,37.16,37.62,785387,37.62
2013-03-25,37.71,37.75,37.36,37.6,1370333,37.6
2013-03-26,37.72,38,37.57,37.99,671896,37.99
2013-03-27,37.87,38.42,37.77,38.37,817862,38.37
2013-03-28,38.36,38.8,38.08,38.68,1252736,38.68
2013-04-01,38.75,39.39,38.71,39.11,820784,39.11
2013-04-02,39.27,39.35,38.74,38.84,911288,38.84
2013-04-03,38.78,38.84,37.6,37.84,1320024,37.84
2013-04-04,37.85,38.14,37.67,37.86,822587,37.86
2013-04-05,37.55,37.8,37.24,37.52,944867,37.52
2013-04-08,37.52,38.12,37.52,38.12,680501,38.12
2013-04-09,38.1,38.8,38.06,38.64,748850,38.64
2013-04-10,38.75,39.04,38.65,38.94,698493,38.94
2013-04-11,39,39.06,38.71,38.77,784336,38.77
2013-04-12,38.52,38.89,38.41,38.78,855286,38.78
2013-04-15,38.55,38.57,37.94,37.95,888662,37.95
2013-04-16,38.14,38.47,38,38.37,721819,38.37
2013-04-17,38.22,38.22,37.6,37.8,1129196,37.8
2013-04-18,37.77,38.2,37.61,37.92,1012492,37.92
