DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30.66,31.12,30.39,30.52,742954,30.52
2012-01-04,30.42,30.91,30.34,30.72,394158,30.72
2012-01-05,30.41,31.02,30,30.91,591471,30.91
2012-01-06,30.9,30.9,30.29,30.32,609771,30.32
2012-01-09,30.38,30.4,29.86,30.08,703401,30.08
2012-01-10,30.35,30.94,30.25,30.93,580830,30.93
2012-01-11,30.91,31.8,30.89,31.75,441277,31.75
2012-01-12,31.88,32,31.45,31.96,360470,31.96
2012-01-13,31.85,32.9,31.84,32.64,723120,32.64
2012-01-17,32.9,33.13,32.32,32.43,468307,32.43
2012-01-18,32.42,33.12,32.33,33.02,493869,33.02
2012-01-19,33.15,33.48,33.09,33.25,459926,33.25
2012-01-20,33.04,33.15,32.38,32.45,718473,32.45
2012-01-23,32.45,33.09,32.45,32.7,365379,32.7
2012-01-24,32.49,32.75,32.41,32.57,419639,32.57
2012-01-25,32.5,32.5,31.63,32.35,834541,32.35
2012-01-26,32.61,32.62,31.6,31.77,480685,31.77
2012-01-27,31.72,31.81,31.13,31.43,617790,31.43
2012-01-30,31.28,31.47,31.14,31.29,354500,31.29
2012-01-31,31.42,31.44,30.3,30.43,583426,30.43
2012-02-01,30.65,30.83,30.47,30.5,442751,30.5
2012-02-02,30.57,30.69,30.4,30.55,298645,30.55
2012-02-03,30.1,30.54,29.51,29.7,1010569,29.7
2012-02-06,29.45,30.56,29.34,30.32,670555,30.32
2012-02-07,29.95,30.41,29.53,30.36,348378,30.36
2012-02-08,30.36,30.65,29.9,29.92,372569,29.92
2012-02-09,29.99,30.43,29.71,30.41,245225,30.41
2012-02-10,30,30.19,29.64,29.91,392355,29.91
2012-02-13,30.12,30.33,29.56,29.62,339298,29.62
2012-02-14,29.44,29.75,29.36,29.72,202035,29.72
2012-02-15,29.84,29.84,29.03,29.09,394582,29.09
2012-02-16,29.14,29.75,29.11,29.66,399557,29.66
2012-02-17,29.85,30.3,29.82,30.18,491055,30.18
2012-02-21,30.2,30.34,29.88,29.95,272617,29.95
2012-02-22,30.01,30.78,30.01,30.39,484663,30.39
2012-02-23,30.32,30.51,30.07,30.22,347376,30.22
2012-02-24,30.16,30.49,29.8,30.18,322647,30.18
2012-02-27,29.97,30.78,29.86,30.67,257461,30.67
2012-02-28,30.74,31.11,30.56,31.09,322306,31.09
2012-02-29,31.08,31.22,30.68,30.69,354551,30.69
2012-03-01,30.73,31.2,30.72,31.12,258913,31.12
2012-03-02,32.87,33.11,32.15,32.24,838324,32.24
2012-03-05,32.12,32.12,31.73,32.1,427903,32.1
2012-03-06,31.66,32.23,31.53,32.07,514190,32.07
2012-03-07,32.07,32.75,32,32.66,430639,32.66
2012-03-08,33.04,33.88,32.84,33.58,544045,33.58
2012-03-09,33.52,33.72,33.17,33.67,365801,33.67
2012-03-12,33.62,33.92,33.26,33.38,314277,33.38
2012-03-13,33.69,34.11,33.47,34.11,303759,34.11
2012-03-14,34.02,34.44,33.96,34.28,216127,34.28
2012-03-15,34.19,34.57,34.02,34.5,317822,34.5
2012-03-16,34.57,34.75,34.18,34.21,662503,34.21
2012-03-19,34.32,34.65,33.92,34.56,209769,34.56
2012-03-20,34.32,34.64,34.17,34.54,214882,34.54
2012-03-21,34.53,34.69,34.19,34.46,250920,34.46
2012-03-22,34.25,34.56,34.1,34.22,247337,34.22
2012-03-23,34.23,34.31,33.68,34.15,274212,34.15
2012-03-26,34.42,34.98,34.21,34.98,354055,34.98
2012-03-27,35,35.17,34.76,34.8,273390,34.8
2012-03-28,34.77,34.87,34,34.17,285287,34.17
2012-03-29,33.85,34.26,33.69,34.19,282615,34.19
2012-03-30,34.32,34.81,34.05,34.65,442595,34.65
2012-04-02,34.53,34.98,34.37,34.5,546535,34.5
2012-04-03,34.5,34.93,34.32,34.63,338468,34.63
2012-04-04,34.3,35.13,34.3,34.92,430235,34.92
2012-04-05,33.51,34.46,33.11,33.23,1114073,33.23
2012-04-09,32.73,32.99,32.29,32.78,681226,32.78
2012-04-10,32.06,32.32,31.35,31.36,780423,31.36
2012-04-11,31.43,31.85,31.41,31.74,550221,31.74
2012-04-12,31.56,31.94,31.56,31.81,533739,31.81
2012-04-13,31.72,31.89,31.25,31.31,391099,31.31
2012-04-16,31.47,31.84,31.13,31.63,426400,31.63
2012-04-17,31.83,32.39,31.65,32.24,409001,32.24
2012-04-18,32.15,32.26,31.71,31.74,392232,31.74
2012-04-19,31.74,31.88,30.89,31.26,451473,31.26
2012-04-20,31.32,31.58,31.12,31.49,516643,31.49
2012-04-23,31.24,31.32,30.85,31.17,367877,31.17
2012-04-24,31.25,31.36,30.62,30.93,440816,30.93
2012-04-25,31.26,31.57,30.92,31.25,506997,31.25
2012-04-26,31.29,31.45,30.98,31.29,544531,31.29
2012-04-27,31.35,31.5,31.16,31.29,471604,31.29
2012-04-30,31.27,31.27,30.86,30.87,648166,30.87
2012-05-01,30.87,31.51,30.85,30.99,626066,30.99
2012-05-02,30.9,31.72,30.71,31.62,446354,31.62
2012-05-03,30.46,30.66,30.09,30.43,857898,30.43
2012-05-04,30.29,30.63,29.73,29.84,440467,29.84
2012-05-07,29.79,29.97,29.62,29.84,408115,29.84
2012-05-08,29.64,29.85,29.25,29.75,661754,29.75
2012-05-09,29.39,29.81,29.17,29.42,376270,29.42
2012-05-10,29.7,30.19,29.64,30.04,636844,30.04
2012-05-11,29.78,30.1,29.59,29.59,399923,29.59
2012-05-14,29.31,29.36,28.65,28.7,353284,28.7
2012-05-15,28.63,28.92,28.43,28.48,431228,28.48
2012-05-16,28.56,29,28.46,28.65,412738,28.65
2012-05-17,28.68,28.72,28.02,28.02,566102,28.02
2012-05-18,28.21,28.48,27.92,27.99,680345,27.99
2012-05-21,28.01,28.58,27.78,28.47,454067,28.47
2012-05-22,28.6,28.99,28.38,28.47,687414,28.47
2012-05-23,28.33,28.92,28.05,28.85,346115,28.85
2012-05-24,28.95,29.21,28.82,29.02,335470,29.02
2012-05-25,29.07,29.29,29.01,29.11,314764,29.11
2012-05-29,29.29,29.46,29.04,29.46,307821,29.46
2012-05-30,29.21,29.21,27.28,28.14,767633,28.14
2012-05-31,28.07,28.41,27.75,28.21,746002,28.21
2012-06-01,27.6,27.9,27.14,27.33,537455,27.33
2012-06-04,27.35,27.51,26.79,27.38,493603,27.38
2012-06-05,27.22,27.68,27.11,27.63,328412,27.63
2012-06-06,27.84,28.46,27.81,28.46,337783,28.46
2012-06-07,28.84,28.87,27.81,27.86,472273,27.86
2012-06-08,27.79,28.23,27.46,28.15,483787,28.15
2012-06-11,28.47,28.47,27.39,27.47,557413,27.47
2012-06-12,27.59,27.74,26.89,27.5,523505,27.5
2012-06-13,27.38,27.51,26.83,26.92,424053,26.92
2012-06-14,27.03,27.52,26.89,27.34,463392,27.34
2012-06-15,27.51,27.85,27.39,27.68,1055741,27.68
2012-06-18,27.39,27.76,27.06,27.63,484378,27.63
2012-06-19,27.71,28.7,27.7,28.52,473992,28.52
2012-06-20,28.49,28.59,27.89,27.9,536623,27.9
2012-06-21,26.5,26.78,25.83,25.88,1411433,25.88
2012-06-22,25.9,26.01,25.47,25.73,1409630,25.73
2012-06-25,25.5,25.67,25.22,25.34,685547,25.34
2012-06-26,25.34,25.72,25.23,25.49,927429,25.49
2012-06-27,25.52,25.62,25.22,25.38,758906,25.38
2012-06-28,25.4,25.41,24.84,25.22,988926,25.22
2012-06-29,25.97,26.18,25.81,25.94,1562643,25.94
2012-07-02,26.05,26.19,25.8,26.1,597399,26.1
2012-07-03,26.25,26.49,26.03,26.33,510675,26.33
2012-07-05,26.37,26.96,26.18,26.79,680889,26.79
2012-07-06,26.53,26.7,26.32,26.54,642774,26.54
2012-07-09,26.5,26.57,26.18,26.35,489653,26.35
2012-07-10,26.75,26.85,26.38,26.5,644471,26.5
2012-07-11,26.44,26.5,26.03,26.13,465337,26.13
2012-07-12,25.99,26.12,25.84,25.99,670518,25.99
2012-07-13,25.97,26.37,25.97,26.3,557927,26.3
2012-07-16,26.16,26.27,25.94,26.05,282708,26.05
2012-07-17,26.07,26.32,25.93,26.25,340739,26.25
2012-07-18,26.15,27.01,26.14,26.75,421733,26.75
2012-07-19,26.8,27.56,26.7,27.28,689687,27.28
2012-07-20,27.09,27.34,26.84,26.94,551507,26.94
2012-07-23,26.39,27.29,26.22,27.21,545140,27.21
2012-07-24,27.21,27.4,26.72,27,645193,27
2012-07-25,27.19,27.21,26.69,26.75,530883,26.75
2012-07-26,27.33,27.41,26.89,27.03,502283,27.03
2012-07-27,27.28,28.09,27.19,28,588050,28
2012-07-30,27.89,28.17,27.7,27.97,371566,27.97
2012-07-31,27.86,27.92,27.57,27.83,638728,27.83
2012-08-01,28.04,28.22,27.58,27.69,624787,27.69
2012-08-02,27.36,27.67,26.6,26.94,479923,26.94
2012-08-03,27.41,27.89,27.39,27.86,273768,27.86
2012-08-06,28.04,28.49,28.02,28.44,246960,28.44
2012-08-07,28.52,29.1,28.52,28.94,398228,28.94
2012-08-08,28.74,29.14,28.74,28.91,267078,28.91
2012-08-09,28.87,29.05,28.65,29.03,252771,29.03
2012-08-10,28.97,28.99,28.67,28.99,203715,28.99
2012-08-13,28.91,28.95,28.6,28.86,294889,28.86
2012-08-14,29.07,29.14,28.75,28.81,359946,28.81
2012-08-15,28.81,29.33,28.79,29.3,315647,29.3
2012-08-16,29.38,29.87,29.2,29.76,328573,29.76
2012-08-17,29.82,30.05,29.78,29.98,374379,29.98
2012-08-20,29.88,29.95,29.57,29.7,183234,29.7
2012-08-21,29.79,30,29.61,29.81,211097,29.81
2012-08-22,29.79,30.02,29.66,29.9,358253,29.9
2012-08-23,29.81,29.81,29.43,29.55,233986,29.55
2012-08-24,29.41,29.87,29.33,29.81,192096,29.81
2012-08-27,29.95,29.95,29.59,29.67,178142,29.67
2012-08-28,29.57,29.81,29.36,29.68,203703,29.68
2012-08-29,29.78,30.33,29.74,30.33,272351,30.33
2012-08-30,30.1,30.44,29.92,30.29,267826,30.29
2012-08-31,30.51,30.68,30.38,30.59,320752,30.59
2012-09-04,30.57,30.76,30.28,30.65,298726,30.65
2012-09-05,30.62,31.63,30.43,31.62,432343,31.62
2012-09-06,31.87,32.77,31.76,32.76,606632,32.76
2012-09-07,32.78,33.27,32.23,32.24,583300,32.24
2012-09-10,32.31,32.57,32.18,32.22,364567,32.22
2012-09-11,32.21,32.56,32.12,32.21,285819,32.21
2012-09-12,32.35,32.77,32.23,32.73,332390,32.73
2012-09-13,32.74,33.38,32.45,33.34,238947,33.34
2012-09-14,33.11,33.13,32.08,32.34,723837,32.34
2012-09-17,32.25,32.26,31.73,31.93,448693,31.93
2012-09-18,31.8,31.91,31.21,31.36,393608,31.36
2012-09-19,31.51,32.09,31.38,31.97,530873,31.97
2012-09-20,31,31.06,29.38,29.96,1138305,29.96
2012-09-21,30.13,30.15,29.22,29.28,963688,29.28
2012-09-24,29.02,29.33,28.88,28.95,426354,28.95
2012-09-25,29,29.31,28.45,28.45,549181,28.45
2012-09-26,28.4,28.61,28.1,28.4,299391,28.4
2012-09-27,28.42,28.59,28.22,28.38,252061,28.38
2012-09-28,28.21,28.38,28.05,28.3,378320,28.3
2012-10-01,28.36,28.9,28.35,28.42,319253,28.42
2012-10-02,28.47,28.92,28.34,28.68,401002,28.68
2012-10-03,28.71,28.82,28.29,28.32,245442,28.32
2012-10-04,28.51,29.03,28.4,28.85,355488,28.85
2012-10-05,29.1,29.69,29.1,29.19,349038,29.19
2012-10-08,31.3,33,31.12,31.86,1495420,31.86
2012-10-09,31.79,32.21,31.53,31.62,844500,31.62
2012-10-10,31.01,31.67,31.01,31.34,487551,31.34
2012-10-11,31.6,31.85,31.19,31.25,403116,31.25
2012-10-12,31.52,32.77,31.47,32.55,773167,32.55
2012-10-15,32.65,33,32.15,32.99,618654,32.99
2012-10-16,33,33.28,32.69,33.21,585038,33.21
2012-10-17,33,33.66,32.98,33.55,627210,33.55
2012-10-18,33.55,33.69,33.22,33.39,295249,33.39
2012-10-19,33.34,33.96,33.27,33.3,827552,33.3
2012-10-22,33.44,33.44,32.66,33.15,531227,33.15
2012-10-23,32.95,33.27,32.67,33.06,479914,33.06
2012-10-24,33.17,33.27,32.56,32.67,293687,32.67
2012-10-25,33,33.08,32.35,32.78,306337,32.78
2012-10-26,33.07,33.83,32.97,33.57,750378,33.57
2012-10-31,33.57,33.97,33.31,33.75,399292,33.75
2012-11-01,33.81,35.12,33.72,34.96,395128,34.96
2012-11-02,35.66,36,34.55,34.68,649315,34.68
2012-11-05,34.69,34.89,34.35,34.53,312464,34.53
2012-11-06,35.92,36.15,34.63,34.73,666560,34.73
2012-11-07,34.49,34.91,34.06,34.1,410391,34.1
2012-11-08,34.1,34.55,33.79,33.88,665370,33.88
2012-11-09,33.71,34.5,33.66,34.04,296576,34.04
2012-11-12,34.16,34.61,33.79,33.88,177642,33.88
2012-11-13,33.76,34.25,33.69,33.69,317624,33.69
2012-11-14,33.88,34.17,32.97,33.04,375476,33.04
2012-11-15,33.13,33.5,32.79,33.35,334258,33.35
2012-11-16,33.42,33.74,33.11,33.31,509701,33.31
2012-11-19,33.81,34.3,33.62,34.22,347043,34.22
2012-11-20,34.16,34.43,33.75,34.25,278571,34.25
2012-11-21,34.22,34.71,33.96,34.62,194720,34.62
2012-11-23,34.74,35.2,34.63,35.14,128875,35.14
2012-11-26,34.99,35.25,34.66,34.87,279752,34.87
2012-11-27,34.75,35.72,34.62,35.27,315082,35.27
2012-11-28,35.15,35.9,34.85,35.88,281009,35.88
2012-11-29,36.25,36.39,35.91,36.24,427345,36.24
2012-11-30,36.41,36.55,35.97,36.26,571897,36.26
2012-12-03,36.5,36.64,35.96,35.99,379298,35.99
2012-12-04,35.87,36.18,35.62,35.89,290893,35.89
2012-12-05,35.86,35.939,34.58,35.39,369730,35.39
2012-12-06,35.43,36.05,35.33,35.9,249627,35.9
2012-12-07,36.17,36.48,35.65,36.24,438179,36.24
2012-12-10,36.16,36.51,36,36.24,386246,36.24
2012-12-11,36.44,36.48,35.38,35.57,408269,35.57
2012-12-12,35.86,35.97,35.02,35.26,467148,35.26
2012-12-13,35.25,35.44,34.99,35.15,242417,35.15
2012-12-14,35.1,35.28,34.88,35.07,302442,35.07
2012-12-17,35.08,35.08,34.22,34.82,468970,34.82
2012-12-18,34.81,35.47,34.81,35.12,527118,35.12
2012-12-19,35.16,35.33,34.76,34.84,841737,34.84
2012-12-20,37.01,38.24,36.55,37.97,1190402,37.97
2012-12-21,37.87,37.87,37.19,37.79,1167677,37.79
2012-12-24,37.31,37.55,37.02,37.5,249794,37.5
2012-12-26,37.43,37.95,37.11,37.46,398141,37.46
2012-12-27,37.46,37.6,37.03,37.29,392874,37.29
2012-12-28,37,37.03,36.6,36.69,349424,36.69
2012-12-31,36.52,37.61,36.41,37.54,415189,37.54
2013-01-02,38.2,38.31,37.39,37.72,439135,37.72
2013-01-03,37.82,38.31,37.62,37.94,356807,37.94
2013-01-04,37.92,38.21,37.23,37.86,464477,37.86
2013-01-07,37.57,37.73,37.15,37.21,252229,37.21
2013-01-08,37.22,37.39,37,37.32,247136,37.32
2013-01-09,37.34,37.77,37.34,37.67,293018,37.67
2013-01-10,37.7,37.86,37.28,37.73,362713,37.73
2013-01-11,37.69,37.77,37.18,37.5,201570,37.5
2013-01-14,37.5,37.68,37.02,37.48,169941,37.48
2013-01-15,37.27,38.18,37.24,37.91,267855,37.91
2013-01-16,37.79,37.92,37.52,37.8,238901,37.8
2013-01-17,38,38.51,38,38.3,193436,38.3
2013-01-18,38.36,38.81,38.33,38.5,524486,38.5
2013-01-22,38.34,38.56,37.95,38.55,249068,38.55
2013-01-23,38.24,38.62,38.11,38.54,211293,38.54
2013-01-24,38.69,39.5,38.44,38.74,217144,38.74
2013-01-25,38.78,39.78,38.67,39.69,402464,39.69
2013-01-28,39.71,40.11,39.42,39.78,387115,39.78
2013-01-29,39.58,39.99,39.48,39.94,237454,39.94
2013-01-30,39.85,39.94,39,39.13,209329,39.13
2013-01-31,39.14,39.58,38.92,39.42,290513,39.42
2013-02-01,39.47,39.57,38.93,39.25,325294,39.25
2013-02-04,39.25,39.25,38.56,38.8,304121,38.8
2013-02-05,39,39.98,39,39.78,281139,39.78
2013-02-06,39.77,40.21,39.56,40.1,253790,40.1
2013-02-07,38.91,39.74,38.79,39.39,380024,39.39
2013-02-08,39.59,40.09,39.46,39.77,195060,39.77
2013-02-11,39.95,40.02,39.44,39.61,313576,39.61
2013-02-12,39.55,39.64,39.34,39.62,219320,39.62
2013-02-13,39.62,39.89,39.22,39.4,214282,39.4
2013-02-14,39.23,39.94,39.17,39.72,202956,39.72
2013-02-15,39.67,40.18,39.05,39.36,534357,39.36
2013-02-19,39.51,40.16,39.37,40.05,271154,40.05
2013-02-20,40.08,40.1,39.38,39.48,324897,39.48
2013-02-21,39.33,39.33,38.44,38.5,266991,38.5
2013-02-22,38.64,38.94,38.57,38.92,159882,38.92
2013-02-25,39.11,39.87,38.22,38.24,366898,38.24
2013-02-26,38.35,38.58,37.81,38.32,217386,38.32
2013-02-27,38.25,38.74,38.25,38.59,173389,38.59
2013-02-28,38.62,39.07,38.4,38.41,296857,38.41
2013-03-01,38.2,38.67,38.16,38.38,214643,38.38
2013-03-04,38.41,39.94,38.41,39.41,363739,39.41
2013-03-05,39.61,40.35,39.61,40.24,195828,40.24
2013-03-06,40.4,41.65,40.4,40.65,347944,40.65
2013-03-07,40.73,41,40.59,40.91,259802,40.91
2013-03-08,41.15,41.43,40.87,41.41,263699,41.41
2013-03-11,41.29,41.55,41.18,41.37,196824,41.37
2013-03-12,41.35,41.54,41.11,41.22,194836,41.22
2013-03-13,41.26,41.69,41.14,41.33,244055,41.33
2013-03-14,41.39,41.58,41.21,41.47,226346,41.47
2013-03-15,41.25,41.93,40.9,41.66,673838,41.66
2013-03-18,41.31,41.81,41.22,41.56,216171,41.56
2013-03-19,41.58,41.74,40.79,41.04,191800,41.04
2013-03-20,41.31,41.75,40.84,41.07,266194,41.07
2013-03-21,40.9,41.08,40.11,40.18,229387,40.18
2013-03-22,40.37,40.5,40.15,40.35,220715,40.35
2013-03-25,40.5,40.65,40.21,40.31,146120,40.31
2013-03-26,40.46,40.86,40.39,40.84,133814,40.84
2013-03-27,40.63,41.16,40.46,41.12,157946,41.12
2013-03-28,41.13,41.71,41.04,41.7,445019,41.7
2013-04-01,41.67,41.81,40.95,41.18,233305,41.18
2013-04-02,41.48,41.81,41.3,41.49,191203,41.49
2013-04-03,42,42.43,40.7,40.7,467652,40.7
2013-04-04,40.53,41.11,40.49,41.11,236941,41.11
2013-04-05,40.61,41.43,40.34,41.35,219135,41.35
2013-04-08,41.37,42.45,41.37,42.38,233327,42.38
2013-04-09,42.56,42.78,41.6,41.68,468567,41.68
2013-04-10,42.29,43.39,41.75,43.31,612277,43.31
2013-04-11,43.93,45.27,43.81,45.2,383519,45.2
2013-04-12,44.25,44.4,43.64,43.99,511110,43.99
2013-04-15,43.85,43.91,42.09,42.09,469728,42.09
2013-04-16,42.48,42.66,42.1,42.45,484049,42.45
2013-04-17,41.97,42.01,40.52,41.53,679796,41.53
2013-04-18,41.78,41.89,40.68,41.17,359787,41.17
2013-04-19,41.32,42.79,40.93,42.76,553623,42.76
2013-04-22,42.88,43.43,42.49,43.39,359156,43.39
2013-04-23,43.73,44.15,43.5,44.1,342970,44.1
2013-04-24,44.29,44.61,43.97,44.49,237042,44.49
2013-04-25,44.76,45.29,44.76,45,476651,45
