DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,27.25,27.51,27.02,27.15,179929,27.15
2012-01-04,27.19,27.26,26.36,26.4,127540,26.4
2012-01-05,26.07,27.04,25.5,26.45,174919,26.45
2012-01-06,26.45,26.7,25.95,26,92002,26
2012-01-09,25.87,26.24,25.87,26.2,107131,26.2
2012-01-10,26.47,26.62,26.25,26.42,100555,26.42
2012-01-11,26.29,26.6,26.13,26.14,82049,26.14
2012-01-12,26.13,26.15,25.76,26.1,101011,26.1
2012-01-13,25.93,26.56,25.93,26.56,179420,26.56
2012-01-17,26.78,28.52,26.76,28.05,594150,28.05
2012-01-18,28.5,28.85,27.95,28.4,323013,28.4
2012-01-19,28.69,28.77,28.5,28.68,206275,28.68
2012-01-20,28.75,29.61,28.72,29.35,584438,29.35
2012-01-23,29.49,29.88,28.77,29.76,208695,29.76
2012-01-24,30.16,30.16,29.21,29.5,222182,29.5
2012-01-25,30,30.5,29.65,30.5,125440,30.5
2012-01-26,30.58,30.62,29.28,29.78,88927,29.78
2012-01-27,29.74,30.13,29.4,29.85,194051,29.85
2012-01-30,29.86,29.94,29.32,29.84,63429,29.84
2012-01-31,29.95,31.35,29.47,30.95,253701,30.95
2012-02-01,31,31.71,30.77,31.3,110005,31.3
2012-02-02,31.57,32,31.4,31.67,144234,31.67
2012-02-03,31.81,32.82,31.81,32.51,118158,32.51
2012-02-06,32.6,33.81,32.42,33.13,191322,33.13
2012-02-07,33.31,33.76,32.65,32.66,103252,32.66
2012-02-08,32.9,33.31,31.77,33.21,194991,33.21
2012-02-09,33.71,34.24,33.13,33.97,156560,33.97
2012-02-10,33.51,33.82,33.4,33.47,160013,33.47
2012-02-13,34.2,34.87,33.05,33.61,280943,33.61
2012-02-14,39.5,42.98,39.49,42.85,1307445,42.85
2012-02-15,43.56,44.95,41.89,42.85,615299,42.85
2012-02-16,42.75,43.73,41.52,42.25,167010,42.25
2012-02-17,42.35,42.7,41.75,41.82,105090,41.82
2012-02-21,42.07,42.11,40.2,41.1,221791,41.1
2012-02-22,40.66,42.05,39.63,41.05,232095,41.05
2012-02-23,40.76,42.71,40.68,40.76,178743,40.76
2012-02-24,41.07,42.17,40.68,41.51,79878,41.51
2012-02-27,42.1,44.01,41.57,43.66,191357,43.66
2012-02-28,43.9,43.9,42.29,42.69,149530,42.69
2012-02-29,42.72,44.15,42.25,43.25,217837,43.25
2012-03-01,43.98,46.45,43.61,45.73,301972,45.73
2012-03-02,46.4,48.83,45.4,47.95,323132,47.95
2012-03-05,48.91,49.75,46.34,48.63,393702,48.63
2012-03-06,47,47.79,46.37,46.81,210937,46.81
2012-03-07,47.38,47.5,45.46,46.1,260809,46.1
2012-03-08,47,47.64,46.29,47.08,102656,47.08
2012-03-09,47.79,50.64,47.79,49.59,329105,49.59
