DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,24.46,24.7,24.41,24.52,1135213,24.52
2012-01-04,24.54,24.59,24.25,24.27,803834,24.27
2012-01-05,24.28,24.34,24.02,24.29,982253,24.29
2012-01-06,24.29,24.35,24.04,24.19,1180940,24.19
2012-01-09,24.21,24.32,24.11,24.26,921331,24.26
2012-01-10,24.45,24.59,24.31,24.32,1517607,24.32
2012-01-11,24.1,24.23,23.92,24.09,1037238,24.09
2012-01-12,24,24.15,23.8,23.98,1148281,23.98
2012-01-13,23.98,24.24,23.9,24.13,1883923,24.13
2012-01-17,24.36,24.83,24.3,24.31,1271045,24.31
2012-01-18,24.08,24.38,24.02,24.12,1370610,24.12
2012-01-19,24.18,24.21,23.99,24.06,1569230,24.06
2012-01-20,24,24,23.72,23.91,1829626,23.91
2012-01-23,23.89,24.19,23.88,24.13,1141188,24.13
2012-01-24,24.09,24.4,24.04,24.34,674002,24.34
2012-01-25,24.27,24.74,24.25,24.65,1060943,24.65
2012-01-26,24.73,24.81,24.47,24.57,1097805,24.57
2012-01-27,24.57,24.66,24.25,24.3,1117948,24.3
2012-01-30,24.22,24.22,24,24.09,1074346,24.09
2012-01-31,24.09,24.17,23.7,23.76,1719843,23.76
2012-02-01,23.92,24.03,23.73,23.83,1049693,23.83
2012-02-02,23.84,24.09,23.73,23.97,926052,23.97
2012-02-03,24.03,24.17,23.61,23.92,1323747,23.92
2012-02-06,24,24.19,23.83,24.06,1394814,24.06
2012-02-07,23.99,24.05,23.65,23.7,1675683,23.7
2012-02-08,23.7,23.91,23.56,23.64,1471891,23.64
2012-02-09,23.68,23.86,23.57,23.58,1949327,23.58
2012-02-10,23.52,23.76,23.5,23.63,1456081,23.63
2012-02-13,23.76,23.78,23.48,23.54,1458387,23.54
2012-02-14,23.67,23.88,23.52,23.87,981044,23.87
2012-02-15,23.88,23.96,23.7,23.75,1172053,23.75
2012-02-16,23.75,23.89,23.64,23.88,583600,23.88
2012-02-17,23.99,24.1,23.89,23.92,1405329,23.92
2012-02-21,23.9,24,23.76,23.82,735341,23.82
2012-02-22,23.73,23.89,23.55,23.64,1395198,23.64
2012-02-23,23.66,23.66,22.92,22.98,2222769,22.98
2012-02-24,23.34,23.55,23.11,23.54,1756123,23.54
2012-02-27,23.4,23.96,23.33,23.88,1754217,23.88
2012-02-28,23.85,23.92,23.76,23.78,1671991,23.78
2012-02-29,23.77,23.99,23.75,23.79,1855350,23.79
2012-03-01,24.6,24.78,24.13,24.44,2767795,24.44
2012-03-02,24.33,24.57,24.01,24.08,1624450,24.08
2012-03-05,23.91,24.24,23.68,24.2,1141951,24.2
2012-03-06,24.08,24.22,23.98,24.05,1220698,24.05
2012-03-07,24.02,24.11,23.95,24.07,995846,24.07
2012-03-08,24.14,24.37,24.04,24.34,1090135,24.34
