DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.86,49.96,47.97,48.03,1233249,48.03
2012-01-04,47.66,47.97,46.97,47.36,1545898,47.36
2012-01-05,45.5,47.09,45.46,46.52,1687434,46.52
2012-01-06,46.28,47.06,46.07,46.51,1192090,46.51
2012-01-09,46.72,46.73,45.79,46.01,803274,46.01
2012-01-10,46.26,46.32,45.75,46.03,1034425,46.03
2012-01-11,46,46.26,45.62,46.01,914368,46.01
2012-01-12,46.05,46.54,45.8,46.41,781756,46.41
2012-01-13,46.22,47.46,46.11,46.97,1008821,46.97
2012-01-17,47.35,47.61,46.96,47.14,642658,47.14
2012-01-18,47.05,48.22,46.89,48.09,831761,48.09
2012-01-19,48.05,48.82,47.96,48.47,679259,48.47
2012-01-20,48.51,48.75,47.28,47.37,991412,47.37
2012-01-23,47.35,47.6,47,47.5,813234,47.5
2012-01-24,47.31,47.99,47.31,47.93,528042,47.93
2012-01-25,47.88,48.15,47.16,47.75,949614,47.75
2012-01-26,48,48.06,46.29,46.45,1178752,46.45
2012-01-27,46.37,46.81,46.16,46.69,788269,46.69
2012-01-30,46.35,46.49,45.82,46.09,990997,46.09
2012-01-31,46.33,46.42,45.78,45.99,1157265,45.99
2012-02-01,46.33,46.55,45.48,45.56,1124119,45.56
2012-02-02,46.89,46.96,45.85,46.77,1192986,46.77
2012-02-03,47.27,49.25,47.27,49.07,1351310,49.07
2012-02-06,48.86,49.28,48.49,48.8,719607,48.8
2012-02-07,48.63,50.45,48.55,50.07,1219468,50.07
2012-02-08,50.04,50.44,49.75,50.14,646846,50.14
2012-02-09,50.03,50.49,49.84,50.46,606218,50.46
2012-02-10,49.9,49.94,49.45,49.88,565083,49.88
2012-02-13,50.21,50.44,49.87,50.31,486229,50.31
2012-02-14,50.29,51.03,50,50.9,588023,50.9
2012-02-15,51,51,50.58,50.85,580871,50.85
2012-02-16,50.77,52.13,50.76,51.97,747313,51.97
2012-02-17,52.15,52.42,51.55,51.8,728026,51.8
2012-02-21,52.21,52.68,51.5,51.79,753612,51.79
2012-02-22,51.94,52.49,51.57,52.19,707053,52.19
2012-02-23,50.4,50.65,48.91,49.11,1641009,49.11
2012-02-24,49.15,49.79,49.02,49.44,871341,49.44
2012-02-27,49.38,49.43,48.82,49.21,704313,49.21
2012-02-28,49.23,49.7,48.81,49.55,555213,49.55
2012-02-29,49.63,50.27,49.19,49.68,1732435,49.68
2012-03-01,49.18,49.85,48.65,48.87,1067227,48.87
2012-03-02,48.85,49.02,48.13,48.4,535029,48.4
2012-03-05,47.85,48.35,47.4,48.12,628787,48.12
2012-03-06,47.85,48.86,47.8,48.23,864392,48.23
2012-03-07,48.26,48.46,47.9,48.22,563047,48.22
2012-03-08,48.43,49.23,48.39,49.05,582547,49.05
2012-03-09,50.11,50.38,49.71,50.24,690320,50.24
2012-03-12,50.11,50.97,50.04,50.57,668877,50.57
2012-03-13,50.78,51.48,50.62,51.25,775809,51.25
2012-03-14,51.04,51.49,50.99,51.19,469565,51.19
2012-03-15,51.4,51.44,50.55,51.12,382749,51.12
2012-03-16,51,51.1,50.23,50.37,1155596,50.37
2012-03-19,49.37,49.5,48.55,48.72,1058261,48.72
2012-03-20,48.4,48.83,48.3,48.53,829833,48.53
2012-03-21,48.73,49.11,48.53,48.74,765279,48.74
2012-03-22,48.57,48.98,47.84,48.05,883126,48.05
2012-03-23,48.04,48.19,47.56,48.1,641343,48.1
2012-03-26,48.34,48.75,48.21,48.48,564446,48.48
2012-03-27,48.68,49.39,48.6,49.13,643318,49.13
2012-03-28,49.06,49.36,48.4,48.97,635180,48.97
2012-03-29,48.6,49.81,48.58,49.78,841746,49.78
2012-03-30,49.8,50.25,49.6,50.03,1261021,50.03
2012-04-02,50.81,51.75,50.78,51.5,1507617,51.5
2012-04-03,51.54,52.09,51.54,51.81,763860,51.81
2012-04-04,51.5,52.23,51.01,51.98,1012509,51.98
2012-04-05,51.3,51.38,49.95,50.32,1754056,50.32
2012-04-09,49.75,50.01,49.52,49.94,802794,49.94
2012-04-10,50.01,50.17,48.74,48.95,711176,48.95
2012-04-11,49.22,49.46,49.01,49.23,593927,49.23
2012-04-12,49.3,50.27,49.07,49.92,511057,49.92
2012-04-13,49.68,50.12,49.52,49.59,610773,49.59
2012-04-16,50.26,50.86,50,50.75,711889,50.75
2012-04-17,51,51.55,50.84,51.15,692948,51.15
2012-04-18,51.07,51.4,50.9,51.01,685098,51.01
2012-04-19,50.91,51.45,50.29,50.53,575994,50.53
2012-04-20,50.64,51,50.27,50.46,809015,50.46
2012-04-23,50.09,50.18,49.52,49.98,542531,49.98
2012-04-24,49.87,50.11,49.22,49.34,735783,49.34
2012-04-25,49.76,50.06,49.46,49.76,570273,49.76
2012-04-26,49.81,50.71,49.65,50.27,746136,50.27
2012-04-27,50.3,51.44,49.96,50.8,580651,50.8
2012-04-30,50.59,50.72,49.94,50.13,719014,50.13
2012-05-01,49.63,50.66,49.5,50.34,639482,50.34
2012-05-02,50.24,51,50.16,50.69,626193,50.69
2012-05-03,50.43,51.7,50.36,51.25,983089,51.25
2012-05-04,51.22,51.24,49.77,50.05,918587,50.05
2012-05-07,49.88,50.47,49.87,50.21,657113,50.21
2012-05-08,49.81,51.19,49.47,50.86,1276061,50.86
2012-05-09,50.4,51.52,50.19,50.86,1202513,50.86
2012-05-10,49.59,50.04,48.37,48.66,2195061,48.66
2012-05-11,48.51,48.76,48.06,48.18,1064691,48.18
2012-05-14,47.99,48.17,47.22,47.26,774493,47.26
2012-05-15,46.83,47.38,46.67,46.9,965312,46.9
2012-05-16,46.86,47.35,46.15,46.84,997480,46.84
2012-05-17,47.2,47.77,46.39,46.42,1136260,46.42
2012-05-18,46.8,47.76,46.7,47.19,1288722,47.19
2012-05-21,47.28,47.91,47.1,47.76,644064,47.76
2012-05-22,47.91,49,47.74,48.66,934557,48.66
2012-05-23,48.5,49.05,48.19,48.93,807966,48.93
2012-05-24,49.09,50.12,49.03,50.04,790771,50.04
2012-05-25,50.1,50.95,50.01,50.49,710557,50.49
2012-05-29,50.72,50.74,49.77,50.64,652173,50.64
2012-05-30,48.25,49.34,47.86,48.82,1315624,48.82
2012-05-31,46.62,47.37,45.8,45.82,2940529,45.82
2012-06-01,44.8,45.4,44.33,44.7,1565274,44.7
2012-06-04,44.51,44.61,43.56,44,1051846,44
2012-06-05,43.88,44.14,43.65,44,1097609,44
2012-06-06,44.46,44.73,43.97,44.17,953268,44.17
2012-06-07,44.51,44.57,43.66,43.97,1194614,43.97
2012-06-08,44.1,45.16,44,45.08,1001529,45.08
2012-06-11,45.33,45.35,43.94,43.97,618275,43.97
2012-06-12,44.26,45.11,44.01,44.44,702335,44.44
2012-06-13,44.21,44.32,43.27,43.38,663636,43.38
2012-06-14,43.51,44.25,43.41,43.83,905194,43.83
2012-06-15,44.14,44.57,44.11,44.54,2343922,44.54
2012-06-18,43.94,44.2,43.35,43.72,788223,43.72
2012-06-19,43.92,44.58,43.46,44.43,695090,44.43
2012-06-20,44.5,44.84,44.3,44.7,484894,44.7
2012-06-21,44.85,44.91,43.48,43.78,951829,43.78
2012-06-22,43.88,43.95,43.27,43.32,2280522,43.32
2012-06-25,43.06,43.51,42.76,43.13,748382,43.13
