DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,69.73,70.08,68.43,68.71,343123,68.71
2012-01-04,68.38,70.55,68.08,70.25,224652,70.25
2012-01-05,69.81,70.27,69.09,69.96,211790,69.96
2012-01-06,69.96,71.1,69.62,69.68,204301,69.68
2012-01-09,70.19,71.4,69.9,71.28,159047,71.28
2012-01-10,72.5,73.9,72.42,72.6,320849,72.6
2012-01-11,72.62,72.95,72,72.43,142253,72.43
2012-01-12,72.84,72.99,71.71,72.59,184102,72.59
2012-01-13,71.54,72.2,70.42,72.04,211472,72.04
2012-01-17,73.27,73.27,71.44,71.8,136143,71.8
2012-01-18,72.08,72.54,71.2,71.69,187086,71.69
2012-01-19,73.58,74.77,73.31,73.76,271739,73.76
2012-01-20,73.61,73.62,72.07,73.39,175136,73.39
2012-01-23,73.07,74.05,71.58,72.32,177599,72.32
2012-01-24,65.05,68.27,64.07,66.84,700193,66.84
2012-01-25,66.82,67.56,66.03,67.38,463368,67.38
2012-01-26,67.97,68.84,67.3,67.56,313733,67.56
2012-01-27,67.39,68.86,67.31,68.6,204687,68.6
2012-01-30,67.77,69.99,67.57,69.21,364099,69.21
2012-01-31,69.87,70.33,68.46,68.64,322820,68.64
2012-02-01,69.87,70.68,68.4,68.69,286918,68.69
2012-02-02,68.85,69.38,68.48,68.72,216126,68.72
2012-02-03,69.79,71.15,69.54,70.51,234098,70.51
2012-02-06,70.21,70.24,69.39,69.77,171599,69.77
2012-02-07,69.71,69.76,68.69,69.17,137745,69.17
2012-02-08,69.17,69.64,68.11,69.09,157918,69.09
2012-02-09,69.53,70.56,68.87,69.49,250158,69.49
2012-02-10,68.36,69,68.02,68.42,273104,68.42
2012-02-13,69.2,69.62,68.27,69.61,235978,69.61
2012-02-14,69.33,69.9,68.8,69.6,153501,69.6
2012-02-15,70.07,70.19,66.33,66.93,308795,66.93
2012-02-16,66.89,67.29,66.2,66.75,255794,66.75
2012-02-17,67.18,67.89,66.13,66.24,275057,66.24
2012-02-21,66.27,67.18,65.94,66.63,189805,66.63
2012-02-22,66.22,67.05,66.03,66.99,153206,66.99
2012-02-23,66.88,68.13,66.69,68,175307,68
2012-02-24,68.14,69.88,68.14,69.24,142527,69.24
2012-02-27,68.57,69.93,68.41,69.33,169484,69.33
2012-02-28,69.68,69.81,68.85,69.5,152659,69.5
2012-02-29,69.57,69.96,68.99,69.58,356180,69.58
2012-03-01,69.63,70.94,69.52,70.81,177586,70.81
2012-03-02,70.84,70.91,69.28,69.75,146930,69.75
2012-03-05,69.74,69.74,68.24,68.7,199089,68.7
2012-03-06,67.5,68.29,66.98,67.99,224693,67.99
2012-03-07,68.12,69.39,68,69.03,135039,69.03
2012-03-08,69.76,70.36,68.68,70.02,193381,70.02
2012-03-09,70.25,70.34,69.06,69.25,138454,69.25
2012-03-12,68.93,69.21,68.51,68.73,244543,68.73
2012-03-13,69.26,71.4,69.07,71.38,333876,71.38
2012-03-14,71.44,71.71,69.94,70.02,182461,70.02
2012-03-15,70.02,74.29,70.02,73.51,323268,73.51
2012-03-16,73.77,74.95,73.73,74.67,517571,74.67
2012-03-19,74.41,74.65,73.63,73.69,159356,73.69
2012-03-20,73.05,73.08,71.6,71.97,218808,71.97
2012-03-21,71.98,73.8,71.81,73.34,168243,73.34
2012-03-22,71.56,72.15,70.63,71.18,212341,71.18
2012-03-23,71.44,71.52,70.3,70.45,220959,70.45
2012-03-26,71.37,71.65,70.91,71.47,382488,71.47
2012-03-27,71.81,72.12,71.34,71.84,225535,71.84
2012-03-28,71.72,71.95,70.62,71.55,162787,71.55
2012-03-29,70.84,71.02,69.22,70.67,217028,70.67
2012-03-30,71.42,72.1,71.1,71.69,322243,71.69
2012-04-02,70.79,73.46,70.6,72.64,248294,72.64
2012-04-03,72.65,73.33,71.81,73.27,317068,73.27
2012-04-04,72.44,72.7,71.47,72.19,206816,72.19
2012-04-05,71.94,72.93,71.87,72.6,234006,72.6
2012-04-09,71.1,72.41,70.77,71.76,264996,71.76
2012-04-10,71.55,71.6,68.71,69.21,234614,69.21
2012-04-11,70.21,70.46,69.53,69.73,410762,69.73
2012-04-12,70.05,73.21,69.86,72.74,246483,72.74
2012-04-13,72.35,73.24,71.9,72.59,188645,72.59
2012-04-16,73.27,73.49,72.39,72.81,263990,72.81
2012-04-17,73.26,74.27,72.85,74.02,197238,74.02
2012-04-18,73.7,74.37,73.12,73.65,180370,73.65
2012-04-19,73.31,73.64,70.88,71.37,301511,71.37
2012-04-20,71.86,72.33,71.28,71.41,380179,71.41
2012-04-23,70.2,70.95,68.89,70.86,480450,70.86
2012-04-24,71.09,75.31,70.99,75.09,474334,75.09
2012-04-25,75.52,77.64,75.27,77.34,352676,77.34
2012-04-26,76.58,77.97,76.23,77.5,336653,77.5
2012-04-27,78.47,79.15,77.21,78.36,269124,78.36
2012-04-30,77.99,78.32,76.46,77.02,290684,77.02
2012-05-01,77,79.5,77,78.3,228911,78.3
2012-05-02,76.08,77.43,75.63,77.29,338760,77.29
2012-05-03,77.78,78.46,76.16,76.33,232684,76.33
2012-05-04,75.58,75.6,74.64,75.1,254589,75.1
2012-05-07,74.85,75.69,74.5,75.34,203230,75.34
2012-05-08,74.77,75.39,73.51,75.3,329321,75.3
2012-05-09,74.26,75.04,73.6,73.76,254454,73.76
2012-05-10,74.74,74.97,72.26,72.63,275788,72.63
2012-05-11,71.82,73.24,71.49,71.66,400622,71.66
2012-05-14,70.79,70.85,70.1,70.18,366048,70.18
2012-05-15,70.25,70.97,69.98,70.22,263637,70.22
2012-05-16,70.64,71.82,69.82,69.89,256152,69.89
2012-05-17,70.07,70.18,65.41,65.42,478556,65.42
2012-05-18,65.59,66.66,64.61,64.72,548323,64.72
2012-05-21,64.99,67.37,64.99,67.29,407508,67.29
2012-05-22,67.36,68.73,67.08,67.86,340165,67.86
2012-05-23,66.71,68.61,66.15,68.35,262469,68.35
2012-05-24,68.73,68.97,66.57,67.19,308156,67.19
2012-05-25,67.04,67.04,65.64,66.44,163009,66.44
2012-05-29,67.2,67.24,65.99,66.64,200120,66.64
2012-05-30,65.6,65.7,63.33,63.64,324771,63.64
2012-05-31,64.47,66.54,64.22,65.98,432110,65.98
2012-06-01,64.48,64.69,62.99,63.26,261444,63.26
2012-06-04,63.14,64.05,61.37,62.54,191547,62.54
2012-06-05,62.13,63.8,61.84,63.19,157048,63.19
2012-06-06,64.02,66.1,64,66.05,313328,66.05
2012-06-07,67.36,69.23,66.39,66.8,467391,66.8
2012-06-08,66.43,67.3,65.3,67.13,183963,67.13
2012-06-11,68.02,68.07,66.08,66.18,264650,66.18
2012-06-12,66.68,67.71,66.39,67.26,172840,67.26
2012-06-13,66.81,67.99,66.27,66.7,97042,66.7
2012-06-14,66.64,67.27,65.74,66.71,202731,66.71
2012-06-15,67.02,68.52,66.86,68.29,337171,68.29
2012-06-18,67.79,71.62,67.5,71.43,284751,71.43
2012-06-19,71.81,72.38,71.11,71.54,247990,71.54
2012-06-20,71.4,71.41,69.15,70.49,267989,70.49
2012-06-21,70.4,70.54,68.62,68.84,227661,68.84
2012-06-22,68.48,68.48,67.13,67.7,511026,67.7
2012-06-25,65.92,66.97,65.04,66.71,480112,66.71
2012-06-26,66.99,67.76,66.24,67.16,168579,67.16
2012-06-27,67.2,67.58,66.12,66.64,238084,66.64
2012-06-28,66.15,67.96,65.76,67.85,259187,67.85
2012-06-29,69.37,69.57,68.95,69.56,254572,69.56
2012-07-02,69.87,69.91,68.02,68.59,230387,68.59
2012-07-03,68.92,69.49,68.58,69.27,207513,69.27
2012-07-05,69.22,71.8,68.89,70.91,285749,70.91
2012-07-06,69.94,70.36,69.32,69.89,130142,69.89
2012-07-09,69.65,70.51,69.33,70.27,138585,70.27
2012-07-10,70.8,71.29,68.96,69.4,181599,69.4
2012-07-11,69.28,70.09,68.28,68.66,216703,68.66
2012-07-12,68.29,68.78,67.45,68.25,226963,68.25
2012-07-13,68.63,70.23,68.39,70.09,286981,70.09
