DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,23.55,23.72,23.03,23.14,387543,23.14
2012-01-04,23.21,23.42,23.14,23.34,429853,23.34
2012-01-05,23.24,23.6,22.83,23.13,610639,23.13
2012-01-06,23.08,23.13,22.73,22.76,466294,22.76
2012-01-09,22.9,22.96,22.48,22.51,544105,22.51
2012-01-10,22.84,22.84,22.16,22.41,579423,22.41
2012-01-11,22.3,22.6,22.13,22.43,435776,22.43
2012-01-12,22.51,22.66,22.35,22.64,278871,22.64
2012-01-13,22.47,22.55,22.22,22.49,422460,22.49
2012-01-17,22.88,22.96,22.64,22.76,474809,22.76
2012-01-18,22.76,23.42,22.67,23.35,291858,23.35
2012-01-19,23.35,23.72,23.09,23.6,383089,23.6
2012-01-20,23.55,23.58,23.12,23.18,372418,23.18
2012-01-23,23.24,23.49,22.91,22.95,242268,22.95
2012-01-24,22.75,23.36,22.75,23.3,241206,23.3
2012-01-25,23.31,23.41,22.9,23.33,361131,23.33
2012-01-26,23.44,23.59,22.86,22.96,389339,22.96
2012-01-27,22.84,23,22.46,22.67,422776,22.67
2012-01-30,22.35,22.41,21.97,22.04,708261,22.04
2012-01-31,22.14,22.24,21.3,21.46,839185,21.46
2012-02-01,21.76,22.19,21.61,22.02,559046,22.02
2012-02-02,22.07,22.49,22,22.47,504969,22.47
2012-02-03,22.67,23.32,22.6,23.22,497314,23.22
2012-02-06,23.13,23.46,22.96,23.39,713065,23.39
2012-02-07,22.97,22.97,21.75,22,1347612,22
2012-02-08,21.98,22.09,21.76,21.95,656169,21.95
2012-02-09,22,22,21.68,21.77,384191,21.77
2012-02-10,21.56,21.6,21.26,21.36,568382,21.36
2012-02-13,21.51,21.63,21.34,21.53,322953,21.53
2012-02-14,21.5,21.61,21.29,21.47,334503,21.47
2012-02-15,21.52,21.8,21.32,21.49,391155,21.49
2012-02-16,21.46,21.78,21.46,21.77,318911,21.77
2012-02-17,21.92,22.27,21.87,21.95,502260,21.95
2012-02-21,22.07,22.33,21.69,21.81,351618,21.81
2012-02-22,21.76,21.97,21.76,21.9,309084,21.9
2012-02-23,21.88,22.38,21.85,22.29,339809,22.29
2012-02-24,22.27,22.9,22.11,22.59,844855,22.59
2012-02-27,22.42,22.74,22.27,22.69,523640,22.69
2012-02-28,22.65,22.89,22.59,22.66,494407,22.66
2012-02-29,22.64,22.89,22.51,22.63,347572,22.63
2012-03-01,22.72,22.75,22.07,22.37,442403,22.37
2012-03-02,22.32,22.32,21.91,21.97,431466,21.97
2012-03-05,22.18,22.68,22.01,22.68,595146,22.68
2012-03-06,22.37,22.38,21.91,22.12,570718,22.12
2012-03-07,22.2,22.34,21.95,22.01,886109,22.01
2012-03-08,22.17,22.41,22.14,22.26,418709,22.26
2012-03-09,22.37,22.97,22.34,22.42,825029,22.42
2012-03-12,22.49,22.86,22.43,22.81,494057,22.81
2012-03-13,22.58,23.11,22.26,23.08,562528,23.08
2012-03-14,23.05,23.26,22.84,22.89,372138,22.89
2012-03-15,22.96,23.23,22.77,23.23,263494,23.23
2012-03-16,23.22,23.37,23.15,23.26,721800,23.26
2012-03-19,23.09,23.32,22.83,23.08,415529,23.08
2012-03-20,22.96,22.99,22.55,22.85,268484,22.85
2012-03-21,22.84,23.04,22.77,22.86,334900,22.86
2012-03-22,22.62,22.75,22.43,22.61,186051,22.61
2012-03-23,22.53,22.53,22.16,22.4,457115,22.4
2012-03-26,22.67,22.93,22.55,22.78,375980,22.78
2012-03-27,22.7,23.15,22.7,22.9,495289,22.9
2012-03-28,22.96,23.09,22.58,22.92,436701,22.92
2012-03-29,22.76,23.01,22.52,22.94,230416,22.94
2012-03-30,23.08,23.16,22.84,23.01,311320,23.01
2012-04-02,22.92,23.25,22.81,23.18,457547,23.18
2012-04-03,23.07,23.37,22.97,23.19,344095,23.19
2012-04-04,23,23.19,22.84,23.06,550244,23.06
2012-04-05,22.98,23.2,22.95,23.19,390529,23.19
2012-04-09,22.87,22.98,22.6,22.76,287366,22.76
2012-04-10,22.67,22.75,21.73,21.75,438018,21.75
2012-04-11,22,22.16,21.85,22.02,386681,22.02
2012-04-12,22.03,22.45,21.96,22.44,270736,22.44
2012-04-13,22.38,22.49,22.16,22.32,293395,22.32
2012-04-16,22.36,22.53,22.28,22.42,328171,22.42
2012-04-17,22.64,23.11,22.61,22.97,354223,22.97
2012-04-18,22.89,23.3,22.89,23.14,449330,23.14
2012-04-19,23.18,23.26,22.68,22.88,320238,22.88
2012-04-20,22.92,23.39,22.71,23.07,567581,23.07
2012-04-23,22.84,23.2,22.68,23.09,611199,23.09
2012-04-24,23.11,23.61,23.1,23.36,403241,23.36
2012-04-25,23.59,23.98,23.46,23.6,722502,23.6
2012-04-26,23.59,23.85,23.35,23.67,592909,23.67
2012-04-27,22.9,22.94,21.77,21.99,1277304,21.99
2012-04-30,21.96,22.02,21.71,21.77,503121,21.77
2012-05-01,21.75,22.3,21.67,22.02,561660,22.02
2012-05-02,21.93,22.24,21.83,21.96,458350,21.96
2012-05-03,22,22.05,21.7,21.77,427770,21.77
2012-05-04,21.7,21.79,21.46,21.49,478981,21.49
2012-05-07,21.46,21.69,21.31,21.35,402573,21.35
2012-05-08,21.26,21.32,20.9,21.22,621006,21.22
2012-05-09,21.03,21.23,20.68,20.73,889689,20.73
2012-05-10,20.98,21.15,20.72,20.81,557884,20.81
2012-05-11,20.71,20.99,20.68,20.83,423067,20.83
2012-05-14,20.69,20.69,20.5,20.53,577222,20.53
2012-05-15,20.54,20.77,20.32,20.39,443645,20.39
2012-05-16,20.49,20.7,20.4,20.41,696613,20.41
2012-05-17,20.39,20.57,19.92,20.07,572043,20.07
2012-05-18,20.15,20.16,19.76,19.89,577100,19.89
2012-05-21,19.91,20.28,19.76,20.25,379188,20.25
2012-05-22,20.29,20.58,20.26,20.4,430556,20.4
2012-05-23,20.19,20.66,20.09,20.64,328020,20.64
2012-05-24,20.66,20.81,20.51,20.78,341786,20.78
2012-05-25,20.75,20.92,20.64,20.72,264092,20.72
2012-05-29,20.9,21.18,20.84,21.01,288760,21.01
2012-05-30,20.84,20.9,20.42,20.78,499161,20.78
2012-05-31,20.8,20.98,20.36,20.79,544344,20.79
2012-06-01,20.42,20.52,20.15,20.3,509303,20.3
2012-06-04,20.29,20.45,19.67,19.78,537088,19.78
2012-06-05,19.74,20.19,19.66,20.15,396157,20.15
2012-06-06,19.9,20.58,19.9,20.37,575872,20.37
2012-06-07,20.66,20.72,20.26,20.36,2713117,20.36
2012-06-08,20.26,20.86,20.16,20.84,505741,20.84
2012-06-11,21.06,21.07,20.46,20.48,459697,20.48
2012-06-12,20.53,20.92,20.53,20.88,449496,20.88
2012-06-13,20.5,20.69,20.12,20.18,456123,20.18
2012-06-14,20.23,20.49,20.1,20.3,290923,20.3
2012-06-15,20.36,20.6,20.35,20.55,823564,20.55
2012-06-18,20.51,20.75,20.48,20.66,269968,20.66
2012-06-19,20.76,21.02,20.75,20.79,264591,20.79
2012-06-20,20.84,20.84,20.38,20.49,285101,20.49
2012-06-21,20.51,20.53,19.87,19.92,330304,19.92
2012-06-22,19.99,20.1,19.86,19.88,727286,19.88
2012-06-25,19.78,19.78,19.35,19.49,302371,19.49
2012-06-26,19.5,19.82,19.26,19.8,389054,19.8
2012-06-27,19.9,20.19,19.88,20.12,387970,20.12
2012-06-28,19.99,20.47,19.99,20.37,1125790,20.37
2012-06-29,20.77,21.13,20.64,21.13,677836,21.13
2012-07-02,21.19,21.36,20.86,21.04,390681,21.04
2012-07-03,21.03,21.33,21.01,21.27,163316,21.27
2012-07-05,21.27,21.35,21.13,21.26,238968,21.26
2012-07-06,21.03,21.17,20.87,21.04,174779,21.04
2012-07-09,21.04,21.07,20.75,20.94,342824,20.94
2012-07-10,21.13,21.34,20.66,20.86,537127,20.86
2012-07-11,20.83,20.96,20.63,20.85,375868,20.85
2012-07-12,20.7,21.02,20.5,20.93,400078,20.93
2012-07-13,20.95,21.49,20.89,21.36,332806,21.36
2012-07-16,21.21,21.29,20.88,21.18,454151,21.18
2012-07-17,21.25,21.44,21,21.41,491428,21.41
2012-07-18,21.38,21.73,21.32,21.57,531225,21.57
2012-07-19,21.74,21.98,21.55,21.97,488526,21.97
2012-07-20,21.82,22.08,21.45,21.6,4838406,21.6
2012-07-23,21.3,21.63,21.26,21.5,427581,21.5
2012-07-24,21.51,21.67,21.29,21.47,473331,21.47
2012-07-25,21.61,21.88,21.56,21.85,679972,21.85
2012-07-26,22.09,22.55,21.91,22.49,1077055,22.49
2012-07-27,22.9,22.9,22.22,22.63,676882,22.63
2012-07-30,22.68,23.02,22.59,22.97,529248,22.97
2012-07-31,22.98,23.31,22.95,23.18,544708,23.18
2012-08-01,23.27,23.43,23.06,23.19,434087,23.19
2012-08-02,23.07,23.24,22.78,22.97,471013,22.97
2012-08-03,23.35,23.44,23.03,23.08,344488,23.08
2012-08-06,23.12,23.13,22.74,22.77,502246,22.77
2012-08-07,22.84,23.2,22.82,23.01,343787,23.01
2012-08-08,23,23.27,22.85,23.27,394224,23.27
2012-08-09,23.27,23.42,23.16,23.18,205866,23.18
2012-08-10,23.16,23.2,22.94,23.12,244278,23.12
2012-08-13,23.09,23.28,22.98,23.2,184822,23.2
2012-08-14,23.29,23.43,23.15,23.22,151561,23.22
2012-08-15,23.18,23.29,23.06,23.21,182513,23.21
2012-08-16,23.27,23.65,23.16,23.63,226842,23.63
2012-08-17,23.66,23.91,23.47,23.87,308261,23.87
2012-08-20,23.84,23.88,23.57,23.59,226867,23.59
2012-08-21,23.66,23.81,23.5,23.57,122426,23.57
2012-08-22,23.57,23.72,23.52,23.57,226191,23.57
2012-08-23,23.53,23.73,23.4,23.56,180456,23.56
2012-08-24,23.56,23.99,23.45,23.89,248291,23.89
2012-08-27,23.88,23.95,23.73,23.76,206993,23.76
2012-08-28,23.73,23.91,23.68,23.7,159873,23.7
2012-08-29,23.69,23.81,23.63,23.73,145767,23.73
2012-08-30,23.59,23.83,23.52,23.73,189827,23.73
2012-08-31,23.82,23.98,23.66,23.74,254490,23.74
2012-09-04,23.76,24.09,23.58,23.99,253960,23.99
2012-09-05,23.95,23.95,23.7,23.9,201076,23.9
2012-09-06,23.92,24.25,23.92,24.13,255201,24.13
2012-09-07,24.15,24.29,24.12,24.23,251985,24.23
2012-09-10,24.12,24.32,24.01,24.3,286054,24.3
2012-09-11,24.3,24.61,24.25,24.58,429489,24.58
2012-09-12,24.3,24.44,24.27,24.39,238570,24.39
2012-09-13,24.43,24.82,24.09,24.76,319483,24.76
2012-09-14,24.75,25.23,24.75,25,332700,25
2012-09-17,24.89,24.97,24.72,24.92,348291,24.92
2012-09-18,24.92,24.94,24.62,24.75,203208,24.75
2012-09-19,24.76,25.18,24.67,25.17,276918,25.17
2012-09-20,25.09,25.09,24.69,24.89,260480,24.89
2012-09-21,25.05,25.12,24.97,25.1,925373,25.1
2012-09-24,25.1,25.2,24.81,24.85,271057,24.85
2012-09-25,24.83,25.02,24.73,24.81,388805,24.81
2012-09-26,24.77,24.77,24.15,24.3,291538,24.3
2012-09-27,24.43,24.79,24.24,24.77,304970,24.77
2012-09-28,24.67,25.12,24.55,25.05,492666,25.05
2012-10-01,25.03,25.17,24.77,24.82,379373,24.82
2012-10-02,24.82,24.82,24.35,24.45,633904,24.45
2012-10-03,24.44,25.04,24.44,24.89,329036,24.89
2012-10-04,25.02,25.03,24.66,24.83,329972,24.83
2012-10-05,24.96,25.3,24.96,25.09,235208,25.09
2012-10-08,25.08,25.21,24.94,25.13,204177,25.13
2012-10-09,25.09,25.17,24.85,25.01,312599,25.01
2012-10-10,24.96,25.05,24.75,24.87,266632,24.87
2012-10-11,24.99,25.09,24.79,24.81,349967,24.81
2012-10-12,24.84,24.93,24.57,24.71,272598,24.71
2012-10-15,24.58,25.21,24.45,25.17,545541,25.17
2012-10-16,25.18,25.56,25.02,25.49,326896,25.49
2012-10-17,25.58,26,25.58,25.91,198404,25.91
2012-10-18,25.87,26.13,25.75,26.12,284396,26.12
2012-10-19,26.01,26.21,25.54,25.86,2745914,25.86
2012-10-22,25.8,25.87,25.53,25.79,274580,25.79
2012-10-23,25.47,25.69,25.17,25.58,239718,25.58
2012-10-24,25.61,25.69,25.34,25.42,264284,25.42
2012-10-25,25.59,25.75,25.16,25.29,281131,25.29
2012-10-26,25.29,25.42,24.96,25.4,282739,25.4
2012-10-31,26.9,26.95,26.32,26.53,614093,26.53
2012-11-01,26.81,27.45,26.81,27.44,558556,27.44
2012-11-02,27.56,27.69,27.18,27.19,504029,27.19
2012-11-05,26.97,27.4,26.97,27.24,379450,27.24
2012-11-06,27.37,27.53,27.23,27.41,227617,27.41
2012-11-07,27.07,27.22,26.65,27.01,288897,27.01
2012-11-08,27.01,27.28,26.83,26.84,325999,26.84
2012-11-09,26.77,27.04,26.47,26.72,297192,26.72
2012-11-12,26.77,26.9,26.48,26.53,157665,26.53
2012-11-13,26.49,26.67,26.31,26.34,384768,26.34
2012-11-14,26.45,26.54,26.06,26.13,320691,26.13
2012-11-15,26.1,26.39,25.93,26.15,317650,26.15
2012-11-16,26.18,26.58,26.02,26.56,326219,26.56
2012-11-19,26.86,27.37,26.73,26.93,258243,26.93
2012-11-20,26.96,27.07,26.71,26.99,210228,26.99
2012-11-21,27.03,27.19,26.88,26.98,160531,26.98
2012-11-23,27.08,27.43,27.08,27.43,102617,27.43
2012-11-26,27.36,27.45,27.05,27.19,205891,27.19
2012-11-27,27.25,27.36,27.06,27.18,271998,27.18
2012-11-28,27.07,27.29,26.75,27.29,324988,27.29
2012-11-29,27.27,27.36,26.95,27.16,325000,27.16
2012-11-30,27.24,27.85,27.09,27.85,537165,27.85
2012-12-03,27.77,27.79,27.34,27.43,352023,27.43
2012-12-04,27.51,27.89,27.44,27.85,532422,27.85
2012-12-05,27.66,27.76,27.02,27.17,350151,27.17
2012-12-06,26.87,27.01,26.45,27,311979,27
2012-12-07,27.1,27.22,26.7,26.86,293819,26.86
2012-12-10,26.86,26.9,26.64,26.71,225751,26.71
2012-12-11,26.82,26.82,26.37,26.52,231914,26.52
2012-12-12,26.61,26.86,26.51,26.54,172224,26.54
2012-12-13,26.52,26.81,26.33,26.57,847990,26.57
2012-12-14,26.47,26.52,26.13,26.36,328380,26.36
2012-12-17,26.37,26.83,26.37,26.7,439083,26.7
2012-12-18,26.77,27.36,26.65,27.33,849285,27.33
2012-12-19,27.36,27.59,27.18,27.31,281486,27.31
2012-12-20,27.29,27.56,27.19,27.49,200510,27.49
2012-12-21,27.19,27.39,26.77,26.83,1260808,26.83
2012-12-24,26.8,27.06,26.67,26.71,143731,26.71
2012-12-26,26.75,26.93,26.66,26.68,288831,26.68
2012-12-27,26.75,26.77,26.32,26.73,239669,26.73
2012-12-28,26.6,26.6,26.3,26.44,693538,26.44
2012-12-31,26.33,27.33,26.261,27.22,459338,27.22
2013-01-02,27.68,27.91,27.52,27.75,483792,27.75
2013-01-03,27.76,28.28,27.64,27.89,223824,27.89
2013-01-04,27.99,28.15,27.87,28.02,235606,28.02
2013-01-07,27.89,27.89,27.33,27.4,392921,27.4
2013-01-08,27.37,27.59,27.25,27.48,367921,27.48
2013-01-09,27.55,27.86,27.46,27.56,287424,27.56
2013-01-10,27.71,27.88,27.51,27.88,339696,27.88
2013-01-11,27.91,28.2,27.87,28,205593,28
2013-01-14,27.89,28.3,27.89,28.05,244770,28.05
2013-01-15,27.92,28.21,27.77,28.19,197510,28.19
2013-01-16,28.11,28.18,27.89,28.1,183915,28.1
2013-01-17,28.24,28.72,28.17,28.6,380932,28.6
2013-01-18,28.66,28.7,28.22,28.55,2057130,28.55
2013-01-22,28.57,28.99,28.5,28.85,309114,28.85
2013-01-23,28.85,29.25,28.82,29.24,317464,29.24
2013-01-24,29.32,29.61,29.2,29.42,280173,29.42
2013-01-25,29.63,29.77,29.4,29.57,345672,29.57
2013-01-28,29.57,29.59,29,29.53,375397,29.53
2013-01-29,29.53,29.73,29.44,29.71,209503,29.71
2013-01-30,29.71,29.76,29.47,29.7,358580,29.7
2013-01-31,29.62,29.92,29.44,29.44,614284,29.44
2013-02-01,29.65,29.9,29.49,29.57,530023,29.57
2013-02-04,29.4,29.54,28.95,29.04,575255,29.04
2013-02-05,29.64,29.95,29.16,29.6,809634,29.6
2013-02-06,29.52,29.64,29.19,29.42,410664,29.42
2013-02-07,29.44,29.77,29.23,29.75,564248,29.75
2013-02-08,29.79,29.86,29.52,29.74,326807,29.74
2013-02-11,29.76,29.83,29.51,29.58,239230,29.58
2013-02-12,29.73,30.06,29.66,29.9,317085,29.9
2013-02-13,29.95,30.35,29.95,30.24,329915,30.24
2013-02-14,30.13,30.63,30.07,30.6,331461,30.6
2013-02-15,30.54,30.88,30.45,30.7,416032,30.7
2013-02-19,30.75,30.82,30.47,30.65,283095,30.65
2013-02-20,30.64,30.77,29.92,29.92,353468,29.92
2013-02-21,29.88,29.88,29.47,29.66,325744,29.66
2013-02-22,29.75,29.88,29.61,29.78,274432,29.78
2013-02-25,29.92,29.95,29.16,29.19,321575,29.19
2013-02-26,29.37,29.7,29.14,29.64,254720,29.64
2013-02-27,29.64,30.56,29.64,30.42,281489,30.42
2013-02-28,30.41,30.77,30.36,30.58,349586,30.58
2013-03-01,30.46,30.74,30.22,30.67,295522,30.67
2013-03-04,30.53,30.98,30.51,30.88,506132,30.88
2013-03-05,31,31.48,30.94,31.46,277777,31.46
2013-03-06,31.59,31.65,31.34,31.47,222807,31.47
2013-03-07,31.49,31.64,31.31,31.61,204217,31.61
2013-03-08,31.81,31.96,31.56,31.89,192057,31.89
2013-03-11,31.88,32.49,31.88,32.31,260088,32.31
2013-03-12,32.31,32.52,32.1,32.52,326325,32.52
2013-03-13,32.24,32.39,31.91,32.32,250432,32.32
2013-03-14,32.4,32.52,32.32,32.48,250870,32.48
2013-03-15,31.98,32.32,31.98,32.22,731689,32.22
2013-03-18,31.9,32.53,31.9,32.34,240990,32.34
2013-03-19,32.42,32.66,32.17,32.51,230132,32.51
2013-03-20,32.68,33.19,32.57,33.09,323731,33.09
2013-03-21,32.94,33.02,32.56,32.63,239983,32.63
2013-03-22,32.7,32.98,32.59,32.84,185048,32.84
2013-03-25,32.9,33.08,32.41,32.81,279431,32.81
2013-03-26,32.88,33.23,32.86,33.17,182936,33.17
2013-03-27,32.9,33.38,32.9,33.33,181402,33.33
2013-03-28,33.33,33.8,33.32,33.78,279441,33.78
2013-04-01,33.78,33.85,33.34,33.49,261230,33.49
2013-04-02,33.55,33.82,33.37,33.53,195549,33.53
2013-04-03,33.48,33.51,32.25,32.51,376126,32.51
2013-04-04,32.59,32.88,32.46,32.63,284226,32.63
2013-04-05,32.07,32.64,31.6,32.63,315091,32.63
2013-04-08,32.67,33.22,32.63,33.21,258677,33.21
2013-04-09,33.26,33.29,32.65,32.89,233843,32.89
2013-04-10,33,33.42,32.93,33.37,322303,33.37
2013-04-11,33.43,34,33.39,33.79,283094,33.79
2013-04-12,33.66,34.05,33.65,33.79,244038,33.79
2013-04-15,33.64,33.75,32.55,32.55,337546,32.55
2013-04-16,32.85,33.22,32.54,33.22,298829,33.22
2013-04-17,33.02,33.02,32.26,32.48,387962,32.48
2013-04-18,32.53,32.6,31.82,31.93,355404,31.93
2013-04-19,31.79,32.67,31.67,32.48,936787,32.48
2013-04-22,32.55,32.91,32.19,32.83,207232,32.83
2013-04-23,33.07,33.537,32.88,33.4,294943,33.4
2013-04-24,33.44,33.54,33.23,33.38,226912,33.38
2013-04-25,33.57,33.87,33.47,33.65,255271,33.65
2013-04-26,32.5,32.97,32.08,32.58,531015,32.58
2013-04-29,32.37,32.62,32.09,32.33,384397,32.33
2013-04-30,32.29,32.39,32.02,32.24,514030,32.24
2013-05-01,32.16,32.25,31.57,31.57,299521,31.57
2013-05-02,31.71,32.13,31.6,32.1,292659,32.1
2013-05-03,32.46,33.08,32.44,32.84,237980,32.84
2013-05-06,32.84,32.91,32.47,32.61,268702,32.61
2013-05-07,32.77,33.09,32.65,33.07,178251,33.07
2013-05-08,33.04,33.26,32.98,33.26,147999,33.26
2013-05-09,33.25,33.57,33.11,33.15,170011,33.15
2013-05-10,33.18,33.52,33.15,33.48,192623,33.48
2013-05-13,33.5,33.7,33.23,33.62,208091,33.62
