DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30.62,30.83,30.25,30.34,764039,30.34
2012-01-04,30.31,30.31,29.93,30.085,520289,30.085
2012-01-05,30.11,30.4,30,30.25,1071307,30.25
2012-01-06,30.23,30.23,29.8,30.06,632337,30.06
2012-01-09,30.28,30.87,30.18,30.73,719875,30.73
2012-01-10,31.08,31.13,30.68,30.84,595026,30.84
2012-01-11,30.84,30.98,30.69,30.85,432603,30.85
2012-01-12,30.97,30.97,30.71,30.89,652754,30.89
2012-01-13,30.89,30.89,30.01,30.06,1066690,30.06
2012-01-17,29.71,30.26,29.67,29.87,1193258,29.87
2012-01-18,32.24,33.49,31.69,33.32,3246959,33.32
2012-01-19,33.31,33.68,33.04,33.4,1283212,33.4
2012-01-20,33.27,33.43,32.94,33.06,1256505,33.06
2012-01-23,33.24,33.33,32.84,33.17,962648,33.17
2012-01-24,33.09,33.58,33.06,33.32,947414,33.32
2012-01-25,33.28,33.565,33.04,33.5,1308553,33.5
2012-01-26,33.46,34.12,33.05,33.2,1197506,33.2
2012-01-27,32.99,33.48,32.96,33.32,731721,33.32
2012-01-30,32.98,33.285,32.77,33.26,757645,33.26
2012-01-31,33.33,33.63,33.11,33.32,1275278,33.32
2012-02-01,33.79,34,33.57,33.705,825796,33.705
2012-02-02,33.68,33.96,33.64,33.68,623743,33.68
2012-02-03,34,34.45,33.97,34.43,666546,34.43
2012-02-06,34.29,34.3,33.83,34.13,590273,34.13
2012-02-07,33.97,34.26,33.76,34.08,666843,34.08
2012-02-08,34,34.5,33.99,34.25,529109,34.25
2012-02-09,34.27,34.49,34.04,34.34,607917,34.34
2012-02-10,34.03,34.03,33.27,33.58,1060294,33.58
2012-02-13,33.9,33.94,33.22,33.66,522964,33.66
2012-02-14,33.58,33.7,33.33,33.54,727202,33.54
2012-02-15,33.46,33.75,33.26,33.41,751782,33.41
2012-02-16,33.48,34.285,33.44,34.26,861466,34.26
2012-02-17,34.46,34.48,33.92,34.02,844729,34.02
2012-02-21,33.92,34.11,33.57,33.65,560351,33.65
2012-02-22,33.61,33.83,33.37,33.43,510253,33.43
2012-02-23,33.4,33.5,33.07,33.48,773514,33.48
2012-02-24,33.65,33.79,33.29,33.34,592520,33.34
2012-02-27,33.19,33.55,32.86,33.39,620484,33.39
2012-02-28,33.45,34.24,33.45,34.11,794567,34.11
2012-02-29,34.18,34.18,33.42,33.48,778825,33.48
2012-03-01,33.61,33.74,33.135,33.24,601028,33.24
