DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.93,42.03,41.67,41.8,1652475,41.8
2012-01-04,41.8,41.8,40.68,40.71,3073666,40.71
2012-01-05,39.5,40.36,39.25,40.3,2690751,40.3
2012-01-06,40.04,40.2,39.81,39.88,1990558,39.88
2012-01-09,39.89,39.9,39.61,39.81,1659266,39.81
2012-01-10,40.19,40.54,40.09,40.33,1426423,40.33
2012-01-11,40.04,40.16,39.82,39.98,1250997,39.98
2012-01-12,40.07,40.25,40.01,40.18,920349,40.18
2012-01-13,39.99,40.05,39.65,39.94,1329937,39.94
2012-01-17,40.2,40.4,40,40.03,1471585,40.03
2012-01-18,40.06,40.36,40.05,40.18,1130012,40.18
2012-01-19,40.19,40.39,40.07,40.17,1047650,40.17
2012-01-20,40.26,40.31,39.71,39.81,2216198,39.81
2012-01-23,39.85,39.86,39.19,39.4,1652356,39.4
2012-01-24,39.31,39.64,39.3,39.61,1153597,39.61
2012-01-25,39.37,39.97,39.22,39.89,1162565,39.89
2012-01-26,39.97,40.02,39.34,39.44,1550792,39.44
2012-01-27,39.48,39.49,39.02,39.2,1624419,39.2
2012-01-30,39,39.45,38.94,39.25,1383446,39.25
2012-01-31,39.66,39.84,39.36,39.74,2771196,39.74
2012-02-01,39.85,40.11,39.73,39.8,1323948,39.8
2012-02-02,39.98,40,39.25,39.6,1870510,39.6
2012-02-03,39.5,39.7,39.41,39.51,1262394,39.51
2012-02-06,39.55,39.73,39.39,39.64,1330431,39.64
2012-02-07,39.57,39.67,39.43,39.5,942978,39.5
2012-02-08,39.48,39.85,39.41,39.78,1573898,39.78
2012-02-09,39.73,39.83,39.47,39.52,1068314,39.52
2012-02-10,39.4,39.4,39.11,39.31,1310562,39.31
2012-02-13,39.09,39.17,38.79,38.85,1018773,38.85
2012-02-14,38.66,38.71,38.3,38.49,1218273,38.49
2012-02-15,38.59,38.75,38.42,38.57,892990,38.57
2012-02-16,38.51,38.73,38.41,38.72,938045,38.72
2012-02-17,38.9,39.3,38.77,39.26,2294926,39.26
2012-02-21,39.35,39.36,38.71,38.75,2180707,38.75
2012-02-22,38.75,38.92,38.7,38.82,1002428,38.82
2012-02-23,38.75,38.88,38.62,38.79,970023,38.79
2012-02-24,38.87,39.17,38.84,39.05,849915,39.05
2012-02-27,39.04,39.35,38.81,39.18,1097348,39.18
2012-02-28,39.28,39.43,39.17,39.4,1226039,39.4
2012-02-29,39.47,39.5,39.2,39.24,1285983,39.24
2012-03-01,39.24,39.41,39.19,39.35,1045361,39.35
2012-03-02,39.35,39.6,39.31,39.48,951324,39.48
2012-03-05,39.36,39.54,39.09,39.13,997226,39.13
2012-03-06,39.14,39.32,38.56,38.64,1214965,38.64
2012-03-07,38.67,38.95,38.63,38.86,954434,38.86
2012-03-08,39.01,39.28,38.97,39.19,919254,39.19
2012-03-09,39.3,39.61,39.25,39.56,1470229,39.56
2012-03-12,39.6,39.81,39.58,39.8,897905,39.8
2012-03-13,39.85,40.21,39.82,40.17,1140862,40.17
2012-03-14,40.16,40.45,40.16,40.26,997355,40.26
2012-03-15,40.24,40.4,40.06,40.28,968347,40.28
2012-03-16,40.28,40.43,39.96,40.2,4507639,40.2
2012-03-19,40.04,40.4,39.92,40.32,812766,40.32
2012-03-20,40.2,40.29,39.9,40.02,942076,40.02
2012-03-21,40.01,40.13,39.8,39.95,1034423,39.95
2012-03-22,39.57,39.85,39.47,39.81,971176,39.81
2012-03-23,39.92,39.94,39.71,39.87,1547381,39.87
2012-03-26,40.01,40.4,39.99,40.27,1513626,40.27
2012-03-27,40.35,40.41,40.18,40.26,1036687,40.26
2012-03-28,40.32,40.37,39.91,40.31,1075929,40.31
2012-03-29,39.98,40.08,39.66,39.96,1258002,39.96
2012-03-30,40.06,40.35,39.95,40.27,1242573,40.27
2012-04-02,40.3,40.64,40.24,40.48,1193323,40.48
2012-04-03,40.48,40.59,40.13,40.32,798107,40.32
2012-04-04,40.1,40.45,40.03,40.33,852883,40.33
2012-04-05,40.11,40.5,40.1,40.48,988344,40.48
2012-04-09,40.24,40.26,39.7,39.72,1342394,39.72
2012-04-10,39.62,39.92,39.42,39.42,1438316,39.42
2012-04-11,39.7,39.71,39.39,39.47,1126100,39.47
2012-04-12,39.55,39.62,39.35,39.58,1235085,39.58
2012-04-13,39.56,39.6,39.16,39.18,1212416,39.18
2012-04-16,39.32,39.7,39.32,39.6,1085658,39.6
2012-04-17,39.65,40.06,39.5,40.06,1148900,40.06
2012-04-18,39.91,40.03,39.69,39.7,1151374,39.7
2012-04-19,39.75,39.84,39.58,39.75,969522,39.75
2012-04-20,39.73,40.06,39.69,39.91,2145984,39.91
2012-04-23,39.77,39.85,39.66,39.81,1064071,39.81
2012-04-24,39.83,39.99,39.68,39.96,965445,39.96
2012-04-25,40.24,40.9,40.13,40.8,1545825,40.8
2012-04-26,40.85,41,40.61,40.88,1192518,40.88
2012-04-27,41.15,41.43,41.07,41.3,1027450,41.3
2012-04-30,41.21,41.52,41.16,41.39,1752094,41.39
2012-05-01,41.32,41.47,41.13,41.24,1052492,41.24
2012-05-02,41.15,41.48,41.13,41.48,978898,41.48
2012-05-03,41.49,41.5,41.2,41.27,939187,41.27
2012-05-04,41.2,41.4,41,41.28,1341389,41.28
2012-05-07,41,41.7,41,41.61,1343552,41.61
2012-05-08,41.6,41.66,41.42,41.62,1817668,41.62
2012-05-09,41.32,41.48,41.02,41.3,1463481,41.3
2012-05-10,41.47,41.81,41.37,41.75,1264436,41.75
2012-05-11,41.14,41.5,41.03,41.26,1314568,41.26
2012-05-14,41.04,41.25,40.79,40.93,1531284,40.93
2012-05-15,40.86,40.94,40.47,40.58,1162843,40.58
2012-05-16,40.65,40.85,40.55,40.75,922554,40.75
2012-05-17,40.73,40.94,40.53,40.53,1760911,40.53
2012-05-18,40.6,40.83,40.35,40.44,2713394,40.44
2012-05-21,40.5,40.7,40.36,40.63,1173068,40.63
2012-05-22,40.69,41.15,40.52,41,1415984,41
2012-05-23,40.92,40.99,40.37,40.67,1996303,40.67
2012-05-24,40.71,41.16,40.64,41.16,1466262,41.16
2012-05-25,41.22,41.5,41.01,41.11,917353,41.11
2012-05-29,41.25,41.55,41.21,41.3,865154,41.3
2012-05-30,41.23,41.43,40.96,40.99,1199299,40.99
2012-05-31,41.06,41.26,40.78,40.95,1861447,40.95
