DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,24.68,25.15,24.47,24.51,647968,24.51
2012-01-04,24.33,24.43,24.09,24.34,330870,24.34
2012-01-05,24.08,24.54,23.76,24.39,393464,24.39
2012-01-06,24.19,24.3,23.86,23.9,547855,23.9
2012-01-09,24,24.36,23.93,24.16,375271,24.16
2012-01-10,24.63,25.66,24.62,25.5,619622,25.5
2012-01-11,25.29,25.79,25.12,25.54,454804,25.54
2012-01-12,26.01,26.35,25.83,26.12,527279,26.12
2012-01-13,25.67,26.36,25.58,26.36,727223,26.36
2012-01-17,26.54,26.79,26.1,26.19,433407,26.19
2012-01-18,26.07,27.17,26.05,27.13,442032,27.13
2012-01-19,27.45,27.95,27.43,27.55,532615,27.55
2012-01-20,27.47,27.57,27.32,27.5,361385,27.5
2012-01-23,27.62,28.06,27.54,27.67,225458,27.67
2012-01-24,27.29,27.71,27.16,27.35,507035,27.35
2012-01-25,27.21,27.74,26.93,27.63,486860,27.63
2012-01-26,27.86,28.27,27.08,27.32,736430,27.32
2012-01-27,27,27.2,25.16,26.02,930569,26.02
2012-01-30,25.72,25.94,25.54,25.61,528114,25.61
2012-01-31,25.75,25.88,25.1,25.47,694862,25.47
2012-02-01,25.79,26.37,25.58,26.17,417901,26.17
2012-02-02,26.18,26.58,26.04,26.34,309261,26.34
2012-02-03,26.87,27.39,26.87,27.38,577417,27.38
2012-02-06,27.16,27.5,27.02,27.28,338691,27.28
2012-02-07,26.91,27.34,26.53,27.09,588634,27.09
2012-02-08,27.23,27.87,27.16,27.21,658448,27.21
2012-02-09,27.4,27.65,26.96,27.29,711565,27.29
2012-02-10,26.92,27.63,26.77,27.53,572296,27.53
2012-02-13,27.86,27.86,27.39,27.56,301074,27.56
2012-02-14,27.45,27.45,26.78,27.06,325239,27.06
2012-02-15,27.25,27.39,26.81,26.87,259703,26.87
2012-02-16,26.85,27.32,26.71,27.24,311667,27.24
2012-02-17,27.46,27.58,27.18,27.32,407629,27.32
2012-02-21,27.41,27.51,26.76,26.91,394478,26.91
2012-02-22,26.99,27.05,26.61,26.63,259226,26.63
2012-02-23,26.64,27.05,26.48,27,283364,27
2012-02-24,27.22,27.46,26.88,26.94,295835,26.94
2012-02-27,26.76,27.17,26.57,26.96,323258,26.96
2012-02-28,27.07,27.27,26.83,27.04,348717,27.04
2012-02-29,27.13,27.61,26.97,27.39,649592,27.39
2012-03-01,27.46,28.25,27.41,28.18,467675,28.18
2012-03-02,28.16,28.37,27.72,27.73,384722,27.73
2012-03-05,27.55,27.68,27.19,27.35,270383,27.35
2012-03-06,26.89,26.9,26.5,26.57,588763,26.57
2012-03-07,26.74,26.9,26.56,26.69,441751,26.69
2012-03-08,27.03,27.17,26.62,27.11,340938,27.11
2012-03-09,27.18,27.57,27.04,27.48,405866,27.48
2012-03-12,27.35,27.77,27.33,27.71,417124,27.71
2012-03-13,27.86,28.97,27.8,28.97,779794,28.97
2012-03-14,28.81,28.97,28.36,28.76,511562,28.76
2012-03-15,28.84,29.37,28.67,29.31,415341,29.31
2012-03-16,29.46,29.48,29.09,29.12,576350,29.12
2012-03-19,29.11,29.16,28.77,28.94,486938,28.94
2012-03-20,28.64,29.08,28.53,28.85,403723,28.85
2012-03-21,28.89,29.05,28.74,28.77,279727,28.77
2012-03-22,28.51,28.71,28.28,28.37,287494,28.37
2012-03-23,28.33,28.7,28.18,28.63,216814,28.63
2012-03-26,29.04,29.34,28.99,29.23,280809,29.23
2012-03-27,29.19,29.47,29.07,29.07,239702,29.07
2012-03-28,29.01,29.12,28.58,28.92,297452,28.92
2012-03-29,28.58,28.74,27.48,27.51,697789,27.51
2012-03-30,27.77,28.17,27.54,27.93,649717,27.93
2012-04-02,27.9,28.46,27.8,28.15,377719,28.15
2012-04-03,28.06,28.19,27.26,27.61,455080,27.61
2012-04-04,27.18,27.56,27.12,27.23,390486,27.23
2012-04-05,27.14,27.26,26.72,26.85,495422,26.85
2012-04-09,26.37,26.37,25.89,26.27,676493,26.27
2012-04-10,26.2,26.36,25.41,25.41,746552,25.41
2012-04-11,25.87,26.07,25.24,25.46,869044,25.46
2012-04-12,25.47,26.21,25.3,26.13,646391,26.13
2012-04-13,26.08,26.08,25.43,25.46,563392,25.46
2012-04-16,25.76,25.77,25.19,25.44,314609,25.44
2012-04-17,25.63,25.98,25.39,25.87,355491,25.87
2012-04-18,25.65,25.74,25.51,25.6,362318,25.6
2012-04-19,25.69,25.84,25.41,25.72,518342,25.72
2012-04-20,25.83,25.99,25.62,25.76,637498,25.76
2012-04-23,25.29,25.41,25.01,25.37,471087,25.37
2012-04-24,25.34,25.65,25.31,25.53,332814,25.53
2012-04-25,25.83,26.08,25.51,26.07,305624,26.07
2012-04-26,25.9,26.17,25.79,26.11,316256,26.11
2012-04-27,26.26,26.31,26.01,26.23,379129,26.23
2012-04-30,26.08,26.32,25.95,26.07,425349,26.07
2012-05-01,26.98,26.98,25.2,25.32,923081,25.32
2012-05-02,25,25.07,24.64,24.86,594635,24.86
2012-05-03,24.82,24.83,24.08,24.12,559296,24.12
2012-05-04,23.94,24.02,23.65,23.68,465438,23.68
2012-05-07,23.7,24.28,23.69,23.95,621670,23.95
2012-05-08,23.71,23.82,23.13,23.48,633311,23.48
