DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,82,82.99,81.8,82.02,519245,82.02
2012-01-04,81,81.45,80.38,80.91,694799,80.91
2012-01-05,80.47,80.68,79.05,80.07,700768,80.07
2012-01-06,80.32,80.4,79.65,79.98,366711,79.98
2012-01-09,80.25,80.26,79.77,80.04,501327,80.04
2012-01-10,80.61,81.2,80.38,80.62,535319,80.62
2012-01-11,80.49,81.11,80.49,80.78,399363,80.78
2012-01-12,81.02,81.77,80.77,81.69,505847,81.69
2012-01-13,81.1,81.53,80.81,81.52,549786,81.52
2012-01-17,82,82.1,81.35,81.64,660200,81.64
2012-01-18,81.59,82.28,81.34,82.28,357786,82.28
2012-01-19,82.28,83.71,81.86,83.71,557955,83.71
2012-01-20,83.1,83.42,82.58,82.78,751886,82.78
2012-01-23,82.83,82.86,81.91,82.54,295130,82.54
2012-01-24,82.39,82.8,82.12,82.24,347980,82.24
2012-01-25,82,82.26,81.26,81.73,529854,81.73
2012-01-26,82.15,82.95,81.39,82.47,521994,82.47
2012-01-27,82.4,82.46,81.66,82.02,470590,82.02
2012-01-30,81.4,82.13,81.29,82.01,604198,82.01
2012-01-31,82.07,82.4,81.7,82.32,632633,82.32
2012-02-01,82.5,83.71,82.3,83.52,564894,83.52
2012-02-02,83.66,83.66,82.92,83.17,339497,83.17
2012-02-03,83.51,84.73,83.25,84.59,508322,84.59
2012-02-06,84.49,85.4,84.34,85.25,513786,85.25
2012-02-07,85,86.64,85,86.63,660680,86.63
2012-02-08,86.5,87.71,86.46,87.64,757272,87.64
2012-02-09,87.55,88.07,87.4,88.01,732178,88.01
2012-02-10,87.04,87.72,87.04,87.51,505982,87.51
2012-02-13,87.58,88.25,86.99,88.23,709637,88.23
2012-02-14,87.7,88.55,87.68,88.45,498562,88.45
2012-02-15,87.8,87.85,86.77,86.93,759277,86.93
2012-02-16,86.85,87.2,86.07,86.4,508685,86.4
2012-02-17,86.75,88.3,86.62,87.99,863451,87.99
2012-02-21,87.69,87.85,86.8,87.15,441601,87.15
2012-02-22,87.34,88.09,87.27,87.62,320417,87.62
2012-02-23,87.81,88.39,87.57,88.29,428635,88.29
2012-02-24,88.48,90.15,88.4,89.53,481995,89.53
