DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.08,20.45,20.04,20.22,711157,20.22
2012-01-04,19.93,20.04,19.64,19.93,787440,19.93
2012-01-05,19.8,20.41,19.38,20.2,1020148,20.2
2012-01-06,20.18,20.44,19.98,20.06,864271,20.06
2012-01-09,20.25,20.47,20.06,20.21,813007,20.21
2012-01-10,20.67,21.24,20.51,21.19,1025935,21.19
2012-01-11,21.03,21.72,20.86,21.68,721954,21.68
2012-01-12,21.82,21.98,21.43,21.57,1126429,21.57
2012-01-13,21.09,21.18,20.5,21.07,1263499,21.07
2012-01-17,21.5,21.7,21.1,21.31,1314326,21.31
2012-01-18,21.27,22.24,21.04,22.14,1304705,22.14
2012-01-19,22.5,22.55,21.94,22.28,853710,22.28
2012-01-20,22.25,22.7,22.2,22.5,1152469,22.5
2012-01-23,22.51,23.08,22.48,22.7,859886,22.7
2012-01-24,22.39,22.95,22.34,22.86,698772,22.86
2012-01-25,22.68,22.8,21.6,21.94,1718891,21.94
2012-01-26,22.06,22.16,20.19,20.69,2322889,20.69
2012-01-27,20.6,21.21,20.5,20.98,1554905,20.98
2012-01-30,20.67,21.6,20.43,21.41,1230089,21.41
2012-01-31,21.65,21.91,21.28,21.54,1369887,21.54
2012-02-01,21.71,22.47,21.66,22.12,1172081,22.12
2012-02-02,22.22,22.68,22.02,22.67,1159502,22.67
2012-02-03,23.07,24.05,23.07,23.84,1614216,23.84
2012-02-06,23.55,23.69,23.34,23.65,942682,23.65
2012-02-07,23.66,23.93,23.12,23.82,1107108,23.82
2012-02-08,23.28,24.63,23.28,24.39,1623733,24.39
2012-02-09,24.53,24.57,24.06,24.38,1298462,24.38
2012-02-10,23.88,24.2,23.7,24.14,1053363,24.14
2012-02-13,24.54,24.83,24.24,24.77,994316,24.77
2012-02-14,24.61,24.62,23.64,24,1194203,24
2012-02-15,24.23,24.58,24.05,24.32,1298336,24.32
2012-02-16,24.32,25.58,24.31,25.56,1130015,25.56
2012-02-17,25.73,25.74,25.21,25.56,1031250,25.56
2012-02-21,25.54,26.05,25.54,25.79,1039175,25.79
2012-02-22,25.7,25.89,24.87,24.99,1098851,24.99
2012-02-23,25.07,25.34,25.01,25.18,750170,25.18
2012-02-24,25.27,25.28,24.94,25.08,598362,25.08
2012-02-27,24.71,25.23,24.65,25.12,762977,25.12
2012-02-28,25.1,25.36,24.77,25.11,724693,25.11
2012-02-29,25.2,25.52,24.79,24.84,1083110,24.84
2012-03-01,24.89,25.83,24.89,25.68,1108361,25.68
2012-03-02,25.59,25.79,24.81,24.97,709277,24.97
2012-03-05,24.79,24.86,24.44,24.7,720943,24.7
2012-03-06,24.17,24.17,23.71,23.94,1040860,23.94
2012-03-07,24.05,24.43,24.01,24.25,557050,24.25
2012-03-08,24.51,24.57,24,24.21,712833,24.21
2012-03-09,24.31,25.01,24.31,24.7,517875,24.7
2012-03-12,24.7,24.81,24.21,24.52,614472,24.52
2012-03-13,24.83,25.61,24.7,25.6,1040120,25.6
2012-03-14,25.52,26.29,25.36,26.12,1554872,26.12
2012-03-15,26.18,27.44,26.12,27.29,1849779,27.29
2012-03-16,27.28,27.54,26.76,26.77,2195174,26.77
2012-03-19,26.73,27.32,26.66,27.07,977093,27.07
2012-03-20,26.71,27.09,26.35,26.86,656786,26.86
2012-03-21,27.04,27.33,26.64,26.67,735574,26.67
2012-03-22,26.29,26.36,25.86,26.04,960927,26.04
2012-03-23,26.12,26.49,26.06,26.45,1001321,26.45
2012-03-26,26.83,27.06,26.66,27.06,894961,27.06
2012-03-27,27.13,27.21,26.94,27.04,1189107,27.04
2012-03-28,26.93,26.99,26.1,26.61,933689,26.61
2012-03-29,26.22,26.34,25.36,25.75,1025922,25.75
2012-03-30,26.01,26.51,25.73,26.36,1308821,26.36
2012-04-02,26.36,26.83,26.15,26.56,627947,26.56
2012-04-03,26.43,26.47,25.59,26.23,1281668,26.23
2012-04-04,25.72,25.92,25.44,25.63,1224147,25.63
2012-04-05,25.53,25.95,25.39,25.55,1074756,25.55
2012-04-09,24.89,24.89,24.39,24.48,1024470,24.48
2012-04-10,24.39,24.58,23.55,23.57,1275732,23.57
2012-04-11,24.07,24.09,23.72,23.79,865892,23.79
2012-04-12,23.95,24.74,23.76,24.7,656898,24.7
2012-04-13,24.48,24.51,23.99,24.15,879931,24.15
2012-04-16,24.49,24.52,23.92,24.18,655923,24.18
2012-04-17,24.52,24.79,24.39,24.67,552219,24.67
2012-04-18,24.38,24.56,24.17,24.19,822099,24.19
2012-04-19,24.25,24.35,23.7,23.9,1118283,23.9
