DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,25.71,26.01,25.44,25.52,1815546,25.52
2012-01-04,25.53,26.51,25.46,26.47,2488532,26.47
2012-01-05,26.35,26.43,25.98,26.37,2208930,26.37
2012-01-06,26.35,26.45,26.09,26.34,1732152,26.34
2012-01-09,26.34,26.37,25.96,26.1,2376548,26.1
2012-01-10,26.3,26.54,26.27,26.43,1404171,26.43
2012-01-11,26.5,26.6,26.22,26.53,1618054,26.53
2012-01-12,26.58,26.67,26.11,26.39,1795689,26.39
2012-01-13,26.29,26.43,26.05,26.32,2207842,26.32
2012-01-17,26.5,26.89,26.48,26.8,2098768,26.8
2012-01-18,26.72,27.57,26.69,27.46,2800902,27.46
2012-01-19,27.44,27.5,26.96,27.33,2068931,27.33
2012-01-20,27.26,27.27,26.43,26.53,3122563,26.53
2012-01-23,26.38,26.41,25.94,26.33,2196754,26.33
2012-01-24,26.24,26.92,26.19,26.88,2225634,26.88
2012-01-25,26.83,27.17,26.69,26.91,2166541,26.91
2012-01-26,27,27.01,26.26,26.95,2919460,26.95
2012-01-27,26.92,27.12,26.74,26.91,2847820,26.91
2012-01-30,26.67,26.84,26.39,26.82,1957860,26.82
2012-01-31,27.11,27.41,26.79,26.83,3880607,26.83
2012-02-01,27.16,27.38,26.87,26.88,2371943,26.88
2012-02-02,26.88,26.97,26.5,26.82,3087297,26.82
2012-02-03,27.1,27.28,26.93,27.2,2440778,27.2
2012-02-06,27.16,27.3,26.97,27.01,1889320,27.01
2012-02-07,27.08,27.22,26.93,26.96,1808402,26.96
2012-02-08,26.89,27.04,26.84,26.88,2418872,26.88
2012-02-09,26.94,27.01,26.78,26.91,2161641,26.91
2012-02-10,26.74,27.12,26.7,27.09,1718670,27.09
2012-02-13,27.24,27.45,27.18,27.39,1560425,27.39
2012-02-14,27.25,27.4,27.05,27.19,1428135,27.19
2012-02-15,27.3,27.53,27.21,27.43,1972365,27.43
2012-02-16,27.38,27.58,27.14,27.31,2077489,27.31
2012-02-17,27.48,27.83,27.44,27.68,2339978,27.68
2012-02-21,28.25,28.46,27.66,27.76,2839345,27.76
2012-02-22,27.56,27.67,26.75,26.95,3012205,26.95
2012-02-23,26.84,27.24,26.58,27.06,2519107,27.06
2012-02-24,27.06,27.16,26.73,27.16,2179196,27.16
2012-02-27,27.27,28.06,27.21,27.34,2924971,27.34
2012-02-28,27.4,27.73,27.11,27.71,2715483,27.71
2012-02-29,27.8,28.52,27.76,28.38,3101245,28.38
2012-03-01,28.36,28.59,28.1,28.38,2039114,28.38
2012-03-02,28.28,28.67,28.11,28.13,2064965,28.13
2012-03-05,27.99,28.33,27.95,28.24,2854276,28.24
2012-03-06,27.95,28.09,27.79,27.84,2663006,27.84
2012-03-07,27.93,29,27.91,28.87,4874936,28.87
2012-03-08,28.88,29.44,28.88,29.36,3374489,29.36
2012-03-09,29.47,29.93,29.35,29.77,3623769,29.77
2012-03-12,29.96,30.07,29.7,29.84,2738671,29.84
2012-03-13,30,30.32,29.95,30.23,3317037,30.23
2012-03-14,30.48,30.55,30.18,30.49,2703835,30.49
2012-03-15,30.45,30.8,30.22,30.69,2943094,30.69
2012-03-16,30.59,30.66,30.14,30.41,4643454,30.41
2012-03-19,30.37,30.61,30.14,30.53,1484808,30.53
2012-03-20,30.39,30.74,30.34,30.59,1638932,30.59
2012-03-21,30.69,30.99,30.65,30.86,1967372,30.86
2012-03-22,30.67,31,30.58,30.94,1963412,30.94
2012-03-23,30.64,30.81,30.11,30.73,2777840,30.73
2012-03-26,30.98,31.18,30.93,31.18,2112797,31.18
2012-03-27,31.24,31.49,31,31.18,3405835,31.18
2012-03-28,31.17,31.25,30.97,31.22,1747000,31.22
2012-03-29,31,31.29,30.86,31.21,1502165,31.21
2012-03-30,31.5,31.56,31.24,31.38,2855014,31.38
2012-04-02,31.35,31.49,31.17,31.38,1836278,31.38
2012-04-03,31.42,31.42,30.91,31.07,2052476,31.07
2012-04-04,30.89,31.33,30.63,31.27,1801618,31.27
2012-04-05,31.23,31.63,31.21,31.35,2107134,31.35
2012-04-09,30.84,31.2,30.79,31.09,1823692,31.09
2012-04-10,31.03,31.26,30.33,30.33,2347932,30.33
2012-04-11,30.5,31.23,30.5,31.02,1874612,31.02
2012-04-12,31.1,31.58,31.04,31.5,1317737,31.5
2012-04-13,31.49,31.86,31.4,31.69,1777521,31.69
2012-04-16,32,32.29,31.73,32.05,1891137,32.05
2012-04-17,32.16,32.27,31.93,32.08,1878717,32.08
2012-04-18,32.02,32.11,31.86,31.96,1166682,31.96
2012-04-19,31.95,32.14,31.6,32,1923191,32
2012-04-20,32.01,32.05,31.51,31.65,2646517,31.65
2012-04-23,31.31,31.4,30.93,31.12,1411269,31.12
2012-04-24,31.23,31.71,31.18,31.38,1636643,31.38
2012-04-25,31.55,31.85,31.53,31.73,1380878,31.73
2012-04-26,31.63,31.77,31.18,31.43,2238503,31.43
2012-04-27,31.57,31.81,31.09,31.61,1627059,31.61
2012-04-30,31.46,31.63,31.21,31.47,4009597,31.47
2012-05-01,31.46,32,31.34,31.61,1342175,31.61
2012-05-02,31.54,32.18,31.44,32.1,1798650,32.1
2012-05-03,32.15,32.15,31.55,31.66,1446866,31.66
2012-05-04,31.57,31.57,31.05,31.09,1620395,31.09
2012-05-07,31.27,31.28,30.73,30.79,2309376,30.79
2012-05-08,30.51,30.83,29.88,30.67,2858374,30.67
2012-05-09,30.39,30.48,29.9,30.34,2060077,30.34
2012-05-10,30.54,30.75,29.89,30.18,3654940,30.18
2012-05-11,29.9,30.06,29.57,29.62,3901554,29.62
2012-05-14,29.5,29.92,29.41,29.56,2498717,29.56
2012-05-15,28.55,29.79,28.4,29.03,4173429,29.03
2012-05-16,29.14,29.76,29.1,29.32,2532967,29.32
2012-05-17,29.22,29.27,28.35,28.37,2995974,28.37
2012-05-18,28.31,28.98,28.31,28.48,4704593,28.48
2012-05-21,26.11,26.46,25.42,25.6,6532794,25.6
2012-05-22,25.65,26.15,25.31,25.49,3787462,25.49
2012-05-23,25.37,26.28,25.37,26.19,4563874,26.19
2012-05-24,26.21,27.14,26.21,27.1,3385009,27.1
2012-05-25,27.1,27.36,27.04,27.24,2362637,27.24
2012-05-29,27.4,27.69,27.2,27.49,3222150,27.49
2012-05-30,27.13,27.58,26.68,26.99,3625399,26.99
2012-05-31,27.01,27.1,26.6,26.72,4690011,26.72
2012-06-01,26.3,26.63,26.22,26.36,4247103,26.36
2012-06-04,26.09,26.7,26.09,26.66,2810542,26.66
2012-06-05,26.52,26.58,26.19,26.43,2618979,26.43
2012-06-06,27,27.48,26.75,27.48,3172041,27.48
