DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,32.86,33.1,32.53,32.68,1289044,32.68
2012-01-04,32.81,32.95,32.29,32.65,2078043,32.65
2012-01-05,32.64,33.98,32.4,33.92,2630328,33.92
2012-01-06,33.93,34.8,33.63,34.56,1822426,34.56
2012-01-09,34.39,34.65,34.16,34.46,1576684,34.46
2012-01-10,34.87,34.87,34.3,34.87,1804974,34.87
2012-01-11,34.8,35.07,34.7,34.84,1031170,34.84
2012-01-12,34.98,35.21,34.66,35.04,855827,35.04
2012-01-13,34.77,35.21,34.31,34.42,1428931,34.42
2012-01-17,34.7,34.95,34.34,34.68,1035990,34.68
2012-01-18,34.69,35.44,34.38,35.37,1029943,35.37
2012-01-19,35.46,35.9,35.41,35.82,799010,35.82
2012-01-20,35.7,35.7,35.34,35.38,1540128,35.38
2012-01-23,35.38,35.78,34.8,35.09,723108,35.09
2012-01-24,34.86,35.31,34.45,35.28,1062153,35.28
2012-01-25,35.12,35.19,33.83,34.19,1959330,34.19
2012-01-26,34.36,34.4,32.84,33.27,2181845,33.27
2012-01-27,33.21,33.95,33.14,33.82,1283453,33.82
2012-01-30,33.62,34.32,33.31,34.32,1008144,34.32
2012-01-31,34.32,34.32,33.18,33.69,1452564,33.69
2012-02-01,33.99,34.15,33.39,33.99,1282720,33.99
2012-02-02,34.45,35.4,34.29,35.23,2235842,35.23
2012-02-03,35.62,36.36,35.6,36.12,1425656,36.12
2012-02-06,35.92,36.16,35.61,35.72,1127553,35.72
2012-02-07,35.57,36,35.52,35.87,797578,35.87
2012-02-08,35.93,36.28,35.53,35.86,1492317,35.86
2012-02-09,35.97,36.22,35.51,36.21,1344738,36.21
2012-02-10,35.79,35.89,35.38,35.68,870230,35.68
2012-02-13,35.89,36.07,35.4,35.8,564429,35.8
2012-02-14,35.62,35.88,35.26,35.56,854649,35.56
2012-02-15,35.51,35.68,34.68,34.97,1107085,34.97
2012-02-16,35,35.53,34.77,35.3,886340,35.3
2012-02-17,35.64,36.31,35.55,36.25,1913175,36.25
2012-02-21,37.46,38.22,36.4,36.69,2146734,36.69
2012-02-22,36.81,37.89,36.75,37.68,1473279,37.68
2012-02-23,37.28,37.5,36.77,36.99,1618218,36.99
2012-02-24,37.16,37.34,36.88,37.06,789330,37.06
2012-02-27,36.71,37.46,36.57,37.37,923838,37.37
2012-02-28,37.31,37.9,37.18,37.84,1044425,37.84
2012-02-29,37.68,38.33,37.56,37.97,2153009,37.97
2012-03-01,38.3,38.88,37.11,38.85,2536130,38.85
2012-03-02,38.89,38.89,38.13,38.31,912800,38.31
2012-03-05,38.18,38.67,37.87,38.24,990345,38.24
2012-03-06,37.98,38.23,37.12,37.28,1528190,37.28
2012-03-07,37.6,38.57,37.45,38.47,1200138,38.47
2012-03-08,38.5,39.35,38.32,39.3,1155936,39.3
2012-03-09,39.29,39.83,39.29,39.67,1283534,39.67
2012-03-12,39.77,39.94,39.54,39.58,870362,39.58
2012-03-13,39.65,39.79,39.06,39.57,1224074,39.57
2012-03-14,39.58,39.93,39.37,39.91,777905,39.91
2012-03-15,39.88,39.88,39.3,39.77,716570,39.77
2012-03-16,39.86,39.96,39.26,39.73,1964119,39.73
2012-03-19,39.57,39.7,39.15,39.62,923338,39.62
2012-03-20,39.18,39.86,39.09,39.7,933839,39.7
2012-03-21,39.68,40.67,39.67,40.47,1674533,40.47
2012-03-22,40.06,40.55,39.72,40.06,1461002,40.06
2012-03-23,40,40.04,39.19,39.84,915016,39.84
2012-03-26,40,40.61,39.81,40.44,922524,40.44
2012-03-27,40.39,40.74,40.34,40.42,848676,40.42
2012-03-28,40.42,40.56,39.64,40.04,1251323,40.04
2012-03-29,39.97,40.33,39.63,39.93,1009246,39.93
2012-03-30,40.24,40.24,39.71,39.73,1040493,39.73
2012-04-02,39.78,40.38,39.57,40.24,963340,40.24
2012-04-03,40.32,41.25,40.31,40.89,1514345,40.89
2012-04-04,40.54,41.04,40.06,40.91,1244444,40.91
2012-04-05,40.52,41.27,40.5,40.87,1267810,40.87
2012-04-09,40.01,40.23,39.75,39.98,940431,39.98
2012-04-10,40.1,40.19,38.5,38.56,1056996,38.56
2012-04-11,38.9,39.74,38.9,39.39,1060729,39.39
2012-04-12,39.39,40.35,39.38,40.33,856147,40.33
2012-04-13,40.21,40.49,39.92,39.98,890438,39.98
2012-04-16,40.17,40.45,39.55,40.01,739406,40.01
2012-04-17,40.34,40.65,39.85,40.18,1354400,40.18
2012-04-18,40,40.32,39.61,40.13,1039347,40.13
2012-04-19,40.13,40.3,39.34,39.65,866742,39.65
2012-04-20,39.75,39.89,39.09,39.1,1537910,39.1
2012-04-23,38.8,38.89,38.26,38.76,1223578,38.76
2012-04-24,38.83,39.14,38.47,38.82,927497,38.82
2012-04-25,39.01,40.05,39.01,39.94,994760,39.94
2012-04-26,40,40.99,39.95,40.65,967902,40.65
2012-04-27,40.86,41.49,40.67,41.18,1050369,41.18
2012-04-30,41.02,41.22,40.5,41.02,1191778,41.02
2012-05-01,41.15,41.74,40.69,41.44,1152018,41.44
2012-05-02,41.29,42.17,41.21,41.27,1735229,41.27
2012-05-03,40.55,41.59,40.3,41.55,1666567,41.55
2012-05-04,41.45,41.47,40.78,41.11,1030273,41.11
2012-05-07,40.74,41.19,40.23,40.29,1314399,40.29
2012-05-08,40.13,40.13,38.34,39.51,2171257,39.51
2012-05-09,37.43,38.71,37.02,38.05,3014531,38.05
2012-05-10,38.48,38.49,37.43,37.83,1330043,37.83
2012-05-11,37.72,38.39,37.56,37.98,1300082,37.98
2012-05-14,37.5,37.68,36.61,36.68,1327433,36.68
2012-05-15,36.68,37.69,36.57,37.01,1471705,37.01
2012-05-16,37.08,37.46,36.87,37.29,1162643,37.29
2012-05-17,37.39,37.85,35.43,35.43,1825624,35.43
2012-05-18,35.38,35.91,35.02,35.24,2457391,35.24
2012-05-21,35.29,36.35,35.2,36.28,1186300,36.28
2012-05-22,36.39,36.74,36.14,36.47,967789,36.47
2012-05-23,36.26,37.1,35.79,37.05,1306965,37.05
2012-05-24,37.26,38.06,37.18,38.02,1433487,38.02
2012-05-25,38.02,38.19,37.57,37.76,1062914,37.76
2012-05-29,38.15,39.04,38.1,38.99,1400478,38.99
2012-05-30,38.25,38.63,37.76,38.3,1384394,38.3
2012-05-31,38.41,38.54,37.71,38.05,1894962,38.05
2012-06-01,37.44,37.52,36.68,36.85,1502444,36.85
2012-06-04,36.96,36.96,35.89,36.42,1311918,36.42
2012-06-05,36.34,36.67,35.94,36.58,793623,36.58
2012-06-06,37,37.38,36.91,37.38,1087372,37.38
2012-06-07,37.87,37.94,36.34,36.49,1535885,36.49
2012-06-08,36.46,37.56,36.4,37.21,998288,37.21
2012-06-11,37.64,37.74,36.34,36.36,991050,36.36
2012-06-12,36.58,37.04,36.45,36.92,1059800,36.92
2012-06-13,36.55,36.67,34.84,35.06,2247664,35.06
2012-06-14,35.44,36.24,35.24,35.82,1612715,35.82
2012-06-15,36.04,36.19,35.75,36.06,1271421,36.06
2012-06-18,35.94,36.69,35.55,36.61,1525107,36.61
2012-06-19,36.84,37.2,36.26,37.17,1083124,37.17
2012-06-20,37.27,37.32,36.37,36.99,927624,36.99
2012-06-21,37.05,37.06,34.82,34.92,2538431,34.92
2012-06-22,35.05,35.14,33.76,33.78,3533315,33.78
2012-06-25,33.33,33.94,33.16,33.82,1380818,33.82
2012-06-26,33.95,34.38,33.53,34.2,1313486,34.2
2012-06-27,33.52,33.72,32.8,33.14,1771863,33.14
2012-06-28,32.73,33.72,32.7,33.45,1553551,33.45
2012-06-29,34.35,34.63,33.75,34.35,1854261,34.35
2012-07-02,34.43,34.54,33.84,33.89,811088,33.89
2012-07-03,33.67,33.85,33.12,33.36,862396,33.36
2012-07-05,33.53,34.92,33.43,34.27,1824775,34.27
2012-07-06,33.78,34.22,33.59,34.03,997139,34.03
2012-07-09,34.02,34.43,34.02,34.2,865140,34.2
2012-07-10,34.34,35.02,34.31,34.59,1317324,34.59
2012-07-11,34.52,34.6,33.01,33.15,2061919,33.15
2012-07-12,32.82,33.05,32.31,32.83,1204019,32.83
2012-07-13,32.95,33.82,32.93,33.64,800626,33.64
2012-07-16,33.53,33.92,32.98,33.92,800886,33.92
2012-07-17,34.01,34.4,33.88,34.19,1498710,34.19
2012-07-18,33.99,34.98,33.8,34.81,1175828,34.81
2012-07-19,34.92,35.49,34.69,35.49,973945,35.49
2012-07-20,35.23,35.9,34.92,35.6,1660869,35.6
2012-07-23,34.8,35.21,34.52,35.03,909635,35.03
2012-07-24,35.08,35.23,34.07,34.43,1329462,34.43
2012-07-25,34.55,35.07,34.45,34.54,1322746,34.54
2012-07-26,35.18,35.72,34.91,35.58,948652,35.58
2012-07-27,35.91,36.73,35.83,36.54,936650,36.54
2012-07-30,36.46,36.96,36.21,36.66,905987,36.66
2012-07-31,36.35,36.92,35.33,35.84,1858755,35.84
2012-08-01,35.96,36.14,34.89,35.06,1166176,35.06
