DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,37.79,37.799,36.565,36.837,2485670,36.837
2012-01-04,36.599,36.638,35.257,35.625,4854950,35.625
2012-01-05,35.38,35.563,35.055,35.241,2316880,35.241
2012-01-06,35.336,35.4,34.178,34.292,3785570,34.292
2012-01-09,34.35,34.758,34.238,34.582,2928480,34.582
2012-01-10,34.775,35.111,34.534,34.883,1744260,34.883
2012-01-11,34.095,34.534,33.951,34.147,2445130,34.147
2012-01-12,34.15,34.485,33.972,34.33,3577890,34.33
2012-01-13,34.5,34.597,33.735,33.908,3366010,33.908
2012-01-17,34.116,34.69,34.064,34.597,2213130,34.597
2012-01-18,34.599,35.442,34.599,35.238,2162580,35.238
2012-01-19,35.55,35.566,35.06,35.29,1525080,35.29
2012-01-20,34.923,34.969,33.751,34.066,3328630,34.066
2012-01-23,33.999,34.38,33.627,33.906,1750270,33.906
2012-01-24,33.79,34.445,33.73,34.268,1347090,34.268
2012-01-25,34.216,34.977,34.125,34.877,1960740,34.877
2012-01-26,34.911,35.485,34.722,34.783,1690520,34.783
2012-01-27,34.775,35.1,34.564,34.879,1569610,34.879
2012-01-30,34.697,35.234,34.635,35.197,1630930,35.197
2012-01-31,35.456,35.865,35.265,35.557,2519170,35.557
2012-02-01,35.824,36.1,35.6,35.762,2147580,35.762
2012-02-02,36.85,38.419,36.85,38.157,4175250,38.157
2012-02-03,38.36,39.13,38.282,39.032,3601200,39.032
2012-02-06,39.3,39.3,38.701,39.131,1753070,39.131
2012-02-07,39,39.448,38.865,39.291,2584590,39.291
2012-02-08,39.279,39.516,39.025,39.491,1624340,39.491
2012-02-09,39.965,40.121,39.428,39.64,2164970,39.64
2012-02-10,39.393,39.698,39.31,39.614,1414090,39.614
2012-02-13,40,40,39.532,39.665,1017510,39.665
2012-02-14,39.506,39.65,39.385,39.555,1488720,39.555
2012-02-15,39.88,39.955,39.277,39.296,1062270,39.296
2012-02-16,39.415,39.474,38.981,39.315,1211900,39.315
2012-02-17,39.433,39.698,39.23,39.6,2134360,39.6
2012-02-21,39.437,40.079,39.437,39.955,2341090,39.955
2012-02-22,39.798,40.854,39.798,40.683,1932650,40.683
2012-02-23,40.679,40.744,40.434,40.61,1580600,40.61
2012-02-24,40.832,41.876,40.812,41.561,2150100,41.561
2012-02-27,41.42,42.208,41.12,42.14,1493060,42.14
2012-02-28,42.07,42.584,42.002,42.397,1547130,42.397
2012-02-29,42.413,42.85,41.784,42,2221540,42
2012-03-01,42.218,42.294,41.701,42.043,1693890,42.043
2012-03-02,41.65,41.864,41.275,41.278,1733890,41.278
2012-03-05,41.471,41.929,41.26,41.762,1029260,41.762
2012-03-06,41.097,41.212,40.65,40.834,1700890,40.834
2012-03-07,41.341,41.499,41.079,41.174,1378210,41.174
2012-03-08,41.469,41.89,41.389,41.726,1619100,41.726
2012-03-09,41.817,42.106,41.553,41.952,1607880,41.952
2012-03-12,41.807,42.336,41.759,41.986,1230380,41.986
2012-03-13,42.2,42.334,41.68,42.322,1656600,42.322
2012-03-14,42.242,42.596,41.885,42.142,1092310,42.142
2012-03-15,42.142,42.258,41.808,41.955,1446210,41.955
2012-03-16,41.869,42.123,41.821,42.017,3050720,42.017
2012-03-19,41.953,42.785,41.938,42.509,1327420,42.509
2012-03-20,42.318,42.387,41.779,41.898,1239470,41.898
2012-03-21,42.005,42.297,41.794,41.794,1189050,41.794
2012-03-22,41.75,42.133,41.642,41.684,1353430,41.684
2012-03-23,41.622,42.624,41.622,42.401,1469490,42.401
2012-03-26,42.661,43.755,42.529,43.568,2185510,43.568
2012-03-27,43.551,43.57,43.066,43.066,1535820,43.066
2012-03-28,43.38,43.467,42.485,42.752,1419930,42.752
2012-03-29,42.462,42.828,42.158,42.822,1131570,42.822
2012-03-30,42.863,42.863,42.001,42.054,3059470,42.054
2012-04-02,42.184,43.432,41.934,43.205,2241630,43.205
2012-04-03,43.134,44.055,42.962,43.802,2112140,43.802
2012-04-04,43.439,43.65,42.613,43.094,1859130,43.094
2012-04-05,43.048,44.22,42.87,43.985,1740700,43.985
2012-04-09,43.3,44.278,43.3,43.929,1935490,43.929
2012-04-10,43.929,44.095,42.443,42.473,1987420,42.473
2012-04-11,43.079,43.222,42.724,43.004,1034280,43.004
2012-04-12,43.051,43.406,42.972,43.398,1050520,43.398
2012-04-13,43.38,44.375,43.099,44.046,2198110,44.046
2012-04-16,44.136,44.146,42.911,43.266,1463170,43.266
2012-04-17,43.749,43.92,43.527,43.843,1256870,43.843
2012-04-18,43.653,44.088,43.625,43.67,1101760,43.67
2012-04-19,43.718,44.077,43.234,43.682,1237930,43.682
2012-04-20,44.231,44.328,43.766,44.044,2629330,44.044
2012-04-23,43.601,43.664,42.075,43.026,2020260,43.026
2012-04-24,43.024,43.587,42.668,43.03,1065000,43.03
2012-04-25,43.52,44.506,43.402,44.506,1991140,44.506
2012-04-26,44.518,45.646,44.518,45.398,1618760,45.398
2012-04-27,45.8,46.224,45.565,45.758,1685240,45.758
2012-04-30,45.913,45.95,45.15,45.227,1834530,45.227
2012-05-01,45.585,46.696,45.367,45.59,2547960,45.59
2012-05-02,44.651,45.82,44,45.145,2770430,45.145
2012-05-03,45.477,45.477,43.973,44.243,2610890,44.243
2012-05-04,43.796,44.18,43.387,43.969,1822450,43.969
2012-05-07,43.55,44.279,43.47,43.612,2193910,43.612
2012-05-08,43.487,43.507,42.329,43.164,1813320,43.164
2012-05-09,42.4,43.17,42.101,42.283,1731020,42.283
2012-05-10,42.6,42.897,41.831,42.298,2253950,42.298
2012-05-11,42,42.762,41.9,42.24,1635040,42.24
2012-05-14,41.817,42.1,41.444,41.444,2233030,41.444
2012-05-15,41.445,41.997,41.373,41.447,1243390,41.447
2012-05-16,41.893,42.044,40.88,40.937,1617180,40.937
2012-05-17,40.873,41.354,39.85,39.858,2111450,39.858
2012-05-18,40.417,40.438,39.456,39.456,2232740,39.456
2012-05-21,39.455,41.079,39.45,41.058,1848290,41.058
2012-05-22,41.057,41.809,41.017,41.344,2311650,41.344
2012-05-23,41.115,41.71,40.675,41.709,2057610,41.709
2012-05-24,42.05,42.874,41.631,41.983,1590730,41.983
2012-05-25,42.018,42.193,41.212,41.396,1715010,41.396
2012-05-29,41.733,41.957,41.319,41.605,883830,41.605
2012-05-30,41.09,41.551,40.969,41.158,1302690,41.158
2012-05-31,41.22,41.224,39.903,40.651,2111560,40.651
2012-06-01,39.627,39.924,39,39.178,2839110,39.178
