DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,51.64,52,50.21,50.95,229533,50.95
2012-01-04,50.67,50.67,49.67,50.3,193039,50.3
2012-01-05,50.18,51.47,49.85,51.37,165099,51.37
2012-01-06,51.79,52.17,51.03,51.68,279863,51.68
2012-01-09,52.23,52.41,51.19,51.32,179980,51.32
2012-01-10,51.99,52.43,51.92,52.14,220356,52.14
2012-01-11,52.06,53.13,51.76,52.95,253013,52.95
2012-01-12,52.54,53.16,51.44,52.16,221707,52.16
2012-01-13,51.89,52.24,51.61,52,173948,52
2012-01-17,52.66,52.79,52.07,52.3,221818,52.3
2012-01-18,52.31,53.16,52.31,52.65,173773,52.65
2012-01-19,52.8,53.67,52.71,53.23,236885,53.23
2012-01-20,53.14,54.52,52.75,54.5,324277,54.5
2012-01-23,54.48,54.7,53.69,54.01,205618,54.01
2012-01-24,53.76,54.35,53.73,54.13,163743,54.13
2012-01-25,54.05,54.94,53.96,54.85,221019,54.85
2012-01-26,54.82,55.43,54.74,55.29,193881,55.29
2012-01-27,55.15,55.42,54.57,55.01,197730,55.01
2012-01-30,54.62,54.65,54.02,54.43,187767,54.43
2012-01-31,54.79,54.79,53.82,54.3,733052,54.3
2012-02-01,54.71,55.08,54.56,54.64,362320,54.64
2012-02-02,54.8,55.22,54.45,55.06,270561,55.06
2012-02-03,55.52,55.86,54.76,55.12,441739,55.12
2012-02-06,55.09,55.21,54.51,55.2,243968,55.2
2012-02-07,55.27,55.63,55.08,55.5,358929,55.5
2012-02-08,55.55,55.99,55.26,55.57,205666,55.57
2012-02-09,55.54,55.68,54.64,55.15,246650,55.15
2012-02-10,54.55,55.41,54.55,55.02,166614,55.02
2012-02-13,55.64,56.04,55.48,55.81,170676,55.81
2012-02-14,55.64,55.65,54.47,54.86,172798,54.86
2012-02-15,55,55.84,54.81,55.57,323405,55.57
2012-02-16,55.47,56.51,55.43,56.44,458107,56.44
2012-02-17,56.13,56.19,55.1,55.47,187962,55.47
2012-02-21,55.57,55.57,54.14,54.42,235621,54.42
2012-02-22,54.08,54.68,53.27,53.4,284698,53.4
2012-02-23,53.45,54.07,53.2,54,208959,54
2012-02-24,54.15,54.49,53.51,54.34,204593,54.34
2012-02-27,53.82,54.45,53.31,54.36,151995,54.36
2012-02-28,54.49,54.49,53.27,53.53,214293,53.53
2012-02-29,53.71,54.37,53.67,53.99,336397,53.99
2012-03-01,54.05,54.8,53.84,54.79,313048,54.79
2012-03-02,54.83,55.17,54.53,54.9,192835,54.9
2012-03-05,54.8,55.22,54.38,55.14,151500,55.14
2012-03-06,54.55,54.78,53.94,54.12,209345,54.12
2012-03-07,54.36,55.41,53.99,55.36,256676,55.36
2012-03-08,55.83,55.83,54.49,54.94,423275,54.94
2012-03-09,55.02,55.06,54.29,54.43,311602,54.43
2012-03-12,54.43,54.74,54.12,54.27,245585,54.27
2012-03-13,54.7,55.55,54.7,55.46,304303,55.46
2012-03-14,55.42,55.83,55.08,55.54,196011,55.54
2012-03-15,55.68,56.19,55.3,56,230513,56
2012-03-16,55.52,56.32,55.52,56.01,543646,56.01
2012-03-19,56,56.71,55.75,56.31,202650,56.31
2012-03-20,56.03,56.56,55.75,56.31,262056,56.31
2012-03-21,56.33,56.99,56.17,56.57,208895,56.57
