DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,10.75,11.16,10.75,10.98,1076161,10.98
2012-01-04,10.86,11.29,10.86,11.19,1300921,11.19
2012-01-05,11.12,11.8,11.07,11.54,1337163,11.54
2012-01-06,11.54,11.61,11.33,11.4,716858,11.4
2012-01-09,11.38,11.55,11.32,11.4,1197993,11.4
2012-01-10,11.59,11.8,11.42,11.46,1047087,11.46
2012-01-11,11.68,12.28,11.59,11.99,1686589,11.99
2012-01-12,12.08,12.16,11.81,11.93,1096046,11.93
2012-01-13,11.8,12.11,11.76,12.09,1465964,12.09
2012-01-17,12.22,12.29,11.95,12.1,901853,12.1
2012-01-18,12,12.68,11.98,12.66,1589439,12.66
2012-01-19,12.68,12.96,12.45,12.85,947496,12.85
2012-01-20,12.85,12.86,12.2,12.41,1477312,12.41
2012-01-23,12.44,12.74,12.12,12.12,1364273,12.12
2012-01-24,12.02,12.29,11.93,12.22,1124513,12.22
2012-01-25,12.16,12.65,11.97,12.6,951955,12.6
2012-01-26,12.69,13.04,12.2,12.25,1379588,12.25
2012-01-27,12.17,12.38,12.14,12.33,1035344,12.33
2012-01-30,12.12,12.35,11.88,12.25,861586,12.25
2012-01-31,12.35,12.36,11.93,12.07,755615,12.07
2012-02-01,12.29,12.53,12.17,12.45,987491,12.45
2012-02-02,12.53,12.64,12.37,12.44,907885,12.44
2012-02-03,12.71,12.95,12.69,12.92,796533,12.92
2012-02-06,12.8,12.95,12.7,12.9,590988,12.9
2012-02-07,12.85,12.89,12.61,12.8,572811,12.8
2012-02-08,12.82,12.87,12.65,12.82,497669,12.82
2012-02-09,12.82,13.14,12.8,13.01,1029391,13.01
2012-02-10,12.79,12.96,12.64,12.72,704405,12.72
2012-02-13,12.86,13.29,12.83,13.23,1614682,13.23
2012-02-14,12.07,12.25,11.39,11.63,3621731,11.63
2012-02-15,11.6,11.84,11.24,11.67,1845925,11.67
2012-02-16,11.21,12.08,11.2,12.04,1823662,12.04
2012-02-17,12.27,12.32,11.88,12.1,1741583,12.1
2012-02-21,12.16,12.25,11.7,11.77,1490212,11.77
2012-02-22,11.73,11.92,11.67,11.87,1225943,11.87
2012-02-23,11.82,12,11.72,11.93,1009992,11.93
2012-02-24,11.93,11.93,11.53,11.57,947461,11.57
2012-02-27,11.44,11.95,11.39,11.75,1022450,11.75
2012-02-28,11.75,12.13,11.62,11.98,1170543,11.98
2012-02-29,11.97,12.13,11.82,11.88,1241989,11.88
2012-03-01,11.96,12.1,11.78,11.87,891808,11.87
2012-03-02,11.8,11.97,11.53,11.56,907642,11.56
2012-03-05,11.55,11.78,11.41,11.74,866876,11.74
2012-03-06,11.48,11.51,11.01,11.06,1238835,11.06
2012-03-07,11.14,11.62,11.14,11.57,1010674,11.57
2012-03-08,11.64,12.02,11.63,11.98,1096255,11.98
2012-03-09,12.05,12.39,11.97,12.11,1104454,12.11
2012-03-12,12.11,12.2,11.94,12.05,812783,12.05
2012-03-13,12.2,12.93,12.15,12.9,1875266,12.9
2012-03-14,12.87,12.97,12.74,12.92,1355109,12.92
2012-03-15,12.92,13.78,12.8,13.59,1671486,13.59
2012-03-16,13.74,13.74,13.35,13.38,3014334,13.38
2012-03-19,13.43,13.84,13.4,13.7,1428845,13.7
2012-03-20,13.45,13.69,13.2,13.61,1183141,13.61
2012-03-21,13.74,14.35,13.73,14.1,1908171,14.1
2012-03-22,13.89,14.01,13.51,13.74,971531,13.74
2012-03-23,13.51,13.61,13.08,13.58,1444694,13.58
2012-03-26,13.79,14,13.51,13.78,744959,13.78
2012-03-27,13.84,14.41,13.77,13.81,1277833,13.81
2012-03-28,13.77,13.86,13.48,13.68,1013724,13.68
2012-03-29,13.55,13.66,13.09,13.64,1170967,13.64
2012-03-30,13.89,13.9,13.34,13.37,1350154,13.37
2012-04-02,13.3,13.5,13,13.22,1480807,13.22
2012-04-03,13.24,13.3,12.95,13.08,1553522,13.08
2012-04-04,12.85,12.89,12.54,12.79,2380386,12.79
2012-04-05,12.7,12.92,12.65,12.77,1042596,12.77
2012-04-09,12.57,12.57,12.15,12.27,1614586,12.27
2012-04-10,12.19,12.25,11.99,12.05,2632896,12.05
2012-04-11,12.32,12.43,12.16,12.2,1178759,12.2
2012-04-12,12.24,12.74,12.2,12.57,933646,12.57
2012-04-13,12.42,12.47,12.02,12.14,1165323,12.14
2012-04-16,12.26,12.44,11.98,12.2,796860,12.2
2012-04-17,12.39,12.65,12.24,12.49,750570,12.49
2012-04-18,12.28,12.34,11.91,11.99,1560668,11.99
2012-04-19,11.97,12.15,11.66,11.97,1257837,11.97
2012-04-20,12.01,12.13,11.91,12,1367474,12
2012-04-23,11.78,11.97,11.72,11.88,1122721,11.88
2012-04-24,11.94,12.26,11.8,12.24,993683,12.24
2012-04-25,12.44,12.81,12.33,12.64,917142,12.64
2012-04-26,12.64,12.97,12.58,12.9,1105193,12.9
2012-04-27,13,13.5,12.94,13.44,1173213,13.44
2012-04-30,13.26,13.32,13.1,13.18,1462117,13.18
2012-05-01,13.94,14.32,13.58,13.93,2346974,13.93
2012-05-02,13.94,14.62,13.94,14.54,1820927,14.54
2012-05-03,14.55,14.65,14.32,14.42,1168224,14.42
2012-05-04,14.3,14.47,14.12,14.4,1268114,14.4
2012-05-07,14.3,14.68,14.28,14.55,918509,14.55
2012-05-08,14.38,14.47,13.95,14.32,1865121,14.32
2012-05-09,14.08,14.2,13.72,14.01,1824204,14.01
2012-05-10,14.19,14.32,13.88,13.93,1088632,13.93
2012-05-11,13.87,14.15,13.71,13.97,1191229,13.97
2012-05-14,13.75,13.89,13.42,13.5,1120581,13.5
2012-05-15,13.43,13.53,13.19,13.21,2238526,13.21
2012-05-16,13.39,13.61,13.12,13.16,1669797,13.16
2012-05-17,13.28,13.28,12.15,12.16,2139965,12.16
2012-05-18,12.19,12.24,11.7,11.85,2263673,11.85
2012-05-21,11.87,12.32,11.72,12.26,1425710,12.26
2012-05-22,12.28,12.65,12.14,12.55,1571843,12.55
2012-05-23,12.37,12.77,12.3,12.76,1746321,12.76
2012-05-24,12.77,12.96,12.44,12.69,900437,12.69
2012-05-25,12.7,12.73,12.5,12.6,898719,12.6
2012-05-29,12.78,13.04,12.66,13,1097060,13
2012-05-30,12.78,12.78,12.26,12.36,1280624,12.36
2012-05-31,12.5,12.86,12.17,12.67,1605878,12.67
2012-06-01,12.1,12.35,11.96,12.04,1719721,12.04
2012-06-04,12.08,12.17,11.55,11.73,1081994,11.73
2012-06-05,11.62,12.18,11.61,12.15,1732086,12.15
2012-06-06,12.3,12.88,12.27,12.88,1049658,12.88
2012-06-07,13.03,13.44,12.88,12.99,1131613,12.99
2012-06-08,12.89,13.52,12.78,13.5,945822,13.5
2012-06-11,13.68,13.74,12.83,12.84,1100989,12.84
2012-06-12,12.87,13.41,12.78,13.34,1110657,13.34
2012-06-13,13.25,13.48,12.88,12.93,1069421,12.93
2012-06-14,12.98,13.39,12.85,13.3,861026,13.3
2012-06-15,13.42,13.69,13.3,13.6,3092823,13.6
2012-06-18,13.52,13.92,13.41,13.83,1556052,13.83
2012-06-19,13.92,14.14,13.89,13.95,1023449,13.95
2012-06-20,13.96,14.12,13.69,13.99,1186438,13.99
2012-06-21,13.82,13.89,13.03,13.09,1625379,13.09
2012-06-22,13.24,13.32,12.65,12.76,1470576,12.76
2012-06-25,12.47,12.47,12.11,12.26,1185874,12.26
2012-06-26,12.32,12.79,12.1,12.7,1377028,12.7
2012-06-27,12.83,13.33,12.8,13.25,1206553,13.25
2012-06-28,12.96,13.52,12.95,13.48,1120666,13.48
2012-06-29,13.9,14.02,13.72,13.87,1279260,13.87
2012-07-02,13.87,14.25,13.69,14.17,1086624,14.17
2012-07-03,14.02,14.05,13.89,13.97,471249,13.97
2012-07-05,13.93,14.24,13.86,14.18,923769,14.18
2012-07-06,13.83,14.17,13.81,14.16,809099,14.16
2012-07-09,14.06,14.17,13.88,14.11,1254750,14.11
2012-07-10,14.2,14.21,13.47,13.61,1046076,13.61
2012-07-11,13.64,13.65,13.33,13.44,990497,13.44
2012-07-12,13.34,13.8,13.14,13.71,927824,13.71
2012-07-13,13.74,14.06,13.68,14.05,990440,14.05
2012-07-16,13.94,14.09,13.64,13.78,959338,13.78
2012-07-17,13.84,13.86,13.34,13.69,1083914,13.69
2012-07-18,13.66,14.47,13.65,14.23,1632423,14.23
2012-07-19,14.28,14.42,13.88,14.37,1192710,14.37
2012-07-20,14.2,14.5,14.13,14.15,1075195,14.15
2012-07-23,13.81,14.04,13.62,13.94,939921,13.94
2012-07-24,13.94,14,13.49,13.65,1072467,13.65
2012-07-25,13.71,13.74,12.9,12.92,1841683,12.92
2012-07-26,13.35,13.45,12.9,13.06,1657779,13.06
2012-07-27,13.17,13.49,12.82,13.3,1283172,13.3
2012-07-30,13.28,13.39,13.05,13.12,1414337,13.12
2012-07-31,12.36,12.68,11.96,12.03,3085928,12.03
2012-08-01,12,12.14,11.58,11.94,1305403,11.94
2012-08-02,11.71,12.08,11.53,12,1263221,12
2012-08-03,12.36,12.87,12.31,12.71,1213310,12.71
2012-08-06,12.75,12.77,12.48,12.57,794442,12.57
2012-08-07,12.73,12.98,12.56,12.88,938591,12.88
2012-08-08,12.82,13.11,12.74,13.08,707288,13.08
2012-08-09,13.08,13.2,12.94,13.1,575076,13.1
2012-08-10,13.03,13.12,12.9,12.97,557727,12.97
2012-08-13,12.93,13.06,12.69,12.83,630979,12.83
2012-08-14,12.96,13.27,12.89,12.98,1102717,12.98
2012-08-15,12.95,13.23,12.81,13.19,806662,13.19
2012-08-16,13.15,13.9,13.03,13.78,1186854,13.78
2012-08-17,14,14.04,13.7,13.89,1220828,13.89
2012-08-20,13.86,13.93,13.58,13.66,1246171,13.66
2012-08-21,13.73,13.96,13.54,13.65,944315,13.65
2012-08-22,13.55,13.99,13.55,13.87,1034726,13.87
2012-08-23,13.83,14.14,13.8,13.93,738478,13.93
2012-08-24,13.85,14.2,13.7,14.13,908232,14.13
2012-08-27,14.16,14.2,13.85,13.85,907459,13.85
2012-08-28,13.82,14.01,13.78,13.84,648377,13.84
2012-08-29,13.84,13.99,13.78,13.88,840021,13.88
2012-08-30,13.74,13.85,13.7,13.76,594027,13.76
2012-08-31,13.93,14.23,13.77,14.16,646850,14.16
2012-09-04,14.15,14.29,13.92,14.05,710081,14.05
2012-09-05,14.09,14.1,13.42,13.46,1041962,13.46
2012-09-06,13.61,13.85,13.55,13.8,684086,13.8
2012-09-07,13.83,14.18,13.77,14.15,625220,14.15
2012-09-10,14.12,14.39,14.07,14.18,607074,14.18
2012-09-11,14.23,14.46,14.2,14.41,803036,14.41
2012-09-12,14.42,14.81,14.4,14.75,807885,14.75
2012-09-13,14.72,15.59,14.45,15.33,1483491,15.33
2012-09-14,15.38,16.2,15.38,15.8,1028911,15.8
2012-09-17,15.8,15.8,15.36,15.52,790056,15.52
2012-09-18,15.49,15.76,15.47,15.63,901258,15.63
2012-09-19,15.63,16.07,15.62,15.9,1011002,15.9
2012-09-20,15.77,16.2,15.68,16.08,1122480,16.08
2012-09-21,16.25,16.37,15.98,16.25,2831054,16.25
2012-09-24,16.37,16.37,15.81,15.94,1436800,15.94
2012-09-25,16.02,16.1,15.512,15.54,742176,15.54
2012-09-26,15.55,15.61,14.91,14.98,1122003,14.98
2012-09-27,15.06,15.42,14.82,15.31,1089395,15.31
2012-09-28,15.23,15.34,14.96,15.05,1136550,15.05
2012-10-01,15.15,15.46,15.02,15.34,1195195,15.34
2012-10-02,15.41,15.61,15.21,15.37,736312,15.37
2012-10-03,15.5,15.98,15.41,15.91,750408,15.91
2012-10-04,16.01,16.21,15.87,16.01,452102,16.01
2012-10-05,16.2,16.32,15.91,15.97,458589,15.97
2012-10-08,15.87,15.91,15.43,15.57,824199,15.57
2012-10-09,15.44,15.44,14.5,14.67,1628553,14.67
2012-10-10,14.53,14.88,14.28,14.32,1256365,14.32
2012-10-11,14.5,14.66,14.24,14.3,847287,14.3
2012-10-12,14.36,14.44,14.07,14.3,665256,14.3
2012-10-15,14.32,14.82,14.22,14.78,811347,14.78
2012-10-16,14.92,15.07,14.65,14.77,1132106,14.77
2012-10-17,14.99,15.56,14.91,14.97,1099995,14.97
2012-10-18,14.93,15.32,14.81,15.16,952602,15.16
2012-10-19,15.33,15.35,14.96,15.04,1301561,15.04
2012-10-22,15.04,15.12,14.66,14.81,827752,14.81
2012-10-23,14.42,15.11,14.33,15.05,1012061,15.05
2012-10-24,15.29,15.55,15.05,15.53,1230845,15.53
2012-10-25,15.8,15.92,14.84,14.91,1397885,14.91
2012-10-26,14.81,14.85,14.33,14.6,1294168,14.6
2012-10-31,15.13,15.34,14.99,15.09,1033339,15.09
2012-11-01,15.15,16.19,15.1,16.13,1373449,16.13
2012-11-02,16.26,16.4,15.88,15.89,1045282,15.89
2012-11-05,15.14,16.17,15.14,16.16,920927,16.16
2012-11-06,16.21,16.5,16.19,16.34,1076875,16.34
2012-11-07,16.14,16.43,15.78,16.29,1101934,16.29
2012-11-08,16.26,16.32,15.6,15.69,904842,15.69
2012-11-09,15.64,15.78,15.2,15.29,1138859,15.29
2012-11-12,15.37,15.51,15.1,15.11,328174,15.11
2012-11-13,15.01,15.75,15,15.47,918374,15.47
2012-11-14,15.56,15.73,14.82,14.89,743130,14.89
2012-11-15,14.87,15.15,14.36,14.41,912190,14.41
