DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,28.31,28.48,27.73,27.79,1277916,27.79
2012-01-04,27.86,28.3,27.83,28.18,855785,28.18
2012-01-05,28.12,28.5,27.91,28.47,909766,28.47
2012-01-06,28.48,28.5,28.115,28.18,925394,28.18
2012-01-09,28.34,28.56,28.28,28.51,593880,28.51
2012-01-10,28.81,28.92,28.69,28.84,690760,28.84
2012-01-11,28.88,29.135,28.83,29.02,727640,29.02
2012-01-12,29.09,29.12,28.77,28.9,678851,28.9
2012-01-13,28.79,28.89,28.06,28.14,1243425,28.14
2012-01-17,28.45,28.56,27.99,28.21,1169898,28.21
2012-01-18,28.26,28.81,28.04,28.81,814244,28.81
2012-01-19,28.76,28.76,28.12,28.67,1060191,28.67
2012-01-20,28.71,28.71,28.425,28.53,1186853,28.53
2012-01-23,28.58,29.09,28.57,28.9,839973,28.9
2012-01-24,28.77,29.16,28.77,29.09,757283,29.09
2012-01-25,28.95,29.63,28.8,29.53,919714,29.53
2012-01-26,29.7,29.74,29.41,29.56,743829,29.56
2012-01-27,29.5,29.74,29.32,29.33,1141629,29.33
2012-01-30,29.23,29.7,28.99,29.53,1098958,29.53
2012-01-31,30.06,31.48,30.06,31,3365784,31
2012-02-01,30.32,31.69,30.32,31,2213230,31
2012-02-02,31.01,31.36,30.96,31.06,1473095,31.06
2012-02-03,31.16,31.75,31.16,31.53,1154825,31.53
2012-02-06,31.22,31.76,31.18,31.75,1021165,31.75
2012-02-07,31.52,32.21,31.39,32,1206467,32
2012-02-08,32.15,32.15,31.72,31.75,907213,31.75
2012-02-09,31.86,32.23,31.795,32.19,719618,32.19
2012-02-10,31.98,32.21,31.86,32.15,681450,32.15
2012-02-13,32.27,32.59,32.27,32.4,787648,32.4
2012-02-14,32.41,32.54,32.27,32.495,718738,32.495
2012-02-15,32.68,32.69,32.31,32.39,1173717,32.39
2012-02-16,32.55,32.78,32.45,32.59,911407,32.59
2012-02-17,32.68,32.73,32.23,32.44,1158281,32.44
2012-02-21,32.06,32.28,31.91,32.02,815530,32.02
2012-02-22,32.11,32.2,31.71,32.01,1011000,32.01
2012-02-23,31.99,32.47,31.95,32.31,1031735,32.31
2012-02-24,32.39,32.39,32.09,32.16,520551,32.16
2012-02-27,31.89,32.47,31.85,32.33,761916,32.33
2012-02-28,32.34,32.68,32.3,32.59,626875,32.59
2012-02-29,32.63,32.7,32.44,32.44,1024783,32.44
2012-03-01,32.62,32.94,32.47,32.82,893226,32.82
2012-03-02,32.86,32.88,32.41,32.68,752231,32.68
2012-03-05,32.68,33.09,32.61,33.03,803309,33.03
2012-03-06,32.8,33.13,32.21,32.23,1420072,32.23
2012-03-07,32.28,32.56,32.19,32.5,735545,32.5
2012-03-08,32.63,33.15,32.62,33.06,645677,33.06
2012-03-09,33.06,33.4,32.97,33.39,498407,33.39
