DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,101.45,101.45,98.75,98.84,2291898,98.84
2012-01-04,99,100.3,98.77,99.39,1799722,99.39
2012-01-05,99.39,100.4,98.69,99.83,2020990,99.83
2012-01-06,100,100.76,99.89,100.6,1183409,100.6
2012-01-09,100.8,100.85,99.51,99.64,1572016,99.64
2012-01-10,100.05,100.44,99.35,99.7,1347786,99.7
2012-01-11,99.5,100.1,99.36,99.93,1251272,99.93
2012-01-12,100.41,100.65,100.07,100.57,1128573,100.57
2012-01-13,100,100.43,99.62,100.35,1321747,100.35
2012-01-17,100.4,101.2,100.07,100.55,1322276,100.55
2012-01-18,100.88,101.86,100.85,101.56,1569884,101.56
2012-01-19,101.78,101.8,100.7,101.26,1264989,101.26
2012-01-20,101.38,102.22,101.27,101.74,2319660,101.74
2012-01-23,101.59,101.88,100.04,100.95,1589181,100.95
2012-01-24,101,101,98.41,98.75,2320759,98.75
2012-01-25,98.29,99.51,98.05,99.23,1747837,99.23
2012-01-26,99.65,99.7,98.69,99.18,1267797,99.18
2012-01-27,98.65,98.94,98.35,98.69,1461215,98.69
2012-01-30,98,98.81,97.7,98.69,1371179,98.69
2012-01-31,99.09,99.26,98.25,99.05,2612293,99.05
2012-02-01,99.37,99.49,98.36,98.4,1589800,98.4
2012-02-02,98.3,98.82,98.3,98.62,982374,98.62
2012-02-03,99.29,100.27,99.09,100.01,1451802,100.01
2012-02-06,100,100,99.34,99.49,1002245,99.49
2012-02-07,99.66,101.18,99.64,100.91,1597032,100.91
2012-02-08,101.11,101.29,99.6,100.05,1222817,100.05
2012-02-09,100.06,100.45,99.7,99.99,908372,99.99
2012-02-10,99.51,99.65,98.94,99.47,1139371,99.47
2012-02-13,99.76,99.9,99.29,99.65,821774,99.65
2012-02-14,99.39,99.64,98.95,99.55,997449,99.55
2012-02-15,99.65,99.75,98.31,98.61,1222839,98.61
2012-02-16,98.52,99.44,98.5,99.26,917066,99.26
2012-02-17,99.71,100.25,99.41,99.99,2048235,99.99
2012-02-21,100.12,100.74,100.01,100.49,1404459,100.49
