DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,36.2,36.87,35.7,35.76,960871,35.76
2012-01-04,35.68,35.85,35.46,35.82,582505,35.82
2012-01-05,36.07,36.14,35.25,36.12,693187,36.12
2012-01-06,36.06,36.17,35.47,35.62,456672,35.62
2012-01-09,36.17,36.36,35.88,36,456379,36
2012-01-10,36.14,36.21,35.73,35.99,583365,35.99
2012-01-11,36.05,36.05,35.58,35.8,545538,35.8
2012-01-12,35.92,35.97,35.61,35.75,805919,35.75
2012-01-13,35.58,35.84,35.26,35.61,860569,35.61
2012-01-17,36.03,36.365,35.8,36.17,747712,36.17
2012-01-18,37.37,38.38,37.26,38.22,1359244,38.22
2012-01-19,38.37,38.42,37.83,37.89,1095508,37.89
2012-01-20,37.94,38,37.25,37.37,996385,37.37
2012-01-23,37.32,37.685,37.09,37.17,651987,37.17
2012-01-24,36.96,37.49,36.72,37.31,518885,37.31
2012-01-25,37.33,37.41,36.47,36.78,863055,36.78
2012-01-26,37.01,37.86,36.8,37.13,764834,37.13
2012-01-27,36.88,37.15,36.74,36.785,447272,36.785
2012-01-30,36.48,37.03,36.18,36.87,601673,36.87
2012-01-31,37.19,37.35,36.61,36.91,649426,36.91
2012-02-01,37.4,37.65,36.98,37.56,544989,37.56
2012-02-02,37.53,38.31,37.53,37.69,800823,37.69
2012-02-03,38.28,38.87,37.94,38.42,742319,38.42
2012-02-06,38.05,38.255,37.79,38.02,630821,38.02
2012-02-07,37.84,37.87,37.23,37.3,880859,37.3
2012-02-08,37.18,37.42,36.92,37.28,887162,37.28
2012-02-09,37.34,37.5,36.99,37.33,581078,37.33
2012-02-10,37.07,37.07,36.53,36.68,532183,36.68
2012-02-13,36.99,37.03,36.36,36.65,438501,36.65
2012-02-14,36.43,36.94,36.28,36.94,887036,36.94
2012-02-15,37.16,37.4,36.68,36.7,618147,36.7
2012-02-16,36.38,37.36,36.38,37.12,657121,37.12
2012-02-17,37.16,37.38,36.89,37.17,642492,37.17
2012-02-21,37.29,37.32,36.46,36.63,421100,36.63
2012-02-22,36.49,36.79,36.22,36.3,484699,36.3
2012-02-23,36.34,36.59,36.01,36.32,544931,36.32
