DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,79.1,79.84,78.8,79.54,558512,79.54
2012-01-04,79.17,79.8,78.78,79.08,260410,79.08
2012-01-05,78.62,78.65,77.7,77.82,537003,77.82
2012-01-06,77.82,78.75,77.64,78.67,322826,78.67
2012-01-09,78.48,79.9,78.23,79.75,509684,79.75
2012-01-10,80.18,80.84,79.3,79.68,479985,79.68
2012-01-11,79.23,79.38,78.62,78.77,281356,78.77
2012-01-12,79.11,79.13,78.13,78.15,366211,78.15
2012-01-13,77.73,77.89,76.87,77.24,767941,77.24
2012-01-17,78.05,78.38,77.29,77.45,466604,77.45
2012-01-18,77,77.08,75.62,75.97,898092,75.97
2012-01-19,76,76.12,74.89,75.89,901253,75.89
2012-01-20,76,77.17,75.78,76.51,994701,76.51
2012-01-23,76.4,77.45,76.4,76.54,323762,76.54
2012-01-24,76.11,76.82,76,76.55,366496,76.55
2012-01-25,76.5,77.95,76.2,77.85,577326,77.85
2012-01-26,77.9,79.08,77.29,78.56,784000,78.56
2012-01-27,78.58,79.86,78.53,79.31,488883,79.31
2012-01-30,79.05,79.09,78.08,78.69,532846,78.69
2012-01-31,83.2,83.28,80.73,81.72,1200477,81.72
2012-02-01,82.13,82.94,81.82,82.8,534463,82.8
2012-02-02,82.55,82.74,81.76,82.33,435836,82.33
2012-02-03,82.42,82.69,80.42,80.8,776077,80.8
2012-02-06,80.6,82.32,80.6,82.3,605848,82.3
2012-02-07,81.83,82.74,81.83,82.69,480712,82.69
2012-02-08,82.8,82.95,82.48,82.84,338351,82.84
2012-02-09,82.79,82.79,81.78,82.19,310782,82.19
2012-02-10,81.91,81.91,81.11,81.34,359891,81.34
2012-02-13,81.59,81.87,80.8,81.66,386575,81.66
2012-02-14,81.44,82.4,81.42,81.86,246886,81.86
2012-02-15,81.89,82.06,81.08,81.3,272581,81.3
2012-02-16,81.32,81.32,80.61,81.01,308978,81.01
2012-02-17,81.21,82.86,81.09,82.57,754401,82.57
2012-02-21,82.52,82.57,80.96,81.33,334322,81.33
2012-02-22,81.58,81.86,80.74,80.95,349212,80.95
2012-02-23,80.85,81.44,80.71,81.1,275918,81.1
2012-02-24,81.27,82.17,80.61,82,344287,82
2012-02-27,81.2,82.33,81.12,82.11,284928,82.11
2012-02-28,81.92,82.89,81.31,82.48,386319,82.48
2012-02-29,82.78,83.89,82.25,83.51,766036,83.51
2012-03-01,83.49,84.06,83.07,83.92,492332,83.92
2012-03-02,83.69,83.9,81.76,82.17,540464,82.17
2012-03-05,82.1,82.86,81.94,82.25,244800,82.25
2012-03-06,81.76,82.55,81.59,82.28,540961,82.28
2012-03-07,82.42,83.2,81.77,83.01,813327,83.01
2012-03-08,83.33,85.9,83.33,85.56,609849,85.56
2012-03-09,85.67,87.07,85.43,86.4,663043,86.4
2012-03-12,86.75,87,86.02,86.54,717422,86.54
2012-03-13,86.81,87.13,85.92,86.72,455226,86.72
2012-03-14,86.72,87.67,86.38,87.31,402411,87.31
2012-03-15,87.04,87.47,86.66,87.47,348493,87.47
2012-03-16,88,88,87.16,87.56,721446,87.56
2012-03-19,87.59,87.71,86.84,87.2,384039,87.2
2012-03-20,86.95,87.26,86.7,87.11,370517,87.11
2012-03-21,87.16,87.35,86.66,86.76,311086,86.76
2012-03-22,86.32,86.65,85.99,86.18,458502,86.18
2012-03-23,86.2,86.92,85.62,86.38,504880,86.38
2012-03-26,87.16,87.83,87.1,87.6,622065,87.6
2012-03-27,87.82,88.6,87.77,88.31,400897,88.31
2012-03-28,88.38,88.83,87.72,88.18,377943,88.18
2012-03-29,87.55,88.68,87.38,88.59,345660,88.59
2012-03-30,88.74,88.9,87.72,87.77,1009127,87.77
2012-04-02,87.65,88.81,87.59,88.67,513720,88.67
2012-04-03,88.88,88.88,88.06,88.54,422568,88.54
2012-04-04,87.9,88.33,87.58,87.89,415277,87.89
2012-04-05,87.53,88.1,87.35,87.83,258567,87.83
2012-04-09,87.04,88.03,86.68,87.34,377447,87.34
2012-04-10,87.04,87.94,86.76,86.76,412961,86.76
2012-04-11,87.73,88.08,87.14,87.9,665897,87.9
2012-04-12,90.67,92.65,90.5,91.34,1835628,91.34
2012-04-13,91.33,91.45,90.02,90.48,877088,90.48
2012-04-16,90.15,90.56,89.44,89.77,445776,89.77
2012-04-17,90.07,91.51,89.97,91.36,524183,91.36
2012-04-18,91.2,91.32,90.75,91.22,417708,91.22
2012-04-19,91.34,91.48,89.99,90.57,372999,90.57
2012-04-20,91.21,91.36,90.69,91,752291,91
2012-04-23,90.09,91.21,89.69,90.65,424043,90.65
2012-04-24,90.9,91.21,90.49,90.98,280916,90.98
2012-04-25,91.53,91.89,91.09,91.38,255486,91.38
2012-04-26,91.41,92.12,90.77,91.27,905918,91.27
2012-04-27,91.89,92.16,91.01,91.05,546166,91.05
2012-04-30,91.31,92.45,91.14,91.41,653917,91.41
2012-05-01,89.9,90.76,89.17,90.44,793084,90.44
2012-05-02,90.24,90.37,89.82,90.17,408562,90.17
2012-05-03,90.18,91.26,89.78,90.59,471004,90.59
2012-05-04,90.41,90.67,89.38,89.58,423372,89.58
2012-05-07,89.39,89.88,89.39,89.59,323917,89.59
2012-05-08,89.35,89.85,88.54,89.77,486234,89.77
2012-05-09,89.21,90.03,88.71,89.46,544132,89.46
2012-05-10,89.78,90.23,89.45,89.71,314622,89.71
2012-05-11,89.58,90.67,89.21,90.15,320525,90.15
2012-05-14,89.39,89.96,89.01,89.44,328231,89.44
2012-05-15,89.44,89.57,88.62,88.88,347176,88.88
2012-05-16,89.01,89.71,88.66,88.95,362017,88.95
2012-05-17,89.17,89.21,87.98,87.99,340207,87.99
2012-05-18,88.8,88.8,86.48,87.45,1033433,87.45
2012-05-21,87.45,87.55,86.52,87.29,560764,87.29
2012-05-22,86.52,87.54,86.19,87.24,579170,87.24
2012-05-23,86.91,86.99,85.95,86.64,418616,86.64
2012-05-24,86.66,87.5,86.39,86.99,390856,86.99
2012-05-25,86.75,87.93,86.71,87.69,315858,87.69
2012-05-29,87.72,88,87.2,87.62,761056,87.62
2012-05-30,87.15,87.6,86.91,86.93,417961,86.93
2012-05-31,86.76,87.91,86.51,87.28,1071627,87.28
2012-06-01,86.62,87.11,86.39,86.7,484962,86.7
2012-06-04,86.68,87.31,86.39,87.31,412473,87.31
2012-06-05,86.89,87.68,86.67,87.58,375884,87.58
2012-06-06,87.82,88.39,87.48,88.13,442472,88.13
2012-06-07,88.63,89.45,87.69,87.77,385759,87.77
2012-06-08,87.99,88.51,87.71,88.42,333494,88.42
2012-06-11,88.78,88.9,87.91,87.99,425789,87.99
2012-06-12,88.06,88.94,87.46,88.81,440098,88.81
2012-06-13,88.83,89.29,88.51,88.69,314433,88.69
2012-06-14,88.96,90.25,88.9,89.84,403561,89.84
2012-06-15,90.46,91.01,90.27,91,1909576,91
2012-06-18,90.77,92.21,90.65,92.04,314065,92.04
2012-06-19,92.05,93.28,91.87,92.81,322489,92.81
2012-06-20,93,93.22,91.75,92.24,392830,92.24
2012-06-21,92.78,93.03,91.37,91.49,327529,91.49
2012-06-22,91.66,92.06,90.85,91.67,459139,91.67
2012-06-25,91.18,91.19,90.51,91.02,301165,91.02
2012-06-26,91.46,92.47,91.04,91.83,316404,91.83
2012-06-27,92.15,92.81,92.15,92.31,306205,92.31
2012-06-28,91.84,93.42,91.75,93.27,564942,93.27
2012-06-29,94,94,93.43,93.75,655745,93.75
2012-07-02,94,95.28,93.76,95.03,450332,95.03
2012-07-03,94.85,96.01,94.78,95.67,362390,95.67
2012-07-05,95.6,95.79,94.39,94.53,364007,94.53
2012-07-06,94.11,94.23,93.34,93.52,399429,93.52
2012-07-09,93.5,94.13,93.5,93.92,265033,93.92
2012-07-10,94.29,94.77,93.14,93.3,292624,93.3
2012-07-11,93.37,94.48,93.36,93.6,415756,93.6
2012-07-12,93.48,94.09,93.1,93.63,305718,93.63
2012-07-13,93.52,95.07,93.52,94.88,373238,94.88
2012-07-16,94.7,94.86,94.3,94.62,247637,94.62
2012-07-17,95,96.45,94.5,96.25,269580,96.25
2012-07-18,96.04,97.19,95.96,96.67,247044,96.67
2012-07-19,96.66,97.21,96.19,96.25,293721,96.25
2012-07-20,95.96,96.02,95.14,95.34,388121,95.34
2012-07-23,94.86,94.94,93.54,93.83,210128,93.83
2012-07-24,94.01,94.01,92.09,92.77,354313,92.77
2012-07-25,93.05,93.12,91.74,92.68,313631,92.68
2012-07-26,94,94.02,91.36,92.26,807554,92.26
2012-07-27,94.14,94.16,91.28,91.74,762619,91.74
2012-07-30,91.61,91.62,90.08,90.65,399157,90.65
2012-07-31,90.94,92.01,90.08,90.73,650930,90.73
2012-08-01,90.77,90.95,89.07,89.12,473310,89.12
2012-08-02,88.75,88.75,87.25,87.57,712308,87.57
2012-08-03,88.62,89.05,87.37,87.43,630171,87.43
2012-08-06,87.44,88.42,87.44,87.67,338939,87.67
2012-08-07,87.7,88.93,87.7,88.41,400038,88.41
2012-08-08,88.1,88.88,87.77,88.38,323030,88.38
2012-08-09,88.48,89.14,88.15,88.6,281985,88.6
2012-08-10,87.97,89.1,87.87,89.06,326023,89.06
2012-08-13,88.68,89.18,88.14,89.09,313325,89.09
2012-08-14,89.18,89.47,88.66,88.9,229487,88.9
2012-08-15,88.68,89.12,88.51,88.78,208596,88.78
2012-08-16,88.8,88.87,87.98,88.67,269101,88.67
2012-08-17,86.28,87.04,86.05,86.42,741104,86.42
2012-08-20,86.53,86.77,86.1,86.46,325692,86.46
2012-08-21,86.48,87.38,86.48,86.65,444050,86.65
2012-08-22,86.48,87.33,86.26,86.26,438636,86.26
2012-08-23,86.4,87.15,86.23,86.51,553139,86.51
2012-08-24,86.45,87.39,86.25,87.19,376633,87.19
2012-08-27,87.15,88.13,86.85,87.59,411813,87.59
2012-08-28,87.26,88.02,86.9,87.63,403669,87.63
2012-08-29,87.73,88.12,87.41,87.91,341068,87.91
2012-08-30,87.55,87.55,86.74,86.81,347683,86.81
2012-08-31,87.09,87.37,86.23,87.11,746945,87.11
2012-09-04,87.24,87.37,86.66,87.2,334588,87.2
2012-09-05,88.71,88.99,87.86,88.65,571408,88.65
2012-09-06,89.01,89.77,88.92,89.44,491001,89.44
2012-09-07,89.36,89.82,88.22,88.5,298590,88.5
2012-09-10,88.28,88.56,87.84,87.84,287426,87.84
2012-09-11,87.84,87.85,87.33,87.45,331787,87.45
2012-09-12,87.53,87.61,87,87.08,303233,87.08
2012-09-13,87,88,86.99,87.95,789270,87.95
2012-09-14,87.6,87.64,85.63,87.4,890808,87.4
2012-09-17,87.17,87.62,86.46,86.61,420083,86.61
2012-09-18,86.61,87.09,85.9,86.95,393736,86.95
2012-09-19,86.91,87.04,85.32,85.48,509712,85.48
2012-09-20,85.03,86.22,84.66,86.22,504825,86.22
2012-09-21,86.6,87.58,86.4,86.72,864351,86.72
2012-09-24,86.34,87.68,86.25,87,403912,87
2012-09-25,87.33,87.9,87.11,87.65,479260,87.65
2012-09-26,87.82,88.6,87.69,87.79,359925,87.79
2012-09-27,88,88.04,86.97,87.15,389905,87.15
2012-09-28,87.04,87.04,85.84,86.03,705595,86.03
2012-10-01,86.22,86.64,85.81,85.91,504542,85.91
2012-10-02,85.9,86.39,85.57,86.39,425169,86.39
2012-10-03,86.36,87.66,86.02,87.2,472194,87.2
2012-10-04,87.52,90.63,87.52,89.87,884694,89.87
2012-10-05,90,90.57,89.19,89.47,331884,89.47
2012-10-08,89.47,89.58,88.97,89.13,178728,89.13
2012-10-09,89.28,89.95,89.22,89.85,471066,89.85
2012-10-10,89.69,89.69,88.45,89.04,249789,89.04
2012-10-11,89.53,89.76,89,89,275768,89
2012-10-12,89.03,89.87,89,89.28,475888,89.28
2012-10-15,89.41,91.05,89.28,90.88,363254,90.88
2012-10-16,91.28,92.46,91.21,92.45,468257,92.45
2012-10-17,92.46,92.62,91.13,91.26,381679,91.26
2012-10-18,91.32,91.52,90.99,91.34,195754,91.34
2012-10-19,91.04,91.05,89.61,90.2,598453,90.2
2012-10-22,90.02,90.77,89.92,90.71,233384,90.71
2012-10-23,89.97,90.2,89.49,89.6,316293,89.6
2012-10-24,89.71,90.36,89.37,89.51,290548,89.51
2012-10-25,92,94.51,92,93.16,805576,93.16
2012-10-26,93,93.55,92.2,92.58,437123,92.58
2012-10-31,93,93.64,92.05,93.31,542245,93.31
2012-11-01,93.47,94.62,93.22,94.6,306622,94.6
2012-11-02,94.77,96.06,93.15,93.3,523380,93.3
2012-11-05,92.98,93.61,92.81,93.31,248218,93.31
2012-11-06,93.27,94.1,92.53,93.48,228071,93.48
2012-11-07,93,94.99,92.64,94.69,657154,94.69
2012-11-08,94.22,94.5,92.55,92.56,435342,92.56
2012-11-09,92.66,93.83,92.65,92.94,311717,92.94
2012-11-12,93.16,93.32,92.47,92.7,94209,92.7
2012-11-13,92.58,93.99,92.38,93.24,338197,93.24
2012-11-14,93.35,93.54,91.76,92.27,248560,92.27
2012-11-15,92.26,92.78,91.03,91.31,306850,91.31
2012-11-16,91.41,92.3,90.63,92.06,689701,92.06
2012-11-19,92.53,92.94,92.41,92.71,268032,92.71
2012-11-20,92.57,93.89,92.52,93.49,283078,93.49
2012-11-21,93.39,93.75,93.02,93.27,168887,93.27
2012-11-23,93.65,94.11,93.09,94.11,100945,94.11
2012-11-26,93.45,93.81,93.06,93.56,304486,93.56
2012-11-27,93.43,93.66,92.33,92.75,386018,92.75
2012-11-28,92.77,93.31,91.86,92.96,247703,92.96
2012-11-29,93.2,94.07,93.08,93.72,237993,93.72
2012-11-30,93.64,94.89,93.53,94.47,398434,94.47
2012-12-03,94.5,95.33,94.45,94.58,250784,94.58
2012-12-04,94.42,95.2,94.42,94.48,319671,94.48
2012-12-05,94.2,94.58,92.88,94.32,305472,94.32
2012-12-06,94.38,94.79,94.12,94.74,139872,94.74
2012-12-07,94.99,95.56,94.59,95.3,178518,95.3
2012-12-10,95,96.04,95,95.66,220134,95.66
2012-12-11,95.74,97.58,95.74,97.43,245373,97.43
2012-12-12,97.6,98,97.07,97.3,245579,97.3
2012-12-13,97.38,98.01,97.01,97.83,263288,97.83
2012-12-14,97.53,98.27,97.36,98.25,312580,98.25
2012-12-17,98.33,98.69,97.81,98.63,227301,98.63
2012-12-18,98.94,100,98.68,99.62,445008,99.62
2012-12-19,99.56,99.58,97.97,97.97,460551,97.97
2012-12-20,97.94,99.11,97.94,99.08,246375,99.08
2012-12-21,99,99,97.05,98,943267,98
2012-12-24,97.76,98.06,97.2,97.59,132818,97.59
2012-12-26,97.81,97.93,96.38,96.6,223434,96.6
2012-12-27,96.6,96.97,95.49,96.42,196726,96.42
2012-12-28,96.14,96.94,95.84,95.89,195985,95.89
2012-12-31,95.88,96.98,95.5,96.96,290413,96.96
2013-01-02,97.89,97.99,96.67,97.6,369808,97.6
2013-01-03,97.76,98.8,97.62,98.74,271926,98.74
2013-01-04,98.98,100.05,98.74,99.94,350010,99.94
2013-01-07,99.44,100.11,98.97,100,360414,100
2013-01-08,100.1,101.12,100.1,100.79,384131,100.79
2013-01-09,100.77,101.63,100.48,101.1,304532,101.1
2013-01-10,101.56,102,100.98,101.66,361179,101.66
2013-01-11,101.84,101.94,101.01,101.08,248288,101.08
2013-01-14,101.1,101.65,100.73,101.44,269447,101.44
2013-01-15,100.94,102.47,100.9,102.37,223364,102.37
2013-01-16,101.78,102.55,101.5,102.13,268597,102.13
2013-01-17,102.2,103.27,102.2,102.94,238035,102.94
2013-01-18,103.22,103.98,102.59,103.98,905218,103.98
2013-01-22,103.87,103.98,102.9,103.69,246500,103.69
2013-01-23,103.54,104.99,103.5,104.91,292492,104.91
2013-01-24,105.19,106.34,105.06,106.19,315890,106.19
2013-01-25,106.33,106.73,105.5,106.62,296916,106.62
2013-01-28,106.8,106.8,105.39,105.47,264671,105.47
2013-01-29,105.72,106.7,105.4,106.54,298986,106.54
2013-01-30,106.46,106.55,105.58,105.65,238665,105.65
2013-01-31,105.49,105.87,105.18,105.23,361176,105.23
2013-02-01,103,105.81,102.5,103.19,895841,103.19
2013-02-04,102.52,103.04,101.86,102.01,421959,102.01
2013-02-05,102.11,102.97,101.74,102.21,315510,102.21
2013-02-06,101.93,102.76,101.48,102.42,280025,102.42
2013-02-07,102.4,103.38,102.38,103.17,284663,103.17
2013-02-08,103.22,103.86,103.01,103.8,205628,103.8
2013-02-11,103.46,103.95,103.13,103.53,180593,103.53
2013-02-12,103.82,105,103.82,104.83,228695,104.83
2013-02-13,104.77,105.43,104.7,104.91,243826,104.91
2013-02-14,104.63,104.95,104.2,104.21,308577,104.21
2013-02-15,104.42,104.72,103.13,103.42,767282,103.42
2013-02-19,103.24,104.57,103.24,103.87,402756,103.87
2013-02-20,103.88,104.24,102.98,103.41,403988,103.41
2013-02-21,103,103.35,101.78,102.8,387843,102.8
2013-02-22,102.79,103.99,102.38,103.66,298879,103.66
2013-02-25,103.82,104.63,102.12,102.12,316368,102.12
2013-02-26,102.56,104.41,102.56,104.08,441192,104.08
2013-02-27,103.53,106.31,103.53,105.6,448544,105.6
2013-02-28,105.66,107.03,105.6,106.13,501864,106.13
2013-03-01,106.02,107.94,105.57,107.46,364056,107.46
2013-03-04,107.26,107.79,106.15,107.39,298903,107.39
2013-03-05,107.47,108.73,107.37,108.39,284860,108.39
2013-03-06,108.51,109.46,108.24,108.32,320099,108.32
2013-03-07,108.25,109.13,107.84,108.05,372610,108.05
2013-03-08,108.54,109.54,108.23,109.32,287916,109.32
2013-03-11,109.22,110,109.02,109.76,278587,109.76
2013-03-12,109.64,110.83,109.39,109.85,367302,109.85
2013-03-13,109.76,111.18,109.71,110.61,278870,110.61
2013-03-14,110.73,111.52,110.73,111.23,298353,111.23
2013-03-15,111.23,111.25,110.11,110.48,1289550,110.48
2013-03-18,109.87,110.16,109.42,109.79,238951,109.79
2013-03-19,108.25,108.25,104.52,106.87,709284,106.87
2013-03-20,107.44,107.88,106.65,107.05,712589,107.05
2013-03-21,106.77,107.45,106.03,106.7,280556,106.7
2013-03-22,107.05,107.96,106.98,107.89,397808,107.89
2013-03-25,108.29,108.65,107.43,107.62,265304,107.62
2013-03-26,108.25,108.72,107.76,107.93,180979,107.93
2013-03-27,107.46,107.97,107.13,107.76,181214,107.76
2013-03-28,107.7,108.02,107.32,107.96,476459,107.96
2013-04-01,107.77,108.32,107.64,107.93,217873,107.93
2013-04-02,108.4,109.3,108.2,108.49,260386,108.49
2013-04-03,108.56,109,107.27,107.68,279233,107.68
2013-04-04,107.59,108.67,107.11,107.95,369964,107.95
2013-04-05,106.94,107.5,106.49,106.83,311037,106.83
2013-04-08,106.67,107.55,106.27,106.94,266479,106.94
2013-04-09,107.18,107.31,106.77,106.83,255598,106.83
2013-04-10,107.33,107.94,107.3,107.42,254183,107.42
2013-04-11,107.65,109.67,107.65,108.78,243540,108.78
2013-04-12,108.54,109.37,107.88,108.36,260226,108.36
2013-04-15,107.99,108.58,106.93,106.93,244645,106.93
2013-04-16,107,107.82,106.45,107.77,323049,107.77
2013-04-17,107.15,107.27,106.35,106.73,283849,106.73
2013-04-18,106.9,106.9,104.95,105.46,412124,105.46
2013-04-19,105.72,106.55,104.83,106.25,540297,106.25
2013-04-22,105.94,106.78,105.75,106.02,241294,106.02
2013-04-23,106.51,107.69,105.66,106.23,232243,106.23
2013-04-24,106.44,107.15,106.3,107.01,283189,107.01
2013-04-25,107.04,108.13,104.59,104.95,506672,104.95
2013-04-26,104.94,105.3,103.96,104.18,341825,104.18
2013-04-29,104.17,105.16,102.68,104.49,341568,104.49
2013-04-30,104.45,105.83,103.54,105.82,481766,105.82
2013-05-01,105.81,106.1,105.29,105.75,258723,105.75
2013-05-02,106.25,107.44,105.8,107.44,351275,107.44
2013-05-03,108.05,108.56,107.19,108.14,254868,108.14
2013-05-06,108.04,109.02,108.01,108.23,184800,108.23
2013-05-07,108.4,108.71,107.84,108.63,241342,108.63
2013-05-08,113.1,116.11,112.51,116.11,1075904,116.11
2013-05-09,116.07,116.94,115.21,115.77,291234,115.77
2013-05-10,115.59,115.78,114.85,115.29,449424,115.29
2013-05-13,114.97,115.05,114.21,114.61,385724,114.61
2013-05-14,114.51,115.63,114.51,115.12,279329,115.12
2013-05-15,115.32,117.2,115.32,116.24,279132,116.24
2013-05-16,115.74,116.32,115.33,115.41,250929,115.41
2013-05-17,115.51,117,115.51,116.89,366335,116.89
2013-05-20,116.63,118.82,116.63,118.02,471916,118.02
2013-05-21,118,118.57,117.13,118.41,343371,118.41
2013-05-22,117.95,119.32,117.2,117.55,283849,117.55
2013-05-23,116.72,117.74,116.18,117.28,189071,117.28
2013-05-24,116.79,117.63,116.09,117.31,239013,117.31
2013-05-28,117.8,118.19,115.23,116.31,362798,116.31
2013-05-29,114.16,114.79,113.01,114.37,382175,114.37
2013-05-30,114.22,115.42,113.58,114.94,253874,114.94
2013-05-31,114.59,115.66,113.81,113.86,534832,113.86
2013-06-03,114.28,114.28,111.83,112.74,474285,112.74
2013-06-04,112.54,113.29,111.37,112.31,350733,112.31
2013-06-05,111.62,112.81,111.41,111.67,269587,111.67
2013-06-06,111.79,112.31,111.22,111.81,326015,111.81
2013-06-07,112.65,114.85,112.65,113.96,309398,113.96
2013-06-10,114.1,115.3,114.1,114.66,250138,114.66
2013-06-11,113.63,114.31,112.72,112.87,348564,112.87
2013-06-12,113.76,114,111.99,112.02,291452,112.02
2013-06-13,112.18,113.94,111.32,113.85,228588,113.85
2013-06-14,113.63,115.21,113.6,114.29,309227,114.29
2013-06-17,115.01,115.19,113.72,114.38,361397,114.38
2013-06-18,114.83,115.76,114.39,114.62,289787,114.62
2013-06-19,114.79,115.93,113.92,113.93,292461,113.93
2013-06-20,113.28,113.28,110.43,110.79,493082,110.79
2013-06-21,111.81,112.88,110.55,110.97,1266437,110.97
2013-06-24,110.57,111.97,109.84,111.55,367256,111.55
2013-06-25,112.04,112.04,110.56,110.7,393038,110.7
2013-06-26,111.51,115.66,110.8,115.54,578170,115.54
2013-06-27,115.83,117.19,115.37,115.57,290888,115.57
2013-06-28,115.57,115.99,114.5,114.5,823017,114.5
2013-07-01,115.57,116.77,115.3,116.18,378929,116.18
2013-07-02,115.98,116,113.83,114.28,477770,114.28
2013-07-03,113.82,114.82,113.36,114.62,193415,114.62
2013-07-05,115.7,115.78,114.64,115.73,148402,115.73
2013-07-08,116,117.04,115.81,115.94,219958,115.94
2013-07-09,116.5,117.25,115.93,116.01,272229,116.01
2013-07-10,116.2,117.66,114.82,116.89,261262,116.89
2013-07-11,118,118.45,117.8,118.23,183269,118.23
2013-07-12,118.46,118.74,117.55,118.64,291470,118.64
2013-07-15,118.96,119.53,118.36,119.51,221038,119.51
2013-07-16,119.4,119.56,117.98,118.3,248126,118.3
2013-07-17,118.42,118.62,117.66,118.06,291247,118.06
2013-07-18,118.39,119.03,118.01,118.48,200081,118.48
2013-07-19,118.38,118.94,117.53,118.65,308321,118.65
2013-07-22,118.7,119.4,118.34,118.56,503792,118.56
2013-07-23,118.78,118.78,117.65,118.12,210779,118.12
2013-07-24,118.74,118.74,117.79,118.46,209840,118.46
2013-07-25,118.22,118.69,117.28,118.58,244199,118.58
2013-07-26,122,126.36,122,124.85,519889,124.85
2013-07-29,124.36,124.44,122.89,124.08,437638,124.08
2013-07-30,123.94,124.37,123.13,123.43,276660,123.43
2013-07-31,123.33,124,122.39,122.66,389965,122.66
2013-08-01,123.26,123.86,122.62,123.51,287426,123.51
2013-08-02,123.06,123.57,122.62,123.42,197803,123.42
2013-08-05,122.38,124.06,122.31,123.46,244659,123.46
2013-08-06,123.54,123.79,122.46,123.57,221895,123.57
