DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,34.4,35.43,34.4,35.16,535345,35.16
2012-01-04,34.98,35.14,34.36,35.07,401204,35.07
2012-01-05,34.68,35.69,34.66,35.69,494873,35.69
2012-01-06,35.57,35.98,35.46,35.83,423760,35.83
2012-01-09,35.89,36.06,35.49,35.83,637482,35.83
2012-01-10,36.29,36.63,36.2,36.33,396210,36.33
2012-01-11,36.12,36.28,35.67,35.78,448688,35.78
2012-01-12,35.95,36.74,35.9,36.72,499788,36.72
2012-01-13,36.39,36.58,35.8,35.93,385582,35.93
2012-01-17,36.62,36.68,35.3,35.32,674497,35.32
2012-01-18,35.31,35.6,35.15,35.55,502805,35.55
2012-01-19,35.73,36.67,35.65,36.55,400430,36.55
2012-01-20,36.58,36.83,36.3,36.47,458794,36.47
2012-01-23,36.39,37.09,36.39,36.75,552353,36.75
2012-01-24,36.49,36.98,36.23,36.88,379568,36.88
2012-01-25,36.7,38.38,36.67,38.26,482098,38.26
2012-01-26,38.5,38.75,37.87,38.06,439313,38.06
2012-01-27,37.91,38.09,37.55,37.66,416555,37.66
2012-01-30,37.21,37.45,36.97,37.05,290917,37.05
2012-01-31,37.32,37.36,36.64,37.23,430694,37.23
2012-02-01,37.61,38.02,37.3,37.6,479819,37.6
2012-02-02,37.75,38.02,37.39,37.46,343382,37.46
2012-02-03,37.95,38.83,37.9,38.5,421723,38.5
2012-02-06,38.2,38.74,38.1,38.64,270361,38.64
2012-02-07,38.29,39.13,38.23,38.98,448276,38.98
2012-02-08,36.84,38.48,36.77,38.31,767547,38.31
2012-02-09,38.45,38.57,37.98,38.37,656394,38.37
2012-02-10,38.05,38.67,37.92,38.44,643858,38.44
2012-02-13,38.73,38.89,38.31,38.71,283505,38.71
2012-02-14,38.51,38.71,38.3,38.66,348749,38.66
2012-02-15,38.74,38.85,38.05,38.24,329959,38.24
2012-02-16,38.2,38.61,38.07,38.45,355570,38.45
2012-02-17,38.78,38.94,38.37,38.53,368063,38.53
2012-02-21,38.53,38.69,38.17,38.64,393038,38.64
2012-02-22,38.6,39.03,38.6,38.77,275443,38.77
2012-02-23,38.66,39.17,38.49,39.15,258505,39.15
2012-02-24,39.2,39.35,38.88,38.88,348968,38.88
2012-02-27,38.5,39.32,38.5,39.23,337004,39.23
2012-02-28,39.24,39.24,38.53,38.64,321445,38.64
2012-02-29,38.75,39.06,38.53,38.61,405827,38.61
2012-03-01,38.6,39.29,38.54,39.23,295902,39.23
2012-03-02,39.13,39.45,38.79,38.94,256876,38.94
2012-03-05,38.77,38.89,38.53,38.54,258851,38.54
2012-03-06,38.06,38.55,37.31,37.35,408506,37.35
2012-03-07,37.4,37.65,37.21,37.35,433291,37.35
2012-03-08,37.63,38.58,37.55,38.53,375150,38.53
2012-03-09,38.6,39.11,38.28,38.84,248013,38.84
2012-03-12,38.92,40.08,38.78,40.05,717176,40.05
2012-03-13,40.13,41.55,40.1,41.5,799446,41.5
2012-03-14,41.38,41.89,41.31,41.52,502507,41.52
2012-03-15,41.53,42.04,41.4,42.03,404604,42.03
2012-03-16,42.26,42.67,41.67,42.6,1014954,42.6
2012-03-19,42.44,42.44,41.81,41.89,405541,41.89
2012-03-20,41.6,41.98,41.5,41.57,367053,41.57
2012-03-21,41.68,41.97,41.33,41.75,559182,41.75
2012-03-22,41.36,41.79,41.19,41.47,310668,41.47
2012-03-23,41.46,41.71,41,41.61,306337,41.61
2012-03-26,42,42.55,41.95,42.32,442027,42.32
2012-03-27,42.3,42.49,42.2,42.32,326086,42.32
2012-03-28,42.19,42.23,41.53,42.02,318890,42.02
2012-03-29,41.63,41.64,41.11,41.52,249193,41.52
2012-03-30,41.84,42.17,41.3,42.1,412582,42.1
2012-04-02,42.14,42.42,41.74,42.34,418922,42.34
2012-04-03,42.19,43.04,42.08,42.97,476199,42.97
2012-04-04,42.78,42.89,42.12,42.26,325917,42.26
2012-04-05,42.01,42.41,41.85,42.32,341064,42.32
2012-04-09,41.53,41.63,41.3,41.6,356381,41.6
2012-04-10,41.54,41.54,40.69,40.77,491642,40.77
2012-04-11,41.32,42.48,41.23,41.85,504876,41.85
2012-04-12,42,43.02,41.88,42.91,366444,42.91
2012-04-13,42.77,42.8,41.66,41.68,474611,41.68
2012-04-16,42.04,42.21,41.56,41.62,373287,41.62
2012-04-17,42.06,42.82,42.01,42.73,443845,42.73
2012-04-18,42.4,42.62,42.19,42.25,375442,42.25
2012-04-19,42.28,42.39,41.09,41.22,598851,41.22
2012-04-20,41.41,42.04,41.2,41.61,638815,41.61
2012-04-23,41.02,41.5,40.69,41.42,499219,41.42
2012-04-24,41.49,41.93,41.4,41.62,369364,41.62
2012-04-25,42,42.21,41.83,41.97,673266,41.97
2012-04-26,42,42.46,41.33,41.61,707542,41.61
2012-04-27,41.96,41.96,41.06,41.57,577984,41.57
2012-04-30,41.56,41.59,40.84,40.95,423020,40.95
2012-05-01,40.96,41.02,40.45,40.6,560140,40.6
2012-05-02,40.4,40.41,39.91,40.14,430270,40.14
2012-05-03,40.21,40.34,39.44,39.48,419979,39.48
2012-05-04,39.22,39.25,38.89,39.01,582384,39.01
2012-05-07,39.09,39.42,38.75,38.77,623835,38.77
2012-05-08,38.4,38.88,38.11,38.75,562736,38.75
2012-05-09,38.11,38.65,37.99,38.35,649740,38.35
2012-05-10,38.75,38.85,38.2,38.34,341764,38.34
2012-05-11,37.93,38.78,37.82,38.36,461731,38.36
2012-05-14,37.72,38.16,37.64,37.88,584073,37.88
2012-05-15,37.96,38.4,37.8,37.88,433947,37.88
2012-05-16,38.11,38.43,37.23,37.25,491532,37.25
2012-05-17,37.07,37.21,35.74,35.78,909700,35.78
2012-05-18,35.99,36.26,35.47,35.58,633639,35.58
2012-05-21,35.78,36.62,35.49,36.34,538643,36.34
2012-05-22,36.37,37.17,36.06,36.28,636459,36.28
2012-05-23,35.95,36.63,35.79,36.58,427672,36.58
2012-05-24,36.69,37.26,36.66,37.25,550093,37.25
2012-05-25,37.18,37.52,37.16,37.36,383621,37.36
