DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-06-26,25.2291,25.3076,24.6926,24.6991,2780684,24.6991
2012-06-27,24.5879,24.6402,24.4178,24.4766,2490641,24.4766
2012-06-28,24.3981,24.6958,24.2738,24.6664,2000284,24.6664
2012-06-29,24.9281,25.2683,24.8103,25.2683,3510184,25.2683
2012-07-02,25.072,25.4515,25.0328,25.4515,2667874,25.4515
2012-07-03,25.4188,25.7132,25.3665,25.6543,1992811,25.6543
2012-07-05,25.7917,25.8375,25.5627,25.5627,2089993,25.5627
2012-07-06,25.5497,25.6478,25.4384,25.5039,1740724,25.5039
2012-07-09,25.4646,25.5464,25.3861,25.5366,1908084,25.5366
2012-07-10,25.7132,26.0011,25.6543,25.7852,3557992,25.7852
2012-07-11,25.7787,25.8964,25.6609,25.759,2690769,25.759
2012-07-12,25.5431,25.638,25.494,25.5889,2198419,25.5889
2012-07-13,25.5627,26.0077,25.5431,25.9815,2067415,25.9815
2012-07-16,26.1058,26.132,25.7917,25.8964,2115255,25.8964
2012-07-17,26.0077,26.168,25.795,26.0404,2081653,26.0404
2012-07-18,26.0077,26.1712,25.9684,26.1516,2189531,26.1516
2012-07-19,26.2301,26.361,26.0927,26.3021,3307293,26.3021
2012-07-20,26.1974,26.3348,25.8964,26.2759,26062557,26.2759
2012-07-23,25.9161,25.9226,25.5431,25.6478,5159633,25.6478
2012-07-24,25.7198,25.7459,25.4417,25.4973,3306638,25.4973
2012-07-25,25.6413,25.6413,25.3959,25.4123,2306487,25.4123
2012-07-26,25.8048,26.0273,25.7067,25.772100000000002,3386968,25.772100000000002
2012-07-27,26.0469,26.0731,25.7656,25.7917,3804415,25.7917
2012-07-30,25.8506,25.9553,25.8114,25.8441,2958789,25.8441
2012-07-31,25.7787,26.0207,25.6543,25.9815,3082415,25.9815
2012-08-01,26.0404,26.132,25.6805,25.772100000000002,2376543,25.772100000000002
2012-08-02,25.53,25.7001,25.3534,25.4777,3179616,25.4777
2012-08-03,26.1385,26.7535,26.132,26.5049,5021277,26.5049
2012-08-06,26.8255,27.1526,26.5442,26.5638,3630626,26.5638
2012-08-07,26.6619,26.8124,26.5638,26.7535,3204117,26.7535
2012-08-08,26.7274,26.9956,26.7274,26.8909,2150285,26.8909
2012-08-09,26.8713,26.9825,26.5965,26.8713,1960655,26.8713
2012-08-10,26.6947,26.7732,26.5703,26.7732,2093440,26.7732
2012-08-13,26.7993,26.8909,26.7405,26.8255,1921305,26.8255
2012-08-14,26.8451,26.8975,26.6881,26.7601,1763346,26.7601
2012-08-15,26.7535,26.7797,26.5376,26.6292,2249269,26.6292
2012-08-16,26.4984,26.6685,26.446,26.6292,2060962,26.6292
2012-08-17,26.6554,26.6554,26.3806,26.4984,4452426,26.4984
2012-08-20,26.3741,26.6881,26.3348,26.675,1849789,26.675
2012-08-21,26.6358,27.0872,26.6161,26.8975,3209179,26.8975
2012-08-22,26.9302,27.2181,26.6619,26.819,3193283,26.819
2012-08-23,26.7797,27.0774,26.7077,27.0087,3291505,27.0087
2012-08-24,26.8909,27.4111,26.8909,27.3947,2762575,27.3947
2012-08-27,27.3751,27.3947,27.2606,27.3031,1939086,27.3031
2012-08-28,27.3293,27.4798,27.2966,27.3882,2096464,27.3882
2012-08-29,27.3947,27.4471,27.2442,27.2639,1726335,27.2639
2012-08-30,27.1134,27.2181,26.976,27.0545,2507344,27.0545
2012-08-31,27.2704,27.434,27.1003,27.1723,2876793,27.1723
2012-09-04,26.9956,27.4438,26.9956,27.3751,3751322,27.3751
2012-09-05,27.2835,27.4798,27.0807,27.2639,2604875,27.2639
2012-09-06,27.2835,27.7644,27.2835,27.6957,3363303,27.6957
2012-09-07,26.7143,26.7666,25.9815,26.1778,10956115,26.1778
2012-09-10,26.4264,26.6619,26.289,26.3086,4265278,26.3086
2012-09-11,26.2825,26.361,25.9226,26.0207,3162613,26.0207
2012-09-12,26.0404,26.1189,25.8441,25.8964,2701635,25.8964
2012-09-13,25.8637,26.3283,25.8637,26.2367,3655228,26.2367
2012-09-14,26.1058,26.2825,25.9946,26.1254,5730309,26.1254
2012-09-17,25.831,25.9815,25.7329,25.9749,4357885,25.9749
2012-09-18,25.8441,26.4526,25.8048,26.4329,5060349,26.4329
2012-09-19,26.4984,26.7732,26.4984,26.7208,5827169,26.7208
2012-09-20,26.5965,27.3162,26.5573,27.2181,7727956,27.2181
2012-09-21,27.3489,27.6041,27.2573,27.2573,21688613,27.2573
2012-09-24,27.205,27.3097,27.1265,27.2377,4228875,27.2377
2012-09-25,27.1526,27.4471,27.0283,27.0349,6269519,27.0349
2012-09-26,27.1657,27.3555,26.9433,26.9891,3532346,26.9891
2012-09-27,26.8909,27.0447,26.8255,26.9695,3719052,26.9695
2012-09-28,26.9629,27.1068,26.7601,27.0545,3808501,27.0545
2012-10-01,26.8779,27.8331,26.8779,27.8069,7533289,27.8069
2012-10-02,28.42,28.47,27.4,28,4925362,28
2012-10-03,28.24,28.29,27.73,27.83,5963240,27.83
2012-10-04,27.97,28.21,27.92,28.07,3456126,28.07
2012-10-05,28.25,28.37,27.74,27.81,3589538,27.81
2012-10-08,27.85,27.9,27.49,27.55,2840983,27.55
2012-10-09,27.55,27.62,27.28,27.36,3514140,27.36
2012-10-10,27.31,27.465,27.1,27.25,4146352,27.25
2012-10-11,27.38,27.405,27.15,27.24,3143220,27.24
2012-10-12,27.36,27.39,27.16,27.22,3013362,27.22
2012-10-15,27.48,27.5,27.2,27.22,2366264,27.22
2012-10-16,27.5,27.5,26.95,27.17,2859942,27.17
2012-10-17,27.15,27.5,27.15,27.45,2852354,27.45
2012-10-18,27.49,27.56,27.35,27.41,1881109,27.41
2012-10-19,27.4,27.44,26.92,27,5925462,27
2012-10-22,27,27.13,26.86,27,2243785,27
2012-10-23,26.75,26.84,26.54,26.7,1980980,26.7
2012-10-24,26.75,26.75,26.45,26.53,2340909,26.53
2012-10-25,26.68,26.79,26.385,26.47,1917398,26.47
2012-10-26,26.43,26.64,26.18,26.6,3338084,26.6
2012-10-31,26.75,26.78,26.31,26.54,3605573,26.54
2012-11-01,26.53,26.85,26.5,26.8,2819364,26.8
2012-11-02,26.8,26.8,26.25,26.28,3751179,26.28
2012-11-05,26.18,26.45,26.05,26.41,2169831,26.41
2012-11-06,26.02,26.62,26,26.51,2877280,26.51
2012-11-07,26.25,26.41,26.08,26.24,2961204,26.24
2012-11-08,25.8,26.59,25.77,26.12,6125005,26.12
2012-11-09,26,26.23,25.77,26.02,3942382,26.02
2012-11-12,26.11,26.125,25.925,25.98,1811784,25.98
2012-11-13,25.84,26.04,25.74,25.74,2938612,25.74
2012-11-14,25.75,25.8,25.1,25.15,4676583,25.15
2012-11-15,25.03,25.18,24.5,25.11,4006472,25.11
2012-11-16,25.05,25.59,25.03,25.55,5807093,25.55
2012-11-19,25.82,25.9,25.53,25.84,2609848,25.84
2012-11-20,26.01,26.04,25.5,25.54,2392291,25.54
2012-11-21,25.71,25.89,25.28,25.41,2228941,25.41
2012-11-23,25.56,25.64,25.285,25.62,1697511,25.62
2012-11-26,25.5,25.58,25.4,25.5,2199707,25.5
2012-11-27,25.55,25.61,25.25,25.27,1968251,25.27
2012-11-28,25.16,25.7,25.16,25.66,3467786,25.66
2012-11-29,25.77,25.8,25.53,25.78,2485928,25.78
2012-11-30,25.84,25.99,25.72,25.89,2971777,25.89
2012-12-03,25.89,25.95,25.59,25.68,2344455,25.68
2012-12-04,25.71,25.87,25.61,25.72,2282220,25.72
2012-12-05,25.71,25.88,25.47,25.52,3399765,25.52
2012-12-06,25.55,25.64,25.4,25.52,1775723,25.52
2012-12-07,25.66,25.74,25.3,25.59,2289877,25.59
2012-12-10,25.62,26.09,25.61,25.94,2673324,25.94
2012-12-11,26.02,26.23,25.98,26.13,3112834,26.13
2012-12-12,26.08,26.2,25.82,26.04,2318542,26.04
2012-12-13,25.99,26.165,25.75,26.1,2677828,26.1
2012-12-14,26.1,26.12,25.98,26.03,2321105,26.03
2012-12-17,26.01,26.155,25.91,26.06,2948477,26.06
2012-12-18,26.15,26.15,25.74,25.87,4599973,25.87
2012-12-19,25.86,26.08,25.8,25.93,4028350,25.93
2012-12-20,26.02,26.08,25.855,26.07,2082096,26.07
2012-12-21,25.75,25.81,25.475,25.76,10464476,25.76
2012-12-24,25.69,25.76,25.6,25.67,826754,25.67
2012-12-26,25.61,25.74,25.355,25.39,1270757,25.39
2012-12-27,25.2,25.42,25.07,25.36,2186028,25.36
2012-12-28,25.18,25.365,25.16,25.26,2035077,25.26
2012-12-31,25.02,25.49,25,25.47,3093316,25.47
2013-01-02,25.84,26.68,25.78,26.68,4959739,26.68
2013-01-03,26.72,26.77,26.49,26.64,2342021,26.64
2013-01-04,26.67,26.83,26.55,26.75,2174411,26.75
2013-01-07,26.62,26.73,26.56,26.66,1766212,26.66
2013-01-08,26.52,26.92,26.5,26.67,3886638,26.67
2013-01-09,26.79,27.08,26.68,27.05,2430795,27.05
2013-01-10,27.13,27.34,27.1,27.31,2702465,27.31
2013-01-11,27.35,27.53,27.25,27.42,2071713,27.42
2013-01-14,27.46,27.49,27.17,27.48,1762517,27.48
2013-01-15,27.5,27.735,27.34,27.71,2012962,27.71
2013-01-16,27.58,27.92,27.58,27.82,2199657,27.82
2013-01-17,27.84,28.08,27.78,28.06,3441635,28.06
2013-01-18,27.97,28.095,27.82,28.08,6479557,28.08
2013-01-22,27.75,28.04,27.3,27.56,5763427,27.56
2013-01-23,27.5,27.89,27.36,27.79,2778557,27.79
2013-01-24,27.93,27.93,27.64,27.83,2742750,27.83
2013-01-25,27.83,27.89,27.69,27.78,2510903,27.78
2013-01-28,27.88,27.93,27.62,27.81,1471250,27.81
2013-01-29,27.54,27.925,27.54,27.83,2455454,27.83
2013-01-30,27.83,27.98,27.665,27.73,1573251,27.73
2013-01-31,27.65,27.94,27.65,27.79,2093388,27.79
2013-02-01,28,28.32,27.93,28.22,2522876,28.22
2013-02-04,28.01,28.145,27.84,27.88,2491997,27.88
2013-02-05,27.95,28.105,27.85,27.95,2461824,27.95
2013-02-06,27.81,28.13,27.8,28,2401418,28
2013-02-07,27.63,28.075,27.58,28.04,3257504,28.04
2013-02-08,27.85,28.1,27.75,27.76,2347249,27.76
2013-02-11,27.7,27.795,27.64,27.75,2048533,27.75
2013-02-12,27.7,27.83,27.27,27.68,3425843,27.68
2013-02-13,27.74,27.805,27.46,27.75,3502010,27.75
2013-02-14,26.75,27.02,26.46,26.57,8292570,26.57
2013-02-15,26.84,27.07,26.61,26.72,5661963,26.72
2013-02-19,26.8,27.19,26.77,26.98,3442665,26.98
2013-02-20,27.07,27.145,26.95,27.03,3455371,27.03
2013-02-21,26.95,27.04,26.635,26.82,3877458,26.82
2013-02-22,26.89,27.13,26.73,26.77,3143754,26.77
2013-02-25,26.79,27.07,26.49,26.49,4515091,26.49
2013-02-26,26.54,26.98,26.52,26.95,3148716,26.95
2013-02-27,26.88,27.67,26.87,27.57,3459790,27.57
2013-02-28,27.74,27.855,27.585,27.65,4635650,27.65
2013-03-01,26.94,27.855,26.94,27.81,3581723,27.81
2013-03-04,27.7,28.44,27.68,28.27,4559889,28.27
2013-03-05,28.36,28.66,28.33,28.51,3274302,28.51
2013-03-06,28.67,28.67,28.455,28.52,2174572,28.52
2013-03-07,28.67,28.68,28.45,28.55,4163148,28.55
2013-03-08,28.62,28.75,28.4,28.58,1868037,28.58
2013-03-11,28.54,28.58,28.425,28.43,2112404,28.43
2013-03-12,28.49,28.55,28.16,28.2,2913616,28.2
2013-03-13,28.3,28.51,28.23,28.48,2048086,28.48
2013-03-14,28.5,28.55,28.35,28.54,2521697,28.54
2013-03-15,28.38,28.67,28.36,28.4,10067594,28.4
2013-03-18,28.26,28.46,28.07,28.31,1895241,28.31
2013-03-19,28.29,28.54,28.165,28.34,1961688,28.34
2013-03-20,28.59,28.72,28.42,28.69,2744131,28.69
2013-03-21,28.58,28.74,28.41,28.56,3382242,28.56
2013-03-22,29.32,30.12,29.27,29.73,7542478,29.73
2013-03-25,29.91,30.295,29.71,29.88,4659704,29.88
2013-03-26,29.89,30.29,29.88,30.28,2647666,30.28
2013-03-27,29.91,30.375,29.87,30.35,2546174,30.35
2013-03-28,30.44,30.66,30.24,30.61,4942518,30.61
2013-04-01,30.42,30.81,30.385,30.68,2369349,30.68
2013-04-02,30.67,30.945,30.64,30.8,2424807,30.8
2013-04-03,30.76,30.83,30.105,30.29,2848998,30.29
2013-04-04,30.4,30.41,30.22,30.27,2375866,30.27
2013-04-05,29.88,30.21,29.84,30.03,2745067,30.03
2013-04-08,30.15,30.2,29.92,30.15,4563834,30.15
2013-04-09,30.12,30.24,29.93,30.13,2059959,30.13
2013-04-10,30.17,30.35,30.15,30.22,3053996,30.22
2013-04-11,30.53,30.64,30.33,30.35,2733529,30.35
2013-04-12,30.54,30.575,30.28,30.55,2615223,30.55
2013-04-15,30.75,30.75,30.15,30.19,3248095,30.19
2013-04-16,30.22,30.72,30.21,30.63,2156281,30.63
2013-04-17,30.4,30.52,29.76,29.84,4176234,29.84
2013-04-18,29.79,30.15,29.73,30.1,3089592,30.1
2013-04-19,30.14,31.795,30.05,31.68,7051645,31.68
2013-04-22,31.4,31.64,31.26,31.53,3297416,31.53
2013-04-23,31.56,32.01,31.5,31.86,4064438,31.86
2013-04-24,32.03,32.09,31.42,31.46,2637196,31.46
2013-04-25,31.66,31.83,31.49,31.68,2563949,31.68
2013-04-26,31.78,31.78,31.44,31.555,2776043,31.555
2013-04-29,31.52,31.66,31.36,31.62,1882032,31.62
2013-04-30,31.51,31.69,31.3,31.45,3219126,31.45
2013-05-01,31.3,31.69,31.3,31.46,3397226,31.46
2013-05-02,31.46,31.74,31.32,31.42,1780280,31.42
2013-05-03,31.68,31.82,31.51,31.73,2242238,31.73
2013-05-06,31.64,31.8,31.115,31.15,2105914,31.15
2013-05-07,31.11,31.43,31.04,31.41,1975725,31.41
2013-05-08,31.37,31.5,30.635,30.92,5366992,30.92
