DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,38.95,39.23,38.52,38.69,2092414,38.69
2012-01-04,38.42,38.54,38.13,38.31,1006833,38.31
2012-01-05,38.2,38.58,38.15,38.49,1080923,38.49
2012-01-06,38.57,39.2,38.41,39.03,2144310,39.03
2012-01-09,38.97,39.32,38.73,39.3,1646662,39.3
2012-01-10,39.74,39.92,38.89,39.1,2043321,39.1
2012-01-11,39.09,39.22,38.76,39.19,1002396,39.19
2012-01-12,39.24,39.24,38.33,38.85,1380708,38.85
2012-01-13,38.54,38.77,38.27,38.65,1467217,38.65
2012-01-17,39.49,39.49,38.96,39.03,1303522,39.03
2012-01-18,38.93,39.18,38.61,39.12,1450956,39.12
2012-01-19,39.12,39.59,38.94,39.14,1309000,39.14
2012-01-20,39.29,39.98,39.29,39.94,2095121,39.94
2012-01-23,39.58,39.82,39.32,39.54,1131561,39.54
2012-01-24,39.36,39.74,39.29,39.33,1593085,39.33
2012-01-25,39.22,40.1,39.01,39.96,1769216,39.96
2012-01-26,40.06,40.16,39.26,39.43,1625627,39.43
2012-01-27,39.43,39.58,39.02,39.28,1552881,39.28
2012-01-30,39.05,39.13,38.55,38.85,1799488,38.85
2012-01-31,39.13,39.34,38.56,38.57,3398597,38.57
2012-02-01,38.94,39.73,38.9,39.62,1725690,39.62
2012-02-02,39.62,39.93,39.35,39.8,1115144,39.8
2012-02-03,39.96,40.25,39.76,40.2,1401981,40.2
2012-02-06,40,40.6,40,40.56,1656585,40.56
2012-02-07,40.27,40.78,39.89,40.65,1545443,40.65
2012-02-08,40.53,40.59,40.2,40.49,991858,40.49
2012-02-09,40.61,40.61,39.79,39.93,1406971,39.93
2012-02-10,39.69,39.77,39.34,39.73,1589512,39.73
2012-02-13,39.81,40.52,39.8,40.48,1171556,40.48
2012-02-14,40.25,40.25,39.31,39.53,2005595,39.53
2012-02-15,39.73,39.74,39.09,39.29,1427820,39.29
2012-02-16,39.24,39.7,39.16,39.58,1174639,39.58
2012-02-17,39.66,40,39.47,39.94,2229078,39.94
2012-02-21,39.04,39.4,38.58,38.99,1806941,38.99
2012-02-22,37.93,38.66,37.81,38.21,1960688,38.21
2012-02-23,38.2,38.2,37.76,37.88,1414651,37.88
2012-02-24,38.1,38.2,37.78,38.12,1195314,38.12
2012-02-27,37.9,38.41,37.6,38.35,1526371,38.35
2012-02-28,38.55,38.8,38.46,38.6,1188357,38.6
2012-02-29,38.49,38.55,38.01,38.12,2967948,38.12
2012-03-01,38.17,38.19,37.68,38,1868925,38
2012-03-02,38,38.19,37.84,37.91,1143302,37.91
2012-03-05,37.8,38.08,37.58,37.76,1002703,37.76
2012-03-06,37.49,37.67,37.35,37.51,1880930,37.51
2012-03-07,37.59,37.84,37.36,37.52,1507413,37.52
2012-03-08,37.75,38.29,37.59,38.13,1554281,38.13
2012-03-09,37.75,37.95,37.53,37.67,1981267,37.67
2012-03-12,37.72,37.91,37.52,37.6,1553910,37.6
2012-03-13,37.84,38.76,37.84,38.66,2634919,38.66
2012-03-14,38.65,38.89,38.52,38.62,1660239,38.62
2012-03-15,38.65,39.43,38.58,39.37,2144014,39.37
2012-03-16,39.47,39.75,39.18,39.68,4383720,39.68
2012-03-19,39.41,39.67,39.24,39.48,1001213,39.48
2012-03-20,39.21,39.71,39.17,39.52,1147110,39.52
2012-03-21,39.46,39.55,38.94,38.94,1638221,38.94
2012-03-22,38.64,38.93,38.36,38.86,993633,38.86
2012-03-23,39.01,39.07,38.7,38.7,1389645,38.7
2012-03-26,39.11,40,39.04,40,1620253,40
2012-03-27,40.02,40.37,39.55,39.57,1506151,39.57
2012-03-28,39.55,39.67,39.18,39.44,1008412,39.44
2012-03-29,39.11,39.43,39.06,39.21,1076039,39.21
2012-03-30,39.24,39.37,38.94,39.19,2467261,39.19
2012-04-02,39.16,39.8,39.11,39.54,1458812,39.54
2012-04-03,39.21,39.6,38.81,39.1,1086150,39.1
2012-04-04,38.86,39,38.24,38.26,1718614,38.26
2012-04-05,38.1,38.25,38,38.2,1236739,38.2
