DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,32.13,32.51,31.99,32.04,1996401,32.04
2012-01-04,31.81,32.38,31.35,32.21,1668727,32.21
2012-01-05,31.99,33.31,31.64,32.99,2236003,32.99
2012-01-06,33.07,33.49,32.67,32.9,1963971,32.9
2012-01-09,33.42,33.45,32.84,33.26,1937001,33.26
2012-01-10,33.93,34.83,33.78,34.55,2501055,34.55
2012-01-11,34.43,35.83,34.19,35.79,2314004,35.79
2012-01-12,36,36.4,35.45,35.93,2385312,35.93
2012-01-13,35.04,35.31,33.89,35.24,2255275,35.24
2012-01-17,35.75,35.95,34.51,34.65,2073126,34.65
2012-01-18,34.6,35.67,34.4,35.61,1551369,35.61
2012-01-19,36.39,36.45,35.66,35.82,1958221,35.82
2012-01-20,35.67,36.48,35.48,36.35,2308719,36.35
2012-01-23,36.3,37.31,36.27,36.76,2020282,36.76
2012-01-24,36.21,37.02,35.84,36.91,1713801,36.91
2012-01-25,36.64,36.93,35.11,35.95,2994759,35.95
2012-01-26,36,36.05,33.84,34.5,4482696,34.5
2012-01-27,34.3,35.7,34.3,35.52,2919399,35.52
2012-01-30,35.12,35.97,34.89,35.71,2534576,35.71
2012-01-31,36.01,36.31,35.24,35.33,2464560,35.33
2012-02-01,35.73,36.5,35.42,36.12,2123482,36.12
2012-02-02,36.24,36.44,36.02,36.38,1079379,36.38
2012-02-03,37.01,37.96,37.01,37.63,1980524,37.63
2012-02-06,37.42,37.72,37.26,37.68,1514129,37.68
2012-02-07,37.39,37.89,37.16,37.7,955136,37.7
2012-02-08,37.72,38.21,37.41,37.69,1468510,37.69
2012-02-09,37.87,37.98,36.91,37.25,1517170,37.25
2012-02-10,36.77,36.93,36.35,36.89,1196748,36.89
2012-02-13,37.38,37.84,37.12,37.68,1624503,37.68
2012-02-14,37.28,37.39,36.67,37.32,3379881,37.32
2012-02-15,37.88,38.48,37.7,37.89,2709046,37.89
2012-02-16,37.67,38.67,37.33,38.67,1589619,38.67
2012-02-17,38.63,38.93,38.5,38.86,2279524,38.86
2012-02-21,38.82,39.21,38.6,38.73,1523633,38.73
2012-02-22,38.52,38.81,37.78,37.9,1487925,37.9
2012-02-23,38.1,38.3,37.74,38.21,1596341,38.21
2012-02-24,38.28,38.28,37.68,37.76,900734,37.76
2012-02-27,37.42,38.26,37.12,38.07,1392433,38.07
2012-02-28,38.2,38.51,37.96,38.29,1449980,38.29
2012-02-29,38.29,38.97,38.29,38.55,2320146,38.55
2012-03-01,38.62,39.2,38.62,38.97,1611857,38.97
2012-03-02,38.96,39.03,38.41,38.46,1057073,38.46
2012-03-05,38.47,39.14,38.1,38.67,1115796,38.67
2012-03-06,37.94,37.95,37.26,37.41,1689172,37.41
2012-03-07,37.6,38.06,37.53,37.89,948701,37.89
2012-03-08,38.23,38.52,37.76,38.09,1184825,38.09
2012-03-09,38.15,38.71,38.08,38.42,925413,38.42
2012-03-12,38.34,38.39,37.43,37.68,2011393,37.68
2012-03-13,38.06,39.54,38.03,39.46,2599012,39.46
2012-03-14,38.31,38.5,37,37.16,5009809,37.16
2012-03-15,37.44,38.44,37.39,38.41,2454553,38.41
2012-03-16,38.63,39.17,38.24,38.38,3506614,38.38
2012-03-19,38.48,39.34,38.45,38.79,1685196,38.79
2012-03-20,38.32,38.93,37.95,38.75,1858179,38.75
2012-03-21,38.84,39.23,38.61,38.63,1726752,38.63
2012-03-22,38.02,38.18,36.89,37.14,1821430,37.14
2012-03-23,37.24,37.71,37.03,37.64,1636074,37.64
2012-03-26,38.11,38.64,37.97,38.31,1661837,38.31
2012-03-27,38.48,38.49,37.76,37.76,4011138,37.76
2012-03-28,37.67,37.88,37.35,37.67,2274454,37.67
2012-03-29,37.32,37.35,36.53,37.14,1810270,37.14
2012-03-30,37.47,37.56,37.01,37.35,2661299,37.35
2012-04-02,37.45,38.29,37.32,38,1507473,38
2012-04-03,37.85,38.09,37.09,37.68,1609214,37.68
2012-04-04,37,37.17,36.82,36.82,1285570,36.82
2012-04-05,36.63,36.85,36.28,36.46,1493310,36.46
2012-04-09,35.68,35.87,35.36,35.74,1244494,35.74
2012-04-10,35.74,35.77,34.78,34.86,1831279,34.86
2012-04-11,35.46,35.62,35.2,35.33,1663591,35.33
2012-04-12,35.46,36.44,35.43,36.34,1185770,36.34
2012-04-13,36.18,36.38,35.47,35.64,1666687,35.64
2012-04-16,35.78,35.99,35.12,35.49,1139628,35.49
2012-04-17,35.68,36.39,35.67,36.29,1217439,36.29
2012-04-18,35.94,36.25,35.69,35.8,2616729,35.8
2012-04-19,35.87,35.97,35,35.38,1704750,35.38
2012-04-20,35.64,35.88,34.86,34.96,2629044,34.96
2012-04-23,34.33,35.5,34.32,35.39,2436750,35.39
2012-04-24,35.59,36.1,35.34,35.58,1300347,35.58
2012-04-25,35.88,36.24,35.5,35.97,1107364,35.97
2012-04-26,35.97,36.47,35.8,36.47,2053328,36.47
2012-04-27,36.46,36.47,35.52,36.31,2787016,36.31
2012-04-30,36.18,36.18,35.79,36.03,1186003,36.03
2012-05-01,35.89,36.46,35.78,36.08,1305264,36.08
2012-05-02,35.84,35.9,35.16,35.82,1410222,35.82
2012-05-03,35.8,35.87,34.87,35.16,2294861,35.16
2012-05-04,35.01,35.1,33.81,34.24,2065423,34.24
2012-05-07,34.61,34.94,34.1,34.55,1425500,34.55
2012-05-08,34.21,34.83,34,34.44,1686117,34.44
2012-05-09,33.89,34.15,33.4,33.92,1587460,33.92
2012-05-10,34.49,35.04,34.38,34.61,1680277,34.61
2012-05-11,34.04,34.92,33.83,34.69,1934533,34.69
2012-05-14,34.13,34.58,34.03,34.08,1385995,34.08
2012-05-15,33.99,34.07,33.06,33.21,3513990,33.21
2012-05-16,33.45,33.45,31.6,31.63,2598049,31.63
2012-05-17,31.68,31.73,30.74,30.85,2656841,30.85
2012-05-18,30.94,31.25,29.89,30.21,4694499,30.21
2012-05-21,30.4,31.12,30.13,30.91,2204952,30.91
2012-05-22,31.04,31.7,30.81,31.07,1883777,31.07
2012-05-23,30.69,31.06,29.88,30.96,3418059,30.96
2012-05-24,31.13,31.23,29.93,30.65,2706037,30.65
2012-05-25,30.59,30.76,30.24,30.33,1612639,30.33
2012-05-29,30.78,31.05,30.39,30.67,1889312,30.67
2012-05-30,30.3,30.33,29.53,29.61,2358298,29.61
2012-05-31,29.5,29.66,28.9,29.21,11029614,29.21
2012-06-01,28.62,28.62,27.83,27.83,2675001,27.83
2012-06-04,27.99,28.34,27.7,27.82,2043902,27.82
