DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,50.99,51.06,50.32,50.32,151841,50.32
2012-01-04,50.18,50.53,49.97,50.32,128665,50.32
2012-01-05,50.1,50.55,50.04,50.38,162150,50.38
2012-01-06,50.33,50.45,50.19,50.38,136936,50.38
2012-01-09,50.5,50.81,50.4,50.65,96287,50.65
2012-01-10,50.91,51.19,50.85,51.19,104586,51.19
2012-01-11,51.01,51.24,50.77,51.11,103274,51.11
2012-01-12,51.28,51.38,51.04,51.24,97158,51.24
2012-01-13,51.14,51.36,51.03,51.21,149890,51.21
2012-01-17,51.48,51.85,51.36,51.4,136836,51.4
2012-01-18,51.41,51.98,51.15,51.93,142334,51.93
2012-01-19,52,52.21,51.49,52.07,154803,52.07
2012-01-20,52,52,51,51.51,255812,51.51
2012-01-23,51.55,51.69,51.01,51.31,104226,51.31
2012-01-24,51.12,51.46,51.03,51.08,161410,51.08
2012-01-25,51.08,51.92,50.91,51.86,111625,51.86
2012-01-26,50.74,51.58,50.71,51.07,242696,51.07
2012-01-27,50.98,50.98,50.09,50.41,198196,50.41
2012-01-30,50.14,50.75,50,50.62,151927,50.62
2012-01-31,50.87,50.87,50.28,50.54,188608,50.54
2012-02-01,50.69,51.33,50.57,51.08,195198,51.08
2012-02-02,51,51.64,50.98,51.35,226066,51.35
2012-02-03,51.51,51.69,51.12,51.24,182027,51.24
2012-02-06,50.97,51.37,50.93,51.15,104496,51.15
2012-02-07,50.81,51,50.49,50.49,193905,50.49
2012-02-08,50.53,50.78,50.46,50.6,96143,50.6
2012-02-09,50.69,50.78,50.29,50.62,180617,50.62
2012-02-10,50.32,50.52,50.21,50.45,135433,50.45
2012-02-13,50.72,50.81,50.29,50.37,173227,50.37
2012-02-14,50.39,50.56,50.26,50.32,191984,50.32
2012-02-15,50.61,50.67,50.16,50.21,171260,50.21
2012-02-16,50.32,50.59,49.88,50.47,152141,50.47
2012-02-17,50.72,50.88,50.41,50.78,296526,50.78
2012-02-21,50.83,50.83,50.08,50.22,179310,50.22
2012-02-22,50.2,50.32,49.95,50.01,123526,50.01
2012-02-23,49.96,50.23,49.9,50.13,202130,50.13
2012-02-24,50.18,50.37,50.07,50.28,167376,50.28
2012-02-27,50.01,50.58,49.94,50.54,262496,50.54
2012-02-28,50.73,50.92,50.31,50.34,178367,50.34
2012-02-29,50.36,50.86,50.2,50.45,353117,50.45
2012-03-01,50.46,50.69,50.26,50.43,257700,50.43
2012-03-02,50.5,50.99,50.48,50.8,161712,50.8
2012-03-05,50.75,51,50.74,50.82,133884,50.82
2012-03-06,50.64,50.9,50.4,50.43,171994,50.43
2012-03-07,50.48,50.79,50.18,50.69,199628,50.69
2012-03-08,51,51,50.63,50.78,141109,50.78
2012-03-09,50.88,51.15,50.58,50.98,182514,50.98
2012-03-12,51,51.45,50.89,51.36,95893,51.36
2012-03-13,51.35,51.82,51.35,51.78,140990,51.78
2012-03-14,51.68,51.8,51.34,51.4,142993,51.4
2012-03-15,51.4,51.69,51.36,51.68,127723,51.68
2012-03-16,51.75,52.26,51.73,51.73,449429,51.73
2012-03-19,51.6,52,51.6,51.95,163019,51.95
2012-03-20,51.69,51.95,51.6,51.73,158205,51.73
2012-03-21,51.8,51.95,51.69,51.93,141941,51.93
2012-03-22,51.58,52.16,51.53,52.07,139546,52.07
2012-03-23,52.02,52.24,51.97,52.15,211525,52.15
2012-03-26,52.34,53.06,52.34,53.02,258172,53.02
2012-03-27,53.4,54.55,53.3,54.22,299583,54.22
2012-03-28,54.2,54.48,53.96,54.24,270427,54.24
2012-03-29,54.23,54.36,53.94,54.1,500512,54.1
2012-03-30,54.38,54.61,54.21,54.43,220099,54.43
2012-04-02,54.5,55.23,54.39,55.06,286516,55.06
