DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,32.05,32.26,31.77,31.82,918064,31.82
2012-01-04,31.75,31.85,31.35,31.46,1025680,31.46
2012-01-05,31.22,31.32,30.99,31.15,869393,31.15
2012-01-06,31.21,31.29,30.71,30.72,1061866,30.72
2012-01-09,30.69,31.08,30.69,30.76,795363,30.76
2012-01-10,31,31.06,30.79,31.03,887573,31.03
2012-01-11,30.87,31.31,30.75,31.19,715724,31.19
2012-01-12,31.27,31.48,31.12,31.37,742165,31.37
2012-01-13,31.08,31.41,30.93,31.37,962279,31.37
2012-01-17,31.54,31.86,31.27,31.33,707629,31.33
2012-01-18,31.26,31.49,31.26,31.49,568112,31.49
2012-01-19,31.51,31.62,31.17,31.49,874313,31.49
2012-01-20,31.53,31.64,31.34,31.63,961181,31.63
2012-01-23,31.52,31.61,31.27,31.4,398472,31.4
2012-01-24,31.18,31.42,31.07,31.15,665485,31.15
2012-01-25,31.1,31.54,31.07,31.51,709609,31.51
2012-01-26,31.3,31.8,31.3,31.77,717058,31.77
2012-01-27,31.54,31.94,31.49,31.77,1023127,31.77
2012-01-30,31.49,31.67,31.28,31.6,644148,31.6
2012-01-31,31.8,31.94,31.43,31.59,915728,31.59
2012-02-01,31.96,32.49,31.75,32.1,1060291,32.1
2012-02-02,32.19,32.19,31.84,31.92,606555,31.92
2012-02-03,32.25,32.54,32.04,32.53,1176283,32.53
2012-02-06,32.34,32.34,32.02,32.24,1115823,32.24
2012-02-07,32.05,32.72,32.05,32.62,1119884,32.62
2012-02-08,32.57,32.66,32.33,32.43,961749,32.43
2012-02-09,32.43,32.65,32.32,32.45,803361,32.45
2012-02-10,32.19,32.32,31.97,32.03,872678,32.03
2012-02-13,32.28,32.47,32.22,32.25,859899,32.25
2012-02-14,32.02,32.2,31.5,31.89,826566,31.89
2012-02-15,31.95,31.96,31.17,31.23,901536,31.23
2012-02-16,31.36,31.73,31.34,31.5,914136,31.5
2012-02-17,31.71,32.24,31.61,32.22,1383939,32.22
2012-02-21,31.99,32.33,31.99,32.28,1328200,32.28
2012-02-22,32.1,32.27,31.69,31.76,730387,31.76
2012-02-23,31.7,32.13,31.64,32,582298,32
2012-02-24,32,32,31.73,31.77,466222,31.77
2012-02-27,31.5,31.78,31.46,31.55,581220,31.55
2012-02-28,31.53,31.64,31.3,31.4,579177,31.4
2012-02-29,31.48,31.76,31.19,31.2,1035499,31.2
2012-03-01,31.24,32.05,31.24,32.02,1062664,32.02
2012-03-02,31.99,31.99,31.63,31.7,486574,31.7
2012-03-05,31.57,31.95,31.46,31.89,625597,31.89
2012-03-06,31.48,31.55,31.27,31.47,1009344,31.47
2012-03-07,31.5,31.81,31.45,31.81,723383,31.81
2012-03-08,31.95,32.26,31.85,32.25,1263770,32.25
2012-03-09,32.19,32.33,32.11,32.25,646417,32.25
2012-03-12,32.18,32.33,32.04,32.11,653298,32.11
2012-03-13,32.34,32.72,32.11,32.72,832807,32.72
2012-03-14,32.72,33.06,32.56,32.96,950257,32.96
2012-03-15,32.95,33.31,32.74,33.31,899302,33.31
2012-03-16,33.23,33.25,32.95,32.96,2032902,32.96
2012-03-19,32.8,32.99,32.69,32.73,516668,32.73
2012-03-20,32.62,32.83,32.57,32.64,441140,32.64
2012-03-21,32.85,33.05,32.78,32.86,784537,32.86
2012-03-22,32.54,32.73,32.34,32.36,564944,32.36
2012-03-23,32.44,32.6,32.32,32.5,497366,32.5
2012-03-26,32.81,33.04,32.63,33.04,928986,33.04
2012-03-27,33.05,33.07,32.88,32.92,456863,32.92
2012-03-28,32.89,33.14,32.74,33.14,619216,33.14
2012-03-29,32.87,32.92,32.58,32.77,651497,32.77
2012-03-30,32.87,32.95,32.59,32.79,849793,32.79
2012-04-02,32.73,32.96,32.57,32.85,662926,32.85
2012-04-03,32.87,32.87,32.29,32.66,776582,32.66
2012-04-04,32.51,32.67,32.46,32.52,588810,32.52
2012-04-05,32.18,32.33,32.09,32.31,442844,32.31
2012-04-09,31.92,31.98,31.72,31.85,513555,31.85
2012-04-10,31.8,31.87,31.41,31.41,751172,31.41
2012-04-11,31.7,31.91,31.48,31.85,535911,31.85
2012-04-12,31.87,32.05,31.76,32.02,620708,32.02
