DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2013-06-17,43.2,50,43.2,45,73705,45
2013-06-18,44.62,44.64,43.5,44,96265,44
2013-06-19,44,44.05,43,43.1,144049,43.1
2013-06-20,43.1,43.5,42.01,42.94,71771,42.94
2013-06-21,43.29,43.5,42.04,43.5,71604,43.5
2013-06-24,44,44,42.96,43.5,59757,43.5
2013-06-25,43.5,44.24,43,44,71387,44
2013-06-26,43.5,45.47,43.31,44.1,216275,44.1
2013-06-27,44.85,45.5,44.22,44.95,116652,44.95
2013-06-28,45.49,46.65,44.1,45.43,4450221,45.43
2013-07-01,45.43,45.72,43.76,44,1464670,44
2013-07-02,43.66,45.26,41.86,42.26,961253,42.26
2013-07-03,41.2,43.1,41.2,43.1,667445,43.1
2013-07-05,42.26,44.32,42.26,44.23,282070,44.23
2013-07-08,41.5,44.27,41.5,43.01,747495,43.01
2013-07-09,42.16,43.5,42.1,43.27,786438,43.27
2013-07-10,42.49,42.81,41.18,42.12,1248967,42.12
2013-07-11,42.11,42.57,42.04,42.4,471640,42.4
2013-07-12,41.9,42.44,41.72,41.96,300538,41.96
2013-07-15,41.82,42.01,41.32,41.87,200299,41.87
2013-07-16,41.87,41.87,41.06,41.51,255855,41.51
2013-07-17,41.5,42.05,41.35,41.93,171390,41.93
2013-07-18,41.93,43.48,41.53,43.09,310430,43.09
2013-07-19,43.39,44.28,42.85,43.48,202743,43.48
2013-07-22,43.2,43.74,43.02,43.51,121136,43.51
2013-07-23,43.3,44.48,43.3,44,108019,44
2013-07-24,43.97,44.4,43.52,43.98,64801,43.98
2013-07-25,43.67,44.63,43.67,44.38,95398,44.38
2013-07-26,44.16,45.54,43.8,45.05,120281,45.05
2013-07-29,45.35,46.65,45.03,46.2,179422,46.2
2013-07-30,46.07,47.21,45.76,47.16,120702,47.16
2013-07-31,47.25,47.64,45.63,45.89,323479,45.89
2013-08-01,46.26,48.25,46.08,46.22,232758,46.22
2013-08-02,46.47,46.56,44.92,45.83,85769,45.83
2013-08-05,45.51,46,45.01,45.14,81290,45.14
2013-08-06,45.1,45.19,43.86,44.36,144946,44.36
2013-08-07,44.04,44.86,44.02,44.78,52225,44.78
2013-08-08,44.85,46.05,44.85,45.92,115153,45.92
2013-08-09,45,45.77,44.55,45.36,190258,45.36
2013-08-12,44.55,45.57,44.32,45.32,112375,45.32
2013-08-13,45.13,45.21,44.21,44.66,108646,44.66
2013-08-14,44.51,44.6,44,44.11,98787,44.11
2013-08-15,43.85,44.51,42.8,42.89,100715,42.89
2013-08-16,42.75,42.79,42.16,42.69,128832,42.69
2013-08-19,42.58,43.54,42.56,42.82,37777,42.82
2013-08-20,43.07,43.25,42.75,43,73241,43
2013-08-21,42.74,43.25,42.02,42.5,93798,42.5
2013-08-22,42.35,42.57,42.02,42.5,76844,42.5
2013-08-23,42.43,42.96,42.19,42.33,48791,42.33
2013-08-26,42.26,43.15,42.21,42.66,55273,42.66
2013-08-27,42.13,42.74,42.07,42.64,62672,42.64
2013-08-28,43.11,44.69,42.43,43.98,138261,43.98
2013-08-29,44,44.23,43.48,44.07,57345,44.07
2013-08-30,44,44.17,43.32,43.65,138220,43.65
2013-09-03,43.75,44.85,43.11,44.62,191895,44.62
2013-09-04,44.38,45.69,44.27,45.02,88527,45.02
2013-09-05,44.9,46.51,44.8,46.1,101183,46.1
2013-09-06,45.97,48.05,45.67,46.84,210171,46.84
2013-09-09,46.76,47,44.76,46.58,84819,46.58
2013-09-10,45.83,46.61,45.37,45.4,119552,45.4
2013-09-11,45.09,45.19,44.43,44.9,72509,44.9
2013-09-12,44.74,44.92,44.06,44.46,106288,44.46
2013-09-13,44.36,44.44,43.5,43.6,110855,43.6
2013-09-16,43.79,43.99,43.04,43.26,143504,43.26
2013-09-17,43.2,43.68,43.02,43.34,77940,43.34
2013-09-18,43.22,43.59,42.6,43.1,60013,43.1
2013-09-19,43.28,43.31,42.52,42.68,134895,42.68
2013-09-20,43,43.67,42.65,43.05,788707,43.05
2013-09-23,43.05,43.43,42.38,42.58,56213,42.58
2013-09-24,42.55,42.95,42.25,42.31,74083,42.31
2013-09-25,42.41,43.68,42.08,43.6,102386,43.6
2013-09-26,43.55,44.67,43.55,44.17,66582,44.17
2013-09-27,43.94,44.23,43.04,43.57,185340,43.57
2013-09-30,43.28,44.11,43.09,44.09,132684,44.09
2013-10-01,44.35,44.82,43.72,43.89,178422,43.89
2013-10-02,44,45.22,43.93,44.92,228433,44.92
2013-10-03,44.91,45.2,44.04,44.29,675427,44.29
2013-10-04,44.43,44.71,44.14,44.5,52111,44.5
2013-10-07,44.33,44.77,43.82,43.97,61991,43.97
2013-10-08,43.98,43.98,43.22,43.44,89381,43.44
2013-10-09,43.01,43.71,42.74,43.52,89727,43.52
2013-10-10,43.75,44,43.36,43.52,75483,43.52
2013-10-11,43.38,43.82,43.17,43.73,40394,43.73
2013-10-14,43.71,44.31,43.71,44.28,68163,44.28
2013-10-15,44.11,45.05,43.97,44.95,280289,44.95
2013-10-16,45.1,45.95,44.02,44.31,252581,44.31
2013-10-17,44.36,44.48,42.65,43.07,308425,43.07
2013-10-18,43.13,43.6,42.33,42.45,58774,42.45
2013-10-21,42.41,42.44,41.8,42.36,59780,42.36
2013-10-22,42.38,43.02,42.38,42.6,108868,42.6
2013-10-23,42.59,43.77,42.57,43.46,161242,43.46
