DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,28.74,28.99,28.51,28.56,5082565,28.56
2012-01-04,28.43,28.53,28.25,28.4,2793959,28.4
2012-01-05,28.4,28.91,28.35,28.83,3894574,28.83
2012-01-06,28.77,28.82,28.62,28.72,2662225,28.72
2012-01-09,28.56,28.66,28.42,28.5,2344784,28.5
2012-01-10,28.94,29,28.78,28.91,2141570,28.91
2012-01-11,28.93,28.99,28.71,28.84,3383820,28.84
2012-01-12,28.96,28.97,28.71,28.84,1584775,28.84
2012-01-13,28.8,29,28.7,28.96,2530434,28.96
2012-01-17,29.11,29.18,28.86,28.89,2327781,28.89
2012-01-18,28.94,28.97,28.81,28.96,2514772,28.96
2012-01-19,28.9,28.95,28.54,28.61,2756006,28.61
2012-01-20,28.7,28.78,28.45,28.7,3720811,28.7
2012-01-23,28.71,28.8,28.51,28.61,1723612,28.61
2012-01-24,28.5,28.6,28.17,28.28,2708788,28.28
2012-01-25,28.24,28.72,28.23,28.67,2357404,28.67
2012-01-26,28.73,28.89,28.37,28.66,2368800,28.66
2012-01-27,28.86,28.88,28.09,28.14,3154732,28.14
2012-01-30,28,28.5,28,28.39,2750112,28.39
2012-01-31,28.41,28.51,28.19,28.4,5123212,28.4
2012-02-01,28.51,28.73,28.41,28.43,3445146,28.43
2012-02-02,28.54,28.61,28.34,28.54,2423314,28.54
2012-02-03,28.7,28.9,28.57,28.84,3304267,28.84
2012-02-06,28.82,28.85,28.53,28.64,2316310,28.64
2012-02-07,28.52,28.97,28.52,28.82,2293378,28.82
2012-02-08,28.85,28.89,28.71,28.84,2715801,28.84
2012-02-09,28.83,29.44,28.81,29.3,3789326,29.3
2012-02-10,29.08,29.24,29.01,29.21,2719572,29.21
2012-02-13,29.33,29.37,29.1,29.23,2456023,29.23
2012-02-14,29.21,29.3,29.07,29.27,2002355,29.27
2012-02-15,29.3,29.31,29.12,29.25,2819329,29.25
2012-02-16,29.28,29.59,29.23,29.54,2298789,29.54
2012-02-17,29.72,29.73,29.43,29.65,4051651,29.65
2012-02-21,29.69,29.75,29.58,29.62,2123017,29.62
2012-02-22,29.68,29.73,29.56,29.65,1681936,29.65
2012-02-23,29.64,29.75,29.5,29.7,2094662,29.7
2012-02-24,29.7,29.99,29.67,29.99,1768634,29.99
2012-02-27,29.91,30.19,29.81,30.03,5427871,30.03
2012-02-28,30.03,30.03,29.83,30.02,2276167,30.02
2012-02-29,30.03,30.28,30.02,30.1,4651598,30.1
2012-03-01,30.14,30.17,29.91,30.02,2735507,30.02
2012-03-02,30.01,30.02,29.85,29.96,1513302,29.96
2012-03-05,29.94,30.35,29.94,30.26,2052755,30.26
2012-03-06,30.11,30.36,29.97,30.08,2817924,30.08
2012-03-07,30.05,30.17,29.79,30.1,2492283,30.1
2012-03-08,30.28,30.58,30.25,30.46,3163839,30.46
2012-03-09,30.5,30.58,30.34,30.46,1604805,30.46
2012-03-12,30.54,30.71,30.4,30.44,2786281,30.44
2012-03-13,30.07,30.1,29.78,30.1,2824841,30.1
