DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,33.95,34.05,33.36,33.41,549784,33.41
2012-01-04,33.3,33.89,33.21,33.76,601598,33.76
2012-01-05,32.94,33.11,31,31.92,1185904,31.92
2012-01-06,31.97,32.02,31.13,31.66,885407,31.66
2012-01-09,31.63,31.7,30.24,30.96,874805,30.96
2012-01-10,31.42,31.88,30.97,31.83,679372,31.83
2012-01-11,31.52,33.08,31.08,32.89,1191964,32.89
2012-01-12,32.95,33.32,32.5,32.64,494325,32.64
2012-01-13,32.5,33.25,32.35,33.03,793385,33.03
2012-01-17,33.43,33.94,32.96,33.54,512397,33.54
2012-01-18,34,35.67,33.21,35.46,893447,35.46
2012-01-19,35.67,36.07,35.08,35.85,554488,35.85
2012-01-20,37.18,37.78,36.76,37.17,1308970,37.17
2012-01-23,37.17,38,37.01,37.87,609815,37.87
2012-01-24,37.48,39.04,37.12,39.04,883166,39.04
2012-01-25,38.76,38.85,37.94,38.76,940328,38.76
2012-01-26,38.95,38.99,37.35,37.51,718899,37.51
2012-01-27,37.29,38.05,37.21,37.53,805064,37.53
2012-01-30,37,37.64,36.91,37.48,531021,37.48
2012-01-31,38.62,38.7,37.28,38.22,1295153,38.22
2012-02-01,42.11,43.48,40.69,41.88,2282273,41.88
2012-02-02,41.35,42.97,41.01,42.56,865156,42.56
2012-02-03,43.4,44.27,43.22,43.98,1166403,43.98
2012-02-06,44.39,45.04,43.76,44.42,1410197,44.42
2012-02-07,44.3,44.99,43.21,43.92,1159682,43.92
2012-02-08,44.13,45.41,44.11,44.95,1189137,44.95
2012-02-09,44.76,45.24,43.83,44.84,848831,44.84
2012-02-10,44.37,44.75,43.79,44.08,789993,44.08
2012-02-13,44.21,44.6,43.16,43.48,1020993,43.48
2012-02-14,43.1,44.66,43.07,44.02,874834,44.02
2012-02-15,44.57,45,43.45,43.7,890302,43.7
2012-02-16,43.56,44.49,43.56,44.09,821517,44.09
2012-02-17,44.3,44.5,43.29,43.44,1007830,43.44
2012-02-21,43.44,44.04,43.29,43.81,619862,43.81
2012-02-22,43.97,44.4,43.48,43.52,716861,43.52
2012-02-23,43.4,44.34,43.3,43.69,658130,43.69
2012-02-24,43.87,43.99,42.79,42.86,653214,42.86
2012-02-27,42.62,43.13,42.18,42.61,863848,42.61
2012-02-28,42.54,42.59,41.31,41.67,1778803,41.67
2012-02-29,41.7,42.43,41.47,41.55,1150513,41.55
2012-03-01,41.75,42.82,41.7,42.72,999622,42.72
2012-03-02,42.53,43.11,41.98,42.18,627426,42.18
2012-03-05,42.27,42.88,41.7,42.75,583478,42.75
2012-03-06,42.16,42.7,41.79,41.99,877266,41.99
2012-03-07,42.02,43.25,42.02,42.55,949229,42.55
2012-03-08,43.2,43.83,42.55,43.64,924571,43.64
2012-03-09,43.7,44,43.15,43.9,767236,43.9
2012-03-12,43.75,43.88,43.05,43.78,510663,43.78
2012-03-13,44,44.32,43.63,44.04,959357,44.04
2012-03-14,44.11,44.37,43.69,43.91,627404,43.91
2012-03-15,44.07,44.42,43.5,43.9,529685,43.9
2012-03-16,44.11,44.39,43.61,44.19,1726828,44.19
2012-03-19,44.11,44.94,44.11,44.55,418900,44.55
2012-03-20,44.33,44.33,43.68,43.79,634986,43.79
2012-03-21,43.72,44.01,43.25,43.68,788235,43.68
2012-03-22,43.08,43.7,42.92,43.37,646795,43.37
2012-03-23,43.26,44.35,43.2,44,671403,44
2012-03-26,44.89,45.35,44.45,45.21,789400,45.21
2012-03-27,45.3,45.3,43.98,44,604037,44
2012-03-28,43.71,43.91,43.15,43.56,826517,43.56
2012-03-29,43.16,43.48,42.91,43.24,613660,43.24
2012-03-30,43.53,43.99,43.27,43.36,1345579,43.36
2012-04-02,43.39,43.68,43.04,43.44,703122,43.44
2012-04-03,43.47,43.52,42.03,42.4,1287722,42.4
2012-04-04,42.11,42.66,41.76,42.59,892986,42.59
2012-04-05,42.27,42.93,41.79,42.13,508862,42.13
2012-04-09,41.67,42.78,41.67,42.46,877212,42.46
2012-04-10,42.32,42.63,41.78,41.83,1024798,41.83
2012-04-11,42.29,42.31,41.34,41.51,963384,41.51
2012-04-12,41.47,42.6,41.22,41.76,1132915,41.76
2012-04-13,41.67,42.13,41.47,41.62,642077,41.62
2012-04-16,40.43,41.12,39.97,40.01,2062954,40.01
2012-04-17,40.23,40.85,39.99,39.99,1003906,39.99
2012-04-18,39.8,39.98,39.43,39.86,890950,39.86
2012-04-19,40,40.43,39.58,39.74,674317,39.74
2012-04-20,39.89,40.18,39.67,39.9,976399,39.9
2012-04-23,39.24,40.19,39.16,40,814894,40
2012-04-24,40.08,40.4,39.89,40.26,388189,40.26
2012-04-25,40.48,40.75,39.72,40.11,547235,40.11
2012-04-26,40,40.77,40,40.65,460054,40.65
2012-04-27,41.03,41.63,41,41.29,685109,41.29
2012-04-30,41.46,41.96,41.31,41.61,840073,41.61
2012-05-01,42.72,42.87,41.04,41.21,1271113,41.21
2012-05-02,41.14,41.87,40.95,41.49,734313,41.49
2012-05-03,41.47,41.47,40.14,40.36,862668,40.36
2012-05-04,40.09,40.34,39.35,39.74,781499,39.74
2012-05-07,39.27,39.95,39.27,39.66,862265,39.66
2012-05-08,39.56,39.59,38.2,38.52,1180218,38.52
2012-05-09,37.97,38.61,37.93,38.21,1315960,38.21
2012-05-10,38,38.99,38,38.2,731094,38.2
2012-05-11,38.04,38.06,37.14,37.21,935184,37.21
2012-05-14,36.5,36.75,35.7,35.82,1455839,35.82
2012-05-15,35.82,36.18,35.19,35.3,898240,35.3
2012-05-16,35.52,36.21,34.88,35.27,1073750,35.27
2012-05-17,35.28,35.77,34.87,34.87,900626,34.87
2012-05-18,35.05,35.57,34.46,34.92,1679827,34.92
2012-05-21,34.9,36.09,34.88,35.96,521296,35.96
2012-05-22,36.1,36.51,35.16,35.39,702487,35.39
2012-05-23,35.13,35.48,34.41,35.42,778383,35.42
2012-05-24,35.61,35.8,35.2,35.8,815205,35.8
2012-05-25,35.92,37.04,35.78,36.88,762896,36.88
2012-05-29,37.17,37.38,36.83,37.23,948186,37.23
2012-05-30,36.79,36.95,36.33,36.58,784626,36.58
2012-05-31,36.73,36.73,35.29,36.07,1435094,36.07
2012-06-01,35.38,35.73,35.05,35.24,978885,35.24
2012-06-04,35.22,35.46,33.66,34.28,816839,34.28
2012-06-05,34.28,35.35,34.26,35.2,719180,35.2
