DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,37.9,38.55,37.82,38.31,4149624,38.31
2012-01-04,38.25,38.34,37.9,38.34,4218298,38.34
2012-01-05,38.13,39,38.05,38.74,3809541,38.74
2012-01-06,38.7,38.73,38.43,38.47,3108088,38.47
2012-01-09,38.44,38.47,37.89,38.39,2660796,38.39
2012-01-10,38.79,38.79,38.4,38.52,2277035,38.52
2012-01-11,38.39,38.52,38.24,38.41,3075933,38.41
2012-01-12,38.54,38.67,38.42,38.61,2384253,38.61
2012-01-13,38.49,38.5,38.02,38.32,3100529,38.32
2012-01-17,38.5,38.88,38.46,38.83,3314372,38.83
2012-01-18,38.66,38.95,38.64,38.87,3480132,38.87
2012-01-19,38.93,39.43,38.76,39.26,3392876,39.26
2012-01-20,39.38,39.4,38.92,39.2,5096138,39.2
2012-01-23,38.97,39.1,38.68,38.77,2733345,38.77
2012-01-24,38.96,39.21,38.65,38.77,2749875,38.77
2012-01-25,38.57,38.79,38.26,38.68,3165286,38.68
2012-01-26,38.83,38.94,38.54,38.78,2605046,38.78
2012-01-27,38.75,38.8,38.22,38.52,3292526,38.52
2012-01-30,38.31,38.9,38.28,38.89,2907039,38.89
2012-01-31,38.99,38.99,38.19,38.26,5076801,38.26
2012-02-01,38.51,39.01,38.32,38.63,3270556,38.63
2012-02-02,38.87,38.9,38,38.44,4052332,38.44
2012-02-03,38.49,38.58,38.08,38.37,3259688,38.37
2012-02-06,38.18,38.4,38.13,38.4,2545218,38.4
2012-02-07,38.25,38.77,38.25,38.63,2401587,38.63
2012-02-08,38.55,38.6,38.22,38.42,2690457,38.42
2012-02-09,38.42,38.42,38.14,38.15,2687608,38.15
2012-02-10,37.94,38,37.78,37.91,2440203,37.91
2012-02-13,38.09,38.24,37.98,38.11,2152726,38.11
2012-02-14,38.1,38.23,37.96,38.21,1924310,38.21
2012-02-15,38.26,38.26,37.89,38.02,2319105,38.02
2012-02-16,38.05,38.15,37.81,38.14,2068210,38.14
2012-02-17,38.55,38.88,38.32,38.56,5430698,38.56
2012-02-21,38.52,38.63,38.08,38.13,3144323,38.13
2012-02-22,38.01,38.22,37.91,38.22,2524492,38.22
2012-02-23,38.11,38.52,38.11,38.51,2671996,38.51
2012-02-24,38.5,38.5,38.14,38.2,1912605,38.2
2012-02-27,37.94,38.26,37.83,38.15,2400154,38.15
2012-02-28,38.15,38.49,38.01,38.38,2101423,38.38
2012-02-29,38.46,38.49,38.13,38.17,3690704,38.17
2012-03-01,38.11,38.15,37.66,37.79,3524913,37.79
2012-03-02,37.67,38.09,37.56,37.93,2810969,37.93
2012-03-05,38,38.51,37.99,38.45,3202157,38.45
2012-03-06,38,38.38,37.3,37.45,3461328,37.45
2012-03-07,37.32,37.42,36.91,37.31,3201276,37.31
2012-03-08,37.64,37.81,37.35,37.39,2578451,37.39
2012-03-09,37.51,37.9,37.48,37.6,2201459,37.6
2012-03-12,37.71,38.11,37.65,38.1,2446149,38.1
2012-03-13,37.78,38.3,37.7,38.28,4081848,38.28
2012-03-14,38.32,38.4,38.09,38.22,3049005,38.22
2012-03-15,38.22,38.25,37.96,38.06,2609781,38.06
2012-03-16,38.19,38.33,37.97,38.03,8007184,38.03
2012-03-19,37.9,38.03,37.84,37.89,1586489,37.89
2012-03-20,37.69,37.92,37.62,37.76,3010413,37.76
2012-03-21,37.8,37.87,37.63,37.7,2109613,37.7
2012-03-22,37.59,37.93,37.56,37.6,2134723,37.6
2012-03-23,37.7,38.05,37.61,37.99,2434428,37.99
2012-03-26,38.21,38.7,38.15,38.66,2551561,38.66
2012-03-27,38.7,39,38.68,38.8,2690409,38.8
2012-03-28,38.76,38.92,38.23,38.31,3415807,38.31
2012-03-29,38.15,38.3,37.79,38.01,3704543,38.01
2012-03-30,38.14,38.41,38.07,38.4,4392042,38.4
2012-04-02,38.25,38.56,38.21,38.51,3078117,38.51
2012-04-03,38.5,38.72,38.46,38.72,2527739,38.72
