DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30,31.11,29.92,30.96,2183311,30.96
2012-01-04,30.82,31.21,30.64,31.03,1311227,31.03
2012-01-05,30.87,31.31,30.49,31.26,2053483,31.26
2012-01-06,31.29,31.3,30.67,30.69,1403420,30.69
2012-01-09,30.79,30.85,30.39,30.64,1228122,30.64
2012-01-10,31.24,31.37,30.94,31.08,1276659,31.08
2012-01-11,31.02,31.09,30.48,30.58,1211299,30.58
2012-01-12,30.81,30.96,30.38,30.65,1537720,30.65
2012-01-13,30.25,30.53,30.1,30.47,1311643,30.47
2012-01-17,31.05,31.08,30.63,30.94,1223321,30.94
2012-01-18,31.17,32,30.81,31.9,2117332,31.9
2012-01-19,32,32.16,31.71,31.97,1417157,31.97
2012-01-20,32.28,32.28,31.6,32.04,2091829,32.04
2012-01-23,32.2,32.41,31.86,32.23,1385829,32.23
2012-01-24,31.81,32.24,31.58,32.19,918259,32.19
2012-01-25,31.79,32.64,31.3,32.57,1055050,32.57
2012-01-26,32.8,32.88,31.37,31.54,1627599,31.54
2012-01-27,31.4,31.58,31.15,31.24,1450324,31.24
2012-01-30,30.88,31.05,30.42,30.96,1284349,30.96
2012-01-31,31.26,31.53,30.89,31.39,2248045,31.39
2012-02-01,31.55,32.64,31.36,31.58,1868030,31.58
2012-02-02,31.55,32.18,31.13,31.43,1182651,31.43
2012-02-03,31.42,32.36,31.39,32.3,2019163,32.3
2012-02-06,32.32,32.9,32.13,32.9,1305207,32.9
2012-02-07,33,33.27,32.51,33.16,1214322,33.16
2012-02-08,33.24,33.48,32.45,32.69,1948819,32.69
2012-02-09,32.7,32.9,32.21,32.6,1936793,32.6
2012-02-10,32.23,33.16,32.04,33.15,2185801,33.15
2012-02-13,33.54,33.55,33.03,33.24,1172153,33.24
2012-02-14,33.19,33.19,32.6,32.97,1223980,32.97
2012-02-15,32.97,33.21,32.6,32.65,1236646,32.65
2012-02-16,32.79,33.75,32.53,33.59,1127562,33.59
2012-02-17,33.87,33.99,33.35,33.77,1498131,33.77
2012-02-21,34.3,34.79,34.14,34.56,1575199,34.56
2012-02-22,34.69,34.94,34.31,34.39,1208015,34.39
2012-02-23,34.5,34.98,33.97,34.84,1008034,34.84
2012-02-24,35.16,35.4,34.81,35.01,1030683,35.01
2012-02-27,34.85,35.21,34.62,35.03,1089800,35.03
2012-02-28,35.03,35.49,34.93,35.06,1776039,35.06
2012-02-29,34.65,34.89,33.48,33.89,2220942,33.89
2012-03-01,33.98,34.46,33.95,34.26,1249977,34.26
2012-03-02,34.21,34.26,33.28,33.52,1076069,33.52
2012-03-05,33.4,33.54,33.07,33.46,1105634,33.46
2012-03-06,32.97,32.98,32.09,32.42,1396278,32.42
2012-03-07,32.4,33.08,32.31,32.97,1348868,32.97
2012-03-08,33.26,33.62,32.99,33.53,1070996,33.53
2012-03-09,33.64,33.95,33.24,33.34,817164,33.34
2012-03-12,33.35,33.74,33.12,33.67,1130660,33.67
2012-03-13,33.87,34.02,33.33,33.99,1409849,33.99
2012-03-14,34.02,34.35,33.56,33.67,939562,33.67
2012-03-15,33.73,33.81,33.36,33.65,839810,33.65
