DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,15.75,16.29,15.71,16.08,3154263,16.08
2012-01-04,15.74,16.08,15.51,15.94,2820679,15.94
2012-01-05,15.6,16.4,15.44,16.28,3383091,16.28
2012-01-06,16.09,16.24,15.81,15.9,2880960,15.9
2012-01-09,16,16.45,15.93,16.2,2226786,16.2
2012-01-10,16.7,16.96,16.5,16.89,2756818,16.89
2012-01-11,16.66,17.13,16.51,17.1,3087004,17.1
2012-01-12,17.15,17.31,16.65,17.17,2635420,17.17
2012-01-13,16.59,16.85,16.35,16.63,3843219,16.63
2012-01-17,16.58,16.98,16.11,16.25,3521308,16.25
2012-01-18,16.3,17.4,16.03,17.35,4320727,17.35
2012-01-19,18.42,18.6,18.04,18.28,4753302,18.28
2012-01-20,17.82,18.42,17.82,18.39,4770826,18.39
2012-01-23,18,18.67,17.92,18.21,3663224,18.21
2012-01-24,17.83,18.26,17.65,18.14,2769715,18.14
2012-01-25,17.85,18.25,17.72,18.13,3213078,18.13
2012-01-26,18.3,18.87,18.06,18.2,3119874,18.2
2012-01-27,17.9,18.65,17.9,18.56,3608230,18.56
2012-01-30,18.76,18.76,18.17,18.2,4794984,18.2
2012-01-31,18.4,18.68,18.05,18.65,4453050,18.65
2012-02-01,19.12,20.08,19.01,19.39,4970213,19.39
2012-02-02,19.7,19.71,19.42,19.52,2878356,19.52
2012-02-03,20,20.5,19.84,20.31,4366789,20.31
2012-02-06,20.49,20.55,20.19,20.51,3006862,20.51
2012-02-07,20.33,20.47,20.13,20.26,2595920,20.26
2012-02-08,20.21,20.44,20.1,20.44,3098420,20.44
2012-02-09,20.56,20.69,20.23,20.34,2643083,20.34
2012-02-10,19.95,19.95,19.51,19.66,2953593,19.66
2012-02-13,19.97,20.09,19.47,19.54,2683297,19.54
2012-02-14,19.25,19.25,18.77,19.05,3784754,19.05
2012-02-15,19.21,19.34,18.85,18.96,2862824,18.96
2012-02-16,18.6,19.26,18.21,19.19,3868429,19.19
2012-02-17,19.49,19.49,19.04,19.16,3293665,19.16
2012-02-21,19.34,19.53,19.15,19.26,2001673,19.26
2012-02-22,19.24,19.25,18.69,18.73,2166306,18.73
2012-02-23,18.94,18.98,18.52,18.97,2673792,18.97
2012-02-24,19,19,18.4,18.49,1907415,18.49
2012-02-27,18.32,18.83,18.22,18.75,1979808,18.75
2012-02-28,18.66,19.03,18.43,18.71,3343054,18.71
2012-02-29,18.8,19.11,18.47,18.54,2848741,18.54
2012-03-01,18.7,19.32,18.62,19.19,3436174,19.19
2012-03-02,19.24,19.41,18.84,18.87,2515721,18.87
2012-03-05,18.77,18.77,18.17,18.29,3263991,18.29
2012-03-06,17.81,17.81,17.24,17.32,4508803,17.32
2012-03-07,17.51,17.97,17.5,17.88,2787464,17.88
2012-03-08,18.16,18.33,18.02,18.18,2643739,18.18
2012-03-09,18.25,18.55,18.07,18.37,2902493,18.37
2012-03-12,18.33,18.35,17.94,18.2,1863561,18.2
2012-03-13,18.56,19.1,18.39,18.93,4653400,18.93
2012-03-14,19.16,19.3,18.48,18.6,4119476,18.6
2012-03-15,18.72,19.54,18.55,19.51,3886666,19.51
2012-03-16,19.66,19.75,19.3,19.53,9240291,19.53
2012-03-19,19.45,20.5,19.31,20.06,3698097,20.06
2012-03-20,19.85,20.7,19.8,20.41,3782041,20.41
2012-03-21,20.37,20.48,20.01,20.06,2667265,20.06
2012-03-22,19.69,19.91,19.37,19.59,2507352,19.59
2012-03-23,19.65,20.45,19.6,20.33,5648581,20.33
2012-03-26,20.62,21.19,20.62,21.17,4036978,21.17
2012-03-27,20.99,21.17,20.72,20.72,3803433,20.72
2012-03-28,20.7,20.88,20.08,20.24,2893612,20.24
2012-03-29,20.05,20.14,19.39,19.74,3161124,19.74
2012-03-30,19.85,19.9,19.37,19.64,3012518,19.64
2012-04-02,19.64,20.04,19.44,19.81,2460413,19.81
2012-04-03,19.7,19.81,19.2,19.37,3422241,19.37
2012-04-04,18.92,19.09,18.61,18.69,3531900,18.69
2012-04-05,18.53,18.86,18.33,18.39,3132316,18.39
2012-04-09,18,18.16,17.8,17.98,3646015,17.98
2012-04-10,18.08,18.23,17.26,17.31,4747854,17.31
2012-04-11,17.86,18,17.42,17.51,3647009,17.51
2012-04-12,17.55,18.23,17.5,18.22,3259834,18.22
2012-04-13,18.09,18.1,17.26,17.28,4165605,17.28
2012-04-16,17.61,17.8,17.22,17.5,3542356,17.5
2012-04-17,17.85,18.03,17.71,17.85,2884472,17.85
2012-04-18,17.6,17.9,17.5,17.66,3008075,17.66
2012-04-19,18.46,18.5,17.77,18.07,4846997,18.07
2012-04-20,18.07,18.1,17.44,17.48,4585638,17.48
2012-04-23,16.98,17.14,16.63,16.98,3895605,16.98
2012-04-24,17.02,17.41,16.76,17.4,4813589,17.4
2012-04-25,17.6,17.68,16.89,17.14,3410108,17.14
2012-04-26,16.89,17.35,16.86,17.21,3249462,17.21
2012-04-27,17.31,17.31,16.81,16.95,7427253,16.95
2012-04-30,16.86,17.42,16.77,17.28,3452746,17.28
2012-05-01,17.2,17.68,17.11,17.49,2575348,17.49
2012-05-02,17.29,17.3,16.91,16.95,2759046,16.95
2012-05-03,16.94,17,16.2,16.23,5127867,16.23
2012-05-04,16.1,16.15,15.91,16,3833052,16
2012-05-07,15.86,16.25,15.85,16.15,2391604,16.15
2012-05-08,15.87,16.09,15.62,15.84,4416787,15.84
2012-05-09,15.43,15.78,15.35,15.49,4149475,15.49
2012-05-10,15.9,15.95,15.51,15.6,3155483,15.6
2012-05-11,15,15.22,14.7,14.95,7114488,14.95
2012-05-14,14.6,14.72,14.25,14.3,4085849,14.3
2012-05-15,14.4,14.55,14.08,14.14,5635615,14.14
2012-05-16,14.31,14.38,13.53,13.54,4304361,13.54
2012-05-17,13.59,13.92,13.35,13.46,3665802,13.46
2012-05-18,13.79,13.79,13.23,13.35,6847698,13.35
2012-05-21,13.14,13.44,13.06,13.19,4158903,13.19
2012-05-22,13.3,13.9,13.22,13.31,4616405,13.31
2012-05-23,13.11,13.45,12.81,13.37,7794187,13.37
2012-05-24,13.47,13.48,13.12,13.31,3332961,13.31
2012-05-25,13.19,13.41,13.17,13.25,2660522,13.25
2012-05-29,13.44,13.66,13.27,13.64,3308800,13.64
2012-05-30,13.33,13.36,13.08,13.09,2805736,13.09
2012-05-31,13.12,13.48,12.91,13.36,4460930,13.36
2012-06-01,12.95,13.02,12.64,12.73,4308676,12.73
2012-06-04,12.72,12.79,12.26,12.36,3126739,12.36
2012-06-05,12.31,12.94,12.29,12.86,3084923,12.86
2012-06-06,13.1,13.98,13.05,13.94,5204099,13.94
2012-06-07,14.25,14.27,13.39,13.41,5660061,13.41
2012-06-08,13.35,13.75,13.16,13.71,3326952,13.71
2012-06-11,14.1,14.22,13.33,13.37,5472316,13.37
2012-06-12,13.45,13.97,13.38,13.93,3880175,13.93
