DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,77.5,78.69,77.32,78.04,244931,78.04
2012-01-04,77.52,78.49,76.86,78.03,187685,78.03
2012-01-05,77.62,79.44,77.14,79.23,192047,79.23
2012-01-06,79,79.91,78.22,79.45,191469,79.45
2012-01-09,78,79.7,77.86,79.63,274011,79.63
2012-01-10,80,80.94,79.58,80.14,242656,80.14
2012-01-11,80.08,80.66,78.99,80.61,179671,80.61
2012-01-12,80.95,81.59,79.76,81.45,274388,81.45
2012-01-13,80.48,82.79,80.09,82.34,404183,82.34
2012-01-17,80,82.51,78.41,81.04,460586,81.04
2012-01-18,81.2,81.85,80.19,81.72,217682,81.72
2012-01-19,81.4,81.89,80.59,81.79,197639,81.79
2012-01-20,81.92,81.95,80.88,81.72,255044,81.72
2012-01-23,81.79,82.94,81.42,82.03,150386,82.03
2012-01-24,81.46,81.84,80.9,81.69,154567,81.69
2012-01-25,81.45,82.26,80.76,82,141423,82
2012-01-26,82.5,82.5,79.16,80.14,197160,80.14
2012-01-27,79.79,80.62,79.52,80.11,186879,80.11
2012-01-30,79.43,80.18,79.33,79.88,182097,79.88
2012-01-31,80.34,80.92,79.5,79.74,217932,79.74
2012-02-01,80.4,81.15,79.82,80.21,177942,80.21
2012-02-02,80.45,80.94,79.93,80.55,117939,80.55
2012-02-03,81.7,82.75,81.7,82.45,177884,82.45
2012-02-06,81.97,82.23,80.75,80.99,114138,80.99
2012-02-07,80.65,81.79,80.65,81.37,112465,81.37
2012-02-08,81.5,81.92,81,81.71,116020,81.71
2012-02-09,81.94,82.02,80.61,80.81,124986,80.81
2012-02-10,79.56,80.07,79.39,79.8,121973,79.8
2012-02-13,80.59,81.02,80.28,80.66,94937,80.66
2012-02-14,80.4,81.16,79.57,81.03,163821,81.03
2012-02-15,81.35,81.7,80.84,80.98,149196,80.98
2012-02-16,81,81.99,80.68,81.87,135332,81.87
2012-02-17,82.31,83.27,81.81,82.92,222068,82.92
2012-02-21,83.09,83.23,82.09,82.65,118840,82.65
2012-02-22,82.69,82.69,80.75,80.86,128720,80.86
2012-02-23,80.79,82.21,80.48,82.11,122634,82.11
2012-02-24,82.15,82.15,81.11,81.77,109975,81.77
2012-02-27,81.29,82.53,80.78,82.33,111867,82.33
2012-02-28,82.32,82.32,81.27,81.85,114607,81.85
2012-02-29,82,82.48,81.42,81.62,227614,81.62
2012-03-01,81.23,81.58,80.79,81.23,151067,81.23
2012-03-02,81.41,81.41,80.42,80.59,101038,80.59
2012-03-05,80.21,80.45,79.64,80.12,125723,80.12
2012-03-06,79.3,79.81,78.62,78.72,186401,78.72
2012-03-07,78.86,80.06,78.75,79.84,114154,79.84
2012-03-08,80.46,80.86,79.94,80.67,107933,80.67
2012-03-09,80.73,81.74,80.46,81.35,120243,81.35
2012-03-12,81.19,81.28,80.4,81.15,123346,81.15
2012-03-13,81.79,83.94,81.65,83.75,189983,83.75
2012-03-14,83.8,84.31,82.19,83.16,233081,83.16
2012-03-15,83.4,85,82.99,84.95,148762,84.95
2012-03-16,85.7,86.14,84.67,85.69,438333,85.69
2012-03-19,85.67,87.09,84.9,86.63,145652,86.63
2012-03-20,86.13,86.94,85.47,86.26,196256,86.26
2012-03-21,85.65,86.38,85.12,85.48,321557,85.48
2012-03-22,84.67,85.34,84.35,84.99,174557,84.99
2012-03-23,85.17,85.93,84.67,85.86,144724,85.86
2012-03-26,86.19,86.87,85.89,86.62,243069,86.62
2012-03-27,86.79,86.79,85.92,85.97,119848,85.97
2012-03-28,86.11,87.37,85.81,87.27,170057,87.27
2012-03-29,86.62,86.78,85.62,86.57,144460,86.57
2012-03-30,87.15,87.15,86.26,86.88,217644,86.88
