DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.4836,50.3897,49.0866,50.1481,611401,50.1481
2012-01-04,49.8029,49.941,48.9744,49.6131,642043,49.6131
2012-01-05,48.9917,49.2765,48.4998,49.0953,517449,49.0953
2012-01-06,49.0521,49.2247,48.6379,48.9399,396522,48.9399
2012-01-09,49.1039,49.1039,48.6638,48.9658,372657,48.9658
2012-01-10,49.9151,51.2527,49.6907,51.0888,945145,51.0888
2012-01-11,50.8471,51.2096,50.2258,50.873,721633,50.873
2012-01-12,50.8903,51.2096,50.3293,50.571,418315,50.571
2012-01-13,50.1654,50.709,49.3196,50.7004,563577,50.7004
2012-01-17,51.6066,51.7533,50.709,50.9248,422097,50.9248
2012-01-18,50.8903,52.4782,50.7349,52.4264,537127,52.4264
2012-01-19,52.6249,52.901,52.038,52.1157,479592,52.1157
2012-01-20,52.2969,52.4436,51.7878,52.2279,577657,52.2279
2012-01-23,52.4005,53.1168,52.2365,52.6249,384021,52.6249
2012-01-24,51.9259,51.9345,51.3131,51.5375,450995,51.5375
2012-01-25,51.2096,52.5472,50.3034,52.3401,602919,52.3401
2012-01-26,53.5051,55.6367,51.2872,53.4275,1381375,53.4275
2012-01-27,53.1686,53.4706,52.7112,53.0046,671247,53.0046
2012-01-30,52.3832,52.3832,51.1492,51.5979,700017,51.5979
2012-01-31,52.1243,52.2193,50.7349,51.434,847280,51.434
2012-02-01,52.1502,52.1848,51.1837,51.2009,646328,51.2009
2012-02-02,51.434,51.9259,50.9421,51.2959,632460,51.2959
2012-02-03,51.9776,52.8838,51.5375,52.8665,530620,52.8665
2012-02-06,52.5904,53.3325,52.2969,53.2807,326991,53.2807
2012-02-07,53.0305,53.5569,52.4868,53.4275,341737,53.4275
2012-02-08,53.3584,53.6087,52.271,52.8147,419510,52.8147
2012-02-09,53.0132,53.1168,52.1589,52.9614,383934,52.9614
2012-02-10,51.8309,52.4091,51.5461,52.1761,371393,52.1761
2012-02-13,52.6939,52.8665,52.0898,52.5817,317956,52.5817
2012-02-14,52.7543,53.4447,52.4264,53.2894,470775,53.2894
2012-02-15,53.5051,54.3508,53.134,54.0574,545812,54.0574
2012-02-16,54.0143,54.4458,53.4102,54.0488,526529,54.0488
2012-02-17,54.5321,54.6702,53.8762,54.1006,524473,54.1006
2012-02-21,54.6356,54.6356,53.9798,54.1869,521653,54.1869
2012-02-22,54.0574,54.3681,53.7985,54.1265,510159,54.1265
2012-02-23,54.2645,55.4468,54.0747,55.3346,437699,55.3346
2012-02-24,55.3346,55.9301,55.2311,55.887,513043,55.887
2012-02-27,55.4037,55.8956,54.9549,55.5245,397738,55.5245
2012-02-28,55.7057,56.6119,55.6108,55.8697,424470,55.8697
2012-02-29,55.7057,55.8266,55.0153,55.1793,1057728,55.1793
2012-03-01,55.2742,55.6798,54.4889,55.5504,717944,55.5504
2012-03-02,55.2484,55.2484,53.3498,53.6691,737785,53.6691
2012-03-05,53.7209,53.8244,52.2624,52.6508,883788,52.6508
2012-03-06,51.6756,51.8913,51.2355,51.4857,652794,51.4857
2012-03-07,51.5979,51.8913,51.2268,51.572,455203,51.572
2012-03-08,52.3573,52.4954,51.667,52.2193,494186,52.2193
2012-03-09,52.2452,53.0305,52.0726,52.1157,414688,52.1157
2012-03-12,51.9863,51.9863,50.1826,50.338,791861,50.338
2012-03-13,50.4847,51.0974,50.105,50.9938,855037,50.9938
2012-03-14,51.0801,51.0801,49.777,49.9324,853576,49.9324
2012-03-15,50.1481,50.6314,49.7943,50.2862,531258,50.2862
2012-03-16,50.2258,50.873,50.1567,50.6314,950628,50.6314
2012-03-19,50.4933,51.7274,50.3552,51.6411,724693,51.6411
2012-03-20,50.9679,50.9766,49.9496,50.0014,486039,50.0014
2012-03-21,49.9669,50.3034,49.5958,49.8547,722376,49.8547
2012-03-22,49.1125,49.4059,47.818,48.1719,771241,48.1719
2012-03-23,48.2495,49.4405,48.2495,49.3369,685879,49.3369
2012-03-26,49.7598,49.8029,48.9831,49.544,400343,49.544
2012-03-27,49.5699,49.6389,48.7587,48.8795,659798,48.8795
2012-03-28,48.6897,48.7932,47.6886,48.215,403549,48.215
2012-03-29,47.7663,48.3272,47.0155,48.2754,501349,48.2754
2012-03-30,48.7501,48.8191,47.9993,48.5602,564361,48.5602
2012-04-02,48.4308,49.7425,48.2927,49.2937,502752,49.2937
2012-04-03,48.9486,49.0953,47.5333,47.9906,796585,47.9906
2012-04-04,47.2744,47.6972,46.886,47.119,725686,47.119
2012-04-05,46.7911,47.2312,46.2129,46.4373,632114,46.4373
2012-04-09,45.4621,46.3078,45.2809,45.885,690909,45.885
2012-04-10,45.885,46.0144,44.7717,44.858,625603,44.858
2012-04-11,45.5225,45.9195,44.7458,44.8062,449534,44.8062
2012-04-12,44.8494,46.3682,44.8407,46.1266,964330,46.1266
2012-04-13,45.79,46.0576,45.4535,45.5311,778681,45.5311
2012-04-16,45.6606,45.8332,44.7803,44.8839,574002,44.8839
2012-04-17,45.2463,46.2129,45.2463,46.118,637180,46.118
2012-04-18,45.9367,46.1956,45.6519,46.0489,820623,46.0489
2012-04-19,46.0576,46.9378,45.8763,46.6012,1018302,46.6012
2012-04-20,47.0241,47.1277,46.0662,46.2215,879901,46.2215
2012-04-23,45.1428,45.79,44.7976,45.6865,763470,45.6865
2012-04-24,45.6002,45.8504,45.3068,45.6606,600781,45.6606
2012-04-25,46.0489,46.2819,45.3499,46.2388,468983,46.2388
2012-04-26,46.187,47.2398,45.9108,47.1363,364742,47.1363
2012-04-27,47.1967,47.3089,46.6358,46.9896,436948,46.9896
2012-04-30,46.9464,47.4642,46.6271,47.4383,507702,47.4383
2012-05-01,47.4211,48.7328,47.2485,48.2495,858334,48.2495
2012-05-02,47.5764,48.0769,47.2312,47.7145,859978,47.7145
2012-05-03,46.817,47.0845,44.1417,44.7199,1436010,44.7199
2012-05-04,43.9691,44.228,42.8472,43.8915,1288469,43.8915
2012-05-07,43.8138,44.1762,43.4168,43.598,650702,43.598
2012-05-08,43.1061,43.4168,42.364,43.2874,943461,43.2874
2012-05-09,42.3985,43.2011,42.1827,42.597,1311719,42.597
2012-05-10,43.1579,43.2701,42.3467,42.4762,842562,42.4762
2012-05-11,42.2863,42.6142,41.6736,41.7254,1115308,41.7254
2012-05-14,41.0522,41.3543,40.4913,40.5517,839443,40.5517
2012-05-15,40.6984,41.0954,40.1202,40.241,1170066,40.241
2012-05-16,40.4913,41.2248,40.1375,40.3187,1006936,40.3187
2012-05-17,40.405,40.7847,39.8958,39.9476,527676,39.9476
2012-05-18,40.2065,40.6639,39.7405,39.9476,1058903,39.9476
2012-05-21,39.9562,41.0522,39.8182,40.871,782559,40.871
2012-05-22,40.9228,41.3629,40.1461,40.3964,724440,40.3964
2012-05-23,40.0425,40.7588,39.4212,40.6725,738804,40.6725
2012-05-24,40.9055,40.9055,40.1202,40.8192,601006,40.8192
2012-05-25,40.707,41.3802,40.707,41.1385,430567,41.1385
2012-05-29,41.5959,42.2,41.5182,41.9325,616818,41.9325
2012-05-30,41.2076,41.2162,40.3532,40.6466,612621,40.6466
2012-05-31,40.6035,40.707,39.6456,40.2324,1346598,40.2324
2012-06-01,39.3263,39.4816,38.9034,39.007,785011,39.007
2012-06-04,39.007,39.1796,38.1181,38.843,856287,38.843
2012-06-05,38.6877,39.5938,38.6186,39.309,527501,39.309
2012-06-06,39.8613,40.638,39.7836,40.4913,604264,40.4913
2012-06-07,41.3888,41.3974,39.5593,39.6283,1351702,39.6283
2012-06-08,39.2313,39.7836,38.9983,39.5247,641348,39.5247
2012-06-11,39.9304,39.9304,38.4719,38.5237,727798,38.5237
