DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,21.96,22.32,21.91,22.18,1648228,22.18
2012-01-04,22.11,22.12,21.65,21.735,1448830,21.735
2012-01-05,21.53,21.66,21.33,21.49,2677315,21.49
2012-01-06,21.58,21.73,21.38,21.5,2180253,21.5
2012-01-09,21.58,21.75,21.35,21.71,1700680,21.71
2012-01-10,21.94,22.21,21.79,22.19,1310434,22.19
2012-01-11,22.19,22.345,22.01,22.31,2105330,22.31
2012-01-12,22.28,22.34,21.84,22.28,1613700,22.28
2012-01-13,22.09,22.25,21.645,21.71,1429081,21.71
2012-01-17,21.73,22.05,21.48,21.59,1321297,21.59
2012-01-18,21.52,21.9,21.38,21.84,1387377,21.84
2012-01-19,21.79,22.04,21.74,21.87,1005924,21.87
2012-01-20,21.87,21.87,21.44,21.56,1407156,21.56
2012-01-23,21.6,21.93,21.51,21.52,1578571,21.52
2012-01-24,21.41,21.48,20.725,20.84,2097802,20.84
2012-01-25,20.86,21.425,20.74,21.21,2088118,21.21
2012-01-26,21.33,21.5,21.02,21.2,2001778,21.2
2012-01-27,21.2,21.37,20.875,21.04,1412412,21.04
2012-01-30,20.83,21.03,20.69,20.98,1274662,20.98
2012-01-31,21.03,21.21,20.63,20.75,1407492,20.75
2012-02-01,20.96,22.34,20.94,21.96,3546397,21.96
2012-02-02,21.95,22.04,21.63,21.76,1303192,21.76
2012-02-03,22.07,22.465,22.02,22.44,1506889,22.44
2012-02-06,22.4,22.43,22.205,22.325,1596178,22.325
2012-02-07,22.34,22.555,22.12,22.53,1353991,22.53
2012-02-08,22.53,22.91,22.45,22.89,1436850,22.89
2012-02-09,22.88,23.06,22.68,22.96,1425968,22.96
2012-02-10,22.78,22.89,22.55,22.78,1098403,22.78
2012-02-13,22.88,23.04,22.8,22.96,1231377,22.96
2012-02-14,23.5,23.81,23.115,23.24,1927440,23.24
2012-02-15,23.36,23.6,23.04,23.16,1884591,23.16
2012-02-16,23.21,23.655,23.14,23.6,1942523,23.6
