DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,48.5,49.19,48.25,48.88,516564,48.88
2012-01-04,48.68,49.35,48.175,49.29,782758,49.29
2012-01-05,48.885,49.09,48.5,48.75,785036,48.75
2012-01-06,48.775,48.775,48.055,48.36,538210,48.36
2012-01-09,48.5,49.35,48.415,49.165,488382,49.165
2012-01-10,49.845,49.98,48.86,49.365,805344,49.365
2012-01-11,49.11,49.11,48.48,48.745,438704,48.745
2012-01-12,48.635,48.75,47.54,47.615,659964,47.615
2012-01-13,47.165,47.985,47.05,47.955,788256,47.955
2012-01-17,48.67,48.68,47.36,47.93,604430,47.93
2012-01-18,48.15,48.705,47.74,48.695,549110,48.695
2012-01-19,48.815,49.51,48.6,48.745,536904,48.745
2012-01-20,48.75,48.75,47.765,48.16,723354,48.16
2012-01-23,48.38,51.285,48.34,51.105,1158208,51.105
2012-01-24,50.595,50.85,49.985,50.23,665354,50.23
2012-01-25,50,51.245,49.415,51.055,693896,51.055
2012-01-26,51.275,51.58,49.72,50.045,658004,50.045
2012-01-27,50.04,50.775,49.745,50.25,820092,50.25
2012-01-30,49.795,50.675,49.465,50.615,437178,50.615
2012-01-31,51.075,51.235,50.205,50.335,1011646,50.335
2012-02-01,50.875,51.1,50.195,50.91,490864,50.91
2012-02-02,50.935,51.58,50.49,51.135,534956,51.135
2012-02-03,51.75,51.945,51.02,51.48,704488,51.48
2012-02-06,51.29,51.975,51.015,51.885,437034,51.885
2012-02-07,51.825,52.195,50.25,51.835,1331712,51.835
2012-02-08,51.73,52.5,51.73,52.18,641854,52.18
2012-02-09,51.665,52.5,51.225,51.765,1138948,51.765
2012-02-10,51.045,51.16,50.145,50.575,962746,50.575
2012-02-13,51.425,51.885,50.475,51.875,861402,51.875
2012-02-14,51.675,52.095,51.46,51.995,609436,51.995
2012-02-15,52.025,52.54,51.43,51.655,731162,51.655
2012-02-16,51.7,52.065,51.05,51.83,479132,51.83
2012-02-17,52.205,52.715,51.525,52.005,962834,52.005
2012-02-21,52.525,52.58,51.05,51.59,663070,51.59
2012-02-22,51.49,52.365,51.49,51.74,546098,51.74
2012-02-23,51.815,52.295,51.2,52.24,699982,52.24
2012-02-24,52.315,52.545,52.03,52.285,427474,52.285
2012-02-27,51.855,52.185,51.325,51.33,499688,51.33
2012-02-28,51.465,52.04,51.025,51.24,848104,51.24
2012-02-29,51.265,51.325,48.75,48.825,1652364,48.825
2012-03-01,48.92,49.04,47.15,47.965,1705962,47.965
2012-03-02,47.79,48.38,47.015,47.24,1210426,47.24
2012-03-05,46.94,48.365,46.805,48.275,1029000,48.275
2012-03-06,47.33,47.64,46.95,47.375,737896,47.375
2012-03-07,47.26,47.875,47.12,47.7,577778,47.7
2012-03-08,48.165,48.25,47.35,47.725,504514,47.725
2012-03-09,47.93,48.8,47.85,48.265,847806,48.265
2012-03-12,48.23,48.23,47.51,48.035,736590,48.035
2012-03-13,48.28,48.84,47.83,48.775,739790,48.775
2012-03-14,48.85,49.84,48.82,49.11,1070526,49.11
2012-03-15,50.195,50.43,49.435,49.53,1042658,49.53
2012-03-16,49.625,50.26,49.625,49.845,1559660,49.845
2012-03-19,50.02,50.21,49.36,50.07,437700,50.07
2012-03-20,49.495,49.605,49.005,49.35,561304,49.35
2012-03-21,49.645,49.765,48.805,49.635,720128,49.635
2012-03-22,48.875,48.945,47.47,47.645,833580,47.645
2012-03-23,47.65,48.425,47.425,48.18,582644,48.18
