DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,25.03,25.27,24.92,24.96,546542,24.96
2012-01-04,24.69,24.8,24.43,24.62,405407,24.62
2012-01-05,24.36,24.72,24.15,24.66,402950,24.66
2012-01-06,24.63,24.9,24.39,24.43,458771,24.43
2012-01-09,24.41,24.6,24.27,24.33,383264,24.33
2012-01-10,24.58,25.24,24.49,25.17,931765,25.17
2012-01-11,25.16,25.19,24.91,25.05,521248,25.05
2012-01-12,25.01,25.24,24.83,24.96,595603,24.96
2012-01-13,24.74,24.845,24.58,24.8,437482,24.8
2012-01-17,24.95,25.14,24.5,24.52,443369,24.52
2012-01-18,24.57,24.85,24.47,24.78,478743,24.78
2012-01-19,24.94,25.32,24.87,25.15,385932,25.15
2012-01-20,25.1,25.48,24.96,25.34,498071,25.34
2012-01-23,25.43,25.61,25.35,25.46,297219,25.46
2012-01-24,25.44,25.74,25.36,25.665,558973,25.665
2012-01-25,25.65,25.94,25.46,25.9,521350,25.9
2012-01-26,26.06,26.26,25.68,25.82,831025,25.82
2012-01-27,25.65,26.05,25.63,25.99,444856,25.99
2012-01-30,25.74,25.74,25.27,25.3,681852,25.3
2012-01-31,25.49,25.49,24.67,24.78,937034,24.78
2012-02-01,24.95,25.48,24.72,24.77,1035603,24.77
2012-02-02,24.54,25.14,24.5,24.66,1375603,24.66
2012-02-03,25.04,25.19,24.91,25.07,895533,25.07
2012-02-06,24.97,25.36,24.93,25.35,684665,25.35
2012-02-07,25.32,25.815,25.21,25.7,750852,25.7
2012-02-08,25.89,26.24,25.68,26.24,813058,26.24
2012-02-09,26.26,26.32,25.78,25.88,566636,25.88
2012-02-10,25.67,26.01,25.52,26.01,541713,26.01
2012-02-13,26.22,26.47,26.05,26.36,853970,26.36
2012-02-14,26.25,26.385,26.07,26.36,496012,26.36
2012-02-15,26.49,26.49,26.02,26.21,540953,26.21
2012-02-16,26.15,26.93,26.06,26.75,721955,26.75
2012-02-17,26.77,26.87,26.46,26.81,520181,26.81
2012-02-21,26.76,26.88,26.53,26.6,576452,26.6
2012-02-22,26.48,26.56,26.17,26.22,754760,26.22
2012-02-23,26.26,26.4,25.97,26.26,572276,26.26
2012-02-24,26.31,26.8,26.2,26.67,416516,26.67
2012-02-27,26.46,26.89,26.2,26.79,440655,26.79
