DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,61.47,62.32,61.23,62.08,1243084,62.08
2012-01-04,61.95,62.59,61.4,61.89,836021,61.89
2012-01-05,61.51,62.45,61.2,62.1,1065876,62.1
2012-01-06,62.45,62.63,61.4,61.98,787522,61.98
2012-01-09,62.25,62.28,61.03,61.46,711768,61.46
2012-01-10,62.24,63.09,62.16,62.65,1087358,62.65
2012-01-11,62.77,63.4,62.16,63.34,834865,63.34
2012-01-12,63.75,64.61,63.64,64.04,1175998,64.04
2012-01-13,63.66,63.91,62.57,63.39,1011953,63.39
2012-01-17,62.9,62.98,60.33,60.94,1615650,60.94
2012-01-18,60.24,60.76,59.9,60.35,1305873,60.35
2012-01-19,60,60.29,58.66,59.6,1557605,59.6
2012-01-20,59.77,60.14,58.93,59.27,1712570,59.27
2012-01-23,59.47,59.97,58.95,59.26,1042272,59.26
2012-01-24,58.7,58.82,57.25,57.5,1546331,57.5
2012-01-25,57.3,60.63,57.24,60.25,2082402,60.25
2012-01-26,61.53,61.58,60.12,60.45,1527899,60.45
2012-01-27,60.45,61.78,60,61.51,1025856,61.51
2012-01-30,61.02,61.78,60.38,61.22,1228374,61.22
2012-01-31,62,62.3,61.02,61.48,1535210,61.48
2012-02-01,61.72,61.98,60.72,61.12,1206558,61.12
2012-02-02,61.4,62.49,61.35,62.29,1161523,62.29
2012-02-03,61.73,61.75,60.68,61.01,1289513,61.01
2012-02-06,60.61,61.12,60.35,60.89,909010,60.89
2012-02-07,60.89,61.55,60.01,60.86,858810,60.86
2012-02-08,61.05,61.44,60.48,60.7,647728,60.7
2012-02-09,61.1,61.38,60.47,60.64,986751,60.64
2012-02-10,59.77,59.91,59.01,59.65,1034294,59.65
2012-02-13,59.96,59.99,58.88,59.41,787262,59.41
2012-02-14,59.45,59.55,58.07,58.77,948789,58.77
2012-02-15,59.03,60.39,58.97,59.6,1027690,59.6
2012-02-16,59.6,60.65,58.77,60.43,887538,60.43
2012-02-17,60.83,60.83,59.2,59.45,1149911,59.45
2012-02-21,60.37,61.72,59.77,61.54,1410617,61.54
2012-02-22,61.6,63.29,61.01,62.78,1412269,62.78
2012-02-23,63.15,64.43,62.71,63.8,1428665,63.8
2012-02-24,63.73,63.85,61.58,62.51,1021814,62.51
2012-02-27,61.75,62.6,61.46,61.52,950939,61.52
2012-02-28,61.26,62.13,61.11,62,935760,62
2012-02-29,62.16,62.43,59.02,59.4,1786449,59.4
2012-03-01,59.52,60.65,59.4,59.67,1258808,59.67
2012-03-02,59.35,59.47,58.5,58.96,869229,58.96
2012-03-05,58.97,59,57.72,57.9,1106836,57.9
2012-03-06,56.91,57.27,55.81,57.18,1550515,57.18
2012-03-07,57.28,57.28,56.15,56.68,1045441,56.68
2012-03-08,57.13,57.23,56.17,56.95,894850,56.95
2012-03-09,56.81,57.83,56.11,56.88,987391,56.88
2012-03-12,56.61,56.87,55.62,55.75,1095055,55.75
2012-03-13,55.5,55.74,54.69,54.86,1763266,54.86
2012-03-14,54.03,54.48,53.33,54.3,2736374,54.3
2012-03-15,54.3,54.98,53.69,53.84,1713565,53.84
2012-03-16,53.29,54.09,53.22,53.75,4479990,53.75
2012-03-19,53.78,54.34,53.5,53.53,884437,53.53
2012-03-20,53.06,54,52.5,53.68,1732370,53.68
2012-03-21,53.85,54.12,53.15,53.17,2421677,53.17
2012-03-22,52.62,52.83,52.06,52.41,1601889,52.41
2012-03-23,52.58,53.9,52.33,53.32,1822914,53.32
2012-03-26,54.01,54.15,53.1,53.45,2026865,53.45
2012-03-27,53.5,53.5,52.45,52.49,1782780,52.49
2012-03-28,52.37,52.58,51.31,51.5,1463778,51.5
2012-03-29,51.22,51.34,50.48,51.34,1679429,51.34
2012-03-30,51.56,51.68,50.69,51.27,1490489,51.27
2012-04-02,51.5,52.41,51.22,52.11,956694,52.11
2012-04-03,51.94,52.15,49.84,50.34,1605019,50.34
2012-04-04,49.39,49.41,47.59,48.53,2882317,48.53
2012-04-05,48.55,48.98,47.47,47.73,1506685,47.73
2012-04-09,47.87,48.58,47.8,48,1104902,48
2012-04-10,47.87,49.55,47.87,48.97,2051110,48.97
2012-04-11,49.17,49.17,47.8,48,1529686,48
2012-04-12,48.02,49.6,47.89,49.55,1384699,49.55
2012-04-13,49.4,49.9,48.68,48.68,1395062,48.68
2012-04-16,48.66,48.92,48.01,48.17,1224329,48.17
2012-04-17,48.38,48.82,48.09,48.33,1130583,48.33
2012-04-18,48,48.38,47.52,47.89,1202540,47.89
2012-04-19,48.26,48.57,47.65,47.81,990033,47.81
2012-04-20,47.88,48.34,47.22,47.25,1310179,47.25
2012-04-23,46.56,46.56,45.22,46.3,1644353,46.3
2012-04-24,46.6,46.78,46.1,46.37,857778,46.37
2012-04-25,46.82,47.64,46.33,47.47,1254843,47.47
2012-04-26,47.58,48.1,46.92,47.73,1003084,47.73
