DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,70.4,72.71,70.19,72.24,983214,72.24
2012-01-04,72.35,80.96,71.81,80.45,3074718,80.45
2012-01-05,79.42,81.86,77.29,79.3,2676459,79.3
2012-01-06,79.12,87.3,78.74,86.29,3503715,86.29
2012-01-09,89.9,99.65,87.16,98.18,6086088,98.18
2012-01-10,99.81,99.84,92.5,95.83,3892542,95.83
2012-01-11,94.93,95.58,91.48,92.15,2235120,92.15
2012-01-12,92.48,93.36,89.22,92.15,1616497,92.15
2012-01-13,91.95,96.55,90.21,94.38,2100920,94.38
2012-01-17,96,97.85,94.34,94.72,1464039,94.72
2012-01-18,93.2,98.91,92.27,98.53,1675342,98.53
2012-01-19,99.66,104.59,99.66,103.46,1806845,103.46
2012-01-20,102.6,104.76,99.7,100.24,1381855,100.24
2012-01-23,98.87,99.62,93.61,93.96,1820749,93.96
2012-01-24,92.1,94.68,91.49,92.67,1190632,92.67
2012-01-25,92.7,95.49,91.67,95.04,3108920,95.04
2012-01-26,114,119.37,112.13,116.01,4922852,116.01
2012-01-27,116.45,123.99,114.28,123.79,3169139,123.79
2012-01-30,125,129.47,123.25,125.43,2533457,125.43
2012-01-31,125,125.405,117.75,120.2,2176706,120.2
2012-02-01,121.47,123.75,118.25,122.97,1718029,122.97
2012-02-02,123.5,125.71,122.27,124,1162710,124
2012-02-03,125,127.48,123.34,126.43,1897390,126.43
2012-02-06,123.2,130.59,121.88,129.25,2640083,129.25
2012-02-07,128.83,133.39,126.85,127.88,2344859,127.88
2012-02-08,125.87,127.31,123.43,124,1670282,124
2012-02-09,124.41,126.97,122.19,124.84,1194406,124.84
2012-02-10,124.06,126.21,122.88,123.93,1110286,123.93
2012-02-13,124.97,124.98,118.13,118.3,1630259,118.3
2012-02-14,118.99,124.245,118.55,123.07,1638640,123.07
2012-02-15,123.63,125.32,121.09,122.06,1014001,122.06
2012-02-16,122.21,124.11,120,122,973647,122
2012-02-17,122.13,122.61,120.06,121.85,784898,121.85
2012-02-21,123.79,126.15,116.68,117.4,2366983,117.4
2012-02-22,114.9,115,108.55,112.4,2516107,112.4
2012-02-23,111.44,114.15,111.17,112.99,1070210,112.99
2012-02-24,112.88,113.95,111.32,111.67,645464,111.67
2012-02-27,108.05,110.35,106.64,109.41,1472473,109.41
2012-02-28,108.41,114.82,108.1,113.32,1127597,113.32
2012-02-29,113.14,113.76,109.76,110.73,1321041,110.73
2012-03-01,109.34,113.66,108.52,112.75,1137559,112.75
2012-03-02,112.49,117.81,111.6,115.1,1419035,115.1
2012-03-05,114.69,116.41,110.71,110.81,887822,110.81
2012-03-06,109.3,109.57,106,107.13,1125847,107.13
2012-03-07,111.44,111.44,102.53,105.19,2338212,105.19
2012-03-08,105.93,108.43,104,108.07,1482371,108.07
2012-03-09,107,110.25,105.66,109.13,1044011,109.13
2012-03-12,107.75,110.7,105.56,106.2,1169519,106.2
2012-03-13,107.88,109.3,105.15,106.35,867300,106.35
2012-03-14,105.82,105.85,102.9,105.25,1162214,105.25
2012-03-15,105.27,110.65,105,110.17,1164579,110.17
2012-03-16,110.26,111.71,107.56,109.96,1209510,109.96
2012-03-19,109.51,115,108.82,114.33,927454,114.33
2012-03-20,113.91,116.74,113.15,115.02,902736,115.02
2012-03-21,116,120.88,115.63,120.1,1417784,120.1
2012-03-22,120.03,123.39,117.89,118.72,1164205,118.72
2012-03-23,119.44,121.16,117.31,120.19,1053306,120.19
2012-03-26,121.59,122.14,119.17,121.99,813625,121.99
2012-03-27,122.14,123.46,120.55,120.67,643319,120.67
2012-03-28,120.25,121,118.35,118.805,578609,118.805
2012-03-29,117.93,118.57,113,115.05,939473,115.05
2012-03-30,115.51,117.29,114.18,115.04,757755,115.04
2012-04-02,114.8,114.8,112.11,113.97,725401,113.97
