DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,38.98,40,38.87,39.6,464161,39.6
2012-01-04,39.11,39.59,38.66,39.19,497226,39.19
2012-01-05,38.98,39.49,38.36,38.69,614779,38.69
2012-01-06,38.93,39.09,38.04,38.18,393255,38.18
2012-01-09,38.23,38.99,38.14,38.92,624525,38.92
2012-01-10,39.5,39.97,39.37,39.49,522112,39.49
2012-01-11,39.3,39.37,37.89,38.3,519680,38.3
2012-01-12,38.28,38.71,37.93,38.3,354981,38.3
2012-01-13,37.9,38.2,37.74,38.16,518190,38.16
2012-01-17,38.35,38.72,37.67,38.55,719485,38.55
2012-01-18,38.22,39.39,37.82,39.33,549700,39.33
2012-01-19,39.49,39.76,39.14,39.26,361504,39.26
2012-01-20,39.23,39.27,38.09,38.76,587908,38.76
2012-01-23,39.17,40.6,39.01,40.04,627472,40.04
2012-01-24,39.7,39.94,39.37,39.89,566018,39.89
2012-01-25,39.94,41.41,39.27,41.28,459616,41.28
2012-01-26,41.54,41.75,39.16,39.54,463877,39.54
2012-01-27,39.22,40,39.15,39.78,507412,39.78
2012-01-30,39.25,39.26,38.45,38.63,437204,38.63
2012-01-31,39.02,39.06,37.45,37.81,579816,37.81
2012-02-01,38.15,38.37,37.17,37.32,364961,37.32
2012-02-02,37.48,37.95,37.21,37.59,435473,37.59
2012-02-03,38.03,38.37,37.63,38.29,306211,38.29
2012-02-06,38.08,38.99,37.95,38.8,488640,38.8
2012-02-07,38.28,38.62,36.89,38.28,942060,38.28
2012-02-08,38.36,38.74,37.69,38.17,359713,38.17
2012-02-09,38.4,38.4,37.46,38.27,314710,38.27
2012-02-10,37.72,38.25,37.47,38.18,483961,38.18
2012-02-13,38.79,38.84,37.63,38.16,265452,38.16
2012-02-14,38,39.6,38,39.43,655422,39.43
2012-02-15,39.75,40.3,39.39,39.87,643090,39.87
2012-02-16,39.96,41.41,39.39,41.38,901514,41.38
2012-02-17,41.89,42.32,41.35,42,734535,42
2012-02-21,42.43,42.46,41.89,42.25,452781,42.25
2012-02-22,38.5,39.4,36.78,36.88,1885565,36.88
2012-02-23,36.82,37.27,36.4,36.96,607736,36.96
2012-02-24,36.71,36.9,36.15,36.6,804029,36.6
2012-02-27,36.53,36.73,36.02,36.09,772334,36.09
2012-02-28,36.15,36.48,35.61,36.05,669501,36.05
2012-02-29,36.03,36.34,35.48,36,910752,36
2012-03-01,36.1,36.28,35.78,36.06,642806,36.06
2012-03-02,35.75,35.92,35.32,35.47,569432,35.47
2012-03-05,35.23,35.27,34.64,35.04,496865,35.04
2012-03-06,34.36,34.48,33.84,34.23,645085,34.23
2012-03-07,34.46,35.31,34.3,34.76,568160,34.76
2012-03-08,35.13,35.66,34.79,35.56,435488,35.56
2012-03-09,35.62,36.14,35.46,35.55,373839,35.55
2012-03-12,35.43,35.58,34.77,35.19,438173,35.19
2012-03-13,35.4,35.87,34.83,35.82,429946,35.82
2012-03-14,35.71,36.23,35.45,35.65,267064,35.65
2012-03-15,35.63,36.14,35.3,36,415929,36
2012-03-16,36.08,36.61,35.89,36.27,1231933,36.27
2012-03-19,35.79,36.28,35.72,36.04,395804,36.04
2012-03-20,35.61,35.73,35.25,35.44,766717,35.44
2012-03-21,35.47,35.54,34.75,35.17,429875,35.17
2012-03-22,34.75,34.93,34.19,34.55,503652,34.55
2012-03-23,34.6,35.97,34.41,35.8,532416,35.8
2012-03-26,36.1,36.65,35.04,35.39,482122,35.39
2012-03-27,35.45,35.51,34.74,34.77,488366,34.77
2012-03-28,34.51,34.57,34.11,34.49,471085,34.49
2012-03-29,34.09,34.28,33.74,34.07,436697,34.07
2012-03-30,34.33,34.96,34.05,34.68,573005,34.68
2012-04-02,34.58,35.59,34.44,35.22,437721,35.22
2012-04-03,35.13,35.24,34.7,35.2,517190,35.2
2012-04-04,34.68,35.74,34.49,35.46,718774,35.46
2012-04-05,35.34,36.03,34.98,35.12,551671,35.12
2012-04-09,34.43,34.93,34.14,34.22,371882,34.22
2012-04-10,34.05,34.28,33.08,33.09,774684,33.09
2012-04-11,33.25,33.47,32.26,32.29,848433,32.29
2012-04-12,32.25,33.78,32.25,33.72,497787,33.72
2012-04-13,33.5,33.69,32.86,32.88,590185,32.88
2012-04-16,33.14,33.33,32.25,32.32,465579,32.32
2012-04-17,33.26,34.29,33.09,33.78,642204,33.78
2012-04-18,33.49,33.64,32.44,32.75,502117,32.75
2012-04-19,33.02,33.34,32.5,32.67,790276,32.67
2012-04-20,33.22,33.49,32.4,32.48,1057241,32.48
2012-04-23,32,32.98,31.62,32.48,715629,32.48
2012-04-24,32.45,33.79,32.16,33.71,668122,33.71
2012-04-25,35.53,36.19,33.42,35.18,1372696,35.18
2012-04-26,35.12,36.07,34.76,35.75,508430,35.75
2012-04-27,35.9,36.02,35.34,35.95,330918,35.95
2012-04-30,35.95,36.01,35.38,35.9,458630,35.9
2012-05-01,36.1,36.66,35.42,36.23,720378,36.23
2012-05-02,35.63,35.65,35.18,35.43,403069,35.43
2012-05-03,35.51,35.71,34.48,34.95,688457,34.95
