DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,24,24,23.31,23.35,912282,23.35
2012-01-04,23.34,23.5,23.1,23.14,984644,23.14
2012-01-05,23.08,23.15,22.95,23.09,969246,23.09
2012-01-06,23.09,23.1,22.87,23,626137,23
2012-01-09,23,23.01,22.85,22.87,459877,22.87
2012-01-10,23.1,23.11,22.72,22.8,594258,22.8
2012-01-11,22.68,22.77,22.37,22.47,706004,22.47
2012-01-12,22.56,22.56,22.32,22.53,669248,22.53
2012-01-13,22.47,23.33,22.42,23.16,1946601,23.16
2012-01-17,23.35,23.49,22.93,23.47,1373254,23.47
2012-01-18,23.45,23.48,23.21,23.44,621339,23.44
2012-01-19,23.37,23.45,22.74,22.82,754680,22.82
2012-01-20,22.86,22.87,22.59,22.84,1175808,22.84
2012-01-23,22.8,23.06,22.78,23.02,423777,23.02
2012-01-24,22.93,22.94,22.72,22.84,411472,22.84
2012-01-25,22.77,23.17,22.58,23.12,873126,23.12
2012-01-26,23.23,23.45,23.1,23.37,815255,23.37
2012-01-27,23.3,23.3,22.79,22.9,851786,22.9
2012-01-30,22.8,22.84,22.58,22.76,565527,22.76
2012-01-31,22.92,23.05,22.66,22.73,825538,22.73
2012-02-01,22.67,23.53,22.65,23.45,870939,23.45
2012-02-02,23.29,23.29,22.78,22.86,1385831,22.86
2012-02-03,22.99,23.09,22.76,23.01,669651,23.01
2012-02-06,22.92,22.99,22.76,22.97,878735,22.97
2012-02-07,22.93,23.39,22.89,23.3,805382,23.3
2012-02-08,23.34,23.55,23.24,23.54,913802,23.54
2012-02-09,23.54,23.54,23.08,23.18,620234,23.18
2012-02-10,23.07,23.16,22.9,23.06,465139,23.06
2012-02-13,23.15,23.18,22.89,22.94,501536,22.94
2012-02-14,22.9,22.92,22.69,22.87,493359,22.87
2012-02-15,22.84,22.98,22.71,22.81,694302,22.81
2012-02-16,22.85,23.23,22.83,23.1,560561,23.1
2012-02-17,23.21,24.53,23.11,23.79,2803732,23.79
2012-02-21,23.93,23.98,23.63,23.72,776687,23.72
2012-02-22,23.76,23.94,23.48,23.52,629977,23.52
2012-02-23,23.48,23.62,23.39,23.56,511007,23.56
2012-02-24,23.64,23.72,23.53,23.68,482579,23.68
2012-02-27,23.54,23.65,23.41,23.55,495536,23.55
2012-02-28,23.59,23.9,23.55,23.63,893729,23.63
2012-02-29,23.69,24.15,23.5,24,1212948,24
2012-03-01,23.94,24.02,23.8,23.88,1002382,23.88
2012-03-02,23.88,23.91,23.68,23.69,619449,23.69
2012-03-05,23.59,23.77,23.45,23.74,656839,23.74
2012-03-06,23.56,23.63,23.3,23.6,659330,23.6
2012-03-07,23.57,23.68,23.39,23.61,450926,23.61
2012-03-08,23.73,23.93,23.57,23.9,400220,23.9
2012-03-09,23.9,24.14,23.75,24.11,477363,24.11
2012-03-12,24.1,24.4,24.1,24.37,629108,24.37
2012-03-13,24.42,24.48,24.1,24.31,784786,24.31
2012-03-14,24.23,24.3,23.84,23.95,576396,23.95
2012-03-15,23.94,23.97,23.71,23.9,433334,23.9
2012-03-16,23.78,23.93,23.5,23.61,1126346,23.61
2012-03-19,23.65,23.83,23.53,23.59,382244,23.59
2012-03-20,23.55,23.69,23.48,23.5,646732,23.5
2012-03-21,23.82,23.82,23.51,23.71,907088,23.71
2012-03-22,23.57,24.02,23.57,23.94,865604,23.94
2012-03-23,23.92,24.11,23.83,24.02,570470,24.02
2012-03-26,24.16,24.29,23.99,24.22,874628,24.22
2012-03-27,24.22,24.26,24.04,24.06,777532,24.06
2012-03-28,24.03,24.07,23.73,23.94,796835,23.94
2012-03-29,23.81,24.27,23.69,24.25,797584,24.25
2012-03-30,24.33,24.54,24.2,24.35,964177,24.35
2012-04-02,24.36,24.72,24.25,24.48,682489,24.48
2012-04-03,24.53,24.66,24.31,24.52,683513,24.52
2012-04-04,24.35,24.41,24.18,24.27,925509,24.27
2012-04-05,24.16,24.51,24.15,24.5,725151,24.5
2012-04-09,24.28,24.42,24.16,24.28,549226,24.28
2012-04-10,24.21,24.23,23.63,23.67,757389,23.67
2012-04-11,23.79,23.86,23.69,23.73,755123,23.73
2012-04-12,23.72,23.93,23.59,23.9,493168,23.9
2012-04-13,23.88,24.17,23.83,23.92,667800,23.92
2012-04-16,23.96,24.27,23.95,24.16,715411,24.16
2012-04-17,24.31,24.46,24.12,24.36,491270,24.36
2012-04-18,24.26,24.46,24.22,24.32,470399,24.32
2012-04-19,24.3,24.33,23.94,24.07,896125,24.07
2012-04-20,24.07,24.48,24.06,24.41,904369,24.41
2012-04-23,24.26,24.31,24.11,24.3,442237,24.3
2012-04-24,24.24,24.39,24.16,24.33,676600,24.33
2012-04-25,24.5,24.74,24.35,24.6,958634,24.6
2012-04-26,24.36,24.53,24.26,24.45,569491,24.45
2012-04-27,24.54,24.68,24.37,24.49,514794,24.49
2012-04-30,24.45,24.76,24.44,24.65,916502,24.65
2012-05-01,24.8,25.79,24.73,25.33,1227315,25.33
2012-05-02,25.17,25.21,24.92,25.04,649259,25.04
2012-05-03,25,25.2,24.76,24.77,430420,24.77
2012-05-04,24.72,25.04,24.72,24.92,622135,24.92
2012-05-07,24.79,24.89,24.62,24.82,546198,24.82
2012-05-08,24.68,25.04,24.68,24.85,2036929,24.85
2012-05-09,24.64,25.08,24.6,24.94,1528722,24.94
2012-05-10,25.12,25.35,24.95,25.26,708326,25.26
2012-05-11,25.18,25.44,25.1,25.25,411997,25.25
2012-05-14,25.02,25.27,24.9,25.12,583919,25.12
2012-05-15,25.06,25.3,24.94,25.09,532912,25.09
2012-05-16,25.1,25.18,24.89,25.03,585286,25.03
2012-05-17,25.03,25.03,24.64,24.66,403534,24.66
2012-05-18,24.77,24.84,24.36,24.43,922992,24.43
2012-05-21,24.47,24.81,24.41,24.81,402550,24.81
2012-05-22,24.84,24.9,24.7,24.77,522475,24.77
2012-05-23,24.69,24.8,24.41,24.74,692776,24.74
2012-05-24,24.76,25.08,24.76,24.96,636711,24.96
2012-05-25,24.96,25.18,24.96,25.04,499009,25.04
2012-05-29,25.1,25.32,25.1,25.26,544559,25.26
2012-05-30,25.12,25.28,24.92,25.04,476506,25.04
2012-05-31,25.01,25.24,24.85,25.09,748272,25.09
2012-06-01,24.81,24.96,24.65,24.72,1295243,24.72
