DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,18.44,18.46,17.89,17.97,660140,17.97
2012-01-04,17.91,18.03,17.85,17.98,500240,17.98
2012-01-05,17.96,18.11,17.73,18.05,507135,18.05
2012-01-06,18.01,18.12,17.68,17.69,393529,17.69
2012-01-09,17.68,17.7,17.41,17.54,686429,17.54
2012-01-10,17.78,17.99,17.57,17.63,646446,17.63
2012-01-11,17.56,17.59,17.32,17.59,631197,17.59
2012-01-12,17.71,17.83,17.41,17.63,448708,17.63
2012-01-13,17.41,17.77,17.41,17.69,752730,17.69
2012-01-17,17.91,17.93,17.19,17.24,793505,17.24
2012-01-18,17.3,17.41,17.12,17.24,786375,17.24
2012-01-19,17.26,17.29,16.32,16.42,982068,16.42
2012-01-20,16.46,16.51,16.06,16.15,1262248,16.15
2012-01-23,16.26,17.19,16.22,16.63,1540921,16.63
2012-01-24,16.54,16.61,16.24,16.5,1200767,16.5
2012-01-25,16.42,17.39,16.41,17.33,932163,17.33
2012-01-26,17.37,17.4,16.92,17.08,614390,17.08
2012-01-27,16.99,17,16.58,16.68,758634,16.68
2012-01-30,16.59,16.87,16.48,16.8,897815,16.8
2012-01-31,16.93,17.1,16.76,16.88,1153301,16.88
2012-02-01,16.96,16.99,16.7,16.81,700888,16.81
2012-02-02,16.83,16.91,16.59,16.86,585714,16.86
2012-02-03,16.98,17.3,16.87,17.26,607346,17.26
2012-02-06,17.2,17.2,16.85,16.95,414670,16.95
2012-02-07,16.95,17.16,16.72,17.12,549891,17.12
2012-02-08,17.1,17.23,16.98,17.12,433014,17.12
2012-02-09,17.11,17.16,16.84,17.08,328987,17.08
2012-02-10,16.95,17.34,16.7,17.32,691998,17.32
2012-02-13,17.46,17.66,17,17.08,542921,17.08
2012-02-14,16.97,17.1,16.67,17.05,595349,17.05
2012-02-15,17.02,17.2,16.92,16.93,670676,16.93
2012-02-16,16.99,17.39,16.74,17.34,611659,17.34
2012-02-17,17.44,17.54,17.31,17.5,777018,17.5
2012-02-21,17.61,17.87,17.5,17.77,637595,17.77
2012-02-22,17.78,17.82,17.49,17.55,504109,17.55
2012-02-23,17.54,17.76,17.41,17.74,394734,17.74
2012-02-24,17.75,17.99,17.66,17.85,328056,17.85
2012-02-27,17.76,17.78,17.56,17.6,547614,17.6
2012-02-28,17.49,17.66,17,17.55,1346151,17.55
2012-02-29,17.47,17.47,16.77,17.1,1845502,17.1
2012-03-01,17.2,17.4,17.1,17.2,633708,17.2
2012-03-02,17.23,17.5,17.2,17.29,878883,17.29
2012-03-05,17.26,17.3,17.02,17.19,557228,17.19
2012-03-06,17.05,17.15,16.68,16.72,702190,16.72
2012-03-07,16.76,16.78,16.55,16.62,508323,16.62
2012-03-08,16.77,16.85,16.6,16.69,525582,16.69
2012-03-09,16.75,16.87,16.64,16.73,420321,16.73
2012-03-12,16.74,16.83,16.43,16.48,594780,16.48
2012-03-13,16.5,16.72,16.46,16.72,743446,16.72
2012-03-14,16.73,16.89,16.54,16.6,578654,16.6
2012-03-15,16.59,16.63,16.27,16.41,550310,16.41
2012-03-16,16.35,16.77,16.31,16.77,1452136,16.77
2012-03-19,16.73,16.77,16.39,16.41,991403,16.41
2012-03-20,16.29,16.51,16.15,16.48,772538,16.48
2012-03-21,16.51,16.99,16.42,16.92,1619757,16.92
2012-03-22,16.79,16.81,16.46,16.65,803220,16.65
2012-03-23,16.61,16.89,16.55,16.71,648033,16.71
2012-03-26,16.87,16.96,16.35,16.58,649781,16.58
2012-03-27,16.64,16.71,16.33,16.5,531843,16.5
2012-03-28,16.51,16.55,16.07,16.11,580628,16.11
2012-03-29,16.06,16.07,15.53,15.74,1344957,15.74
2012-03-30,15.85,15.85,15.63,15.67,1112669,15.67
2012-04-02,15.66,15.69,15.44,15.6,612783,15.6
2012-04-03,15.56,15.65,15.25,15.5,633721,15.5
2012-04-04,15.53,15.77,15.46,15.55,1237369,15.55
2012-04-05,15.47,15.54,15.09,15.18,531395,15.18
2012-04-09,15,15.06,14.8,14.86,826039,14.86
2012-04-10,14.82,14.92,14.54,14.62,655478,14.62
2012-04-11,14.79,14.87,14.6,14.65,660899,14.65
2012-04-12,14.64,14.86,14.54,14.74,885593,14.74
2012-04-13,14.67,14.84,14.5,14.58,735305,14.58
2012-04-16,14.66,14.75,14.29,14.34,806697,14.34
2012-04-17,14.71,15.25,14.61,15.03,1076519,15.03
2012-04-18,15.01,15.17,14.85,14.97,1002494,14.97
2012-04-19,14.92,15.1,14.75,15.06,992892,15.06
2012-04-20,15.12,15.44,15.06,15.39,1029042,15.39
2012-04-23,15.24,15.44,15.17,15.35,760028,15.35
2012-04-24,15.35,16.04,15.35,15.9,978622,15.9
2012-04-25,16.04,16.47,15.95,16.36,946510,16.36
2012-04-26,16.36,16.72,16.25,16.69,809406,16.69
2012-04-27,16.71,16.88,16.4,16.63,565330,16.63
2012-04-30,16.55,17.03,16.51,17,753989,17
2012-05-01,16.93,17.05,16.83,16.97,635042,16.97
2012-05-02,16.92,16.92,16.55,16.61,685462,16.61
2012-05-03,15.7,16.48,15.7,16.21,1319798,16.21
2012-05-04,16.14,16.16,15.16,15.47,1524400,15.47
2012-05-07,15.46,15.72,15.33,15.49,977121,15.49
2012-05-08,15.38,15.41,14.95,15.16,901758,15.16
2012-05-09,15,15.56,14.81,15.42,852042,15.42
2012-05-10,15.71,16.27,15.68,16.13,1354196,16.13
2012-05-11,16.06,16.46,16.02,16.29,954112,16.29
2012-05-14,16.11,16.29,16.01,16.07,844648,16.07
2012-05-15,16.01,16.14,15.62,15.72,630699,15.72
2012-05-16,15.77,16.05,15.77,15.77,609514,15.77
2012-05-17,15.75,15.97,15.5,15.62,934540,15.62
2012-05-18,15.66,15.76,15.32,15.44,782588,15.44
2012-05-21,15.49,15.79,15.36,15.76,499278,15.76
2012-05-22,15.69,16,15.67,15.84,634614,15.84
2012-05-23,15.73,15.8,15.27,15.67,820346,15.67
2012-05-24,15.72,15.82,15.54,15.69,436767,15.69
2012-05-25,15.72,15.9,15.6,15.64,479367,15.64
2012-05-29,15.78,15.87,15.6,15.72,430557,15.72
2012-05-30,15.57,15.61,15.22,15.32,495127,15.32
2012-05-31,15.37,15.47,15.05,15.32,842778,15.32
2012-06-01,15.09,15.12,14.82,14.84,576672,14.84
2012-06-04,14.9,15.15,14.66,15.14,963249,15.14
2012-06-05,15.06,15.59,15.06,15.49,497132,15.49
2012-06-06,15.61,16.09,15.58,16.07,798694,16.07
2012-06-07,16.21,16.26,15.74,15.82,682864,15.82
2012-06-08,15.78,16,15.66,15.93,684592,15.93
2012-06-11,16.1,16.27,15.24,15.24,728188,15.24
2012-06-12,15.26,15.33,14.95,15.3,859945,15.3
2012-06-13,15.26,15.26,14.95,15.03,810042,15.03
2012-06-14,15.07,15.25,14.83,15.09,985429,15.09
2012-06-15,15.09,15.14,14.69,15.02,1259820,15.02
2012-06-18,14.96,15.22,14.86,15.21,706389,15.21
2012-06-19,15.31,15.87,15.31,15.84,760917,15.84
2012-06-20,15.87,15.97,15.7,15.81,791027,15.81
2012-06-21,15.85,15.89,15.22,15.26,781433,15.26
2012-06-22,15.36,15.73,15.18,15.61,1173639,15.61
2012-06-25,15.4,15.62,15.26,15.5,685145,15.5
2012-06-26,15.51,15.69,15.33,15.61,618949,15.61
2012-06-27,15.74,16.62,15.71,16.55,886731,16.55
2012-06-28,16.41,16.86,16.3,16.83,830492,16.83
2012-06-29,17.22,17.49,17.03,17.36,1183874,17.36
2012-07-02,17.44,17.48,17.16,17.26,703522,17.26
2012-07-03,17.29,17.7,17.27,17.67,353207,17.67
2012-07-05,17.51,17.6,17.26,17.31,683582,17.31
2012-07-06,17.09,17.52,16.94,17.14,745257,17.14
2012-07-09,17.19,17.21,16.85,16.95,621312,16.95
2012-07-10,17.1,17.1,16.66,16.83,423697,16.83
2012-07-11,16.81,17.17,16.78,17.1,392495,17.1
2012-07-12,17.02,17.3,16.89,17.23,475042,17.23
2012-07-13,17.32,17.69,17.28,17.6,570130,17.6
2012-07-16,17.57,17.6,17.3,17.46,539626,17.46
2012-07-17,17.55,17.68,17.43,17.49,719940,17.49
2012-07-18,17.47,17.97,17.4,17.93,630595,17.93
2012-07-19,17.95,18.14,17.76,18.1,784270,18.1
2012-07-20,17.97,18.34,17.93,18.05,614881,18.05
2012-07-23,20,20.1,19.22,19.52,2664694,19.52
2012-07-24,19.45,19.45,18.56,18.75,2675113,18.75
2012-07-25,18.92,19.16,18.76,19.02,1103498,19.02
2012-07-26,19.27,19.67,18.98,19.6,938101,19.6
2012-07-27,19.7,19.86,19.42,19.78,962742,19.78
2012-07-30,19.65,19.89,19.64,19.89,1141473,19.89
2012-07-31,19.81,19.96,19.71,19.82,1516952,19.82
2012-08-01,19.85,20,19.62,19.75,837570,19.75
2012-08-02,19.52,19.68,18.83,19.09,1401341,19.09
2012-08-03,19.41,19.6,19.18,19.41,703219,19.41
2012-08-06,19.54,19.74,19.39,19.59,479027,19.59
2012-08-07,19.64,19.98,19.51,19.54,746772,19.54
2012-08-08,19.91,20.3,19.67,20.24,1019049,20.24
2012-08-09,20.24,21.05,20.17,20.88,1034865,20.88
2012-08-10,20.75,20.88,20.48,20.86,612376,20.86
2012-08-13,20.83,20.85,20.5,20.67,474144,20.67
2012-08-14,20.66,20.91,20.55,20.91,521749,20.91
2012-08-15,20.85,20.96,20.63,20.87,740768,20.87
2012-08-16,20.96,21.09,20.82,20.99,457749,20.99
2012-08-17,20.97,21.82,20.97,21.54,922474,21.54
2012-08-20,21.55,22.29,21.42,22.26,1141652,22.26
2012-08-21,22.28,22.91,21.7,21.85,1231815,21.85
2012-08-22,21.78,21.9,21.42,21.48,880022,21.48
2012-08-23,21.47,21.51,21,21.21,808955,21.21
2012-08-24,21.18,21.24,21.04,21.18,610727,21.18
2012-08-27,21.33,21.33,21.02,21.2,505314,21.2
2012-08-28,21.14,21.31,21.09,21.16,590586,21.16
2012-08-29,21.15,21.27,21.13,21.2,436272,21.2
2012-08-30,21.07,21.26,21,21.21,669715,21.21
2012-08-31,21.3,21.38,21.18,21.34,579055,21.34
2012-09-04,21.32,21.6,21.09,21.53,823069,21.53
2012-09-05,21.49,21.53,21.25,21.36,602587,21.36
2012-09-06,21.45,22.36,21.41,22.33,1199015,22.33
2012-09-07,22.24,22.24,21.36,21.78,854418,21.78
2012-09-10,22.06,22.29,21.93,21.96,729062,21.96
2012-09-11,21.96,22.34,21.8,22.31,823298,22.31
2012-09-12,22.31,22.4,22.05,22.34,867752,22.34
2012-09-13,22.34,22.37,21.43,21.8,1153045,21.8
2012-09-14,21.8,22.25,21.8,22.1,718167,22.1
2012-09-17,22.11,22.15,21.71,21.77,575990,21.77
2012-09-18,21.5,21.68,21.39,21.45,627115,21.45
2012-09-19,21.53,21.6,21.31,21.45,577680,21.45
2012-09-20,21.45,21.63,21.27,21.48,751934,21.48
2012-09-21,21.64,21.91,21.53,21.89,1797863,21.89
2012-09-24,21.82,22.13,21.79,22.02,819296,22.02
2012-09-25,22.06,22.15,21.67,21.72,826259,21.72
2012-09-26,21.77,21.79,21.26,21.4,727069,21.4
2012-09-27,21.42,21.87,21.42,21.58,631516,21.58
2012-09-28,21.53,21.71,21.07,21.39,975768,21.39
2012-10-01,21.49,21.92,21.39,21.63,608466,21.63
2012-10-02,21.75,21.91,21.62,21.86,524087,21.86
2012-10-03,21.93,22.53,21.91,22.18,793284,22.18
2012-10-04,22.31,22.67,22.18,22.62,547007,22.62
2012-10-05,22.69,22.91,22.42,22.76,587154,22.76
2012-10-08,22.65,22.95,22.55,22.95,674178,22.95
2012-10-09,22.92,23.49,22.88,23.09,709945,23.09
2012-10-10,23.09,23.2,22.87,23.02,584587,23.02
2012-10-11,23.17,23.78,23.1,23.65,911264,23.65
2012-10-12,23.72,23.72,22.99,23.02,829629,23.02
2012-10-15,23.02,23.29,22.8,23.27,637600,23.27
2012-10-16,23.29,23.37,23.05,23.23,730595,23.23
2012-10-17,23.41,23.48,23.18,23.44,559560,23.44
