DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,40.66,41.19,40.6,40.66,456763,40.66
2012-01-04,40.51,40.76,40.08,40.61,406902,40.61
2012-01-05,40.35,41.13,39.86,40.96,421082,40.96
2012-01-06,41.05,41.09,40.44,41.01,371829,41.01
2012-01-09,41.18,41.43,40.96,41.39,332532,41.39
2012-01-10,41.97,42.2,41.78,42,475318,42
2012-01-11,41.81,42.295,41.79,42.26,339873,42.26
2012-01-12,42.29,42.56,41.91,42.52,407515,42.52
2012-01-13,41.84,42.17,41.41,42.17,716730,42.17
2012-01-17,42.61,42.67,41.83,41.93,737934,41.93
2012-01-18,41.5,41.67,40.825,41.22,974787,41.22
2012-01-19,41.29,42.32,41.08,42.12,491903,42.12
2012-01-20,42.18,43.1,41.98,43.07,548913,43.07
2012-01-23,42.76,43.34,42.55,43.17,589649,43.17
2012-01-24,43,43.17,42.62,42.79,403159,42.79
2012-01-25,42.63,43.29,42,42.27,785002,42.27
2012-01-26,42.19,42.67,41,41.08,839209,41.08
2012-01-27,40.73,41.83,40.64,41.67,650772,41.67
2012-01-30,41.3,41.6,41,41.36,390346,41.36
2012-01-31,41.42,41.61,40.9,41.21,491662,41.21
2012-02-01,41.53,42.54,41.44,42.145,591688,42.145
2012-02-02,42.23,42.58,41.97,42.4,467208,42.4
2012-02-03,43.17,44.24,43.07,44.09,732398,44.09
2012-02-06,43.9,44.28,43.76,44.15,457463,44.15
2012-02-07,43.98,44.25,43.47,44.17,443830,44.17
2012-02-08,44.21,44.28,43.97,44.19,319591,44.19
2012-02-09,44.33,44.36,43.91,44.06,472201,44.06
2012-02-10,43.58,43.82,43.295,43.63,319720,43.63
2012-02-13,43.93,43.97,43.39,43.65,244915,43.65
2012-02-14,43.58,43.58,42.87,43.41,437579,43.41
2012-02-15,43.59,43.73,42.95,43.18,307867,43.18
2012-02-16,43.27,43.92,43.08,43.85,287518,43.85
2012-02-17,44.05,44.21,43.54,43.88,504420,43.88
2012-02-21,43.85,44.09,43.56,43.73,293933,43.73
2012-02-22,43.6,43.7,42.91,43.02,349337,43.02
2012-02-23,43.05,43.88,42.77,43.88,277813,43.88
2012-02-24,44.09,44.14,43.73,43.86,304712,43.86
2012-02-27,43.58,44.48,43.29,44.43,379213,44.43
2012-02-28,44.5,44.6,44.14,44.39,355677,44.39
2012-02-29,44.45,44.825,44.23,44.41,495743,44.41
2012-03-01,44.53,45.07,44.53,44.96,483221,44.96
2012-03-02,44.9,45.25,44.785,44.93,276716,44.93
2012-03-05,44.71,44.71,43.85,44.33,370551,44.33
2012-03-06,43.9,43.98,43.11,43.44,486284,43.44
2012-03-07,43.39,43.71,43.35,43.64,317910,43.64
2012-03-08,43.98,44.07,43.6,43.97,313811,43.97
2012-03-09,44.2,44.58,43.95,44.28,341106,44.28
2012-03-12,44.35,44.64,44.19,44.62,358128,44.62
2012-03-13,44.99,45.67,44.75,45.57,638213,45.57
2012-03-14,45.55,45.96,45.18,45.94,681485,45.94
2012-03-15,46,47.48,45.74,47.2,796655,47.2
2012-03-16,47.36,47.5,46.79,47.27,1184559,47.27
2012-03-19,47.2,47.79,46.59,47.62,475677,47.62
2012-03-20,47.33,47.71,46.92,47.61,317667,47.61
2012-03-21,47.71,47.78,47.19,47.4,390480,47.4
2012-03-22,47.06,47.16,46.59,46.95,447842,46.95
2012-03-23,46.84,47.35,46.83,47.26,403477,47.26
2012-03-26,47.68,48.11,47.55,47.9,419472,47.9
2012-03-27,48.04,48.15,47.39,47.48,440764,47.48
2012-03-28,47.53,47.88,47.11,47.53,655580,47.53
2012-03-29,47.21,47.24,46.59,47.1,318454,47.1
2012-03-30,47.44,47.53,46.84,47.45,393518,47.45
2012-04-02,47.38,48.01,47.14,47.83,370504,47.83
2012-04-03,47.78,47.94,47.43,47.9,505072,47.9
2012-04-04,47.33,47.57,46.82,47.04,413112,47.04
2012-04-05,47.09,47.23,46.86,47.1,675830,47.1
2012-04-09,46.38,46.73,45.94,46.22,342450,46.22
2012-04-10,46.05,46.44,45.28,45.3,473592,45.3
2012-04-11,45.92,46.34,45.78,45.94,465934,45.94
2012-04-12,45.87,46.83,45.87,46.79,307118,46.79
2012-04-13,46.66,46.74,45.61,45.7,505960,45.7
2012-04-16,46.11,46.32,45.56,46.16,453981,46.16
2012-04-17,46.56,47.3,45.85,46.87,679993,46.87
2012-04-18,46.65,47.15,46.47,46.55,280637,46.55
2012-04-19,46.64,47.01,46.09,46.51,334407,46.51
2012-04-20,46.75,46.89,46.23,46.32,643668,46.32
2012-04-23,45.82,45.96,45.45,45.81,319975,45.81
2012-04-24,45.82,46.61,45.8,46.42,313401,46.42
2012-04-25,46.88,47.07,46.53,46.91,402367,46.91
2012-04-26,46.7,47.33,46.58,47.17,459265,47.17
2012-04-27,47.36,47.76,47.17,47.58,440819,47.58
2012-04-30,47.5,47.73,47.265,47.59,356151,47.59
2012-05-01,47.49,48.31,47.43,47.82,339831,47.82
2012-05-02,47.51,47.58,46.99,47.12,406656,47.12
2012-05-03,47.08,47.53,46.97,47.04,397849,47.04
2012-05-04,46.82,46.94,46.44,46.61,404003,46.61
2012-05-07,46.45,47.01,46.35,46.73,222941,46.73
2012-05-08,46.34,46.77,45.81,46.23,454917,46.23
2012-05-09,45.62,45.73,44.74,45.16,551050,45.16
2012-05-10,45.63,45.98,45.285,45.37,425341,45.37
2012-05-11,44.95,45.39,44.68,45.12,420390,45.12
2012-05-14,44.57,44.77,44.18,44.19,485233,44.19
2012-05-15,44.21,44.645,44.01,44.37,487233,44.37
2012-05-16,44.7,44.91,43.95,43.98,404148,43.98
2012-05-17,43.93,44.04,43.49,43.57,580401,43.57
2012-05-18,43.74,44.01,43.07,43.17,730165,43.17
2012-05-21,43.18,43.54,42.83,43.31,405054,43.31
2012-05-22,43.28,44.08,43.16,43.37,717940,43.37
2012-05-23,43.02,43.59,42.65,43.52,562501,43.52
2012-05-24,43.59,43.67,43.05,43.66,486309,43.66
2012-05-25,43.59,43.83,43.28,43.49,291744,43.49
2012-05-29,43.88,44.09,43.45,43.94,345793,43.94
2012-05-30,43.52,43.52,42.83,42.85,420772,42.85
2012-05-31,42.87,43.36,42.32,43.18,472972,43.18
2012-06-01,42.33,42.54,41.69,41.72,482836,41.72
2012-06-04,41.9,42.01,41.3,41.59,553446,41.59
2012-06-05,41.31,41.59,41.12,41.46,719856,41.46
2012-06-06,41.44,42.4,41.26,42.39,465966,42.39
2012-06-07,42.94,43.25,42.59,42.76,480296,42.76
2012-06-08,42.72,43.29,42.27,43.27,446290,43.27
2012-06-11,43.66,43.77,42.77,42.82,362860,42.82
2012-06-12,42.99,43.69,42.64,43.69,450167,43.69
2012-06-13,43.38,43.69,42.89,43.04,381071,43.04
2012-06-14,43.11,43.91,43.11,43.64,417085,43.64
2012-06-15,43.74,44.41,43.51,44.35,715135,44.35
2012-06-18,44.05,44.38,43.85,43.995,245823,43.995
2012-06-19,44.23,44.82,44.07,44.64,290716,44.64
2012-06-20,44.66,44.68,44,44.53,424868,44.53
2012-06-21,44.61,44.81,43.27,43.27,507789,43.27
2012-06-22,43.55,44.06,43.51,43.94,506847,43.94
2012-06-25,43.39,43.61,42.86,43.46,435621,43.46
2012-06-26,43.54,43.9,43.04,43.73,319158,43.73
2012-06-27,43.85,44.04,43.44,43.95,379990,43.95
2012-06-28,43.6,44.07,42.95,44.01,370015,44.01
2012-06-29,44.82,46.04,44.62,46.02,749149,46.02
2012-07-02,45.98,46.61,45.97,46.35,572697,46.35
2012-07-03,46.29,46.81,46.26,46.61,286094,46.61
2012-07-05,46.46,47.28,46.33,47.05,704498,47.05
2012-07-06,46.44,46.57,46.19,46.49,504258,46.49
2012-07-09,47.26,47.26,46.01,46.44,432252,46.44
2012-07-10,46.78,46.87,45.63,45.8,395687,45.8
2012-07-11,45.88,46.8,45.515,46.66,608569,46.66
2012-07-12,46.19,46.3,45.73,45.82,336839,45.82
2012-07-13,45.7,47.1,45.66,47.05,454638,47.05
2012-07-16,46.94,47.31,46.87,47.03,369562,47.03
2012-07-17,47.14,47.23,45.57,47.07,748677,47.07
2012-07-18,45.99,47.19,45.67,46.24,745332,46.24
2012-07-19,46.31,46.74,45.9,46.02,439275,46.02
2012-07-20,45.74,45.92,45.1,45.3,572592,45.3
2012-07-23,44.68,45.21,44.25,45.06,291329,45.06
2012-07-24,45.11,45.12,44.36,44.78,408657,44.78
2012-07-25,44.98,45.01,44.54,44.57,381062,44.57
