DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,36.46,36.52,35.55,35.7,445576,35.7
2012-01-04,35.55,35.68,35.02,35.07,735277,35.07
2012-01-05,35.12,35.12,34.73,35.05,589266,35.05
2012-01-06,35.1,35.17,34.66,35,770222,35
2012-01-09,34.51,34.82,34.48,34.51,611839,34.51
2012-01-10,34.75,34.83,34.44,34.47,459918,34.47
2012-01-11,34.43,34.55,34.19,34.24,356711,34.24
2012-01-12,34.34,34.38,34.02,34.26,316257,34.26
2012-01-13,34.13,34.23,33.92,34.23,323097,34.23
2012-01-17,34.49,34.56,34.05,34.21,268132,34.21
2012-01-18,34.2,34.2,33.9,34.12,309065,34.12
2012-01-19,34.08,34.1,33.48,33.53,375775,33.53
2012-01-20,33.61,34.36,33.48,34.36,631089,34.36
2012-01-23,34.26,34.61,34.19,34.43,423514,34.43
2012-01-24,34.3,34.63,34.22,34.55,656299,34.55
2012-01-25,34.39,34.98,34.21,34.91,521544,34.91
2012-01-26,35.05,35.28,34.86,35.27,510098,35.27
2012-01-27,35.2,35.2,34.59,34.73,454701,34.73
2012-01-30,34.6,34.7,34.33,34.54,356676,34.54
2012-01-31,34.73,34.8,34.48,34.75,703266,34.75
2012-02-01,34.85,35.29,34.82,35.16,442110,35.16
2012-02-02,35.21,35.46,35.03,35.11,384338,35.11
2012-02-03,35.37,35.43,35.04,35.3,283953,35.3
2012-02-06,35.14,35.37,35.1,35.27,207514,35.27
2012-02-07,35.07,35.61,34.97,35.49,284795,35.49
2012-02-08,35.48,35.62,35.22,35.62,361267,35.62
2012-02-09,35.65,35.67,35.34,35.46,301261,35.46
2012-02-10,35.31,35.44,35.12,35.2,353202,35.2
2012-02-13,35.34,35.44,34.92,34.99,374250,34.99
2012-02-14,34.93,34.95,34.68,34.9,305989,34.9
2012-02-15,34.91,35.55,34.72,35.52,852747,35.52
2012-02-16,36.01,36.37,35.8,36.16,655450,36.16
2012-02-17,36.38,36.46,35.85,36.1,528809,36.1
2012-02-21,36.23,36.24,35.94,35.99,306221,35.99
2012-02-22,36.06,36.32,35.72,35.94,372508,35.94
2012-02-23,35.88,35.98,35.62,35.74,390363,35.74
2012-02-24,35.96,36.08,35.65,35.86,523250,35.86
2012-02-27,35.82,36,35.47,35.67,689713,35.67
2012-02-28,35.43,35.52,35.18,35.37,633800,35.37
2012-02-29,35.48,36.25,35.4,35.9,880684,35.9
2012-03-01,35.94,36.29,35.83,36.04,552740,36.04
2012-03-02,36.01,36.18,35.76,36.08,443467,36.08
2012-03-05,35.98,36.55,35.95,36.51,591850,36.51
2012-03-06,36.41,36.47,35.81,35.91,577204,35.91
2012-03-07,35.93,36.31,35.75,36.24,357554,36.24
2012-03-08,36.38,36.7,36.3,36.68,455693,36.68
2012-03-09,36.67,36.92,36.53,36.84,313319,36.84
2012-03-12,36.87,37.18,36.78,37.11,418580,37.11
2012-03-13,37.29,37.57,37.09,37.55,496641,37.55
2012-03-14,37.5,37.64,36.63,36.74,459267,36.74
2012-03-15,36.72,36.91,36.43,36.71,332797,36.71
2012-03-16,36.53,36.66,36.3,36.43,794852,36.43
2012-03-19,36.45,36.62,36.32,36.35,300232,36.35
2012-03-20,36.24,36.61,36.19,36.53,357562,36.53
2012-03-21,36.49,36.61,36.22,36.37,259897,36.37
2012-03-22,36.16,36.45,36.08,36.38,358653,36.38
2012-03-23,36.41,36.83,36.31,36.74,463067,36.74
2012-03-26,36.93,37.19,36.88,37.14,615264,37.14
2012-03-27,37.26,37.31,37.05,37.18,528685,37.18
2012-03-28,37.07,37.17,36.71,36.89,631794,36.89
2012-03-29,36.72,37.22,36.25,37.21,660242,37.21
2012-03-30,37.32,37.4,37.01,37.12,691692,37.12
2012-04-02,37.08,37.34,36.89,37.05,499164,37.05
2012-04-03,37.09,37.38,36.87,37.34,607446,37.34
2012-04-04,37.07,37.21,36.8,37.03,1362577,37.03
2012-04-05,37.03,37.21,36.61,36.89,1077442,36.89
2012-04-09,36.54,36.9,36.49,36.79,11572058,36.79
2012-04-10,36.38,36.5,35.63,35.91,1451491,35.91
2012-04-11,36.22,36.23,35.4,35.72,928754,35.72
2012-04-12,35.67,35.86,35.66,35.72,705881,35.72
2012-04-13,35.81,36.3,35.75,35.8,912597,35.8
2012-04-16,35.87,36.44,35.87,36.2,847244,36.2
2012-04-17,36.34,36.36,35.92,36.31,634726,36.31
2012-04-18,36.15,36.42,36.03,36.19,535389,36.19
2012-04-19,36.14,36.25,35.84,35.92,525011,35.92
2012-04-20,36.08,36.46,35.98,36.46,757139,36.46
2012-04-23,36.22,36.22,36.05,36.08,449658,36.08
2012-04-24,36.12,36.44,36.07,36.41,567074,36.41
2012-04-25,36.5,36.73,36.35,36.57,455354,36.57
2012-04-26,36.47,36.78,36.35,36.7,334158,36.7
2012-04-27,36.8,36.94,36.66,36.82,398375,36.82
2012-04-30,36.77,36.84,36.58,36.77,559782,36.77
2012-05-01,36.89,37.25,36.79,37.09,407063,37.09
2012-05-02,36.97,37.07,36.75,37.03,555072,37.03
2012-05-03,37.04,37.33,35.64,35.82,1223571,35.82
2012-05-04,35.8,36.28,35.8,36.06,815578,36.06
2012-05-07,35.9,36.09,35.76,35.89,623121,35.89
2012-05-08,35.69,36.26,35.63,36.23,608662,36.23
2012-05-09,36.04,36.37,35.95,36.18,597717,36.18
2012-05-10,36.3,36.54,36.09,36.46,442660,36.46
2012-05-11,36.39,36.73,36.33,36.57,403532,36.57
2012-05-14,36.32,36.48,35.96,36.2,473267,36.2
2012-05-15,36.09,36.29,35.71,35.78,487580,35.78
2012-05-16,35.83,35.97,35.55,35.55,428198,35.55
2012-05-17,35.63,35.63,35.1,35.1,527025,35.1
2012-05-18,35.07,35.28,34.85,34.94,690389,34.94
2012-05-21,34.96,35.77,34.96,35.73,576627,35.73
2012-05-22,35.79,36.32,35.79,36.25,635596,36.25
2012-05-23,36,36.27,35.88,36.27,793601,36.27
2012-05-24,36.28,36.51,36,36.32,382780,36.32
2012-05-25,36.37,36.49,36.25,36.36,279167,36.36
2012-05-29,36.48,36.81,36.32,36.75,603873,36.75
2012-05-30,36.25,36.51,35.87,35.95,385700,35.95
2012-05-31,35.99,36.35,35.68,36.01,831770,36.01
2012-06-01,35.7,36.47,35.58,36.42,796207,36.42
2012-06-04,36.38,36.49,36.15,36.22,943179,36.22
2012-06-05,36.18,36.41,36.15,36.21,492911,36.21
2012-06-06,36.64,37,36.5,37,504347,37
2012-06-07,37,37.43,36.97,37.1,431974,37.1
2012-06-08,37.11,37.43,36.87,37.39,440743,37.39
2012-06-11,37.52,37.82,37.3,37.32,391632,37.32
2012-06-12,37.33,37.43,36.92,37.4,323339,37.4
2012-06-13,37.24,37.83,37.14,37.58,365217,37.58
2012-06-14,37.67,38.22,37.59,38.1,375051,38.1
2012-06-15,38.5,38.56,38.03,38.48,1026724,38.48
2012-06-18,38.39,38.74,38.35,38.71,316468,38.71
2012-06-19,38.86,38.95,38.49,38.57,397261,38.57
2012-06-20,38.6,38.6,37.71,38.03,765607,38.03
2012-06-21,38.17,38.33,37.54,37.57,437869,37.57
2012-06-22,37.71,37.92,37.48,37.76,1139837,37.76
2012-06-25,37.5,37.7,37.4,37.59,313371,37.59
2012-06-26,37.61,38.23,37.61,38.01,344662,38.01
2012-06-27,38.2,38.42,38.14,38.33,374292,38.33
2012-06-28,38.03,38.34,37.96,38.34,270034,38.34
2012-06-29,38.87,39.09,38.47,38.81,559784,38.81
2012-07-02,38.88,39.18,38.77,39.1,314254,39.1
2012-07-03,39.1,39.28,39.04,39.26,179738,39.26
2012-07-05,39.15,39.26,38.7,38.76,403317,38.76
2012-07-06,38.49,38.74,38.39,38.69,240738,38.69
2012-07-09,38.51,38.65,38.28,38.56,247381,38.56
2012-07-10,38.73,38.91,38.61,38.72,343810,38.72
2012-07-11,38.71,38.94,38.64,38.83,281491,38.83
2012-07-12,38.69,39.18,38.62,39.08,292931,39.08
2012-07-13,39.12,39.97,39.12,39.88,563146,39.88
2012-07-16,39.71,39.9,39.49,39.58,354692,39.58
2012-07-17,39.65,40.08,39.49,40.03,275282,40.03
2012-07-18,39.9,40.26,39.66,40.26,331750,40.26
2012-07-19,40.23,40.64,40.12,40.48,340494,40.48
2012-07-20,40.17,40.45,40.05,40.26,523953,40.26
2012-07-23,40.01,40.05,39.55,39.78,249816,39.78
2012-07-24,39.71,39.71,39.1,39.33,353429,39.33
2012-07-25,39.58,39.78,39.26,39.48,184587,39.48
2012-07-26,39.9,40.39,39.85,40.05,210454,40.05
2012-07-27,40.48,40.53,39.79,39.96,711828,39.96
2012-07-30,39.99,40.86,39.99,40.57,480498,40.57
2012-07-31,40.29,40.34,39.23,39.88,833289,39.88
2012-08-01,39.6,40.36,39.1,39.1,753890,39.1
2012-08-02,38.93,39.25,38.62,39.25,509920,39.25
2012-08-03,39.8,39.95,39.45,39.57,408727,39.57
2012-08-06,39.66,39.88,39.52,39.57,223627,39.57
2012-08-07,39.68,39.73,39.43,39.48,398076,39.48
2012-08-08,39.61,39.61,39.15,39.45,274994,39.45
2012-08-09,39.41,39.47,39.04,39.2,271656,39.2
2012-08-10,39.17,39.65,39.07,39.59,245474,39.59
2012-08-13,39.44,39.61,39.11,39.29,210051,39.29
2012-08-14,39.29,39.4,38.99,39.15,291157,39.15
2012-08-15,39.17,39.17,38.91,39.02,296524,39.02
2012-08-16,39,39.07,38.73,38.77,288595,38.77
2012-08-17,38.89,38.89,38.46,38.54,467064,38.54
2012-08-20,38.43,38.69,38.3,38.68,263857,38.68
2012-08-21,38.65,38.65,38.19,38.21,386215,38.21
2012-08-22,37.98,38.26,37.98,38.17,294448,38.17
2012-08-23,38.2,38.2,37.66,37.74,188622,37.74
2012-08-24,37.66,38.01,37.66,37.97,190108,37.97
2012-08-27,37.95,38.1,37.84,37.96,235437,37.96
2012-08-28,37.85,38.16,37.77,38.02,256036,38.02
2012-08-29,37.73,37.86,37.44,37.8,333896,37.8
2012-08-30,37.64,37.84,37.6,37.71,269843,37.71
2012-08-31,37.77,37.89,37.53,37.67,396463,37.67
2012-09-04,37.68,38.01,37.5,38.01,408754,38.01
2012-09-05,38,38,37.67,37.68,345247,37.68
2012-09-06,37.85,38.2,37.66,38.16,194469,38.16
2012-09-07,38.15,38.25,37.97,38.24,286206,38.24
2012-09-10,38.35,38.39,38.11,38.12,193797,38.12
2012-09-11,38.17,38.21,37.93,37.94,237166,37.94
2012-09-12,37.92,37.96,37.59,37.59,322291,37.59
2012-09-13,37.6,38.32,37.56,38.32,351399,38.32
2012-09-14,38.26,38.35,37.66,37.75,426594,37.75
2012-09-17,37.67,37.81,37.1,37.28,491082,37.28
2012-09-18,37.25,37.25,36.82,36.94,442403,36.94
2012-09-19,36.84,37.08,36.68,37.01,384699,37.01
2012-09-20,36.89,37.32,36.81,37.17,410492,37.17
2012-09-21,36.89,37.53,36.79,37.43,996079,37.43
2012-09-24,37.42,38.09,37.34,38.08,495141,38.08
2012-09-25,38.03,38.33,37.97,38.04,475563,38.04
2012-09-26,38.13,38.54,38.06,38.1,257698,38.1
2012-09-27,38.22,38.27,37.78,37.92,214280,37.92
2012-09-28,37.93,38.32,37.84,38.23,472310,38.23
2012-10-01,38.4,38.71,38.27,38.65,404171,38.65
2012-10-02,38.66,38.9,38.63,38.77,357024,38.77
2012-10-03,38.74,38.9,38.68,38.84,388416,38.84
2012-10-04,38.87,39.07,38.72,38.8,339021,38.8
2012-10-05,39.16,39.49,38.97,39.14,460842,39.14
2012-10-08,39.13,39.17,38.92,39.1,261663,39.1
2012-10-09,39.01,39.48,38.75,39.43,388982,39.43
2012-10-10,39.45,39.48,38.94,39.04,314925,39.04
2012-10-11,39.22,39.22,38.81,38.87,379829,38.87
2012-10-12,38.91,38.98,38.48,38.68,345188,38.68
2012-10-15,38.72,39.14,38.55,39.1,321453,39.1
2012-10-16,39.26,39.49,38.93,39.1,293179,39.1
2012-10-17,39.23,39.78,39.23,39.5,817845,39.5
